ID,Date,Element,Data_Value
CA002500440,2015-06-20,TMIN,-6
CA002403756,2014-08-02,TMAX,44
CA002403756,2013-06-19,TMIN,-14
CA002500440,2012-09-21,TMIN,-8
CA002500440,2005-09-30,TMIN,-139
CA002403756,2011-10-20,TMAX,-127
CA002500440,2005-09-30,TMAX,-97
CA002500440,2014-03-05,TMIN,-274
CA002500440,2009-10-05,TMIN,-150
CA002500440,2008-05-18,TMAX,15
CA002403756,2005-10-22,TMAX,-106
CA002403756,2011-10-20,TMIN,-176
CA002403756,2014-11-06,TMAX,-192
CA002403756,2014-10-01,TMIN,-183
CA002500440,2012-05-24,TMAX,-36
CA002403756,2011-10-02,TMIN,-85
CA002500440,2005-10-28,TMIN,-184
CA002500440,2011-05-18,TMAX,-19
CA002403756,2015-04-25,TMAX,-137
CA002500440,2008-03-23,TMAX,-242
CA002403756,2010-12-29,TMIN,-338
CA002500440,2009-01-09,TMIN,-365
CA002403756,2013-06-19,TMAX,24
CA002403756,2015-03-22,TMAX,-236
CA002403756,2008-06-16,TMIN,-6
CA002500440,2010-02-27,TMAX,-246
CA002403756,2010-12-29,TMAX,-299
CA002403756,2011-10-02,TMAX,-37
CA002500440,2010-02-27,TMIN,-320
CA002500440,2010-01-20,TMIN,-365
CA002403756,2012-03-19,TMIN,-344
CA002500440,2005-10-28,TMAX,-83
CA002403756,2006-05-31,TMAX,-2
CA002500440,2009-08-23,TMAX,124
CA002403756,2008-12-10,TMIN,-231
CA002500440,2012-01-28,TMAX,-288
CA002500440,2007-12-07,TMAX,-188
CA002500440,2015-06-20,TMAX,67
CA002500440,2009-08-23,TMIN,33
CA002403756,2008-07-07,TMIN,13
CA002500440,2012-11-23,TMIN,-292
CA002500440,2009-03-07,TMAX,-323
CA002500440,2009-10-05,TMAX,-69
CA002500440,2010-01-20,TMAX,-248
CA002403756,2005-10-22,TMIN,-207
CA002500440,2007-12-07,TMIN,-272
CA002500440,2011-02-07,TMIN,-315
CA002403756,2011-10-12,TMIN,-94
CA002500440,2015-09-02,TMIN,19
CA002500440,2010-01-07,TMIN,-373
CA002403756,2011-06-01,TMIN,-79
CA002500440,2012-12-08,TMAX,-231
CA002500440,2007-11-29,TMAX,-167
CA002500440,2008-05-02,TMIN,-176
CA002403756,2014-08-17,TMAX,0
CA002403756,2015-02-12,TMAX,-372
CA002403756,2012-11-18,TMAX,-207
CA002403756,2011-03-04,TMIN,-417
CA002500440,2005-02-08,TMIN,-416
CA002403756,2009-04-15,TMAX,-182
CA002403756,2013-07-31,TMIN,-11
CA002403756,2013-08-05,TMAX,160
CA002500440,2012-07-13,TMIN,95
CA002500440,2010-01-07,TMAX,-304
CA002500440,2005-04-06,TMAX,-118
CA002500440,2009-01-28,TMIN,-367
CA002500440,2010-12-05,TMIN,-384
CA002403756,2013-01-03,TMIN,-360
CA002500440,2014-03-05,TMAX,-239
CA002500440,2012-05-24,TMIN,-75
CA002500440,2009-01-28,TMAX,-278
CA002500440,2005-01-23,TMIN,-428
CA002403756,2008-11-13,TMAX,-299
CA002500440,2005-04-06,TMIN,-184
CA002403756,2015-02-12,TMIN,-414
CA002500440,2008-03-23,TMIN,-339
CA002500440,2009-03-07,TMIN,-407
CA002403756,2012-05-14,TMIN,-87
CA002500440,2007-11-29,TMIN,-250
CA002403756,2012-11-18,TMIN,-270
CA002403756,2014-08-17,TMIN,-29
CA002500440,2009-04-09,TMAX,-191
CA002403756,2011-10-12,TMAX,-49
CA002500440,2010-04-14,TMIN,-154
CA002403756,2012-03-19,TMAX,-299
CA002403756,2015-03-22,TMIN,-310
CA002500440,2008-12-27,TMAX,-305
CA002500440,2008-04-27,TMAX,-101
CA002403756,2009-01-01,TMAX,-232
CA002500440,2008-05-18,TMIN,-41
CA002403756,2014-09-05,TMIN,-13
CA002500440,2012-12-08,TMIN,-270
CA002403756,2015-07-10,TMIN,-1
CA002500440,2008-04-27,TMIN,-276
CA002403756,2014-08-12,TMAX,9
CA002500440,2010-08-06,TMIN,7
CA002403756,2006-05-31,TMIN,-30
CA002403756,2008-11-13,TMIN,-347
CA002500440,2012-03-17,TMAX,-295
CA002403756,2008-06-16,TMAX,15
CA002403756,2011-03-04,TMAX,-324
CA002403756,2012-05-14,TMAX,-38
CA002500440,2008-05-02,TMAX,-124
CA002403756,2015-07-10,TMAX,25
CA002403756,2013-01-03,TMAX,-234
CA002500440,2012-07-13,TMAX,220
CA002403756,2014-10-01,TMAX,-114
CA002500440,2010-08-06,TMAX,51
CA002403756,2014-08-02,TMIN,4
CA002403756,2009-10-09,TMAX,-67
CA002500440,2006-08-20,TMIN,-5
CA002500440,2006-05-12,TMAX,6
CA002500440,2015-04-17,TMAX,-114
CA002403756,2009-06-08,TMIN,-68
CA002500440,2012-01-13,TMAX,-242
CA002500440,2012-07-21,TMAX,133
CA002403756,2007-06-30,TMAX,79
CA002403756,2008-07-13,TMAX,48
CA002403756,2008-12-10,TMAX,-157
CA002403756,2014-07-03,TMIN,-12
CA002403756,2007-06-30,TMIN,14
CA002403756,2005-11-23,TMAX,-299
CA002500440,2012-07-21,TMIN,30
CA002403756,2005-11-23,TMIN,-354
CA002500440,2012-12-27,TMAX,-264
CA002403756,2011-11-28,TMIN,-221
CA002403756,2008-07-13,TMIN,-5
CA002403756,2011-11-28,TMAX,-154
CA002403756,2015-10-01,TMIN,-29
CA002403756,2011-10-29,TMAX,-156
CA002403756,2014-07-03,TMAX,18
CA002500440,2009-01-09,TMAX,-299
CA002403756,2009-11-11,TMIN,-270
CA002500440,2012-01-13,TMIN,-296
CA002403756,2014-08-12,TMIN,-1
CA002403756,2015-08-01,TMIN,13
CA002403756,2009-05-16,TMAX,-102
CA002500440,2011-12-02,TMIN,-337
CA002500440,2005-04-19,TMIN,-257
CA002403756,2015-10-26,TMIN,-182
CA002403756,2011-01-16,TMIN,-319
CA002500440,2006-05-12,TMIN,-103
CA002403756,2013-02-16,TMAX,-404
CA002403756,2012-01-07,TMAX,-272
CA002403756,2015-03-10,TMIN,-346
CA002403756,2015-10-26,TMAX,-138
CA002500440,2012-12-27,TMIN,-294
CA002500440,2011-01-03,TMIN,-387
CA002500440,2005-10-27,TMAX,-50
CA002403756,2015-03-10,TMAX,-275
CA002403756,2013-02-16,TMIN,-456
CA002500440,2013-01-15,TMAX,-315
CA002500440,2013-01-15,TMIN,-456
CA002403756,2012-01-07,TMIN,-390
CA002403756,2011-01-04,TMAX,-242
CA002500440,2012-04-27,TMIN,-285
CA002500440,2011-01-03,TMAX,-267
CA002500440,2011-02-15,TMAX,-210
CA002500440,2007-08-12,TMAX,103
CA002500440,2010-03-08,TMIN,-199
CA002500440,2005-10-08,TMIN,-162
CA002500440,2009-08-05,TMAX,130
CA002403756,2009-05-05,TMIN,-244
CA002500440,2013-03-29,TMIN,-234
CA002403756,2012-06-09,TMIN,-10
CA002500440,2012-04-27,TMAX,-162
CA002403756,2011-01-04,TMIN,-325
CA002403756,2011-12-11,TMAX,-270
CA002403756,2009-06-08,TMAX,43
CA002500440,2011-02-15,TMIN,-320
CA002403756,2011-06-01,TMAX,-20
CA002500440,2012-09-01,TMIN,-9
CA002403756,2009-10-09,TMIN,-118
CA002500440,2005-10-27,TMIN,-99
CA002500440,2009-06-30,TMAX,155
CA002403756,2014-10-20,TMAX,-151
CA002500440,2009-08-05,TMIN,18
CA002403756,2011-08-02,TMIN,17
CA002403756,2013-03-31,TMIN,-316
CA002500440,2005-10-08,TMAX,-95
CA002403756,2012-08-15,TMAX,6
CA002403756,2012-08-15,TMIN,-17
CA002403756,2011-12-11,TMIN,-319
CA002403756,2014-10-20,TMIN,-263
CA002500440,2006-02-01,TMAX,-223
CA002500440,2006-02-01,TMIN,-423
CA002500440,2007-08-12,TMIN,12
CA002500440,2010-03-08,TMAX,-154
CA002500440,2008-05-21,TMAX,8
CA002403756,2011-11-05,TMIN,-269
CA002500440,2006-05-09,TMIN,-38
CA002403756,2011-04-24,TMIN,-282
CA002500440,2010-05-18,TMIN,-66
CA002500440,2010-05-18,TMAX,-29
CA002500440,2009-06-30,TMIN,44
CA002500440,2013-03-29,TMAX,-145
CA002500440,2006-05-09,TMAX,14
CA002403756,2009-05-05,TMAX,-127
CA002403756,2013-03-31,TMAX,-213
CA002403756,2011-10-29,TMIN,-235
CA002403756,2011-04-24,TMAX,-183
CA002500440,2011-09-12,TMIN,-57
CA002403756,2011-01-16,TMAX,-262
CA002500440,2010-05-12,TMAX,-47
CA002403756,2015-04-22,TMIN,-281
CA002500440,2011-07-08,TMAX,123
CA002500440,2011-05-18,TMIN,-157
CA002500440,2011-03-31,TMAX,-69
CA002403756,2013-07-31,TMAX,77
CA002403756,2015-06-26,TMAX,23
CA002403756,2005-06-23,TMIN,-8
CA002403756,2015-06-26,TMIN,-10
CA002500440,2008-06-09,TMAX,65
CA002500440,2011-09-27,TMIN,-80
CA002500440,2010-12-05,TMAX,-325
CA002403756,2012-04-03,TMIN,-187
CA002403756,2009-11-11,TMAX,-205
CA002403756,2014-09-29,TMIN,-110
CA002500440,2012-03-17,TMIN,-352
CA002500440,2012-09-01,TMAX,18
CA002403756,2005-06-23,TMAX,15
CA002500440,2009-11-22,TMAX,-139
CA002500440,2005-10-20,TMAX,-35
CA002500440,2008-05-20,TMIN,0
CA002500440,2012-04-08,TMIN,-314
CA002500440,2012-04-08,TMAX,-194
CA002403756,2009-04-15,TMIN,-294
CA002500440,2005-01-23,TMAX,-401
CA002500440,2006-08-20,TMAX,91
CA002403756,2007-09-03,TMAX,17
CA002500440,2009-05-19,TMIN,-154
CA002403756,2015-04-25,TMIN,-271
CA002403756,2005-11-01,TMAX,-176
CA002500440,2011-09-27,TMAX,-34
CA002500440,2008-12-29,TMIN,-376
CA002403756,2015-04-22,TMAX,-125
CA002500440,2005-10-20,TMIN,-122
CA002500440,2005-02-08,TMAX,-344
CA002403756,2015-01-13,TMIN,-354
CA002500440,2012-11-23,TMAX,-183
CA002500440,2015-08-22,TMIN,3
CA002500440,2015-10-16,TMIN,-219
CA002500440,2008-06-09,TMIN,3
CA002500440,2011-03-31,TMIN,-155
CA002403756,2008-07-07,TMAX,66
CA002403756,2015-01-13,TMAX,-264
CA002500440,2008-05-20,TMAX,15
CA002500440,2009-04-09,TMIN,-263
CA002500440,2009-05-19,TMAX,-69
CA002500440,2005-05-02,TMAX,-61
CA002403756,2005-11-01,TMIN,-226
CA002403756,2006-06-07,TMIN,-82
CA002403756,2012-06-09,TMAX,16
CA002500440,2012-01-26,TMIN,-298
CA002500440,2013-01-07,TMAX,-208
CA002500440,2009-12-11,TMAX,-337
CA002500440,2012-01-26,TMAX,-202
CA002500440,2009-12-11,TMIN,-376
CA002500440,2011-12-02,TMAX,-246
CA002403756,2015-08-01,TMAX,162
CA002500440,2011-09-12,TMAX,53
CA002403756,2012-04-11,TMIN,-299
CA002500440,2005-04-19,TMAX,-134
CA002500440,2015-05-04,TMIN,-268
CA002403756,2009-05-16,TMIN,-139
CA002500440,2010-05-12,TMIN,-65
CA002500440,2005-06-24,TMIN,-7
CA002500440,2005-06-24,TMAX,38
CA002403756,2011-11-05,TMAX,-226
CA002403756,2012-04-11,TMAX,-234
CA002500440,2007-09-18,TMIN,-56
CA002500440,2008-05-21,TMIN,-8
CA002500440,2005-04-03,TMIN,-420
CA002500440,2011-07-08,TMIN,7
CA002403756,2015-04-11,TMIN,-340
CA002403756,2008-11-30,TMAX,-154
CA002403756,2006-06-07,TMAX,3
CA002500440,2010-09-08,TMIN,-26
CA002403756,2008-11-30,TMIN,-225
CA002403756,2013-10-29,TMAX,-174
CA002500440,2005-05-02,TMIN,-138
CA002500440,2013-01-07,TMIN,-326
CA002403756,2012-04-03,TMAX,-127
CA002403756,2015-04-11,TMAX,-236
CA002500440,2008-12-27,TMIN,-380
CA002500440,2010-09-08,TMAX,64
CA002500440,2007-09-18,TMAX,3
CA002403756,2011-02-24,TMIN,-394
CA002500440,2010-07-27,TMAX,163
CA002500440,2010-07-27,TMIN,66
CA002403756,2011-02-24,TMAX,-280
CA002403756,2005-07-27,TMAX,14
CA002403756,2005-07-27,TMIN,0
CA002500440,2005-04-03,TMAX,-258
CA002403756,2013-10-29,TMIN,-260
CA002500440,2009-11-22,TMIN,-165
CA002403756,2011-02-09,TMAX,-306
CA002403756,2014-11-06,TMIN,-270
CA002500440,2009-05-21,TMAX,-4
CA002403756,2015-08-06,TMIN,-17
CA002403756,2010-10-26,TMIN,-208
CA002403756,2015-08-06,TMAX,25
CA002500440,2014-04-18,TMAX,-66
CA002403756,2010-11-10,TMIN,-193
CA002500440,2011-01-06,TMIN,-279
CA002500440,2014-04-18,TMIN,-148
CA002500440,2007-11-20,TMIN,-318
CA002403756,2010-11-10,TMAX,-111
CA002500440,2007-11-20,TMAX,-280
CA002500440,2009-05-21,TMIN,-35
CA002500440,2012-11-13,TMIN,-225
CA002403756,2013-05-17,TMAX,-11
CA002403756,2009-02-27,TMIN,-302
CA002500440,2011-01-06,TMAX,-171
CA002403756,2009-02-27,TMAX,-229
CA002403756,2011-12-31,TMAX,-332
CA002403756,2013-05-17,TMIN,-56
CA002500440,2009-05-24,TMAX,-38
CA002403756,2012-02-05,TMAX,-262
CA002403756,2006-02-07,TMIN,-330
CA002403756,2012-02-05,TMIN,-411
CA002500440,2008-10-08,TMAX,-56
CA002500440,2008-10-08,TMIN,-115
CA002500440,2005-06-06,TMIN,-16
CA002403756,2006-02-07,TMAX,-270
CA002403756,2015-09-21,TMIN,-22
CA002403756,2011-12-31,TMIN,-383
CA002403756,2010-10-26,TMAX,-130
CA002403756,2011-05-11,TMIN,-167
CA002403756,2011-05-11,TMAX,-76
CA002403756,2013-10-09,TMAX,-63
CA002500440,2005-04-30,TMAX,1
CA002403756,2014-08-15,TMAX,1
CA002500440,2006-01-14,TMAX,-214
CA002500440,2005-04-30,TMIN,-77
CA002500440,2010-06-27,TMIN,108
CA002500440,2012-01-25,TMIN,-356
CA002500440,2006-05-24,TMAX,23
CA002500440,2013-02-18,TMIN,-436
CA002500440,2008-02-12,TMIN,-431
CA002500440,2005-12-08,TMAX,-186
CA002500440,2010-06-27,TMAX,199
CA002403756,2009-05-11,TMAX,-114
CA002403756,2008-08-26,TMAX,5
CA002403756,2007-06-21,TMAX,33
CA002500440,2012-01-25,TMAX,-297
CA002500440,2008-02-12,TMAX,-371
CA002500440,2012-11-13,TMAX,-112
CA002500440,2006-01-14,TMIN,-246
CA002403756,2008-08-26,TMIN,-13
CA002500440,2010-10-17,TMAX,-114
CA002500440,2010-10-17,TMIN,-146
CA002403756,2007-06-21,TMIN,-1
CA002403756,2009-02-23,TMAX,-383
CA002500440,2013-02-18,TMAX,-402
CA002403756,2012-07-28,TMIN,1
CA002500440,2009-05-24,TMIN,-116
CA002500440,2005-12-08,TMIN,-331
CA002500440,2010-11-22,TMIN,-268
CA002500440,2008-04-17,TMIN,-264
CA002403756,2011-12-20,TMAX,-289
CA002500440,2013-06-15,TMAX,71
CA002500440,2007-11-23,TMIN,-303
CA002403756,2009-10-17,TMAX,-119
CA002500440,2008-10-27,TMIN,-203
CA002403756,2009-09-11,TMAX,4
CA002500440,2013-06-28,TMIN,8
CA002403756,2005-06-30,TMIN,1
CA002500440,2012-11-30,TMIN,-260
CA002403756,2005-06-30,TMAX,75
CA002500440,2008-07-15,TMIN,12
CA002500440,2011-08-23,TMAX,118
CA002403756,2005-07-17,TMIN,-4
CA002403756,2009-08-26,TMIN,24
CA002500440,2013-06-28,TMAX,123
CA002403756,2009-08-26,TMAX,129
CA002500440,2015-03-12,TMIN,-395
CA002500440,2015-03-12,TMAX,-339
CA002500440,2008-10-27,TMAX,-152
CA002403756,2005-07-17,TMAX,39
CA002500440,2005-11-19,TMIN,-360
CA002403756,2011-11-14,TMIN,-265
CA002500440,2005-11-19,TMAX,-296
CA002403756,2011-11-14,TMAX,-215
CA002500440,2012-11-30,TMAX,-189
CA002403756,2014-09-25,TMIN,-65
CA002500440,2006-02-02,TMIN,-230
CA002500440,2011-11-29,TMAX,-189
CA002403756,2015-09-21,TMAX,16
CA002500440,2015-03-16,TMIN,-395
CA002403756,2014-11-28,TMAX,-217
CA002500440,2005-05-13,TMIN,-166
CA002500440,2005-05-13,TMAX,-77
CA002500440,2013-04-04,TMAX,-250
CA002500440,2013-04-04,TMIN,-301
CA002500440,2005-06-06,TMAX,56
CA002500440,2015-03-16,TMAX,-301
CA002403756,2009-05-11,TMIN,-162
CA002500440,2015-10-10,TMAX,-94
CA002403756,2014-11-28,TMIN,-344
CA002403756,2011-12-20,TMIN,-333
CA002500440,2005-07-20,TMAX,51
CA002403756,2012-07-28,TMAX,18
CA002500440,2005-07-20,TMIN,-1
CA002500440,2013-06-15,TMIN,3
CA002500440,2014-05-05,TMAX,-74
CA002500440,2015-10-10,TMIN,-151
CA002500440,2008-07-15,TMAX,49
CA002500440,2008-04-17,TMAX,-175
CA002500440,2011-08-23,TMIN,20
CA002403756,2009-10-17,TMIN,-188
CA002500440,2011-05-12,TMAX,-90
CA002500440,2011-11-29,TMIN,-244
CA002500440,2006-02-02,TMAX,-208
CA002500440,2010-11-22,TMAX,-223
CA002403756,2013-10-09,TMIN,-126
CA002403756,2011-09-27,TMAX,-41
CA002403756,2014-08-15,TMIN,-19
CA002500440,2012-04-01,TMIN,-275
CA002403756,2015-03-07,TMAX,-238
CA002500440,2006-08-22,TMIN,28
CA002500440,2013-03-13,TMIN,-412
CA002500440,2013-01-12,TMAX,-287
CA002403756,2008-05-28,TMAX,4
CA002500440,2011-02-28,TMIN,-318
CA002403756,2009-03-31,TMIN,-336
CA002403756,2008-05-28,TMIN,-70
CA002500440,2006-08-22,TMAX,134
CA002403756,2012-03-14,TMIN,-247
CA002403756,2009-03-31,TMAX,-271
CA002500440,2007-09-16,TMIN,-47
CA002500440,2013-01-12,TMIN,-345
CA002403756,2005-10-02,TMAX,-82
CA002403756,2014-10-07,TMAX,-60
CA002500440,2007-09-16,TMAX,0
CA002500440,2010-12-19,TMAX,-183
CA002403756,2006-04-09,TMAX,-243
CA002403756,2011-11-17,TMAX,-150
CA002403756,2012-03-14,TMAX,-230
CA002500440,2005-08-11,TMIN,15
CA002500440,2012-09-07,TMAX,86
CA002403756,2011-11-17,TMIN,-195
CA002500440,2006-02-22,TMIN,-325
CA002500440,2006-02-22,TMAX,-170
CA002500440,2012-09-07,TMIN,31
CA002500440,2011-02-28,TMAX,-277
CA002403756,2015-03-07,TMIN,-321
CA002403756,2012-01-08,TMAX,-288
CA002500440,2013-03-13,TMAX,-273
CA002403756,2015-08-21,TMIN,-22
CA002500440,2012-12-05,TMIN,-307
CA002403756,2005-06-29,TMAX,108
CA002500440,2005-08-01,TMAX,33
CA002403756,2007-07-24,TMAX,43
CA002403756,2006-05-25,TMIN,-100
CA002403756,2015-08-21,TMAX,3
CA002403756,2014-10-07,TMIN,-111
CA002403756,2005-10-02,TMIN,-137
CA002403756,2006-05-25,TMAX,-14
CA002403756,2005-06-29,TMIN,3
CA002500440,2014-03-22,TMIN,-296
CA002500440,2014-03-22,TMAX,-169
CA002500440,2005-08-01,TMIN,1
CA002403756,2013-06-10,TMIN,-45
CA002500440,2012-08-19,TMAX,151
CA002500440,2012-08-19,TMIN,27
CA002500440,2009-07-27,TMIN,24
CA002500440,2005-08-11,TMAX,39
CA002403756,2011-02-09,TMIN,-370
CA002403756,2006-04-13,TMAX,-218
CA002403756,2006-04-13,TMIN,-318
CA002500440,2006-05-01,TMAX,-90
CA002500440,2012-12-05,TMAX,-177
CA002403756,2012-01-08,TMIN,-401
CA002403756,2013-06-10,TMAX,20
CA002500440,2006-05-01,TMIN,-172
CA002403756,2015-01-31,TMAX,-263
CA002403756,2011-10-21,TMAX,-131
CA002403756,2015-01-31,TMIN,-405
CA002403756,2010-10-04,TMIN,-113
CA002500440,2015-04-07,TMAX,-233
CA002403756,2005-10-05,TMAX,-88
CA002403756,2012-07-29,TMAX,11
CA002403756,2012-03-04,TMIN,-380
CA002403756,2005-11-25,TMIN,-258
CA002403756,2009-02-23,TMIN,-409
CA002500440,2006-01-22,TMIN,-347
CA002500440,2008-10-09,TMAX,-76
CA002403756,2008-05-22,TMAX,4
CA002403756,2012-12-22,TMIN,-366
CA002500440,2006-01-22,TMAX,-309
CA002500440,2008-10-09,TMIN,-168
CA002403756,2012-03-04,TMAX,-337
CA002500440,2008-05-10,TMIN,-228
CA002500440,2011-09-04,TMIN,-4
CA002403756,2012-12-22,TMAX,-289
CA002500440,2015-04-07,TMIN,-340
CA002500440,2011-09-04,TMAX,34
CA002500440,2008-02-09,TMIN,-271
CA002403756,2006-04-09,TMIN,-287
CA002403756,2005-10-05,TMIN,-143
CA002403756,2008-05-22,TMIN,-27
CA002500440,2008-05-10,TMAX,-77
CA002403756,2011-09-27,TMIN,-80
CA002500440,2006-05-24,TMIN,-73
CA002500440,2012-04-01,TMAX,-224
CA002500440,2011-09-13,TMIN,20
CA002403756,2005-11-25,TMAX,-185
CA002403756,2012-07-29,TMIN,-2
CA002403756,2015-01-19,TMIN,-373
CA002500440,2011-11-03,TMIN,-231
CA002500440,2011-11-03,TMAX,-165
CA002500440,2009-07-27,TMAX,82
CA002403756,2010-10-04,TMAX,-90
CA002500440,2005-05-23,TMIN,-58
CA002403756,2009-10-15,TMAX,-28
CA002403756,2009-10-15,TMIN,-155
CA002500440,2005-05-23,TMAX,33
CA002500440,2008-02-11,TMIN,-419
CA002500440,2010-01-03,TMAX,-270
CA002500440,2008-02-11,TMAX,-324
CA002500440,2010-01-03,TMIN,-325
CA002500440,2011-12-29,TMAX,-317
CA002500440,2011-12-29,TMIN,-405
CA002403756,2015-01-19,TMAX,-312
CA002500440,2011-09-13,TMAX,64
CA002403756,2012-12-19,TMAX,-184
CA002500440,2009-11-30,TMAX,-128
CA002500440,2011-05-12,TMIN,-191
CA002403756,2009-04-18,TMIN,-272
CA002403756,2007-07-17,TMAX,76
CA002403756,2012-12-19,TMIN,-280
