ID,Date,Element,Data_Value
RSM00024606,2014-01-15,TMAX,-302
RSM00024606,2012-05-09,TMIN,-43
RSM00024606,2005-07-02,TMAX,215
RSM00024606,2012-09-25,TMAX,76
RSM00024606,2005-10-06,TMAX,58
RSM00024606,2012-05-09,TMAX,32
RSM00024606,2012-03-19,TMAX,-20
RSM00024606,2010-12-11,TMIN,-467
RSM00024606,2009-08-20,TMIN,3
RSM00024606,2014-01-15,TMIN,-450
RSM00024606,2012-01-29,TMIN,-371
RSM00024606,2008-05-20,TMAX,109
RSM00024606,2007-04-18,TMAX,26
RSM00024606,2008-11-05,TMAX,-210
RSM00024606,2011-05-02,TMIN,6
RSM00024606,2008-05-20,TMIN,22
RSM00024606,2005-01-14,TMIN,-338
RSM00024606,2005-05-26,TMIN,-51
RSM00024606,2014-08-22,TMAX,136
RSM00024606,2007-05-09,TMAX,119
RSM00024606,2006-06-14,TMIN,120
RSM00024606,2008-12-01,TMAX,-275
RSM00024606,2005-10-14,TMAX,-9
RSM00024606,2013-11-01,TMIN,-160
RSM00024606,2005-07-02,TMIN,86
RSM00024606,2005-10-22,TMAX,-33
RSM00024606,2010-03-29,TMIN,-114
RSM00024606,2006-06-16,TMAX,222
RSM00024606,2005-10-28,TMAX,23
RSM00024606,2013-06-27,TMIN,-1
RSM00024606,2009-12-18,TMIN,-386
RSM00024606,2010-01-01,TMIN,-418
RSM00024606,2005-08-18,TMIN,83
RSM00024606,2015-02-24,TMIN,-346
RSM00024606,2010-11-30,TMAX,-447
RSM00024606,2011-02-28,TMIN,-489
RSM00024606,2006-05-21,TMIN,39
RSM00024606,2014-04-25,TMAX,37
RSM00024606,2013-06-09,TMAX,257
RSM00024606,2013-06-20,TMAX,320
RSM00024606,2005-03-23,TMIN,-174
RSM00024606,2008-10-12,TMAX,-30
RSM00024606,2006-02-28,TMAX,-137
RSM00024606,2005-05-08,TMIN,-7
RSM00024606,2008-11-14,TMAX,-315
RSM00024606,2007-12-07,TMAX,-250
