ID,Date,Element,Data_Value
GLE00146928,2013-05-12,TMAX,-64
GLE00146971,2011-02-11,TMIN,-147
GLE00100992,2012-12-18,TMAX,-50
GLE00146928,2008-11-29,TMIN,-138
GLE00146928,2009-06-20,TMAX,128
GLE00100992,2012-12-26,TMIN,-189
GLE00146928,2009-06-20,TMIN,90
GLE00146971,2011-04-05,TMAX,-143
GLE00146971,2012-04-03,TMAX,38
GLE00100992,2006-01-23,TMAX,8
GLE00146928,2014-09-22,TMAX,28
GLE00146971,2011-02-15,TMIN,-102
GLE00100992,2011-10-16,TMIN,-144
GLE00100992,2008-12-21,TMAX,-107
GLE00100992,2014-01-16,TMIN,-72
GLE00146928,2014-09-16,TMAX,47
GLE00146971,2008-06-08,TMIN,30
GLE00100992,2008-02-08,TMIN,-276
GLE00100992,2013-09-18,TMIN,28
GLE00146928,2010-05-26,TMIN,33
GLE00146971,2012-03-23,TMAX,-16
GLE00146928,2013-09-14,TMIN,-18
GLE00146928,2008-10-18,TMAX,-45
GLE00146928,2014-01-13,TMIN,-123
GLE00146928,2007-04-10,TMIN,-184
GLE00146971,2008-06-08,TMAX,140
GLE00146928,2014-01-13,TMAX,-87
GLE00146971,2010-05-25,TMAX,186
GLE00100992,2011-04-10,TMIN,-200
GLE00146928,2009-11-11,TMIN,-112
GLE00146928,2012-09-13,TMIN,27
GLE00100992,2008-04-06,TMIN,-11
GLE00146928,2011-04-02,TMAX,-110
GLE00146928,2014-07-04,TMAX,140
GLE00146971,2005-05-13,TMAX,10
GLE00100992,2008-04-06,TMAX,77
GLE00146928,2005-02-22,TMIN,-108
GLE00146928,2014-07-04,TMIN,35
GLE00146928,2006-07-20,TMIN,88
GLE00146971,2011-02-11,TMAX,70
GLE00100992,2011-10-16,TMAX,-94
GLE00146928,2006-07-20,TMAX,171
GLE00100992,2009-09-19,TMIN,-9
GLE00100992,2012-06-24,TMIN,56
GLE00146971,2013-09-13,TMAX,36
GLE00146971,2008-06-14,TMIN,20
GLE00100992,2008-10-18,TMIN,-84
GLE00100992,2012-12-26,TMAX,-144
GLE00146928,2010-01-22,TMIN,-156
GLE00100992,2011-04-22,TMIN,-194
GLE00100992,2015-06-24,TMIN,56
GLE00100992,2013-07-19,TMAX,83
GLE00146971,2009-08-09,TMAX,170
GLE00100992,2010-09-28,TMAX,78
GLE00100992,2012-12-18,TMIN,-94
GLE00100992,2010-12-04,TMAX,33
GLE00100992,2010-12-04,TMIN,17
GLE00146971,2012-03-23,TMIN,-181
GLE00146928,2011-07-08,TMAX,151
GLE00100992,2015-11-18,TMIN,-161
GLE00146928,2012-05-03,TMAX,32
GLE00146928,2008-08-03,TMIN,63
GLE00146971,2009-07-18,TMAX,190
GLE00100992,2010-08-28,TMAX,111
GLE00100992,2007-04-06,TMIN,-188
GLE00100992,2010-03-28,TMAX,39
GLE00146971,2011-02-15,TMAX,-52
GLE00146971,2011-03-16,TMAX,-169
GLE00146971,2013-04-12,TMIN,-105
GLE00146928,2009-01-14,TMAX,-87
GLE00146928,2011-01-07,TMAX,-42
GLE00146928,2014-01-09,TMAX,19
GLE00146928,2008-03-28,TMAX,-62
GLE00146971,2011-11-17,TMAX,49
GLE00100992,2014-01-16,TMAX,-6
GLE00146971,2009-08-28,TMIN,10
GLE00146971,2012-04-03,TMIN,-19
GLE00100992,2008-11-16,TMAX,1
GLE00146928,2013-09-14,TMAX,21
GLE00146928,2015-03-24,TMIN,-78
GLE00100992,2013-07-19,TMIN,44
GLE00100992,2008-10-10,TMIN,-49
GLE00100992,2005-08-08,TMIN,91
GLE00100992,2012-12-21,TMAX,-83
GLE00146928,2008-03-28,TMIN,-138
GLE00100992,2005-08-08,TMAX,172
GLE00100992,2012-06-24,TMAX,144
GLE00100992,2013-07-12,TMAX,178
GLE00100992,2009-03-05,TMAX,-212
GLE00100992,2008-10-10,TMAX,9
