ID,Date,Element,Data_Value
COM00080370,2006-07-21,TMIN,60
CO000080342,2012-05-14,TMIN,146
ECM00084036,2013-03-04,TMAX,177
ECM00084036,2015-02-07,TMAX,195
CO000080342,2012-12-07,TMIN,156
CO000080342,2011-10-27,TMIN,134
ECM00084132,2012-09-04,TMAX,317
COM00080370,2015-07-11,TMIN,88
COM00080370,2006-01-15,TMIN,30
ECM00084036,2014-06-09,TMAX,188
ECM00084132,2012-07-09,TMIN,208
ECM00084132,2013-10-21,TMIN,234
COM00080370,2015-08-20,TMIN,50
ECM00084132,2015-06-07,TMAX,300
CO000080342,2013-08-29,TMAX,289
ECM00084132,2012-02-17,TMAX,337
COM00080370,2013-08-09,TMIN,32
COM00080370,2015-01-23,TMIN,84
COM00080370,2014-12-25,TMIN,84
CO000080342,2011-08-11,TMIN,153
CO000080342,2010-03-23,TMIN,159
COM00080370,2014-02-23,TMIN,70
ECM00084132,2012-11-25,TMAX,328
ECM00084132,2012-07-09,TMAX,300
CO000080342,2015-07-20,TMIN,130
CO000080342,2013-06-06,TMIN,128
CO000080342,2005-07-20,TMIN,141
COM00080370,2015-08-05,TMIN,84
COM00080370,2012-01-11,TMIN,70
ECM00084036,2012-10-02,TMAX,173
ECM00084132,2015-10-11,TMAX,318
ECM00084132,2015-06-07,TMIN,221
CO000080342,2005-05-09,TMIN,150
CO000080342,2010-01-16,TMIN,170
ECM00084132,2014-07-18,TMAX,290
CO000080342,2006-07-05,TMIN,138
CO000080342,2006-08-07,TMIN,133
COM00080370,2014-12-09,TMIN,86
ECM00084036,2013-09-13,TMIN,33
CO000080342,2005-08-24,TMIN,144
COM00080370,2013-03-10,TMIN,74
ECM00084132,2015-02-15,TMAX,278
ECM00084132,2013-08-12,TMIN,223
COM00080370,2014-01-02,TMIN,50
CO000080342,2012-10-24,TMIN,144
CO000080342,2012-10-27,TMIN,133
CO000080342,2005-05-03,TMIN,154
COM00080370,2014-01-27,TMIN,78
CO000080342,2013-04-09,TMAX,260
ECM00084132,2013-09-23,TMAX,351
CO000080342,2010-07-07,TMIN,149
COM00080370,2011-06-10,TMIN,88
COM00080370,2014-01-29,TMIN,84
ECM00084036,2013-11-19,TMAX,178
ECM00084132,2014-02-23,TMAX,320
CO000080342,2014-04-17,TMIN,145
CO000080342,2010-10-14,TMIN,138
CO000080342,2011-04-08,TMIN,159
CO000080342,2013-10-26,TMIN,136
CO000080342,2013-06-07,TMIN,143
ECM00084036,2013-03-04,TMIN,80
ECM00084036,2011-10-21,TMAX,158
ECM00084132,2015-12-13,TMIN,236
ECM00084132,2015-10-11,TMIN,238
ECM00084036,2013-12-31,TMAX,179
CO000080342,2010-10-06,TMIN,149
ECM00084036,2014-02-12,TMAX,159
COM00080370,2015-11-11,TMIN,42
CO000080342,2011-10-30,TMIN,150
ECM00084132,2012-11-19,TMAX,326
ECM00084132,2012-09-04,TMIN,210
ECM00084036,2013-09-13,TMAX,200
COM00080370,2015-06-29,TMIN,70
ECM00084132,2012-06-11,TMIN,204
CO000080342,2014-03-29,TMAX,270
COM00080370,2010-03-07,TMIN,84
ECM00084036,2014-10-11,TMAX,175
ECM00084132,2013-09-07,TMIN,212
ECM00084132,2015-08-19,TMIN,218
COM00080370,2010-09-16,TMIN,62
ECM00084132,2013-02-03,TMAX,336
ECM00084036,2012-05-17,TMAX,164
ECM00084132,2011-11-01,TMIN,228
CO000080342,2010-05-10,TMIN,164
ECM00084132,2015-12-13,TMAX,348
COM00080370,2006-07-04,TMIN,74
ECM00084036,2012-05-17,TMIN,76
COM00080370,2015-07-19,TMIN,76
CO000080342,2010-11-27,TMIN,155
ECM00084132,2013-08-05,TMIN,217
CO000080342,2013-05-30,TMIN,142
ECM00084036,2012-05-23,TMAX,170
ECM00084036,2011-12-07,TMIN,62
ECM00084036,2015-01-05,TMAX,140
ECM00084132,2014-02-10,TMAX,294
ECM00084132,2015-02-15,TMIN,226
CO000080342,2012-05-31,TMIN,152
ECM00084132,2013-09-23,TMIN,212
COM00080370,2007-04-20,TMIN,78
ECM00084132,2013-09-06,TMAX,328
ECM00084132,2013-08-05,TMAX,310
ECM00084132,2012-05-07,TMIN,220
COM00080370,2012-04-08,TMIN,64
ECM00084036,2014-10-09,TMIN,92
ECM00084036,2014-06-28,TMIN,64
ECM00084036,2014-06-09,TMIN,59
ECM00084132,2012-02-17,TMIN,205
ECM00084132,2012-05-07,TMAX,302
CO000080342,2012-02-27,TMIN,136
CO000080342,2013-04-09,TMIN,157
ECM00084132,2014-01-07,TMIN,226
ECM00084036,2011-12-07,TMAX,194
COM00080370,2014-01-28,TMIN,86
CO000080342,2013-08-29,TMIN,154
COM00080370,2014-04-05,TMIN,56
ECM00084132,2012-11-21,TMAX,302
COM00080370,2006-06-23,TMIN,72
COM00080370,2015-01-07,TMIN,54
COM00080370,2005-10-16,TMIN,64
CO000080342,2010-12-14,TMIN,146
COM00080370,2010-10-05,TMIN,60
COM00080370,2015-05-02,TMIN,38
COM00080370,2013-12-07,TMIN,54
COM00080370,2010-05-23,TMIN,90
COM00080370,2013-11-29,TMIN,60
CO000080342,2007-04-14,TMIN,158
ECM00084132,2014-02-13,TMIN,222
CO000080342,2006-07-04,TMIN,152
ECM00084036,2011-07-31,TMAX,184
COM00080370,2015-10-22,TMIN,38
ECM00084036,2015-07-18,TMIN,61
ECM00084036,2015-02-06,TMAX,179
COM00080370,2012-07-19,TMIN,78
CO000080342,2014-05-07,TMAX,246
COM00080370,2013-06-08,TMIN,78
ECM00084036,2011-12-04,TMAX,184
ECM00084036,2015-12-22,TMAX,186
ECM00084132,2013-08-10,TMIN,236
ECM00084132,2013-02-03,TMIN,238
COM00080370,2006-10-18,TMIN,-8
CO000080342,2010-07-04,TMIN,148
CO000080342,2011-09-03,TMIN,135
ECM00084132,2015-09-13,TMIN,210
ECM00084132,2012-02-10,TMAX,314
ECM00084036,2013-07-02,TMIN,78
ECM00084036,2013-06-08,TMAX,169
ECM00084132,2014-07-20,TMIN,222
ECM00084036,2013-01-02,TMIN,88
COM00080370,2010-09-09,TMIN,36
ECM00084036,2013-01-02,TMAX,165
ECM00084036,2015-01-05,TMIN,52
CO000080342,2013-11-02,TMIN,144
COM00080370,2010-01-22,TMIN,38
ECM00084036,2012-04-01,TMAX,179
ECM00084036,2014-10-03,TMAX,150
ECM00084036,2013-06-14,TMIN,92
COM00080370,2012-06-01,TMIN,82
ECM00084036,2015-11-21,TMIN,107
ECM00084036,2012-07-07,TMIN,104
ECM00084036,2015-11-04,TMIN,86
ECM00084132,2013-07-03,TMIN,220
ECM00084036,2013-02-28,TMAX,169
ECM00084036,2015-11-21,TMAX,196
COM00080370,2010-06-10,TMIN,80
ECM00084132,2014-02-13,TMAX,282
ECM00084132,2011-11-11,TMIN,230
COM00080370,2011-06-02,TMIN,76
ECM00084132,2014-02-10,TMIN,228
ECM00084036,2013-07-02,TMAX,168
ECM00084036,2012-07-07,TMAX,179
ECM00084132,2014-09-08,TMAX,316
ECM00084132,2011-11-11,TMAX,347
ECM00084132,2013-12-26,TMAX,344
CO000080342,2011-06-09,TMIN,146
ECM00084036,2015-03-29,TMIN,99
COM00080370,2015-10-15,TMIN,100
ECM00084132,2013-12-25,TMAX,348
ECM00084132,2014-06-29,TMIN,226
ECM00084036,2014-10-09,TMAX,183
CO000080342,2012-07-11,TMIN,144
ECM00084036,2013-03-30,TMAX,321
CO000080342,2014-11-04,TMIN,154
ECM00084132,2014-06-29,TMAX,301
ECM00084132,2012-04-26,TMIN,230
CO000080342,2011-03-10,TMIN,132
ECM00084132,2013-11-10,TMAX,323
ECM00084132,2013-11-10,TMIN,222
ECM00084132,2014-06-06,TMIN,224
ECM00084036,2012-06-12,TMAX,174
ECM00084036,2012-06-30,TMIN,72
CO000080342,2014-11-09,TMIN,150
ECM00084132,2012-08-09,TMAX,338
ECM00084036,2012-05-18,TMIN,42
ECM00084132,2012-11-23,TMAX,324
ECM00084036,2012-05-18,TMAX,182
CO000080342,2010-10-11,TMIN,156
CO000080342,2012-12-01,TMIN,146
ECM00084036,2013-02-28,TMIN,98
CO000080342,2012-04-21,TMIN,146
CO000080342,2011-08-10,TMIN,154
ECM00084036,2012-06-30,TMAX,168
CO000080342,2012-02-05,TMIN,156
CO000080342,2015-04-02,TMIN,140
ECM00084036,2015-11-04,TMAX,214
COM00080370,2005-06-29,TMIN,76
ECM00084132,2014-12-23,TMIN,216
ECM00084132,2014-09-08,TMIN,216
ECM00084036,2015-03-29,TMAX,181
ECM00084036,2014-12-14,TMIN,67
COM00080370,2010-07-22,TMIN,11
ECM00084036,2013-05-15,TMAX,174
CO000080342,2005-05-11,TMIN,164
CO000080342,2015-04-08,TMIN,138
CO000080342,2014-08-30,TMIN,162
CO000080342,2015-03-03,TMIN,149
ECM00084036,2014-12-14,TMAX,200
ECM00084132,2015-09-13,TMAX,354
CO000080342,2012-06-10,TMIN,150
ECM00084036,2014-06-28,TMAX,162
COM00080370,2011-09-08,TMIN,36
CO000080342,2014-03-02,TMIN,150
ECM00084132,2012-11-23,TMIN,226
COM00080370,2005-11-13,TMIN,86
ECM00084036,2013-05-15,TMIN,93
ECM00084036,2013-05-23,TMAX,177
COM00080370,2015-06-30,TMIN,70
COM00080370,2012-10-11,TMIN,46
ECM00084132,2011-11-27,TMIN,227
ECM00084036,2014-09-03,TMIN,65
ECM00084036,2013-12-03,TMIN,96
COM00080370,2007-05-29,TMIN,50
ECM00084132,2015-08-19,TMAX,336
COM00080370,2011-02-18,TMIN,44
CO000080342,2010-05-08,TMIN,162
ECM00084132,2014-02-23,TMIN,234
COM00080370,2012-05-11,TMIN,31
ECM00084132,2013-08-12,TMAX,304
ECM00084132,2012-10-29,TMAX,344
ECM00084036,2011-10-21,TMIN,82
CO000080342,2014-09-14,TMIN,144
ECM00084036,2013-12-03,TMAX,192
ECM00084036,2012-04-01,TMIN,76
CO000080342,2010-05-11,TMIN,160
CO000080342,2006-04-22,TMIN,166
ECM00084132,2011-11-01,TMAX,345
CO000080342,2015-11-16,TMIN,150
CO000080342,2011-11-26,TMIN,154
COM00080370,2012-04-28,TMIN,48
ECM00084132,2012-11-21,TMIN,230
ECM00084036,2014-07-06,TMIN,79
CO000080342,2013-08-17,TMIN,140
CO000080342,2009-12-30,TMIN,156
ECM00084036,2015-02-06,TMIN,80
CO000080342,2014-12-20,TMIN,156
ECM00084036,2013-12-31,TMIN,52
CO000080342,2011-01-09,TMIN,155
ECM00084036,2014-02-12,TMIN,44
ECM00084132,2014-07-18,TMIN,216
COM00080370,2010-08-26,TMIN,72
CO000080342,2015-03-04,TMIN,156
ECM00084132,2013-10-21,TMAX,336
ECM00084132,2015-12-26,TMAX,308
COM00080370,2010-05-20,TMIN,84
COM00080370,2014-11-07,TMIN,72
ECM00084036,2015-02-07,TMIN,90
CO000080342,2014-06-19,TMIN,131
ECM00084132,2013-09-07,TMAX,336
CO000080342,2012-06-16,TMIN,144
COM00080370,2011-12-16,TMIN,84
ECM00084132,2013-12-18,TMAX,328
COM00080370,2015-12-12,TMIN,6
ECM00084132,2012-10-07,TMIN,222
ECM00084132,2012-12-16,TMIN,220
COM00080370,2013-03-31,TMIN,70
COM00080370,2011-12-18,TMIN,90
ECM00084132,2015-01-13,TMAX,314
CO000080342,2015-10-10,TMIN,146
CO000080342,2015-12-11,TMIN,147
ECM00084132,2013-08-10,TMAX,332
ECM00084036,2011-07-31,TMIN,52
CO000080342,2015-03-29,TMIN,158
COM00080370,2012-11-16,TMIN,74
ECM00084132,2013-12-18,TMIN,231
ECM00084036,2015-04-10,TMAX,170
CO000080342,2014-11-30,TMIN,155
ECM00084036,2015-07-28,TMAX,161
ECM00084036,2014-09-03,TMAX,165
ECM00084132,2011-11-27,TMAX,355
CO000080342,2011-03-14,TMIN,139
CO000080342,2005-10-28,TMIN,143
CO000080342,2010-09-05,TMIN,130
COM00080370,2013-04-07,TMIN,52
ECM00084132,2015-09-24,TMAX,354
ECM00084132,2012-10-07,TMAX,326
ECM00084132,2014-07-20,TMAX,308
ECM00084036,2014-09-18,TMIN,30
COM00080370,2012-02-27,TMIN,76
CO000080342,2012-02-14,TMIN,138
CO000080342,2010-07-29,TMIN,138
COM00080370,2013-12-23,TMIN,92
ECM00084132,2012-04-26,TMAX,326
ECM00084036,2015-07-22,TMAX,166
CO000080342,2014-05-07,TMIN,145
ECM00084132,2011-12-17,TMAX,300
CO000080342,2005-05-05,TMIN,152
ECM00084132,2013-09-06,TMIN,204
COM00080370,2006-06-30,TMIN,62
ECM00084036,2014-10-11,TMIN,100
CO000080342,2010-06-28,TMIN,148
ECM00084036,2012-06-12,TMIN,66
ECM00084036,2011-12-14,TMAX,181
ECM00084036,2015-06-15,TMIN,78
CO000080342,2011-02-16,TMIN,153
CO000080342,2006-10-07,TMIN,162
COM00080370,2006-02-22,TMIN,74
COM00080370,2010-06-12,TMIN,72
ECM00084132,2012-09-12,TMAX,328
ECM00084036,2015-12-22,TMIN,77
COM00080370,2005-12-08,TMIN,77
ECM00084036,2014-01-10,TMIN,105
ECM00084132,2013-12-26,TMIN,206
COM00080370,2012-12-28,TMIN,82
COM00080370,2005-10-27,TMIN,80
ECM00084132,2015-09-24,TMIN,223
COM00080370,2015-10-21,TMIN,24
CO000080342,2014-09-10,TMIN,148
ECM00084132,2014-12-23,TMAX,341
CO000080342,2012-12-16,TMIN,140
ECM00084132,2012-06-08,TMAX,270
COM00080370,2010-11-11,TMIN,72
ECM00084132,2014-01-07,TMAX,283
CO000080342,2010-08-22,TMIN,154
ECM00084132,2015-01-13,TMIN,224
ECM00084132,2012-06-08,TMIN,224
COM00080370,2014-06-17,TMIN,80
