ID,Date,Element,Data_Value
BL000085041,2009-03-25,TMIN,210
BL000085043,2013-08-03,TMIN,220
BL000085043,2011-05-04,TMAX,295
BL000085041,2014-02-20,TMIN,231
BL000085041,2007-10-21,TMAX,330
BL000085041,2011-01-31,TMIN,217
BL000085043,2010-05-28,TMAX,274
BL000085041,2009-05-07,TMIN,219
BL000085043,2010-07-31,TMAX,355
BL000085041,2010-07-23,TMIN,179
BL000085041,2011-06-23,TMAX,341
BL000085041,2014-10-01,TMIN,235
BL000085043,2009-05-01,TMIN,230
BL000085041,2010-11-25,TMAX,285
BL000085041,2015-12-21,TMAX,332
BL000085043,2011-12-09,TMIN,231
BL000085043,2009-11-22,TMIN,234
BL000085043,2005-07-06,TMAX,250
BL000085043,2010-01-05,TMIN,228
BL000085043,2013-12-18,TMIN,227
BL000085041,2014-04-05,TMIN,204
BL000085041,2010-06-01,TMAX,229
BL000085041,2010-01-12,TMAX,324
BL000085041,2014-12-09,TMIN,222
BL000085041,2011-07-04,TMIN,147
BL000085043,2006-10-03,TMAX,345
BL000085041,2012-04-18,TMIN,220
BL000085043,2010-07-01,TMAX,334
BL000085041,2008-08-27,TMIN,211
BL000085043,2010-01-05,TMAX,332
BL000085041,2007-07-16,TMIN,186
BL000085043,2011-06-16,TMIN,200
BL000085041,2015-03-24,TMAX,282
BL000085041,2015-08-26,TMIN,216
BL000085043,2014-09-02,TMAX,374
BL000085043,2015-10-03,TMIN,230
BL000085041,2006-08-03,TMAX,340
BL000085041,2008-08-27,TMAX,362
BL000085041,2014-03-28,TMAX,312
BL000085043,2007-03-25,TMAX,324
BL000085041,2008-06-10,TMIN,201
BL000085043,2008-07-25,TMIN,220
BL000085043,2014-07-19,TMIN,182
BL000085041,2011-08-12,TMIN,176
BL000085043,2011-07-10,TMIN,190
BL000085043,2005-09-06,TMAX,370
BL000085041,2011-06-28,TMIN,130
BL000085043,2012-10-25,TMAX,357
BL000085043,2011-05-04,TMIN,164
BL000085043,2007-03-25,TMIN,218
BL000085043,2015-12-13,TMIN,226
BL000085043,2007-07-02,TMIN,180
BL000085041,2013-06-04,TMAX,301
BL000085043,2014-02-06,TMIN,227
BL000085041,2015-12-21,TMIN,230
BL000085043,2007-01-17,TMAX,320
BL000085043,2010-08-24,TMAX,367
BL000085041,2011-05-18,TMAX,307
BL000085041,2013-01-24,TMIN,238
BL000085043,2011-10-25,TMAX,351
BL000085041,2006-09-18,TMIN,188
BL000085041,2005-06-13,TMIN,200
BL000085041,2015-06-02,TMIN,228
BL000085041,2015-06-08,TMAX,324
BL000085043,2010-08-24,TMIN,220
BL000085043,2009-02-18,TMAX,310
BL000085041,2005-07-09,TMIN,130
BL000085043,2014-02-24,TMIN,220
BL000085041,2015-06-08,TMIN,220
BL000085041,2011-06-23,TMIN,211
BL000085041,2010-07-06,TMIN,197
BL000085043,2012-04-01,TMIN,224
BL000085043,2011-05-19,TMAX,320
BL000085043,2011-02-20,TMAX,296
BL000085041,2010-07-23,TMAX,330
BL000085043,2010-04-08,TMIN,200
BL000085041,2005-07-09,TMAX,302
BL000085041,2007-07-04,TMIN,156
BL000085043,2015-12-11,TMAX,368
BL000085043,2014-05-30,TMIN,200
BL000085041,2012-09-27,TMAX,307
BL000085043,2009-07-30,TMIN,205
BL000085043,2009-02-26,TMAX,318
BL000085043,2015-07-07,TMAX,325
BL000085041,2013-12-24,TMAX,320
BL000085041,2010-01-05,TMIN,208
BL000085043,2014-01-08,TMAX,303
BL000085043,2012-06-07,TMAX,205
BL000085043,2015-07-01,TMIN,210
BL000085043,2012-04-01,TMAX,341
BL000085043,2015-02-10,TMIN,224
BL000085043,2006-09-13,TMIN,220
BL000085043,2009-02-26,TMIN,213
BL000085041,2010-06-01,TMIN,172
BL000085041,2011-07-29,TMAX,352
BL000085043,2015-01-13,TMIN,218
BL000085043,2014-01-08,TMIN,223
BL000085041,2014-02-20,TMAX,320
BL000085041,2015-11-02,TMIN,228
BL000085043,2011-01-06,TMIN,228
BL000085043,2009-02-18,TMIN,228
BL000085043,2011-03-26,TMAX,342
BL000085041,2006-05-11,TMIN,162
BL000085043,2005-03-14,TMAX,310
BL000085043,2006-10-10,TMAX,325
BL000085041,2011-08-12,TMAX,382
BL000085041,2015-08-20,TMAX,350
BL000085041,2011-09-19,TMIN,213
BL000085043,2014-09-02,TMIN,230
BL000085041,2012-08-29,TMIN,139
BL000085043,2012-11-12,TMAX,322
BL000085041,2012-08-29,TMAX,310
BL000085041,2014-09-19,TMIN,225
BL000085041,2013-10-18,TMAX,350
BL000085041,2013-08-31,TMAX,353
BL000085043,2005-07-06,TMIN,170
BL000085041,2008-06-04,TMIN,114
BL000085043,2009-12-06,TMAX,277
BL000085041,2005-11-25,TMIN,218
BL000085041,2011-11-27,TMAX,290
BL000085041,2015-08-26,TMAX,372
BL000085041,2011-11-12,TMAX,320
BL000085043,2013-02-10,TMAX,281
BL000085041,2014-10-15,TMIN,225
BL000085043,2013-02-10,TMIN,224
BL000085041,2010-04-16,TMIN,226
BL000085041,2006-12-04,TMIN,222
BL000085041,2014-12-09,TMAX,293
BL000085041,2014-07-31,TMIN,198
BL000085041,2011-07-29,TMIN,202
BL000085043,2006-09-13,TMAX,365
BL000085043,2007-03-20,TMAX,328
BL000085043,2012-06-07,TMIN,150
BL000085041,2008-10-01,TMIN,220
BL000085041,2006-09-10,TMIN,210
BL000085041,2015-12-01,TMAX,274
BL000085041,2015-08-20,TMIN,217
BL000085041,2008-12-20,TMAX,316
BL000085041,2007-03-04,TMIN,206
BL000085043,2006-10-10,TMIN,220
BL000085043,2005-01-22,TMAX,333
BL000085041,2006-08-03,TMIN,172
BL000085043,2005-12-08,TMIN,200
BL000085043,2015-12-11,TMIN,230
BL000085043,2007-07-02,TMAX,333
BL000085041,2011-11-27,TMIN,225
BL000085041,2010-01-05,TMAX,324
BL000085041,2009-05-14,TMAX,313
BL000085043,2015-01-13,TMAX,315
BL000085043,2011-03-26,TMIN,228
BL000085041,2013-08-31,TMIN,175
BL000085041,2009-05-14,TMIN,210
BL000085041,2005-01-04,TMAX,324
BL000085041,2005-10-25,TMAX,338
BL000085041,2008-06-04,TMAX,267
BL000085041,2006-02-17,TMIN,214
BL000085041,2009-02-17,TMAX,304
BL000085041,2013-12-25,TMAX,322
BL000085043,2010-07-01,TMIN,172
BL000085041,2009-08-29,TMAX,360
BL000085041,2007-02-25,TMIN,214
BL000085043,2010-04-26,TMIN,230
BL000085043,2006-08-22,TMAX,334
BL000085043,2008-11-08,TMAX,368
BL000085041,2007-09-06,TMIN,186
BL000085043,2014-05-30,TMAX,322
BL000085041,2006-05-24,TMIN,130
BL000085043,2015-10-23,TMIN,234
BL000085043,2005-02-08,TMAX,347
BL000085043,2009-11-22,TMAX,336
BL000085041,2006-12-04,TMAX,308
BL000085041,2013-12-25,TMIN,222
BL000085041,2007-09-06,TMAX,320
BL000085041,2010-11-25,TMIN,220
BL000085043,2008-04-05,TMAX,293
BL000085043,2011-01-06,TMAX,295
BL000085041,2007-02-25,TMAX,318
BL000085043,2006-02-04,TMAX,343
BL000085043,2015-07-07,TMIN,183
BL000085041,2008-06-10,TMAX,300
BL000085041,2015-11-02,TMAX,300
BL000085043,2012-09-12,TMIN,225
BL000085041,2013-03-29,TMAX,318
BL000085043,2015-10-23,TMAX,377
BL000085041,2015-07-03,TMAX,322
BL000085041,2014-09-07,TMIN,206
BL000085043,2010-05-13,TMAX,294
BL000085043,2010-07-31,TMIN,195
BL000085043,2013-12-05,TMIN,224
BL000085043,2015-12-19,TMAX,314
BL000085043,2015-07-01,TMAX,347
BL000085043,2012-02-07,TMIN,222
BL000085043,2011-07-05,TMIN,110
BL000085043,2005-06-13,TMIN,220
BL000085041,2009-12-27,TMAX,325
BL000085043,2015-03-05,TMAX,282
BL000085043,2010-05-31,TMIN,193
BL000085041,2012-10-20,TMAX,334
BL000085041,2009-10-10,TMAX,349
BL000085041,2013-11-10,TMAX,336
BL000085041,2014-04-09,TMIN,224
BL000085041,2013-05-25,TMIN,199
BL000085043,2008-06-19,TMAX,305
BL000085041,2014-06-12,TMAX,320
BL000085041,2013-03-03,TMIN,228
BL000085043,2007-05-14,TMIN,194
BL000085041,2007-01-30,TMAX,340
BL000085041,2008-03-31,TMIN,220
BL000085043,2008-02-29,TMAX,332
BL000085041,2006-10-18,TMAX,278
BL000085041,2007-01-30,TMIN,224
BL000085043,2007-05-14,TMAX,334
BL000085041,2008-07-14,TMAX,338
BL000085041,2009-02-17,TMIN,206
BL000085043,2014-03-06,TMIN,230
BL000085041,2009-10-10,TMIN,210
BL000085043,2010-02-11,TMIN,223
BL000085043,2011-11-22,TMAX,322
BL000085043,2006-04-23,TMIN,220
BL000085043,2012-03-10,TMIN,210
BL000085043,2011-04-01,TMAX,336
BL000085043,2014-12-18,TMAX,333
BL000085041,2009-06-18,TMAX,288
BL000085043,2015-03-25,TMIN,221
BL000085041,2011-09-13,TMAX,368
BL000085041,2014-03-13,TMAX,320
BL000085041,2006-01-12,TMIN,215
BL000085041,2015-01-24,TMAX,322
BL000085041,2015-11-18,TMIN,238
BL000085041,2005-05-13,TMAX,345
BL000085043,2006-01-12,TMIN,214
BL000085041,2014-01-07,TMIN,220
BL000085043,2009-12-13,TMAX,280
BL000085041,2014-12-31,TMIN,214
BL000085043,2009-10-28,TMAX,320
BL000085043,2015-12-12,TMIN,234
BL000085043,2010-05-13,TMIN,123
BL000085043,2008-01-02,TMAX,314
BL000085043,2015-02-16,TMAX,342
BL000085043,2012-01-19,TMAX,308
BL000085041,2006-08-10,TMAX,346
BL000085043,2014-03-17,TMIN,228
BL000085043,2006-05-08,TMAX,290
BL000085043,2009-04-12,TMAX,350
BL000085043,2009-04-12,TMIN,215
BL000085043,2011-02-24,TMIN,210
BL000085041,2009-12-27,TMIN,211
BL000085043,2015-03-05,TMIN,223
BL000085043,2008-06-19,TMIN,183
BL000085043,2010-09-11,TMAX,357
BL000085043,2012-04-02,TMIN,226
BL000085041,2006-08-10,TMIN,200
BL000085041,2012-10-20,TMIN,228
BL000085041,2011-05-18,TMIN,185
BL000085043,2006-05-08,TMIN,182
BL000085043,2005-07-15,TMIN,177
BL000085043,2007-09-19,TMAX,374
BL000085043,2011-07-29,TMIN,195
BL000085041,2013-01-17,TMAX,317
BL000085043,2013-05-13,TMAX,313
BL000085043,2005-12-28,TMIN,224
BL000085041,2011-02-20,TMAX,262
BL000085041,2011-02-20,TMIN,224
BL000085041,2005-10-19,TMIN,198
BL000085041,2007-07-16,TMAX,324
BL000085041,2014-03-25,TMIN,232
BL000085041,2010-06-20,TMAX,331
BL000085041,2006-09-26,TMAX,348
BL000085041,2006-08-21,TMIN,182
BL000085041,2006-08-21,TMAX,300
BL000085043,2013-06-21,TMIN,210
