ID,Date,Element,Data_Value
BR038484280,2015-12-22,TMAX,297
BR038484280,2008-10-04,TMAX,303
BR038484280,2014-05-17,TMIN,207
BR038484280,2011-03-11,TMAX,302
BR038484280,2009-02-03,TMIN,220
BR038484280,2009-01-28,TMIN,213
BR038484280,2011-09-07,TMAX,267
BR038484280,2013-10-28,TMIN,206
BR038484280,2008-06-13,TMIN,174
BR038484280,2013-03-29,TMIN,224
BR038484280,2010-04-03,TMIN,236
BR038484280,2010-04-25,TMIN,220
BR038484280,2014-08-28,TMAX,270
BR038484280,2013-11-09,TMIN,203
BR038484280,2015-01-07,TMAX,316
BR038484280,2010-04-03,TMAX,324
BR038484280,2015-11-26,TMIN,207
BR038484280,2009-01-12,TMIN,207
BR038484280,2010-07-29,TMIN,183
BR038484280,2011-02-11,TMIN,216
BR038484280,2008-08-04,TMAX,270
BR038484280,2012-08-13,TMIN,186
BR038484280,2011-01-04,TMAX,310
BR038484280,2014-08-17,TMAX,279
BR038484280,2009-04-01,TMIN,216
BR038484280,2015-08-20,TMIN,186
BR038484280,2010-05-22,TMIN,219
BR038484280,2012-09-04,TMIN,190
BR038484280,2013-12-28,TMIN,213
BR038484280,2008-01-15,TMIN,208
BR038484280,2013-03-07,TMAX,322
BR038484280,2015-10-06,TMIN,203
BR038484280,2011-08-11,TMIN,179
BR038484280,2015-12-03,TMIN,205
BR038484280,2013-08-09,TMIN,190
BR038484280,2014-03-21,TMIN,220
BR038484280,2008-09-08,TMIN,189
BR038484280,2009-03-23,TMIN,225
BR038484280,2012-01-01,TMAX,313
BR038484280,2008-05-10,TMAX,271
BR038484280,2012-01-15,TMIN,216
BR038484280,2011-03-11,TMIN,215
BR038484280,2010-04-04,TMAX,320
BR038484280,2010-01-17,TMAX,286
BR038484280,2008-05-08,TMAX,306
BR038484280,2007-11-23,TMIN,213
BR038484280,2008-11-02,TMAX,310
BR038484280,2008-07-16,TMIN,191
BR038484280,2011-05-08,TMAX,270
BR038484280,2008-12-12,TMAX,311
BR038484280,2009-02-03,TMAX,287
BR038484280,2008-02-04,TMIN,219
BR038484280,2014-11-20,TMAX,316
BR038484280,2012-07-23,TMIN,185
BR038484280,2012-08-19,TMAX,264
BR038484280,2011-01-06,TMAX,311
BR038484280,2008-03-15,TMIN,221
BR038484280,2008-07-17,TMIN,180
BR038484280,2010-11-22,TMIN,205
BR038484280,2008-12-12,TMIN,213
BR038484280,2014-12-08,TMAX,301
BR038484280,2014-02-19,TMIN,213
BR038484280,2015-08-05,TMIN,174
BR038484280,2009-10-18,TMIN,200
BR038484280,2010-01-11,TMIN,218
BR038484280,2011-06-20,TMIN,188
BR038484280,2008-05-29,TMIN,200
BR038484280,2009-09-10,TMIN,193
BR038484280,2009-06-01,TMAX,261
BR038484280,2011-02-28,TMAX,303
BR038484280,2010-01-21,TMIN,216
BR038484280,2011-01-22,TMAX,280
BR038484280,2013-04-24,TMIN,215
BR038484280,2010-10-06,TMIN,186
BR038484280,2012-07-27,TMIN,196
BR038484280,2009-07-26,TMIN,194
BR038484280,2012-07-27,TMAX,268
BR038484280,2014-01-20,TMIN,213
BR038484280,2008-02-19,TMIN,220
BR038484280,2012-08-14,TMIN,179
BR038484280,2011-05-08,TMIN,209
BR038484280,2009-06-01,TMIN,205
BR038484280,2011-06-08,TMIN,194
BR038484280,2012-05-07,TMAX,300
BR038484280,2014-12-30,TMAX,318
BR038484280,2007-09-07,TMAX,255
BR038484280,2008-08-15,TMAX,273
BR038484280,2015-09-06,TMIN,193
BR038484280,2010-03-10,TMIN,219
BR038484280,2012-04-26,TMIN,220
BR038484280,2009-03-06,TMIN,221
BR038484280,2012-10-18,TMAX,292
BR038484280,2011-09-08,TMIN,185
BR038484280,2012-02-16,TMIN,207
BR038484280,2010-04-24,TMIN,223
BR038484280,2008-03-15,TMAX,333
BR038484280,2008-10-01,TMIN,204
BR038484280,2011-01-06,TMIN,204
BR038484280,2008-11-08,TMIN,204
BR038484280,2009-01-15,TMAX,320
BR038484280,2011-03-03,TMIN,217
BR038484280,2007-07-27,TMIN,200
BR038484280,2008-06-02,TMIN,179
BR038484280,2015-06-02,TMIN,205
BR038484280,2007-12-18,TMIN,208
BR038484280,2009-05-06,TMIN,218
BR038484280,2012-01-09,TMIN,213
BR038484280,2007-07-09,TMIN,186
BR038484280,2011-07-02,TMAX,265
BR038484280,2010-01-15,TMIN,220
BR038484280,2010-12-08,TMAX,311
BR038484280,2008-10-04,TMIN,206
BR038484280,2007-08-07,TMIN,179
BR038484280,2010-11-16,TMIN,210
BR038484280,2008-12-16,TMIN,208
BR038484280,2008-12-26,TMIN,216
BR038484280,2011-01-20,TMAX,302
BR038484280,2013-02-04,TMIN,220
BR038484280,2008-04-05,TMIN,217
BR038484280,2008-08-15,TMIN,188
BR038484280,2010-12-09,TMIN,218
BR038484280,2015-09-27,TMIN,188
BR038484280,2008-05-08,TMIN,215
BR038484280,2009-10-26,TMIN,211
BR038484280,2008-07-16,TMAX,260
BR038484280,2011-02-28,TMIN,208
BR038484280,2009-07-12,TMIN,203
BR038484280,2013-10-04,TMIN,188
BR038484280,2009-10-15,TMIN,215
BR038484280,2011-09-07,TMIN,179
BR038484280,2007-08-12,TMIN,193
BR038484280,2010-03-17,TMIN,208
BR038484280,2011-01-22,TMIN,213
BR038484280,2009-10-21,TMIN,209
BR038484280,2010-05-17,TMIN,200
BR038484280,2014-10-27,TMIN,193
BR038484280,2008-11-24,TMIN,199
BR038484280,2009-05-14,TMIN,220
BR038484280,2012-07-17,TMIN,178
BR038484280,2012-08-13,TMAX,270
BR038484280,2007-11-11,TMIN,199
BR038484280,2015-06-25,TMAX,282
BR038484280,2008-09-22,TMAX,291
BR038484280,2010-02-02,TMIN,216
BR038484280,2008-10-01,TMAX,301
BR038484280,2015-08-07,TMIN,186
BR038484280,2009-11-08,TMIN,206
BR038484280,2009-09-21,TMIN,205
BR038484280,2012-06-27,TMIN,179
BR038484280,2009-09-10,TMAX,286
BR038484280,2010-04-24,TMAX,300
BR038484280,2008-05-10,TMIN,215
BR038484280,2010-03-17,TMAX,327
BR038484280,2011-06-04,TMIN,193
BR038484280,2014-05-23,TMIN,213
BR038484280,2011-07-02,TMIN,190
BR038484280,2008-09-22,TMIN,188
