ID,Date,Element,Data_Value
SF000068994,2006-04-04,TMIN,52
SF000068994,2007-01-22,TMAX,113
SF000068994,2015-09-12,TMIN,22
SF000068994,2011-10-26,TMAX,61
SF000068994,2012-06-16,TMIN,35
SF000068994,2011-04-30,TMIN,23
SF000068994,2007-09-02,TMIN,23
SF000068994,2014-05-28,TMAX,96
SF000068994,2013-06-10,TMAX,74
SF000068994,2006-04-04,TMAX,108
SF000068994,2015-11-04,TMAX,87
SF000068994,2005-02-10,TMAX,141
SF000068994,2005-11-11,TMAX,125
SF000068994,2005-05-19,TMIN,4
SF000068994,2008-05-21,TMIN,35
SF000068994,2015-05-16,TMAX,94
SF000068994,2012-09-08,TMAX,154
SF000068994,2010-02-19,TMAX,99
SF000068994,2006-12-11,TMAX,82
SF000068994,2011-09-07,TMIN,-11
SF000068994,2006-01-31,TMIN,57
SF000068994,2005-02-10,TMIN,53
SF000068994,2014-04-08,TMIN,47
SF000068994,2006-12-11,TMIN,23
SF000068994,2007-05-05,TMAX,119
SF000068994,2007-01-14,TMAX,103
SF000068994,2013-06-22,TMAX,100
SF000068994,2014-10-16,TMAX,110
SF000068994,2009-06-03,TMAX,51
SF000068994,2011-12-21,TMIN,79
SF000068994,2012-05-31,TMAX,83
SF000068994,2009-10-11,TMIN,7
SF000068994,2010-06-16,TMAX,54
SF000068994,2011-07-07,TMAX,31
SF000068994,2007-02-06,TMAX,167
SF000068994,2006-05-16,TMAX,89
SF000068994,2010-06-16,TMIN,9
SF000068994,2007-01-22,TMIN,30
SF000068994,2006-07-11,TMAX,93
SF000068994,2015-10-29,TMAX,129
SF000068994,2006-05-16,TMIN,8
SF000068994,2005-07-02,TMIN,-24
SF000068994,2012-12-02,TMAX,143
SF000068994,2013-09-12,TMAX,26
SF000068994,2005-03-08,TMAX,161
SF000068994,2008-01-01,TMIN,42
SF000068994,2015-09-12,TMAX,77
SF000068994,2008-05-21,TMAX,133
SF000068994,2011-01-07,TMAX,142
SF000068994,2012-09-16,TMAX,107
