ID,Date,Element,Data_Value
PE000084752,2008-06-15,TMAX,204
PE000084752,2012-07-28,TMAX,217
PE000084752,2014-03-20,TMAX,213
PE000084752,2010-11-28,TMIN,87
PE000084752,2015-11-25,TMIN,107
PE000084752,2006-04-12,TMIN,95
PE000084752,2008-09-11,TMIN,73
PE000084752,2006-10-24,TMIN,115
PE000084752,2014-06-14,TMAX,223
PE000084752,2005-01-12,TMIN,116
PE000084752,2015-05-16,TMAX,202
PE000084752,2010-02-16,TMAX,218
PE000084752,2009-05-15,TMAX,216
PE000084752,2010-09-26,TMIN,71
PE000084752,2014-01-21,TMAX,223
PE000084752,2012-07-28,TMIN,81
PE000084752,2006-04-24,TMIN,94
PE000084752,2015-10-21,TMAX,242
PE000084752,2006-09-26,TMIN,117
PE000084752,2007-05-27,TMIN,77
PE000084752,2011-10-29,TMAX,212
PE000084752,2009-04-27,TMIN,94
PE000084752,2013-04-26,TMAX,234
PE000084752,2009-09-21,TMAX,226
PE000084752,2011-10-29,TMIN,85
PE000084752,2014-06-06,TMIN,73
PE000084752,2006-07-10,TMIN,80
PE000084752,2013-01-29,TMIN,127
PE000084752,2006-09-26,TMAX,226
PE000084752,2012-10-21,TMAX,210
PE000084752,2007-05-27,TMAX,202
PE000084752,2006-12-16,TMAX,209
PE000084752,2012-06-23,TMIN,56
PE000084752,2007-12-29,TMAX,198
PE000084752,2012-09-04,TMIN,85
PE000084752,2012-10-18,TMAX,211
PE000084752,2008-11-18,TMAX,217
PE000084752,2014-11-20,TMAX,211
PE000084752,2010-09-16,TMIN,86
PE000084752,2013-01-11,TMAX,228
PE000084752,2007-11-09,TMIN,64
PE000084752,2005-01-16,TMIN,87
PE000084752,2015-04-10,TMIN,110
PE000084752,2014-02-25,TMIN,94
PE000084752,2010-03-25,TMIN,108
PE000084752,2006-12-22,TMIN,89
PE000084752,2005-10-28,TMAX,197
PE000084752,2015-05-19,TMIN,100
PE000084752,2008-07-10,TMAX,200
PE000084752,2008-06-28,TMIN,41
PE000084752,2015-08-08,TMAX,238
PE000084752,2008-06-17,TMAX,203
PE000084752,2005-10-28,TMIN,82
PE000084752,2008-11-18,TMIN,71
PE000084752,2010-10-24,TMIN,70
PE000084752,2008-04-02,TMAX,179
PE000084752,2013-05-23,TMIN,88
PE000084752,2014-07-14,TMIN,98
PE000084752,2006-02-09,TMAX,154
PE000084752,2008-07-26,TMIN,67
PE000084752,2008-12-17,TMAX,191
PE000084752,2010-03-25,TMAX,212
PE000084752,2014-11-04,TMAX,224
PE000084752,2011-06-07,TMAX,209
PE000084752,2011-04-28,TMAX,216
PE000084752,2006-02-09,TMIN,120
PE000084752,2015-04-10,TMAX,193
PE000084752,2008-04-02,TMIN,70
PE000084752,2009-04-09,TMAX,181
PE000084752,2005-10-30,TMIN,62
PE000084752,2012-05-12,TMAX,203
PE000084752,2006-04-10,TMAX,206
PE000084752,2010-09-16,TMAX,219
PE000084752,2006-10-24,TMAX,217
PE000084752,2006-04-10,TMIN,90
PE000084752,2007-08-31,TMAX,208
PE000084752,2015-02-14,TMAX,218
PE000084752,2010-05-03,TMIN,73
PE000084752,2010-10-26,TMAX,190
PE000084752,2015-02-14,TMIN,129
PE000084752,2012-10-18,TMIN,68
PE000084752,2012-10-21,TMIN,81
PE000084752,2010-06-13,TMAX,216
PE000084752,2015-03-24,TMAX,174
PE000084752,2006-12-16,TMIN,112
PE000084752,2006-01-01,TMIN,98
PE000084752,2007-10-22,TMAX,204
PE000084752,2006-10-03,TMAX,219
PE000084752,2010-10-26,TMIN,1
PE000084752,2005-05-16,TMAX,235
PE000084752,2005-11-27,TMIN,64
PE000084752,2012-12-07,TMAX,192
PE000084752,2007-08-31,TMIN,114
PE000084752,2007-02-21,TMIN,79
PE000084752,2012-02-03,TMIN,107
PE000084752,2012-04-22,TMAX,200
PE000084752,2012-04-22,TMIN,101
PE000084752,2005-05-16,TMIN,83
PE000084752,2009-03-17,TMAX,222
PE000084752,2013-07-26,TMIN,67
PE000084752,2008-10-27,TMIN,96
PE000084752,2014-05-20,TMIN,78
PE000084752,2015-07-11,TMIN,72
PE000084752,2015-06-13,TMAX,222
PE000084752,2014-02-18,TMAX,195
PE000084752,2006-09-08,TMAX,200
PE000084752,2011-06-07,TMIN,73
PE000084752,2009-05-06,TMIN,62
PE000084752,2009-07-04,TMAX,206
PE000084752,2007-10-18,TMAX,225
PE000084752,2009-04-03,TMIN,81
PE000084752,2009-05-06,TMAX,187
PE000084752,2013-12-04,TMAX,213
PE000084752,2009-04-03,TMAX,197
PE000084752,2007-11-29,TMAX,212
PE000084752,2015-09-16,TMIN,95
PE000084752,2014-02-18,TMIN,82
PE000084752,2008-01-13,TMAX,154
PE000084752,2013-05-14,TMIN,77
PE000084752,2013-02-22,TMIN,116
PE000084752,2007-02-05,TMAX,203
PE000084752,2015-05-03,TMAX,202
PE000084752,2009-02-15,TMAX,192
PE000084752,2011-02-18,TMIN,105
PE000084752,2014-01-07,TMAX,212
PE000084752,2010-09-03,TMIN,113
PE000084752,2010-12-29,TMAX,189
PE000084752,2009-08-10,TMIN,54
PE000084752,2007-03-22,TMAX,216
PE000084752,2010-06-01,TMIN,84
PE000084752,2010-07-26,TMAX,211
PE000084752,2012-05-12,TMIN,63
PE000084752,2014-12-04,TMAX,226
PE000084752,2013-05-23,TMAX,214
PE000084752,2006-07-23,TMIN,55
PE000084752,2014-03-18,TMIN,118
PE000084752,2005-03-30,TMIN,102
PE000084752,2009-11-28,TMAX,231
PE000084752,2012-05-16,TMIN,79
PE000084752,2005-09-13,TMAX,224
PE000084752,2015-11-23,TMAX,231
PE000084752,2010-08-07,TMIN,80
PE000084752,2009-11-28,TMIN,115
PE000084752,2010-03-20,TMAX,213
PE000084752,2005-05-14,TMIN,95
PE000084752,2010-09-03,TMAX,195
PE000084752,2014-01-25,TMIN,85
PE000084752,2011-02-18,TMAX,182
PE000084752,2007-05-07,TMIN,100
PE000084752,2005-05-14,TMAX,249
PE000084752,2015-05-16,TMIN,104
PE000084752,2008-10-06,TMIN,62
PE000084752,2013-04-26,TMIN,88
PE000084752,2015-12-20,TMIN,105
PE000084752,2015-09-16,TMAX,232
PE000084752,2010-03-20,TMIN,132
PE000084752,2007-05-07,TMAX,219
PE000084752,2007-10-22,TMIN,56
PE000084752,2007-02-05,TMIN,108
PE000084752,2015-08-08,TMIN,70
PE000084752,2010-08-23,TMAX,219
PE000084752,2009-07-04,TMIN,48
PE000084752,2007-03-22,TMIN,99
PE000084752,2012-01-31,TMAX,201
PE000084752,2015-12-20,TMAX,231
PE000084752,2015-06-13,TMIN,69
PE000084752,2009-02-24,TMAX,170
PE000084752,2014-10-28,TMIN,67
PE000084752,2014-12-04,TMIN,100
PE000084752,2015-06-19,TMAX,234
PE000084752,2006-11-02,TMIN,68
PE000084752,2014-03-17,TMIN,87
PE000084752,2008-05-13,TMIN,68
PE000084752,2007-11-09,TMAX,212
PE000084752,2011-10-12,TMAX,196
PE000084752,2007-01-21,TMIN,119
PE000084752,2014-09-05,TMIN,96
PE000084752,2007-11-29,TMIN,82
PE000084752,2007-04-12,TMIN,98
PE000084752,2013-05-14,TMAX,205
PE000084752,2010-11-19,TMAX,193
PE000084752,2010-07-26,TMIN,59
PE000084752,2015-07-07,TMIN,44
PE000084752,2014-10-01,TMIN,128
PE000084752,2006-04-24,TMAX,216
PE000084752,2014-06-13,TMIN,88
PE000084752,2014-12-07,TMIN,104
PE000084752,2014-10-01,TMAX,237
PE000084752,2007-01-21,TMAX,224
PE000084752,2009-06-23,TMAX,199
PE000084752,2006-07-10,TMAX,221
PE000084752,2011-06-16,TMIN,85
PE000084752,2013-01-22,TMAX,227
PE000084752,2013-03-18,TMAX,207
PE000084752,2006-07-12,TMAX,224
PE000084752,2015-03-24,TMIN,112
PE000084752,2005-03-15,TMIN,92
PE000084752,2014-11-22,TMIN,83
PE000084752,2010-01-30,TMAX,226
PE000084752,2005-12-22,TMIN,97
PE000084752,2013-08-31,TMIN,81
PE000084752,2012-04-28,TMIN,71
PE000084752,2011-03-17,TMIN,97
PE000084752,2006-03-17,TMAX,166
PE000084752,2014-01-25,TMAX,201
PE000084752,2006-05-24,TMIN,77
PE000084752,2014-11-01,TMIN,84
PE000084752,2006-03-17,TMIN,113
PE000084752,2014-01-04,TMIN,120
PE000084752,2007-08-07,TMIN,85
PE000084752,2010-08-07,TMAX,204
PE000084752,2007-04-26,TMAX,202
PE000084752,2009-06-18,TMIN,61
PE000084752,2015-01-24,TMAX,199
PE000084752,2015-01-24,TMIN,94
PE000084752,2013-06-30,TMIN,47
PE000084752,2009-09-21,TMIN,84
PE000084752,2015-06-19,TMIN,99
PE000084752,2009-05-15,TMIN,75
PE000084752,2005-12-26,TMIN,108
PE000084752,2006-08-31,TMIN,69
PE000084752,2007-04-26,TMIN,95
PE000084752,2007-05-19,TMIN,57
PE000084752,2014-01-04,TMAX,214
PE000084752,2013-06-13,TMIN,94
PE000084752,2012-06-23,TMAX,207
PE000084752,2013-06-13,TMAX,220
PE000084752,2011-08-03,TMIN,60
PE000084752,2008-04-23,TMAX,223
PE000084752,2005-04-13,TMIN,11
PE000084752,2010-02-16,TMIN,107
PE000084752,2006-06-17,TMIN,68
PE000084752,2007-04-28,TMIN,74
PE000084752,2005-12-26,TMAX,193
PE000084752,2008-04-23,TMIN,101
PE000084752,2008-10-19,TMAX,225
PE000084752,2008-11-27,TMAX,215
PE000084752,2012-06-27,TMIN,65
PE000084752,2006-11-07,TMIN,109
PE000084752,2010-07-01,TMAX,209
PE000084752,2010-04-30,TMAX,186
PE000084752,2015-04-21,TMIN,97
PE000084752,2015-09-27,TMIN,83
PE000084752,2005-10-06,TMAX,217
PE000084752,2015-04-11,TMIN,122
PE000084752,2010-11-11,TMAX,205
PE000084752,2005-03-12,TMIN,110
PE000084752,2005-10-06,TMIN,94
PE000084752,2009-11-04,TMAX,204
PE000084752,2007-12-15,TMAX,204
PE000084752,2010-02-24,TMAX,216
PE000084752,2011-12-26,TMAX,200
PE000084752,2009-10-21,TMAX,217
PE000084752,2007-12-03,TMAX,197
PE000084752,2014-09-30,TMIN,109
PE000084752,2006-10-16,TMAX,204
PE000084752,2013-03-02,TMIN,116
PE000084752,2014-10-21,TMIN,103
PE000084752,2013-10-28,TMIN,119
PE000084752,2012-01-15,TMAX,221
PE000084752,2011-01-31,TMIN,105
PE000084752,2013-11-09,TMAX,215
PE000084752,2011-09-14,TMIN,88
PE000084752,2009-06-19,TMIN,65
PE000084752,2007-09-19,TMAX,210
PE000084752,2009-06-19,TMAX,209
PE000084752,2011-11-23,TMIN,89
PE000084752,2008-05-31,TMAX,204
PE000084752,2007-02-19,TMAX,184
PE000084752,2014-06-23,TMIN,90
PE000084752,2012-01-15,TMIN,93
PE000084752,2006-03-29,TMAX,220
PE000084752,2014-06-22,TMAX,225
PE000084752,2014-10-22,TMAX,217
PE000084752,2009-06-28,TMIN,74
PE000084752,2013-05-03,TMAX,213
PE000084752,2009-09-24,TMAX,236
PE000084752,2008-05-31,TMIN,52
PE000084752,2009-09-24,TMIN,79
PE000084752,2012-08-20,TMAX,220
PE000084752,2009-11-04,TMIN,88
PE000084752,2014-06-22,TMIN,89
PE000084752,2014-11-24,TMIN,92
PE000084752,2012-03-01,TMIN,91
PE000084752,2007-12-03,TMIN,85
PE000084752,2012-09-16,TMAX,230
PE000084752,2007-12-15,TMIN,99
PE000084752,2014-11-03,TMIN,87
PE000084752,2010-11-23,TMIN,67
PE000084752,2010-05-07,TMAX,213
PE000084752,2012-09-16,TMIN,112
PE000084752,2010-05-28,TMIN,91
PE000084752,2005-05-18,TMAX,223
PE000084752,2005-05-18,TMIN,92
PE000084752,2008-12-01,TMIN,86
PE000084752,2007-02-15,TMIN,116
PE000084752,2015-02-15,TMAX,201
PE000084752,2015-09-10,TMAX,216
PE000084752,2012-10-14,TMIN,96
PE000084752,2015-09-10,TMIN,68
PE000084752,2012-11-23,TMAX,215
PE000084752,2006-09-28,TMAX,222
PE000084752,2012-11-23,TMIN,74
PE000084752,2015-10-23,TMIN,121
PE000084752,2015-10-23,TMAX,233
PE000084752,2007-02-15,TMAX,202
PE000084752,2007-09-27,TMIN,96
PE000084752,2010-11-23,TMAX,185
PE000084752,2008-05-24,TMAX,182
PE000084752,2010-10-01,TMIN,61
PE000084752,2010-10-01,TMAX,215
PE000084752,2008-07-02,TMIN,60
PE000084752,2012-04-29,TMIN,66
PE000084752,2012-04-29,TMAX,221
PE000084752,2013-12-07,TMIN,117
PE000084752,2015-05-01,TMIN,89
PE000084752,2015-07-27,TMIN,85
PE000084752,2015-08-28,TMIN,90
PE000084752,2015-08-28,TMAX,239
PE000084752,2008-07-02,TMAX,204
PE000084752,2010-10-05,TMIN,68
PE000084752,2015-04-28,TMAX,240
PE000084752,2005-04-09,TMIN,117
PE000084752,2015-04-01,TMIN,98
PE000084752,2005-04-09,TMAX,244
PE000084752,2015-05-01,TMAX,204
PE000084752,2006-11-07,TMAX,217
PE000084752,2013-06-27,TMIN,47
PE000084752,2005-12-31,TMIN,98
PE000084752,2010-10-05,TMAX,211
PE000084752,2011-12-04,TMIN,79
PE000084752,2006-04-16,TMIN,95
PE000084752,2011-09-14,TMAX,220
PE000084752,2013-06-18,TMAX,197
PE000084752,2005-10-20,TMAX,228
PE000084752,2005-10-20,TMIN,98
PE000084752,2011-03-19,TMIN,95
PE000084752,2011-10-16,TMIN,48
PE000084752,2012-11-20,TMAX,215
PE000084752,2012-11-20,TMIN,89
PE000084752,2011-01-24,TMAX,190
PE000084752,2011-04-25,TMAX,210
PE000084752,2010-10-06,TMIN,83
PE000084752,2011-04-25,TMIN,87
PE000084752,2006-05-22,TMIN,68
PE000084752,2005-06-17,TMIN,77
PE000084752,2012-01-19,TMAX,196
PE000084752,2005-06-17,TMAX,218
PE000084752,2009-12-31,TMIN,92
PE000084752,2015-06-14,TMIN,69
PE000084752,2009-12-18,TMAX,217
PE000084752,2009-12-18,TMIN,103
PE000084752,2015-12-26,TMIN,147
PE000084752,2007-04-06,TMIN,84
PE000084752,2015-05-24,TMIN,74
PE000084752,2013-02-18,TMAX,214
PE000084752,2011-11-16,TMIN,85
PE000084752,2010-03-15,TMAX,215
PE000084752,2012-08-13,TMIN,71
PE000084752,2010-05-22,TMAX,224
PE000084752,2011-09-04,TMIN,81
PE000084752,2014-05-03,TMIN,95
PE000084752,2005-01-05,TMIN,94
PE000084752,2010-05-22,TMIN,85
PE000084752,2008-04-01,TMAX,197
PE000084752,2008-04-01,TMIN,91
PE000084752,2009-08-23,TMIN,53
PE000084752,2011-09-04,TMAX,204
PE000084752,2009-08-15,TMIN,92
PE000084752,2013-02-18,TMIN,100
PE000084752,2015-07-15,TMIN,47
PE000084752,2014-11-18,TMIN,103
PE000084752,2008-05-19,TMIN,67
PE000084752,2008-03-16,TMAX,202
PE000084752,2015-11-13,TMAX,236
PE000084752,2015-11-13,TMIN,126
PE000084752,2011-03-19,TMAX,191
PE000084752,2006-03-13,TMIN,109
PE000084752,2010-07-01,TMIN,72
PE000084752,2010-05-02,TMIN,96
PE000084752,2005-01-13,TMIN,114
PE000084752,2007-06-15,TMIN,68
PE000084752,2007-11-16,TMIN,125
PE000084752,2006-07-22,TMAX,217
PE000084752,2006-06-08,TMIN,50
PE000084752,2013-10-28,TMAX,217
PE000084752,2010-08-03,TMAX,222
PE000084752,2015-03-30,TMAX,204
PE000084752,2010-12-14,TMAX,195
PE000084752,2010-12-14,TMIN,71
PE000084752,2015-10-27,TMAX,233
PE000084752,2012-11-01,TMIN,94
PE000084752,2012-03-09,TMIN,124
PE000084752,2008-10-23,TMIN,91
PE000084752,2006-07-22,TMIN,72
PE000084752,2012-03-09,TMAX,217
PE000084752,2011-11-20,TMIN,108
PE000084752,2011-11-23,TMAX,208
PE000084752,2013-10-16,TMIN,83
PE000084752,2006-01-21,TMAX,178
PE000084752,2014-04-24,TMIN,90
PE000084752,2012-01-19,TMIN,91
PE000084752,2014-07-12,TMAX,224
PE000084752,2015-10-27,TMIN,127
PE000084752,2009-06-22,TMAX,210
PE000084752,2007-07-17,TMAX,210
PE000084752,2009-01-16,TMAX,201
PE000084752,2009-01-16,TMIN,109
PE000084752,2012-05-24,TMIN,66
PE000084752,2012-05-24,TMAX,223
PE000084752,2009-02-02,TMIN,106
PE000084752,2009-06-21,TMAX,223
PE000084752,2013-06-18,TMIN,74
PE000084752,2012-11-03,TMAX,220
PE000084752,2007-06-15,TMAX,204
PE000084752,2009-01-22,TMAX,216
PE000084752,2010-05-20,TMAX,218
PE000084752,2007-12-07,TMIN,61
PE000084752,2012-11-03,TMIN,91
PE000084752,2006-02-16,TMIN,89
PE000084752,2009-05-29,TMAX,199
PE000084752,2008-04-10,TMIN,76
PE000084752,2015-06-14,TMAX,211
PE000084752,2008-01-22,TMIN,106
PE000084752,2013-07-14,TMIN,64
PE000084752,2006-02-16,TMAX,197
PE000084752,2012-07-12,TMIN,66
PE000084752,2011-12-04,TMAX,208
PE000084752,2011-08-14,TMIN,68
PE000084752,2005-08-24,TMAX,219
PE000084752,2011-12-03,TMIN,83
PE000084752,2014-10-10,TMIN,84
PE000084752,2012-07-15,TMIN,58
PE000084752,2007-05-12,TMIN,101
PE000084752,2013-08-30,TMIN,91
PE000084752,2010-07-18,TMIN,61
PE000084752,2012-06-26,TMIN,50
PE000084752,2011-12-13,TMIN,97
PE000084752,2012-08-31,TMIN,96
PE000084752,2010-10-25,TMIN,73
PE000084752,2011-12-13,TMAX,197
PE000084752,2006-02-20,TMAX,217
PE000084752,2006-02-20,TMIN,117
PE000084752,2006-02-02,TMIN,117
PE000084752,2007-05-12,TMAX,232
PE000084752,2014-07-06,TMIN,81
PE000084752,2005-07-22,TMIN,83
PE000084752,2006-02-02,TMAX,205
PE000084752,2015-11-12,TMAX,236
PE000084752,2007-09-26,TMIN,99
PE000084752,2015-11-12,TMIN,150
