ID,Date,Element,Data_Value
PEM00084370,2011-03-06,TMIN,223
PEM00084370,2006-09-11,TMIN,208
PEM00084370,2013-10-05,TMAX,256
ECM00084226,2014-03-08,TMAX,170
PEM00084370,2015-10-10,TMAX,304
PEM00084370,2007-12-14,TMIN,198
ECM00084226,2015-12-28,TMIN,106
PEM00084370,2006-10-23,TMAX,270
ECM00084226,2012-08-04,TMIN,90
PEM00084370,2010-11-28,TMIN,174
ECM00084226,2015-06-12,TMAX,176
PEM00084370,2008-03-03,TMAX,300
PEM00084370,2014-01-16,TMAX,314
ECM00084270,2014-10-13,TMAX,206
PEM00084370,2006-05-18,TMIN,202
ECM00084270,2013-07-13,TMAX,197
ECM00084226,2012-06-11,TMAX,162
ECM00084270,2015-07-24,TMAX,190
ECM00084270,2013-11-20,TMIN,142
ECM00084226,2012-10-16,TMIN,64
PEM00084370,2010-03-22,TMIN,220
ECM00084226,2013-05-10,TMAX,183
ECM00084270,2011-07-24,TMAX,176
PEM00084370,2007-02-25,TMIN,210
ECM00084270,2014-10-27,TMAX,235
PEM00084370,2006-02-19,TMAX,290
ECM00084270,2012-10-06,TMAX,228
PEM00084370,2006-02-24,TMAX,300
ECM00084270,2014-09-18,TMIN,85
PEM00084370,2014-08-14,TMAX,290
ECM00084270,2014-10-27,TMIN,115
PEM00084370,2005-03-06,TMAX,310
PEM00084370,2012-07-06,TMIN,201
PEM00084370,2009-11-09,TMAX,315
ECM00084270,2013-02-12,TMIN,134
PEM00084370,2006-06-07,TMAX,300
PEM00084370,2010-03-22,TMAX,340
PEM00084370,2011-10-29,TMAX,282
PEM00084370,2008-12-08,TMAX,290
PEM00084370,2015-10-31,TMIN,234
ECM00084226,2015-11-30,TMIN,66
PEM00084370,2007-07-02,TMIN,210
PEM00084370,2008-08-25,TMAX,270
PEM00084370,2011-09-06,TMIN,193
ECM00084270,2014-09-18,TMAX,254
ECM00084226,2013-02-19,TMIN,68
ECM00084270,2014-09-19,TMAX,238
ECM00084226,2015-08-30,TMIN,50
ECM00084270,2013-10-16,TMIN,124
PEM00084370,2013-01-04,TMAX,321
ECM00084226,2014-01-10,TMIN,84
PEM00084370,2015-07-20,TMIN,200
PEM00084370,2009-05-15,TMAX,300
PEM00084370,2012-02-09,TMIN,200
ECM00084270,2013-11-20,TMAX,230
ECM00084270,2012-10-03,TMAX,220
PEM00084370,2015-04-11,TMIN,235
PEM00084370,2013-10-26,TMAX,280
ECM00084226,2013-08-31,TMIN,71
ECM00084270,2015-01-20,TMAX,233
PEM00084370,2011-10-13,TMIN,188
PEM00084370,2005-06-15,TMIN,210
ECM00084226,2015-06-09,TMAX,172
PEM00084370,2006-03-15,TMIN,211
PEM00084370,2011-03-08,TMAX,363
ECM00084226,2013-05-13,TMIN,103
PEM00084370,2012-07-06,TMAX,318
ECM00084226,2013-07-06,TMIN,84
PEM00084370,2006-03-15,TMAX,310
PEM00084370,2015-10-16,TMAX,282
PEM00084370,2006-05-18,TMAX,314
PEM00084370,2006-08-09,TMAX,278
ECM00084270,2012-02-24,TMAX,205
ECM00084226,2013-02-22,TMAX,186
PEM00084370,2012-11-25,TMAX,283
PEM00084370,2015-10-16,TMIN,220
ECM00084270,2015-12-30,TMIN,145
ECM00084270,2012-03-21,TMAX,218
PEM00084370,2011-12-02,TMIN,190
PEM00084370,2010-05-18,TMAX,347
PEM00084370,2005-06-15,TMAX,250
ECM00084226,2011-11-12,TMAX,156
ECM00084270,2012-10-03,TMIN,110
PEM00084370,2010-06-05,TMAX,320
PEM00084370,2005-03-06,TMIN,220
ECM00084226,2012-05-04,TMAX,180
ECM00084270,2013-03-20,TMAX,236
ECM00084226,2013-02-19,TMAX,164
PEM00084370,2008-12-16,TMAX,301
PEM00084370,2011-12-02,TMAX,300
PEM00084370,2015-07-24,TMIN,219
PEM00084370,2014-10-30,TMIN,220
PEM00084370,2013-07-27,TMAX,283
ECM00084226,2015-04-08,TMIN,95
ECM00084226,2015-12-28,TMAX,196
ECM00084270,2014-03-03,TMAX,202
PEM00084370,2014-04-16,TMIN,206
ECM00084226,2015-08-30,TMAX,165
PEM00084370,2009-11-15,TMAX,315
PEM00084370,2013-01-02,TMAX,321
PEM00084370,2011-04-14,TMAX,334
ECM00084270,2014-07-27,TMIN,132
ECM00084226,2012-08-04,TMAX,180
ECM00084270,2012-04-19,TMIN,128
PEM00084390,2006-12-28,TMIN,168
PEM00084370,2011-04-14,TMIN,200
ECM00084270,2011-07-24,TMIN,134
PEM00084370,2007-07-02,TMAX,270
ECM00084226,2015-08-24,TMIN,80
ECM00084270,2012-06-11,TMAX,206
ECM00084270,2013-01-20,TMAX,200
PEM00084370,2014-07-06,TMAX,305
ECM00084226,2013-03-28,TMAX,168
ECM00084226,2012-07-27,TMAX,182
ECM00084270,2014-02-19,TMIN,136
PEM00084370,2012-08-19,TMAX,274
PEM00084370,2009-11-20,TMIN,192
ECM00084270,2014-02-19,TMAX,204
