ID,Date,Element,Data_Value
CA002403450,2007-06-18,TMAX,26
CA002403450,2007-03-10,TMAX,-322
CA002403450,2009-07-08,TMAX,41
CA002403450,2009-11-29,TMAX,-147
CA002403450,2008-04-13,TMAX,-198
CA002403450,2008-12-30,TMIN,-361
CA002403450,2007-10-11,TMAX,-158
CA002403450,2010-04-08,TMAX,-216
CA002403450,2013-09-03,TMIN,-49
CA002403450,2015-08-24,TMIN,0
CA002403450,2014-08-13,TMIN,-12
CA002403450,2006-10-07,TMIN,-154
CA002403450,2011-07-08,TMIN,32
CA002403450,2014-02-03,TMAX,-145
CA002403450,2005-06-30,TMAX,28
CA002403450,2005-11-30,TMIN,-293
CA002403450,2008-03-13,TMAX,-325
CA002403450,2005-08-30,TMIN,-41
CA002403450,2015-11-11,TMAX,-285
CA002403450,2008-01-12,TMAX,-240
CA002403450,2005-06-03,TMIN,-36
CA002403450,2015-12-27,TMAX,-262
CA002403450,2012-07-08,TMAX,51
CA002403450,2007-05-14,TMAX,-100
CA002403450,2008-06-12,TMIN,3
CA002403450,2009-07-08,TMIN,14
CA002403450,2005-12-16,TMAX,-296
CA002403450,2010-08-18,TMIN,-4
CA002403450,2009-10-31,TMIN,-255
CA002403450,2013-12-27,TMAX,-281
CA002403450,2008-01-08,TMIN,-313
CA002403450,2015-05-28,TMAX,-4
CA002403450,2015-12-19,TMAX,-269
CA002403450,2007-10-04,TMIN,-189
CA002403450,2006-10-07,TMAX,-135
CA002403450,2010-08-18,TMAX,53
CA002403450,2014-04-17,TMIN,-293
CA002403450,2006-06-28,TMIN,1
CA002403450,2005-06-30,TMIN,13
CA002403450,2005-08-29,TMAX,-1
CA002403450,2009-07-11,TMIN,2
CA002403450,2005-04-09,TMIN,-206
CA002403450,2005-09-22,TMIN,-94
CA002403450,2005-04-27,TMIN,-247
CA002403450,2007-08-27,TMIN,-12
CA002403450,2005-11-21,TMIN,-246
CA002403450,2015-12-19,TMIN,-326
CA002403450,2005-12-16,TMIN,-356
CA002403450,2015-08-08,TMAX,43
CA002403450,2007-12-20,TMIN,-335
CA002403450,2008-03-02,TMAX,-381
CA002403450,2014-06-24,TMAX,43
CA002403450,2010-05-25,TMAX,-46
CA002403450,2015-01-02,TMIN,-255
CA002403450,2005-05-01,TMIN,-78
CA002403450,2007-12-05,TMIN,-148
CA002403450,2005-05-08,TMIN,-171
CA002403450,2006-05-24,TMAX,27
CA002403450,2009-09-12,TMAX,-17
CA002403450,2015-07-30,TMIN,5
CA002403450,2005-05-31,TMIN,-47
CA002403450,2005-05-31,TMAX,9
CA002403450,2009-07-11,TMAX,50
CA002403450,2005-05-01,TMAX,-41
CA002403450,2005-01-26,TMAX,-250
CA002403450,2006-05-25,TMAX,55
CA002403450,2006-05-25,TMIN,-95
CA002403450,2012-07-13,TMIN,34
CA002403450,2005-05-08,TMAX,-87
CA002403450,2015-03-21,TMIN,-296
CA002403450,2006-05-24,TMIN,-79
CA002403450,2008-06-13,TMIN,7
CA002403450,2009-10-31,TMAX,-218
CA002403450,2015-03-21,TMAX,-245
CA002403450,2005-11-04,TMAX,-220
CA002403450,2015-03-30,TMIN,-277
