ID,Date,Element,Data_Value
NZ000937470,2005-10-10,TMAX,77
NZ000937470,2005-11-30,TMIN,43
NZ000937470,2005-04-22,TMAX,193
NZ000937470,2005-11-30,TMAX,216
NZ000937470,2005-11-27,TMIN,8
NZ000937470,2005-10-19,TMIN,14
NZ000937470,2005-03-05,TMAX,234
NZ000937470,2005-07-30,TMIN,-77
NZ000937470,2005-07-26,TMAX,143
NZ000937470,2005-02-09,TMIN,122
NZ000937470,2005-03-05,TMIN,166
NZ000937470,2005-07-30,TMAX,93
NZ000937470,2005-01-01,TMIN,78
NZ000937470,2005-02-22,TMAX,257
NZ000937470,2005-05-26,TMIN,1
NZ000937470,2005-11-03,TMAX,210
NZ000937470,2005-09-25,TMAX,185
NZ000937470,2005-08-06,TMAX,108
NZ000937470,2005-12-20,TMIN,130
NZ000937470,2005-08-06,TMIN,-26
NZ000937470,2005-09-25,TMIN,26
NZ000937470,2005-07-20,TMIN,5
NZ000937470,2005-09-05,TMIN,62
NZ000937470,2005-05-05,TMIN,2
NZ000937470,2005-04-03,TMIN,90
NZ000937470,2005-02-09,TMAX,296
NZ000937470,2005-05-05,TMAX,152
NZ000937470,2005-09-29,TMAX,155
NZ000937470,2005-09-06,TMIN,49
NZ000937470,2005-05-26,TMAX,96
NZ000937470,2005-03-09,TMIN,92
NZ000937470,2005-10-06,TMIN,-10
NZ000937470,2005-03-13,TMAX,219
NZ000937470,2005-02-10,TMAX,280
NZ000937470,2005-09-03,TMAX,105
NZ000937470,2005-09-06,TMAX,118
NZ000937470,2005-02-24,TMAX,244
NZ000937470,2005-12-07,TMAX,272
NZ000937470,2005-10-17,TMAX,194
NZ000937470,2005-04-28,TMIN,-33
NZ000937470,2005-01-19,TMAX,185
NZ000937470,2005-12-07,TMIN,145
NZ000937470,2005-04-22,TMIN,52
NZ000937470,2005-11-24,TMAX,147
NZ000937470,2005-07-29,TMIN,-32
NZ000937470,2005-10-17,TMIN,61
NZ000937470,2005-01-29,TMAX,265
NZ000937470,2005-01-29,TMIN,126
NZ000937470,2005-01-26,TMAX,287
NZ000937470,2005-07-29,TMAX,82
NZ000937470,2005-04-26,TMAX,170
NZ000937470,2005-09-19,TMAX,52
NZ000937470,2005-09-19,TMIN,-29
