ID,Date,Element,Data_Value
NZ000093844,2009-04-28,TMAX,167
NZ000093844,2006-09-14,TMIN,48
NZ000093844,2006-07-18,TMIN,-10
NZ000093844,2011-12-18,TMAX,147
NZ000093844,2010-03-18,TMAX,141
NZ000093844,2010-03-18,TMIN,16
NZ000093844,2005-05-01,TMAX,150
NZ000093844,2013-01-12,TMAX,228
NZ000093844,2015-09-30,TMAX,180
NZ000093844,2013-06-29,TMAX,90
NZ000093844,2013-04-03,TMAX,150
NZ000093844,2014-08-21,TMAX,95
NZ000093844,2009-02-03,TMAX,192
NZ000093844,2005-10-08,TMIN,20
NZ000093844,2012-11-02,TMAX,206
NZ000093844,2009-02-03,TMIN,67
NZ000093844,2013-06-21,TMAX,55
NZ000093844,2014-02-20,TMAX,264
NZ000093844,2012-08-22,TMAX,98
NZ000093844,2011-06-14,TMAX,114
NZ000093844,2005-04-18,TMAX,143
NZ000093844,2008-10-30,TMAX,119
NZ000093844,2012-07-21,TMAX,116
NZ000093844,2015-09-26,TMAX,128
NZ000093844,2005-02-19,TMAX,203
NZ000093844,2005-05-26,TMIN,60
NZ000093844,2008-10-17,TMIN,42
NZ000093844,2006-11-25,TMAX,137
NZ000093844,2010-09-15,TMAX,139
NZ000093844,2014-09-25,TMAX,174
NZ000093844,2005-06-27,TMIN,71
NZ000093844,2005-02-21,TMIN,58
NZ000093844,2008-10-30,TMIN,37
NZ000093844,2015-12-14,TMAX,151
NZ000093844,2006-04-05,TMAX,139
NZ000093844,2011-03-31,TMAX,200
NZ000093844,2010-09-22,TMAX,79
NZ000093844,2012-06-01,TMAX,129
NZ000093844,2006-11-03,TMAX,197
NZ000093844,2015-11-22,TMIN,54
NZ000093844,2008-11-12,TMAX,220
NZ000093844,2008-09-27,TMAX,124
NZ000093844,2007-04-13,TMIN,36
NZ000093844,2009-02-25,TMIN,32
NZ000093844,2008-12-22,TMIN,90
NZ000093844,2005-09-29,TMIN,49
NZ000093844,2007-10-25,TMIN,50
NZ000093844,2013-02-05,TMAX,152
NZ000093844,2011-07-15,TMIN,22
NZ000093844,2008-08-23,TMAX,112
NZ000093844,2012-12-01,TMAX,170
