ID,Date,Element,Data_Value
ASN00006011,2010-02-15,TMAX,286
ASN00006011,2011-08-07,TMAX,275
ASN00006011,2014-01-15,TMIN,209
ASN00006011,2007-03-29,TMIN,132
ASN00006011,2009-02-11,TMAX,437
ASN00006011,2015-05-15,TMIN,128
ASN00006011,2007-11-24,TMIN,191
ASN00006011,2009-12-10,TMAX,380
ASN00006011,2009-12-10,TMIN,210
ASN00006011,2011-09-06,TMAX,292
ASN00006011,2013-07-01,TMAX,272
ASN00006011,2011-08-07,TMIN,144
ASN00006011,2011-11-02,TMIN,166
ASN00006011,2006-06-27,TMAX,254
ASN00006011,2013-06-09,TMAX,241
ASN00006011,2015-04-28,TMAX,344
ASN00006011,2015-05-15,TMAX,309
ASN00006011,2013-07-01,TMIN,101
ASN00006011,2014-06-03,TMAX,282
ASN00006011,2008-11-21,TMIN,189
ASN00006011,2014-04-04,TMIN,204
ASN00006011,2009-08-10,TMIN,163
ASN00006011,2012-11-15,TMAX,270
ASN00006011,2007-12-19,TMIN,184
ASN00006011,2012-05-19,TMAX,289
ASN00006011,2012-11-15,TMIN,181
ASN00006011,2006-02-04,TMAX,381
ASN00006011,2012-05-24,TMAX,280
ASN00006011,2009-05-15,TMAX,265
ASN00006011,2005-07-18,TMIN,65
ASN00006011,2008-02-27,TMIN,268
ASN00006011,2013-03-01,TMIN,213
ASN00006011,2015-01-27,TMAX,285
ASN00006011,2013-03-01,TMAX,324
ASN00006011,2015-01-27,TMIN,238
ASN00006011,2010-08-31,TMAX,213
ASN00006011,2014-03-03,TMIN,260
ASN00006011,2009-08-06,TMAX,243
ASN00006011,2006-06-27,TMIN,70
ASN00006011,2009-09-26,TMIN,121
ASN00006011,2009-09-26,TMAX,323
ASN00006011,2007-12-19,TMAX,261
ASN00006011,2008-02-24,TMIN,235
ASN00006011,2008-02-24,TMAX,383
ASN00006011,2012-05-19,TMIN,110
ASN00006011,2013-01-16,TMAX,295
ASN00006011,2006-11-16,TMIN,193
ASN00006011,2014-06-03,TMIN,92
ASN00006011,2014-03-03,TMAX,324
ASN00006011,2010-10-25,TMIN,188
ASN00006011,2007-01-04,TMAX,272
ASN00006011,2014-01-18,TMAX,409
ASN00006011,2005-07-18,TMAX,240
ASN00006011,2009-07-06,TMAX,272
ASN00006011,2006-02-04,TMIN,205
ASN00006011,2011-03-24,TMIN,257
ASN00006011,2007-07-27,TMAX,195
ASN00006011,2013-09-24,TMAX,250
ASN00006011,2015-12-15,TMAX,285
ASN00006011,2009-07-04,TMAX,228
ASN00006011,2013-07-04,TMIN,113
ASN00006011,2014-05-29,TMIN,122
ASN00006011,2009-02-27,TMIN,209
ASN00006011,2014-11-13,TMIN,171
ASN00006011,2013-09-21,TMIN,108
ASN00006011,2015-09-16,TMAX,306
ASN00006011,2014-03-23,TMIN,211
ASN00006011,2010-10-25,TMAX,276
ASN00006011,2013-03-17,TMAX,304
ASN00006011,2014-04-02,TMIN,178
ASN00006011,2007-11-12,TMAX,285
ASN00006011,2008-09-14,TMIN,100
ASN00006011,2010-01-26,TMAX,275
ASN00006011,2010-02-15,TMIN,233
ASN00006011,2013-09-21,TMAX,236
ASN00006011,2015-12-15,TMIN,197
ASN00006011,2006-04-04,TMIN,173
ASN00006011,2007-08-15,TMAX,231
ASN00006011,2009-06-18,TMIN,71
ASN00006011,2009-06-18,TMAX,223
ASN00006011,2008-02-15,TMIN,240
ASN00006011,2006-06-09,TMIN,136
ASN00006011,2012-06-01,TMAX,264
ASN00006011,2009-11-23,TMIN,173
ASN00006011,2011-02-07,TMAX,374
ASN00006011,2005-09-01,TMIN,82
ASN00006011,2007-06-16,TMAX,241
ASN00006011,2008-04-08,TMAX,297
ASN00006011,2010-08-01,TMAX,270
ASN00006011,2010-08-01,TMIN,89
ASN00006011,2012-08-04,TMIN,87
ASN00006011,2008-11-21,TMAX,226
ASN00006011,2014-08-29,TMIN,114
ASN00006011,2008-09-14,TMAX,228
ASN00006011,2010-04-15,TMAX,257
ASN00006011,2014-03-23,TMAX,338
ASN00006011,2009-08-10,TMAX,247
ASN00006011,2008-02-27,TMAX,322
ASN00006011,2005-06-30,TMAX,230
ASN00006011,2008-02-15,TMAX,306
ASN00006011,2012-09-27,TMIN,177
ASN00006011,2010-05-18,TMIN,183
ASN00006011,2014-03-07,TMIN,252
ASN00006011,2006-08-28,TMAX,301
ASN00006011,2011-06-20,TMAX,233
ASN00006011,2010-01-05,TMIN,217
ASN00006011,2006-08-28,TMIN,119
ASN00006011,2009-09-08,TMIN,125
ASN00006011,2014-01-31,TMIN,245
ASN00006011,2007-11-12,TMIN,210
ASN00006011,2006-12-30,TMIN,208
ASN00006011,2011-03-24,TMAX,378
ASN00006011,2005-03-09,TMAX,350
ASN00006011,2014-08-29,TMAX,293
ASN00006011,2015-05-10,TMIN,149
ASN00006011,2009-11-23,TMAX,397
ASN00006011,2005-09-01,TMAX,206
ASN00006011,2010-09-25,TMAX,321
ASN00006011,2014-01-26,TMAX,325
ASN00006011,2009-02-27,TMAX,295
ASN00006011,2009-11-04,TMIN,219
ASN00006011,2005-01-11,TMIN,205
ASN00006011,2009-08-12,TMAX,236
ASN00006011,2005-06-30,TMIN,150
ASN00006011,2014-01-31,TMAX,295
ASN00006011,2010-01-26,TMIN,211
ASN00006011,2014-11-13,TMAX,265
ASN00006011,2010-04-12,TMIN,202
ASN00006011,2006-10-04,TMIN,169
ASN00006011,2014-09-19,TMIN,152
ASN00006011,2011-08-30,TMAX,248
ASN00006011,2015-01-16,TMAX,333
ASN00006011,2014-02-28,TMAX,354
ASN00006011,2014-12-09,TMIN,202
ASN00006011,2010-04-10,TMIN,192
ASN00006011,2005-11-28,TMAX,254
ASN00006011,2011-10-04,TMIN,119
ASN00006011,2008-01-27,TMAX,290
ASN00006011,2005-11-02,TMIN,131
ASN00006011,2010-01-21,TMIN,222
ASN00006011,2012-12-16,TMIN,226
ASN00006011,2005-06-11,TMIN,114
ASN00006011,2005-06-11,TMAX,211
ASN00006011,2013-08-29,TMIN,95
ASN00006011,2010-01-21,TMAX,288
