ID,Date,Element,Data_Value
RMC00914053,2014-05-22,TMIN,261
RMC00914487,2014-08-17,TMAX,322
RMC00914053,2014-01-23,TMIN,261
RMC00914487,2014-08-07,TMIN,261
RMC00914053,2014-12-05,TMIN,256
RMC00914053,2015-08-21,TMAX,317
RMC00914487,2015-06-09,TMAX,322
RMC00914487,2014-07-31,TMAX,300
RMC00914487,2015-05-22,TMAX,322
RMC00914053,2014-01-23,TMAX,306
RMC00914487,2015-08-30,TMAX,322
RMC00914053,2015-08-07,TMAX,317
RMC00914053,2014-11-22,TMIN,256
RMC00914053,2014-08-21,TMAX,311
RMC00914487,2015-06-04,TMAX,317
RMC00914487,2014-12-13,TMIN,267
RMC00914487,2015-08-04,TMIN,244
RMC00914053,2015-07-21,TMAX,283
RMC00914487,2014-05-21,TMIN,261
RMC00914487,2015-03-26,TMAX,289
RMC00914487,2014-05-05,TMIN,256
RMC00914053,2015-02-27,TMIN,256
RMC00914053,2014-08-15,TMIN,267
RMC00914487,2015-07-30,TMAX,317
RMC00914487,2015-02-18,TMIN,267
RMC00914487,2015-12-19,TMIN,256
RMC00914053,2014-05-22,TMAX,300
RMC00914053,2014-09-27,TMAX,306
RMC00914053,2014-02-01,TMIN,256
RMC00914487,2015-06-01,TMAX,322
RMC00914053,2014-04-10,TMAX,278
RMC00914053,2014-02-01,TMAX,306
RMC00914487,2015-09-24,TMIN,267
RMC00914053,2014-12-05,TMAX,317
RMC00914053,2015-01-10,TMAX,306
RMC00914487,2014-09-27,TMAX,278
RMC00914053,2015-10-26,TMAX,317
RMC00914053,2014-04-14,TMIN,239
RMC00914053,2015-08-10,TMIN,244
RMC00914487,2014-06-24,TMIN,267
RMC00914053,2014-11-22,TMAX,306
RMC00914053,2005-12-20,TMAX,294
RMC00914053,2015-02-20,TMAX,317
RMC00914053,2014-11-16,TMIN,233
RMC00914053,2015-08-10,TMAX,311
RMC00914053,2015-07-10,TMIN,261
RMC00914053,2014-03-22,TMAX,317
RMC00914487,2014-12-31,TMAX,317
RMC00914487,2015-09-24,TMAX,322
RMC00914487,2015-08-22,TMIN,256
RMC00914053,2014-12-16,TMAX,306
RMC00914053,2014-12-16,TMIN,261
