ID,Date,Element,Data_Value
ET000063331,2007-08-23,TMIN,139
ET000063331,2015-06-16,TMIN,155
ET000063331,2006-11-25,TMIN,110
ET000063331,2015-01-16,TMIN,125
ET000063331,2006-05-17,TMIN,150
ET000063331,2006-03-02,TMAX,290
ET000063331,2006-08-09,TMIN,128
ET000063331,2013-12-25,TMIN,120
ET000063331,2010-07-17,TMIN,145
ET000063331,2006-08-23,TMIN,130
ET000063331,2014-02-04,TMIN,140
ET000063331,2008-02-23,TMIN,151
ET000063331,2014-09-01,TMIN,140
ET000063331,2006-10-11,TMAX,270
ET000063331,2013-10-09,TMIN,130
ET000063331,2015-05-28,TMIN,145
ET000063331,2006-05-15,TMAX,276
ET000063331,2014-10-30,TMIN,120
ET000063331,2013-03-10,TMIN,140
ET000063331,2007-11-09,TMIN,140
ET000063331,2015-06-11,TMIN,150
ET000063331,2014-10-26,TMIN,105
ET000063331,2008-02-10,TMIN,142
ET000063331,2010-07-22,TMIN,145
ET000063331,2011-02-24,TMIN,160
ET000063331,2013-08-13,TMIN,154
ET000063331,2006-10-11,TMIN,120
ET000063331,2009-04-30,TMIN,159
ET000063331,2006-12-02,TMIN,115
ET000063331,2011-05-26,TMIN,145
ET000063331,2006-11-26,TMIN,99
ET000063331,2010-08-15,TMIN,150
ET000063331,2007-10-02,TMIN,130
ET000063331,2008-03-24,TMIN,185
ET000063331,2015-02-20,TMIN,155
ET000063331,2011-03-24,TMIN,180
ET000063331,2006-05-17,TMAX,270
ET000063331,2009-08-30,TMIN,130
ET000063331,2014-06-25,TMIN,150
ET000063331,2006-04-19,TMIN,168
ET000063331,2006-08-02,TMIN,120
ET000063331,2014-04-25,TMIN,173
ET000063331,2014-02-21,TMIN,148
ET000063331,2006-07-19,TMIN,120
ET000063331,2006-04-02,TMIN,146
ET000063331,2014-08-31,TMIN,135
ET000063331,2006-04-19,TMAX,305
ET000063331,2006-11-25,TMAX,252
ET000063331,2014-07-01,TMIN,150
ET000063331,2008-11-09,TMIN,113
ET000063331,2006-08-09,TMAX,215
ET000063331,2006-04-02,TMAX,305
ET000063331,2013-02-06,TMIN,138
ET000063331,2013-03-12,TMIN,135
ET000063331,2006-05-18,TMIN,130
ET000063331,2010-08-12,TMIN,132
ET000063331,2009-09-28,TMIN,130
ET000063331,2009-06-23,TMIN,152
ET000063331,2009-12-08,TMIN,135
ET000063331,2006-05-18,TMAX,278
ET000063331,2014-05-19,TMIN,130
ET000063331,2011-05-04,TMIN,124
ET000063331,2006-11-26,TMAX,266
ET000063331,2006-07-19,TMAX,245
ET000063331,2013-02-17,TMIN,148
ET000063331,2014-02-18,TMIN,135
ET000063331,2011-02-12,TMIN,133
ET000063331,2009-10-12,TMIN,100
ET000063331,2007-11-19,TMIN,97
ET000063331,2006-03-20,TMIN,165
ET000063331,2007-09-09,TMIN,138
ET000063331,2006-10-09,TMIN,130
ET000063331,2011-05-27,TMIN,160
ET000063331,2014-04-20,TMIN,195
ET000063331,2010-08-04,TMIN,146
ET000063331,2012-03-03,TMIN,145
ET000063331,2014-10-04,TMIN,140
ET000063331,2008-04-05,TMIN,182
ET000063331,2011-03-28,TMIN,170
ET000063331,2015-06-01,TMIN,140
ET000063331,2007-04-07,TMIN,162
ET000063331,2011-04-12,TMIN,201
ET000063331,2006-05-11,TMIN,160
ET000063331,2007-07-19,TMIN,120
ET000063331,2006-11-09,TMIN,125
ET000063331,2006-10-30,TMAX,255
ET000063331,2007-03-24,TMIN,142
ET000063331,2007-12-08,TMIN,120
ET000063331,2015-04-02,TMIN,146
ET000063331,2015-04-09,TMIN,150
ET000063331,2008-02-02,TMIN,112
ET000063331,2007-04-05,TMIN,130
ET000063331,2009-10-13,TMIN,120
ET000063331,2006-12-21,TMIN,111
ET000063331,2006-10-30,TMIN,135
ET000063331,2014-02-05,TMIN,150
ET000063331,2008-10-14,TMIN,102
ET000063331,2010-03-07,TMIN,125
ET000063331,2006-07-14,TMIN,135
ET000063331,2012-09-25,TMIN,135
ET000063331,2010-08-26,TMIN,137
ET000063331,2009-10-22,TMIN,146
ET000063331,2007-12-27,TMIN,136
ET000063331,2015-02-14,TMIN,120
ET000063331,2006-07-31,TMIN,130
ET000063331,2015-04-11,TMIN,175
ET000063331,2013-08-17,TMIN,134
ET000063331,2006-04-18,TMAX,310
ET000063331,2007-08-18,TMIN,129
ET000063331,2013-08-11,TMIN,140
ET000063331,2006-08-01,TMAX,215
ET000063331,2009-09-19,TMIN,110
ET000063331,2006-05-23,TMIN,150
ET000063331,2014-04-17,TMIN,150
ET000063331,2007-12-18,TMIN,135
ET000063331,2012-04-29,TMIN,170
ET000063331,2009-07-13,TMIN,136
ET000063331,2006-06-25,TMIN,140
ET000063331,2010-08-27,TMIN,148
ET000063331,2007-08-10,TMIN,141
ET000063331,2009-06-16,TMIN,174
ET000063331,2013-08-10,TMIN,145
ET000063331,2014-03-02,TMIN,160
ET000063331,2006-07-29,TMIN,135
ET000063331,2010-10-07,TMIN,130
ET000063331,2007-12-14,TMIN,120
ET000063331,2015-01-09,TMIN,110
ET000063331,2006-05-10,TMAX,290
ET000063331,2014-01-11,TMIN,110
ET000063331,2011-05-13,TMIN,155
ET000063331,2013-10-04,TMIN,135
ET000063331,2006-09-30,TMIN,122
ET000063331,2013-03-07,TMIN,140
ET000063331,2006-07-08,TMAX,266
ET000063331,2014-07-31,TMIN,140
ET000063331,2006-05-10,TMIN,160
ET000063331,2008-09-03,TMIN,140
ET000063331,2007-06-03,TMIN,146
ET000063331,2013-09-30,TMIN,165
ET000063331,2008-08-08,TMIN,145
ET000063331,2009-06-18,TMIN,157
ET000063331,2007-05-24,TMIN,142
ET000063331,2008-09-13,TMIN,124
ET000063331,2006-07-27,TMAX,235
ET000063331,2008-05-12,TMIN,165
ET000063331,2010-01-04,TMIN,90
ET000063331,2010-11-07,TMIN,150
ET000063331,2006-10-20,TMAX,282
ET000063331,2007-05-25,TMIN,145
ET000063331,2013-11-20,TMIN,105
ET000063331,2012-12-26,TMIN,93
ET000063331,2011-05-30,TMIN,163
ET000063331,2006-07-30,TMAX,220
ET000063331,2015-01-31,TMIN,135
ET000063331,2006-11-03,TMIN,115
ET000063331,2007-10-29,TMIN,104
ET000063331,2011-05-29,TMIN,156
ET000063331,2013-07-16,TMIN,130
ET000063331,2013-12-15,TMIN,87
ET000063331,2014-07-20,TMIN,150
ET000063331,2006-12-01,TMIN,115
