ID,Date,Element,Data_Value
BR001065002,2009-07-01,TMIN,205
BR001065002,2006-02-12,TMAX,315
BR001065002,2005-02-14,TMIN,214
BR001065002,2006-09-01,TMIN,216
BR001065002,2011-03-02,TMIN,200
BR001065002,2009-03-06,TMIN,217
BR001065002,2006-12-19,TMIN,229
BR001065002,2010-05-10,TMAX,275
BR001065002,2007-09-22,TMAX,362
BR001065002,2008-02-18,TMIN,223
BR001065002,2009-03-12,TMIN,232
BR001065002,2010-02-24,TMAX,320
BR001065002,2008-12-17,TMAX,320
BR001065002,2006-08-26,TMIN,220
BR001065002,2009-09-22,TMAX,320
BR001065002,2008-06-17,TMIN,130
BR001065002,2009-07-01,TMAX,328
BR001065002,2008-09-23,TMAX,350
BR001065002,2010-02-03,TMIN,230
BR001065002,2011-04-09,TMIN,212
BR001065002,2006-12-19,TMAX,328
BR001065002,2005-05-25,TMIN,206
BR001065002,2006-10-22,TMIN,208
BR001065002,2007-03-21,TMIN,226
BR001065002,2008-09-27,TMAX,364
BR001065002,2008-11-19,TMAX,298
BR001065002,2009-12-10,TMAX,305
BR001065002,2007-09-22,TMIN,205
BR001065002,2006-12-20,TMIN,218
BR001065002,2006-07-14,TMAX,360
BR001065002,2011-01-06,TMAX,310
BR001065002,2008-12-17,TMIN,228
BR001065002,2008-04-29,TMAX,328
BR001065002,2010-05-06,TMAX,322
BR001065002,2007-01-11,TMAX,334
BR001065002,2009-03-24,TMIN,228
BR001065002,2008-02-06,TMIN,216
BR001065002,2008-04-16,TMAX,275
BR001065002,2006-09-14,TMIN,217
BR001065002,2006-01-06,TMIN,206
BR001065002,2010-12-20,TMIN,208
BR001065002,2007-07-15,TMIN,201
BR001065002,2009-12-10,TMIN,220
BR001065002,2006-05-26,TMIN,180
BR001065002,2006-08-15,TMAX,364
BR001065002,2010-02-13,TMIN,223
BR001065002,2009-04-23,TMIN,218
BR001065002,2005-04-08,TMAX,348
BR001065002,2011-05-18,TMIN,184
BR001065002,2008-04-20,TMIN,204
BR001065002,2005-03-16,TMAX,315
BR001065002,2007-03-14,TMIN,218
BR001065002,2005-01-27,TMIN,221
BR001065002,2009-01-03,TMIN,230
BR001065002,2005-08-10,TMIN,120
BR001065002,2007-07-30,TMIN,138
BR001065002,2009-10-03,TMAX,348
BR001065002,2010-02-13,TMAX,310
BR001065002,2009-04-25,TMIN,202
BR001065002,2009-03-06,TMAX,338
BR001065002,2006-03-25,TMAX,338
BR001065002,2009-07-13,TMIN,160
BR001065002,2006-08-15,TMIN,228
