ID,Date,Element,Data_Value
CA008504175,2006-09-12,TMAX,187
CA008504175,2011-12-15,TMIN,-108
CA008504175,2012-03-19,TMAX,18
CA008504175,2010-10-27,TMAX,38
CA008504175,2012-07-04,TMIN,126
CA008504175,2012-09-14,TMIN,56
CA008504175,2008-11-02,TMIN,-76
CA008504175,2009-09-26,TMAX,111
CA008504175,2006-07-24,TMAX,225
CA008504175,2012-06-17,TMAX,273
CA008504175,2007-06-22,TMAX,106
CA008504175,2010-11-08,TMIN,-98
CA008504176,2014-03-05,TMAX,-197
CA008504175,2011-08-15,TMIN,86
CA008504175,2006-07-24,TMIN,69
CA008504175,2009-01-18,TMAX,-240
CA008504176,2014-09-12,TMIN,15
CA008504176,2013-12-30,TMIN,-332
CA008504175,2008-12-17,TMAX,-220
CA008504175,2008-05-07,TMIN,-15
CA008504175,2013-01-09,TMAX,-130
CA008504176,2014-07-06,TMIN,7
CA008504175,2005-10-29,TMAX,87
CA008504175,2010-01-03,TMAX,-10
CA008504175,2010-01-07,TMIN,-97
CA008504175,2005-07-08,TMIN,113
CA008504175,2012-03-19,TMIN,-113
CA008504175,2012-02-13,TMIN,-276
CA008504175,2005-10-27,TMAX,9
CA008504175,2005-10-27,TMIN,-39
CA008504175,2009-03-06,TMIN,-316
CA008504175,2011-05-04,TMAX,41
CA008504175,2005-07-08,TMAX,264
CA008504175,2009-01-08,TMAX,-151
CA008504175,2009-01-25,TMIN,-341
CA008504175,2007-06-22,TMIN,64
CA008504175,2009-10-20,TMIN,-10
CA008504175,2005-02-22,TMAX,-148
CA008504175,2011-12-15,TMAX,-60
CA008504175,2012-04-30,TMIN,-47
CA008504175,2011-12-30,TMIN,-285
CA008504175,2005-04-14,TMAX,-37
CA008504175,2007-06-05,TMAX,179
CA008504175,2005-02-23,TMAX,-117
CA008504175,2009-04-26,TMAX,6
CA008504175,2005-05-23,TMIN,41
CA008504175,2009-04-26,TMIN,-77
CA008504175,2008-10-10,TMIN,-30
CA008504175,2012-03-26,TMIN,-204
CA008504175,2005-03-20,TMAX,-59
CA008504175,2009-08-11,TMAX,159
CA008504176,2013-06-24,TMAX,200
CA008504176,2013-08-22,TMIN,72
CA008504175,2013-01-04,TMAX,-238
CA008504175,2009-08-11,TMIN,71
CA008504175,2005-01-17,TMIN,-380
CA008504175,2005-02-02,TMAX,-62
CA008504175,2009-05-30,TMIN,45
CA008504175,2012-07-15,TMAX,227
CA008504175,2012-12-17,TMIN,-246
CA008504175,2005-01-08,TMAX,-136
CA008504176,2014-01-25,TMIN,-278
CA008504175,2012-07-15,TMIN,125
CA008504175,2012-05-23,TMAX,121
CA008504175,2007-04-14,TMAX,36
CA008504175,2005-04-14,TMIN,-156
CA008504175,2012-07-04,TMAX,242
CA008504175,2009-06-16,TMIN,82
CA008504175,2005-03-03,TMIN,-177
CA008504175,2006-04-13,TMAX,53
CA008504175,2006-04-13,TMIN,10
CA008504175,2012-06-26,TMAX,208
CA008504175,2007-02-21,TMIN,-195
CA008504175,2012-02-24,TMAX,-38
CA008504175,2010-03-04,TMAX,-111
CA008504175,2005-04-04,TMIN,7
CA008504175,2012-06-26,TMIN,87
CA008504175,2010-03-04,TMIN,-242
CA008504175,2009-06-16,TMAX,224
CA008504176,2013-06-24,TMIN,51
CA008504175,2011-08-15,TMAX,225
CA008504175,2007-04-14,TMIN,-134
CA008504175,2012-02-24,TMIN,-95
CA008504175,2006-03-31,TMAX,25
CA008504175,2012-05-23,TMIN,-10
CA008504175,2005-02-02,TMIN,-248
CA008504176,2013-02-24,TMIN,-261
CA008504175,2011-01-02,TMAX,-16
CA008504175,2012-11-16,TMIN,-94
CA008504175,2010-10-27,TMIN,-8
CA008504175,2012-04-07,TMIN,-58
CA008504175,2009-10-20,TMAX,18
CA008504175,2005-10-29,TMIN,-10
CA008504175,2008-07-20,TMIN,102
CA008504175,2011-01-02,TMIN,-116
CA008504175,2006-03-31,TMIN,-65
CA008504175,2005-04-24,TMIN,-79
CA008504175,2009-08-30,TMIN,35
CA008504175,2005-04-24,TMAX,45
CA008504176,2013-03-17,TMIN,-279
CA008504176,2013-04-28,TMIN,-42
CA008504175,2008-07-20,TMAX,141
CA008504175,2008-09-29,TMAX,72
CA008504175,2009-08-24,TMAX,139
CA008504175,2009-05-30,TMAX,111
CA008504175,2012-09-10,TMAX,126
CA008504175,2009-07-19,TMAX,178
CA008504176,2013-09-09,TMIN,-5
CA008504175,2008-03-25,TMIN,-241
CA008504175,2005-04-10,TMAX,-54
CA008504175,2007-06-05,TMIN,56
CA008504175,2008-11-02,TMAX,-48
CA008504176,2013-04-28,TMAX,120
CA008504175,2005-04-10,TMIN,-129
CA008504176,2013-12-30,TMAX,-248
CA008504176,2014-05-03,TMIN,-10
CA008504175,2007-04-20,TMIN,-50
CA008504176,2014-01-25,TMAX,-150
CA008504176,2014-08-01,TMIN,121
CA008504175,2007-04-20,TMAX,62
CA008504175,2010-02-11,TMAX,-66
CA008504175,2008-03-25,TMAX,-80
CA008504175,2005-05-23,TMAX,213
CA008504175,2010-08-01,TMIN,108
CA008504175,2012-12-17,TMAX,-164
CA008504175,2009-08-24,TMIN,25
CA008504175,2012-11-25,TMAX,9
CA008504175,2008-07-27,TMAX,244
CA008504175,2005-05-01,TMIN,2
CA008504175,2005-05-01,TMAX,33
CA008504175,2012-04-08,TMAX,59
CA008504176,2014-04-07,TMIN,-182
CA008504176,2013-10-03,TMAX,67
CA008504175,2009-08-14,TMAX,222
CA008504175,2005-09-21,TMAX,40
CA008504175,2011-08-21,TMAX,189
CA008504175,2012-10-11,TMIN,-9
CA008504175,2008-05-07,TMAX,157
CA008504175,2012-12-19,TMIN,-188
CA008504175,2010-12-26,TMIN,-190
CA008504175,2010-02-28,TMAX,18
CA008504175,2008-08-19,TMAX,102
CA008504176,2014-02-26,TMIN,-295
CA008504175,2005-03-04,TMAX,-131
CA008504176,2014-09-12,TMAX,75
CA008504175,2007-05-21,TMIN,-59
CA008504175,2005-08-06,TMAX,189
CA008504175,2009-09-20,TMIN,23
CA008504175,2008-08-19,TMIN,70
CA008504176,2013-12-11,TMIN,-281
CA008504176,2013-11-18,TMIN,14
CA008504175,2005-08-06,TMIN,96
CA008504175,2010-02-28,TMIN,-133
CA008504175,2011-04-22,TMIN,-122
CA008504175,2009-05-03,TMAX,30
CA008504176,2014-08-28,TMAX,147
CA008504175,2010-11-08,TMAX,-7
CA008504175,2007-09-17,TMIN,68
CA008504175,2005-09-21,TMIN,4
CA008504175,2012-12-19,TMAX,-129
CA008504175,2006-06-04,TMAX,205
CA008504175,2005-09-30,TMAX,87
CA008504175,2008-12-01,TMIN,-129
CA008504175,2005-09-30,TMIN,8
CA008504176,2013-10-04,TMIN,16
CA008504175,2011-09-22,TMIN,59
CA008504176,2013-12-31,TMIN,-373
CA008504175,2007-09-17,TMAX,165
CA008504175,2012-07-28,TMAX,202
CA008504176,2013-08-15,TMAX,124
CA008504175,2010-04-03,TMIN,-3
CA008504175,2012-10-11,TMAX,57
CA008504175,2011-04-05,TMIN,-65
CA008504175,2005-03-04,TMIN,-231
CA008504175,2009-01-22,TMAX,-158
CA008504175,2010-04-03,TMAX,147
CA008504175,2012-07-28,TMIN,85
CA008504175,2005-11-12,TMAX,-29
CA008504175,2005-12-09,TMIN,-186
CA008504176,2013-12-11,TMAX,-242
CA008504175,2005-11-12,TMIN,-90
CA008504176,2013-03-01,TMIN,-109
CA008504175,2012-04-08,TMIN,-47
CA008504175,2012-06-30,TMIN,139
CA008504175,2008-12-22,TMIN,-351
CA008504176,2014-05-31,TMIN,-35
CA008504175,2008-12-22,TMAX,-227
CA008504175,2007-05-03,TMAX,32
CA008504175,2007-06-11,TMIN,110
CA008504175,2005-01-19,TMAX,-188
CA008504175,2006-08-23,TMIN,52
CA008504175,2012-10-01,TMIN,28
CA008504175,2010-08-23,TMIN,109
CA008504175,2007-06-11,TMAX,287
CA008504175,2006-08-13,TMAX,96
CA008504175,2012-03-26,TMAX,-131
CA008504175,2007-05-03,TMIN,-12
CA008504175,2011-03-06,TMAX,-135
CA008504175,2005-09-03,TMIN,55
CA008504176,2014-01-26,TMAX,-126
CA008504175,2010-12-31,TMAX,-45
CA008504175,2009-08-14,TMIN,136
CA008504175,2007-11-29,TMAX,-113
CA008504175,2008-12-10,TMAX,-190
CA008504175,2012-04-29,TMAX,-20
CA008504175,2009-05-03,TMIN,-65
CA008504175,2008-02-07,TMIN,-333
CA008504175,2012-04-29,TMIN,-108
CA008504175,2010-02-19,TMAX,-7
CA008504176,2014-09-07,TMIN,32
CA008504176,2014-09-07,TMAX,99
CA008504175,2009-07-20,TMIN,99
CA008504175,2009-01-01,TMIN,-257
CA008504176,2013-10-03,TMIN,25
CA008504176,2013-03-09,TMAX,34
CA008504175,2005-08-11,TMAX,151
CA008504175,2011-04-22,TMAX,61
CA008504175,2011-12-11,TMIN,-272
CA008504175,2007-12-26,TMIN,-243
CA008504175,2009-04-22,TMIN,1
CA008504175,2011-09-22,TMAX,81
CA008504175,2012-09-14,TMAX,106
CA008504176,2014-05-03,TMAX,43
CA008504175,2005-12-09,TMAX,-110
CA008504175,2005-03-07,TMAX,-202
CA008504175,2007-11-29,TMIN,-221
CA008504175,2006-08-23,TMAX,96
CA008504175,2009-01-06,TMAX,-127
