ID,Date,Element,Data_Value
PK000041560,2012-02-13,TMAX,78
PK000041560,2009-11-06,TMIN,65
PK000041560,2009-10-28,TMAX,180
PK000041560,2012-08-23,TMAX,280
PK000041560,2006-01-13,TMIN,-35
PK000041560,2011-10-26,TMAX,150
PK000041560,2007-05-16,TMIN,170
PK000041560,2007-12-13,TMIN,-32
PK000041560,2012-06-07,TMAX,332
PK000041560,2011-01-19,TMAX,94
PK000041560,2012-09-07,TMIN,110
PK000041560,2010-04-23,TMAX,220
PK000041560,2006-09-24,TMAX,247
PK000041560,2010-05-01,TMAX,120
PK000041560,2008-12-29,TMIN,-40
PK000041560,2009-10-08,TMAX,276
PK000041560,2005-08-22,TMAX,298
PK000041560,2012-01-24,TMAX,57
PK000041560,2012-08-23,TMIN,123
PK000041560,2011-07-08,TMAX,296
PK000041560,2008-12-12,TMIN,-40
PK000041560,2006-08-10,TMIN,170
PK000041560,2010-06-27,TMAX,285
PK000041560,2005-06-27,TMIN,230
PK000041560,2010-08-16,TMAX,250
PK000041560,2006-08-17,TMAX,276
PK000041560,2009-09-24,TMAX,310
PK000041560,2006-05-19,TMIN,160
PK000041560,2011-07-28,TMIN,160
PK000041560,2012-10-15,TMIN,40
PK000041560,2008-12-09,TMAX,96
PK000041560,2012-05-28,TMIN,80
PK000041560,2008-05-05,TMAX,305
PK000041560,2008-02-14,TMAX,80
PK000041560,2012-10-05,TMAX,165
PK000041560,2011-11-25,TMAX,115
PK000041560,2013-04-25,TMAX,130
PK000041560,2009-12-02,TMAX,90
PK000041560,2012-05-31,TMAX,290
PK000041560,2005-08-26,TMIN,176
PK000041560,2006-08-17,TMIN,170
PK000041560,2012-02-09,TMIN,-143
PK000041560,2009-11-06,TMAX,160
PK000041560,2005-09-02,TMIN,185
PK000041560,2014-01-15,TMIN,-115
PK000041560,2011-10-04,TMIN,75
PK000041560,2007-11-13,TMAX,165
PK000041560,2009-10-28,TMIN,70
PK000041560,2011-12-21,TMAX,62
PK000041560,2010-09-07,TMAX,380
PK000041560,2006-10-28,TMAX,205
PK000041560,2005-07-09,TMAX,306
PK000041560,2011-05-23,TMIN,170
PK000041560,2010-07-10,TMIN,140
PK000041560,2011-04-08,TMAX,210
PK000041560,2010-02-18,TMAX,37
PK000041560,2007-11-08,TMIN,50
PK000041560,2012-03-19,TMIN,-10
PK000041560,2013-12-14,TMIN,-55
PK000041560,2009-03-02,TMAX,126
PK000041560,2007-02-01,TMAX,160
PK000041560,2005-09-28,TMAX,263
PK000041560,2005-04-24,TMIN,120
PK000041560,2008-04-01,TMAX,245
PK000041560,2006-01-13,TMAX,130
PK000041560,2006-10-06,TMIN,134
PK000041560,2010-09-15,TMIN,125
PK000041560,2010-06-05,TMAX,220
PK000041560,2005-08-28,TMAX,250
PK000041560,2005-09-16,TMIN,155
PK000041560,2006-05-21,TMAX,320
PK000041560,2011-11-06,TMAX,105
PK000041560,2010-03-26,TMAX,230
PK000041560,2005-08-22,TMIN,183
PK000041560,2011-03-10,TMIN,-18
PK000041560,2011-10-26,TMIN,35
PK000041560,2007-07-08,TMAX,300
PK000041560,2011-12-04,TMIN,1
PK000041560,2013-09-12,TMAX,240
PK000041560,2010-10-10,TMIN,60
PK000041560,2012-06-06,TMIN,125
PK000041560,2012-08-10,TMIN,170
PK000041560,2011-10-27,TMIN,45
PK000041560,2015-09-13,TMAX,260
PK000041560,2007-07-08,TMIN,200
PK000041560,2013-03-25,TMIN,-15
PK000041560,2013-01-03,TMIN,-103
PK000041560,2010-09-15,TMAX,250
PK000041560,2010-08-16,TMIN,100
PK000041560,2006-12-14,TMAX,130
PK000041560,2009-10-03,TMAX,302
PK000041560,2011-10-29,TMAX,155
PK000041560,2007-10-10,TMIN,90
PK000041560,2006-04-07,TMAX,256
PK000041560,2005-09-16,TMAX,287
PK000041560,2006-08-31,TMIN,158
PK000041560,2013-04-15,TMIN,30
PK000041560,2011-05-05,TMAX,278
PK000041560,2011-04-16,TMAX,214
PK000041560,2013-12-09,TMAX,60
PK000041560,2006-09-24,TMIN,118
PK000041560,2010-08-15,TMIN,90
PK000041560,2006-01-19,TMAX,82
PK000041560,2008-02-14,TMIN,-40
PK000041560,2011-05-18,TMIN,125
PK000041560,2012-07-07,TMIN,212
PK000041560,2011-06-08,TMIN,170
PK000041560,2011-12-17,TMIN,-38
PK000041560,2008-07-28,TMAX,293
PK000041560,2006-12-29,TMIN,-27
PK000041560,2007-09-23,TMAX,250
PK000041560,2011-12-21,TMIN,-32
PK000041560,2005-10-23,TMIN,70
PK000041560,2007-04-01,TMAX,167
PK000041560,2012-02-03,TMAX,90
PK000041560,2007-09-23,TMIN,130
PK000041560,2007-10-19,TMAX,160
PK000041560,2007-03-28,TMAX,253
PK000041560,2011-03-26,TMAX,220
PK000041560,2008-12-09,TMIN,-25
PK000041560,2009-10-10,TMAX,250
PK000041560,2007-01-12,TMIN,-80
PK000041560,2005-10-26,TMAX,212
PK000041560,2006-08-14,TMIN,185
PK000041560,2006-02-02,TMIN,14
PK000041560,2010-04-25,TMAX,220
PK000041560,2011-09-16,TMIN,130
PK000041560,2012-05-27,TMIN,78
PK000041560,2007-03-08,TMIN,30
PK000041560,2008-01-06,TMAX,65
PK000041560,2010-04-11,TMIN,240
PK000041560,2014-01-12,TMAX,42
PK000041560,2011-02-27,TMIN,-30
PK000041560,2012-08-25,TMAX,265
PK000041560,2005-11-22,TMAX,190
PK000041560,2010-06-07,TMIN,92
PK000041560,2011-04-24,TMIN,82
PK000041560,2012-02-03,TMIN,-90
PK000041560,2008-09-03,TMAX,270
PK000041560,2005-12-30,TMAX,137
PK000041560,2007-02-23,TMIN,-10
PK000041560,2011-10-10,TMAX,194
PK000041560,2011-06-14,TMIN,144
PK000041560,2005-11-22,TMIN,40
PK000041560,2008-04-01,TMIN,70
PK000041560,2012-07-07,TMAX,383
PK000041560,2013-01-12,TMAX,40
PK000041560,2008-01-28,TMIN,-50
PK000041560,2005-03-06,TMIN,37
PK000041560,2007-12-12,TMIN,-20
PK000041560,2012-03-19,TMAX,164
PK000041560,2010-03-13,TMIN,50
PK000041560,2012-12-31,TMIN,-105
PK000041560,2013-04-25,TMIN,30
PK000041560,2011-04-21,TMIN,55
PK000041560,2008-11-28,TMIN,-20
PK000041560,2011-07-14,TMIN,172
PK000041560,2005-09-13,TMIN,150
PK000041560,2007-02-01,TMIN,0
PK000041560,2013-04-12,TMAX,110
PK000041560,2011-04-29,TMAX,283
PK000041560,2006-11-14,TMAX,184
PK000041560,2005-06-27,TMAX,340
PK000041560,2012-05-27,TMAX,270
PK000041560,2012-05-15,TMAX,270
PK000041560,2009-11-15,TMAX,142
PK000041560,2005-08-28,TMIN,158
PK000041560,2006-01-19,TMIN,-59
PK000041560,2012-03-16,TMIN,-36
PK000041560,2005-07-09,TMIN,180
PK000041560,2011-10-29,TMIN,55
PK000041560,2005-08-26,TMAX,285
PK000041560,2006-05-19,TMAX,280
PK000041560,2011-06-27,TMIN,215
PK000041560,2008-12-30,TMIN,-50
PK000041560,2007-02-27,TMIN,-137
PK000041560,2009-05-22,TMIN,220
PK000041560,2010-02-23,TMIN,-35
PK000041560,2010-04-27,TMAX,180
PK000041560,2007-02-23,TMAX,148
PK000041560,2011-11-06,TMIN,24
PK000041560,2005-03-06,TMAX,167
PK000041560,2005-09-13,TMAX,262
PK000041560,2009-03-25,TMAX,150
PK000041560,2005-04-24,TMAX,213
PK000041560,2010-07-09,TMIN,120
PK000041560,2011-12-24,TMAX,94
PK000041560,2011-05-18,TMAX,315
PK000041560,2012-01-05,TMAX,75
PK000041560,2008-05-05,TMIN,140
PK000041560,2006-05-21,TMIN,155
PK000041560,2007-11-08,TMAX,233
PK000041560,2006-02-02,TMAX,158
PK000041560,2010-02-19,TMIN,-60
PK000041560,2011-05-23,TMAX,332
PK000041560,2009-10-08,TMIN,185
PK000041560,2010-09-25,TMIN,110
PK000041560,2012-05-15,TMIN,80
PK000041560,2008-12-12,TMAX,110
PK000041560,2010-02-23,TMAX,70
