ID,Date,Element,Data_Value
MAM00067113,2006-06-05,TMIN,187
MAM00067107,2007-06-19,TMAX,224
MAM00067113,2006-10-29,TMIN,184
MAM00067085,2014-03-14,TMIN,174
MAM00067113,2005-06-25,TMIN,176
MAM00067107,2006-11-14,TMIN,146
MAM00067107,2006-06-30,TMIN,54
MAM00067107,2007-06-19,TMIN,34
MAM00067107,2009-05-04,TMIN,96
MAM00067113,2006-11-19,TMIN,194
MAM00067107,2007-09-14,TMIN,93
MAM00067107,2007-01-02,TMAX,271
MAM00067085,2011-09-04,TMAX,247
MAM00067107,2015-02-26,TMIN,166
MA000067143,2014-02-26,TMAX,290
MAM00067113,2006-04-26,TMAX,303
MA000067143,2014-05-08,TMAX,285
MAM00067107,2006-04-12,TMIN,148
MAM00067107,2005-05-26,TMIN,98
MAM00067085,2014-03-14,TMAX,287
MAM00067107,2008-04-09,TMIN,124
MAM00067107,2010-05-28,TMIN,71
MAM00067113,2011-12-06,TMIN,208
MAM00067107,2006-04-12,TMAX,269
MAM00067113,2005-04-06,TMIN,220
MAM00067113,2005-12-03,TMAX,300
MAM00067085,2011-06-28,TMIN,138
MAM00067113,2005-07-30,TMIN,160
MAM00067113,2010-02-16,TMAX,310
MA000067143,2012-12-28,TMIN,220
MAM00067107,2014-09-26,TMAX,245
MAM00067085,2012-12-16,TMAX,276
MAM00067085,2014-03-16,TMIN,183
MAM00067085,2012-06-28,TMAX,222
MAM00067107,2007-10-05,TMAX,313
MAM00067085,2013-11-18,TMAX,313
MA000067143,2014-08-16,TMAX,262
MAM00067107,2010-03-26,TMAX,263
MAM00067107,2015-05-26,TMIN,85
MAM00067107,2006-01-20,TMIN,154
MAM00067107,2012-10-31,TMIN,127
MAM00067113,2012-07-19,TMAX,254
MA000067143,2014-04-18,TMIN,234
MAM00067113,2005-09-27,TMIN,200
MAM00067107,2008-05-23,TMIN,81
MAM00067113,2015-08-13,TMAX,262
MAM00067107,2014-08-28,TMIN,71
MAM00067107,2010-11-17,TMAX,266
MAM00067085,2012-09-28,TMAX,255
MAM00067107,2005-06-14,TMIN,86
MAM00067107,2009-11-06,TMAX,249
MAM00067113,2006-04-26,TMIN,198
MAM00067085,2011-10-12,TMIN,128
MAM00067113,2006-10-29,TMAX,278
MAM00067113,2006-11-19,TMAX,292
MAM00067113,2015-08-13,TMIN,182
MAM00067107,2010-03-26,TMIN,136
MAM00067113,2011-03-25,TMAX,308
MAM00067113,2010-08-01,TMAX,227
MAM00067113,2005-11-27,TMAX,285
MAM00067107,2010-03-30,TMIN,125
MAM00067113,2006-07-28,TMAX,260
MAM00067113,2006-02-20,TMIN,232
MAM00067113,2012-06-06,TMIN,180
MAM00067113,2012-07-19,TMIN,189
MAM00067113,2006-10-17,TMIN,198
MAM00067107,2008-01-16,TMAX,279
MAM00067113,2010-06-09,TMIN,173
MAM00067113,2012-12-09,TMAX,290
MAM00067085,2011-09-04,TMIN,120
MA000067143,2015-03-04,TMIN,200
MAM00067107,2010-12-28,TMAX,280
MAM00067113,2006-09-26,TMIN,144
MAM00067113,2010-07-31,TMAX,254
MAM00067113,2010-05-13,TMIN,196
MA000067143,2014-11-17,TMAX,288
MAM00067085,2012-10-23,TMIN,152
MAM00067113,2006-03-06,TMAX,334
MAM00067107,2007-10-05,TMIN,78
MAM00067107,2011-01-14,TMIN,154
MAM00067113,2011-09-19,TMIN,180
MAM00067085,2013-05-03,TMAX,207
MAM00067085,2014-07-15,TMIN,141
MA000067143,2013-01-06,TMIN,220
MAM00067107,2009-06-15,TMAX,232
MAM00067085,2014-02-19,TMAX,269
MAM00067107,2008-01-16,TMIN,150
MAM00067085,2014-03-06,TMAX,250
MAM00067085,2013-11-16,TMAX,308
MAM00067113,2006-09-26,TMAX,270
MAM00067085,2011-08-11,TMIN,120
MAM00067113,2010-04-04,TMIN,232
MAM00067113,2011-05-19,TMIN,170
MAM00067107,2015-05-20,TMIN,133
MA000067143,2015-01-05,TMAX,320
MAM00067107,2008-01-10,TMIN,176
MAM00067113,2005-06-13,TMIN,189
MA000067143,2013-12-12,TMIN,245
MAM00067113,2006-09-19,TMAX,278
MA000067143,2013-05-17,TMIN,196
MAM00067113,2010-02-23,TMIN,228
MAM00067113,2006-03-10,TMAX,310
MA000067143,2014-11-17,TMIN,220
MAM00067107,2013-01-14,TMIN,166
MAM00067107,2015-05-06,TMIN,92
MA000067143,2013-02-15,TMAX,300
MA000067143,2014-07-03,TMAX,267
