ID,Date,Element,Data_Value
SAM00041136,2007-10-06,TMIN,175
SAM00041136,2007-05-11,TMIN,260
SAM00041136,2014-09-08,TMAX,420
SAM00041136,2009-01-02,TMIN,100
SAM00041136,2013-07-25,TMAX,420
SAM00041136,2014-06-07,TMAX,418
SAM00041136,2011-01-24,TMIN,110
SAM00041136,2008-08-15,TMIN,292
SAM00041136,2007-09-28,TMIN,220
SAM00041136,2010-12-12,TMAX,320
SAM00041136,2007-07-31,TMAX,440
SAM00041136,2012-09-23,TMAX,400
SAM00041136,2012-11-03,TMIN,162
SAM00041136,2012-06-23,TMAX,445
SAM00041136,2013-09-14,TMIN,220
SAM00041136,2007-02-20,TMIN,170
SAM00041136,2007-07-24,TMIN,290
SAM00041136,2012-03-11,TMIN,163
SAM00041136,2013-04-24,TMAX,390
SAM00041136,2007-02-20,TMAX,288
SAM00041136,2007-08-06,TMAX,448
SAM00041136,2006-11-15,TMIN,155
SAM00041136,2013-12-23,TMAX,250
SAM00041136,2013-12-03,TMIN,80
SAM00041136,2007-10-06,TMAX,360
SAM00041136,2014-12-02,TMAX,260
SAM00041136,2009-01-07,TMIN,83
SAM00041136,2009-08-01,TMIN,280
SAM00041136,2010-09-28,TMAX,370
SAM00041136,2007-04-14,TMIN,260
SAM00041136,2009-02-03,TMIN,130
SAM00041136,2009-10-21,TMAX,350
SAM00041136,2010-12-12,TMIN,143
SAM00041136,2015-02-16,TMIN,155
SAM00041136,2006-11-23,TMIN,150
SAM00041136,2015-08-09,TMAX,434
SAM00041136,2009-07-09,TMIN,280
SAM00041136,2009-10-21,TMIN,195
SAM00041136,2014-06-07,TMIN,228
SAM00041136,2010-09-28,TMIN,210
SAM00041136,2008-09-01,TMIN,267
SAM00041136,2013-06-29,TMIN,265
SAM00041136,2010-01-19,TMAX,300
SAM00041136,2010-11-10,TMAX,320
SAM00041136,2011-08-03,TMIN,292
SAM00041136,2013-09-19,TMIN,250
SAM00041136,2007-07-31,TMIN,280
SAM00041136,2007-10-28,TMAX,330
SAM00041136,2013-05-13,TMIN,270
SAM00041136,2005-11-08,TMAX,330
SAM00041136,2009-04-18,TMIN,240
SAM00041136,2014-10-22,TMAX,358
SAM00041136,2013-12-23,TMIN,100
SAM00041136,2011-08-03,TMAX,432
SAM00041136,2009-09-08,TMIN,280
SAM00041136,2011-10-12,TMAX,374
SAM00041136,2009-04-28,TMAX,405
SAM00041136,2011-07-11,TMIN,292
SAM00041136,2012-11-05,TMIN,166
SAM00041136,2008-10-27,TMAX,320
SAM00041136,2009-11-19,TMIN,135
SAM00041136,2014-09-15,TMAX,410
SAM00041136,2014-10-31,TMIN,162
SAM00041136,2012-06-23,TMIN,295
SAM00041136,2012-12-28,TMAX,236
SAM00041136,2015-10-11,TMIN,190
SAM00041136,2011-02-07,TMIN,143
SAM00041136,2008-04-08,TMAX,400
SAM00041136,2005-06-26,TMIN,260
SAM00041136,2005-06-26,TMAX,420
SAM00041136,2010-10-01,TMAX,366
SAM00041136,2008-06-17,TMAX,420
SAM00041136,2014-01-27,TMIN,115
SAM00041136,2009-05-25,TMAX,428
SAM00041136,2015-02-16,TMAX,350
SAM00041136,2006-01-09,TMIN,85
SAM00041136,2006-01-09,TMAX,297
SAM00041136,2014-09-19,TMIN,260
SAM00041136,2006-08-04,TMAX,368
SAM00041136,2012-12-24,TMAX,330
SAM00041136,2008-12-11,TMIN,90
SAM00041136,2015-07-04,TMIN,250
SAM00041136,2013-06-11,TMIN,240
SAM00041136,2008-09-10,TMIN,255
SAM00041136,2009-05-25,TMIN,230
SAM00041136,2014-05-18,TMIN,270
SAM00041136,2007-09-01,TMIN,270
SAM00041136,2010-03-10,TMIN,128
SAM00041136,2010-03-10,TMAX,316
SAM00041136,2014-11-17,TMAX,328
SAM00041136,2014-08-16,TMAX,437
SAM00041136,2007-09-28,TMAX,370
SAM00041136,2009-01-07,TMAX,264
SAM00041136,2012-11-05,TMAX,328
SAM00041136,2014-02-28,TMIN,160
SAM00041136,2014-02-25,TMAX,340
SAM00041136,2006-12-27,TMAX,300
SAM00041136,2012-08-30,TMAX,430
SAM00041136,2011-02-17,TMAX,336
SAM00041136,2015-03-17,TMIN,200
SAM00041136,2007-11-11,TMAX,340
SAM00041136,2010-11-03,TMAX,335
SAM00041136,2008-11-14,TMIN,140
SAM00041136,2011-10-02,TMAX,400
SAM00041136,2007-10-28,TMIN,165
SAM00041136,2008-04-08,TMIN,212
SAM00041136,2013-09-19,TMAX,400
SAM00041136,2007-11-11,TMIN,170
SAM00041136,2014-10-31,TMAX,350
SAM00041136,2011-10-08,TMIN,210
SAM00041136,2009-02-03,TMAX,268
SAM00041136,2009-02-23,TMAX,358
SAM00041136,2013-06-11,TMAX,420
SAM00041136,2010-12-08,TMIN,103
SAM00041136,2010-02-10,TMIN,142
SAM00041136,2010-01-19,TMIN,105
SAM00041136,2006-03-10,TMIN,173
SAM00041136,2009-07-17,TMAX,428
SAM00041136,2013-05-01,TMAX,368
SAM00041136,2011-02-17,TMIN,145
SAM00041136,2008-08-13,TMIN,245
SAM00041136,2011-01-29,TMAX,348
SAM00041136,2011-04-01,TMIN,195
SAM00041136,2010-05-04,TMIN,232
SAM00041136,2014-03-22,TMIN,190
SAM00041136,2012-04-14,TMAX,360
SAM00041136,2009-02-23,TMIN,150
SAM00041136,2008-10-14,TMAX,348
SAM00041136,2014-07-24,TMIN,262
SAM00041136,2009-07-17,TMIN,295
SAM00041136,2008-09-13,TMAX,408
SAM00041136,2007-03-15,TMIN,190
SAM00041136,2013-03-16,TMIN,150
SAM00041136,2005-11-14,TMAX,320
SAM00041136,2011-04-01,TMAX,368
SAM00041136,2007-07-24,TMAX,435
SAM00041136,2011-01-01,TMIN,110
SAM00041136,2012-10-10,TMAX,370
SAM00041136,2006-08-07,TMAX,414
SAM00041136,2015-02-22,TMAX,293
SAM00041136,2006-06-17,TMIN,240
SAM00041136,2006-06-17,TMAX,420
SAM00041136,2007-07-17,TMAX,440
SAM00041136,2013-12-07,TMAX,300
SAM00041136,2012-12-30,TMAX,270
SAM00041136,2011-01-23,TMAX,190
SAM00041136,2013-10-17,TMAX,353
SAM00041136,2010-01-25,TMIN,158
SAM00041136,2013-12-07,TMIN,110
SAM00041136,2013-06-08,TMAX,400
SAM00041136,2008-03-11,TMIN,60
SAM00041136,2006-08-07,TMIN,280
SAM00041136,2005-11-03,TMAX,340
SAM00041136,2013-02-09,TMIN,120
SAM00041136,2014-10-26,TMAX,340
SAM00041136,2005-12-13,TMAX,254
SAM00041136,2007-01-28,TMIN,80
SAM00041136,2015-08-24,TMAX,420
SAM00041136,2011-05-28,TMIN,282
SAM00041136,2012-10-10,TMIN,210
SAM00041136,2010-01-25,TMAX,340
SAM00041136,2010-07-31,TMAX,448
SAM00041136,2014-09-11,TMIN,267
SAM00041136,2011-02-02,TMIN,165
SAM00041136,2008-04-03,TMIN,225
SAM00041136,2015-05-14,TMAX,420
SAM00041136,2015-12-24,TMAX,330
SAM00041136,2009-06-05,TMAX,430
SAM00041136,2010-03-13,TMIN,165
SAM00041136,2007-10-21,TMIN,150
SAM00041136,2014-10-26,TMIN,159
SAM00041136,2006-07-06,TMAX,430
SAM00041136,2015-05-14,TMIN,260
SAM00041136,2014-01-14,TMAX,250
SAM00041136,2006-02-22,TMIN,160
SAM00041136,2009-05-19,TMAX,408
SAM00041136,2011-10-02,TMIN,230
SAM00041136,2008-12-22,TMAX,258
SAM00041136,2010-02-10,TMAX,280
SAM00041136,2010-10-26,TMAX,358
SAM00041136,2007-01-28,TMAX,250
SAM00041136,2014-02-08,TMIN,135
SAM00041136,2010-03-13,TMAX,363
SAM00041136,2009-04-18,TMAX,390
SAM00041136,2005-12-13,TMIN,90
SAM00041136,2011-11-26,TMIN,160
SAM00041136,2010-04-23,TMIN,260
SAM00041136,2008-12-10,TMAX,270
SAM00041136,2015-02-22,TMIN,161
SAM00041136,2014-08-25,TMIN,275
SAM00041136,2006-08-04,TMIN,250
SAM00041136,2013-04-24,TMIN,245
SAM00041136,2008-01-20,TMAX,280
SAM00041136,2009-01-11,TMAX,314
SAM00041136,2006-01-15,TMAX,260
SAM00041136,2005-06-27,TMIN,250
SAM00041136,2013-12-06,TMAX,310
SAM00041136,2012-05-22,TMAX,433
SAM00041136,2010-08-06,TMIN,275
SAM00041136,2012-09-19,TMAX,400
SAM00041136,2007-07-17,TMIN,270
SAM00041136,2011-11-24,TMAX,252
SAM00041136,2014-03-31,TMAX,380
SAM00041136,2011-04-18,TMIN,231
SAM00041136,2007-09-01,TMAX,428
SAM00041136,2012-11-03,TMAX,330
SAM00041136,2007-04-14,TMAX,380
SAM00041136,2009-12-04,TMAX,328
SAM00041136,2011-07-13,TMIN,295
SAM00041136,2012-03-11,TMAX,310
SAM00041136,2008-08-15,TMAX,430
SAM00041136,2011-09-26,TMIN,240
SAM00041136,2008-05-29,TMAX,400
SAM00041136,2008-10-27,TMIN,190
SAM00041136,2006-08-15,TMAX,440
SAM00041136,2012-04-03,TMAX,370
SAM00041136,2009-11-04,TMIN,175
SAM00041136,2008-12-28,TMIN,115
SAM00041136,2013-12-06,TMIN,135
SAM00041136,2014-12-02,TMIN,130
SAM00041136,2006-06-02,TMAX,420
SAM00041136,2008-10-23,TMAX,320
SAM00041136,2008-08-18,TMIN,255
SAM00041136,2006-08-15,TMIN,285
SAM00041136,2008-12-09,TMIN,70
SAM00041136,2013-02-09,TMAX,290
SAM00041136,2010-02-08,TMAX,180
SAM00041136,2008-03-14,TMIN,130
SAM00041136,2013-03-12,TMAX,300
SAM00041136,2008-10-28,TMAX,340
SAM00041136,2007-03-15,TMAX,398
SAM00041136,2013-03-12,TMIN,180
SAM00041136,2008-12-09,TMAX,270
SAM00041136,2015-06-30,TMAX,425
SAM00041136,2012-01-27,TMIN,90
SAM00041136,2009-04-28,TMIN,205
SAM00041136,2012-03-16,TMIN,143
SAM00041136,2013-10-17,TMIN,160
SAM00041136,2007-08-06,TMIN,285
SAM00041136,2008-03-14,TMAX,368
SAM00041136,2011-10-12,TMIN,205
SAM00041136,2011-01-30,TMAX,358
SAM00041136,2008-03-29,TMAX,368
SAM00041136,2006-10-22,TMAX,370
SAM00041136,2010-10-23,TMAX,360
SAM00041136,2014-01-15,TMAX,270
SAM00041136,2006-11-23,TMAX,320
SAM00041136,2005-06-27,TMAX,420
SAM00041136,2008-06-13,TMAX,413
SAM00041136,2009-12-04,TMIN,170
SAM00041136,2014-09-13,TMAX,410
SAM00041136,2010-07-31,TMIN,278
SAM00041136,2014-09-08,TMIN,250
SAM00041136,2011-03-30,TMAX,365
SAM00041136,2006-10-22,TMIN,185
SAM00041136,2015-04-26,TMAX,360
SAM00041136,2009-08-15,TMIN,250
SAM00041136,2013-04-09,TMIN,170
SAM00041136,2014-10-22,TMIN,170
SAM00041136,2009-06-05,TMIN,263
SAM00041136,2011-01-24,TMAX,198
SAM00041136,2008-05-06,TMAX,422
SAM00041136,2013-12-03,TMAX,256
SAM00041136,2013-02-27,TMIN,120
SAM00041136,2015-12-15,TMIN,162
SAM00041136,2013-01-26,TMIN,133
SAM00041136,2008-07-22,TMIN,270
SAM00041136,2009-06-20,TMIN,270
SAM00041136,2006-07-28,TMIN,278
SAM00041136,2011-05-17,TMIN,240
SAM00041136,2010-12-26,TMIN,80
SAM00041136,2014-07-24,TMAX,427
SAM00041136,2005-11-07,TMAX,330
SAM00041136,2006-04-11,TMIN,195
SAM00041136,2013-05-19,TMAX,420
SAM00041136,2008-09-14,TMAX,410
SAM00041136,2013-11-02,TMAX,340
SAM00041136,2013-11-29,TMIN,80
SAM00041136,2008-02-21,TMIN,120
SAM00041136,2006-04-11,TMAX,385
SAM00041136,2007-09-15,TMIN,250
SAM00041136,2012-01-29,TMAX,330
SAM00041136,2008-12-29,TMIN,120
SAM00041136,2007-12-24,TMIN,70
SAM00041136,2015-05-18,TMIN,270
SAM00041136,2009-02-28,TMAX,390
SAM00041136,2007-09-15,TMAX,400
SAM00041136,2008-07-21,TMIN,275
SAM00041136,2009-02-28,TMIN,170
SAM00041136,2008-07-21,TMAX,442
SAM00041136,2012-11-16,TMAX,324
SAM00041136,2007-02-10,TMIN,120
SAM00041136,2011-05-01,TMIN,205
SAM00041136,2007-02-10,TMAX,330
SAM00041136,2006-07-28,TMAX,428
SAM00041136,2011-10-04,TMIN,230
SAM00041136,2005-12-09,TMAX,287
SAM00041136,2013-05-30,TMIN,255
SAM00041136,2008-12-20,TMAX,200
SAM00041136,2007-05-15,TMIN,260
SAM00041136,2006-10-12,TMAX,378
