ID,Date,Element,Data_Value
CA006014353,2005-05-09,TMIN,23
CA005061376,2010-07-14,TMIN,154
CA005060623,2015-07-20,TMAX,187
CA006016525,2015-04-02,TMIN,-151
CA006016525,2015-08-24,TMIN,67
CA006015026,2014-09-08,TMAX,127
CA005061376,2012-06-01,TMIN,117
CA006016529,2015-11-20,TMIN,-95
CA005060621,2007-04-15,TMAX,115
CA006015025,2009-06-26,TMIN,100
CA006014353,2005-05-27,TMIN,95
CA005060623,2013-01-16,TMAX,-280
CA006017401,2013-09-11,TMIN,62
CA005060623,2014-10-02,TMIN,58
CA006014353,2006-01-01,TMAX,-121
CA005061376,2010-05-02,TMAX,-6
CA005060623,2015-05-18,TMIN,-17
CA005061376,2009-01-31,TMIN,-278
CA006016525,2010-01-18,TMIN,-149
CA006016527,2009-04-20,TMIN,-13
CA005061376,2010-07-14,TMAX,232
CA005060623,2006-10-16,TMAX,12
CA005061376,2013-03-11,TMAX,-55
CA005061376,2013-05-25,TMAX,211
CA006016527,2008-10-04,TMAX,115
CA005060623,2006-10-16,TMIN,-36
CA005060623,2009-02-21,TMIN,-181
CA006014353,2007-02-18,TMIN,-296
CA005060623,2006-09-13,TMIN,69
CA005060623,2012-07-07,TMIN,112
CA006016527,2007-10-24,TMIN,-16
CA006014353,2007-02-18,TMAX,-160
CA006017401,2013-04-07,TMAX,-18
CA006016525,2011-01-05,TMAX,-159
CA006016525,2014-07-27,TMIN,95
CA006016525,2010-10-15,TMIN,25
CA006016527,2008-10-08,TMIN,68
CA006016525,2008-05-22,TMAX,80
CA006016527,2007-05-25,TMIN,13
CA006017400,2007-09-15,TMAX,165
CA005060623,2006-09-13,TMAX,169
CA006016527,2007-07-14,TMIN,86
CA006016525,2015-05-13,TMIN,-6
CA005061376,2009-11-04,TMIN,-74
CA006015025,2007-12-07,TMAX,-190
CA006015025,2010-07-09,TMIN,97
CA006015026,2013-04-07,TMIN,-248
CA006014353,2007-07-12,TMAX,160
CA006016525,2009-09-05,TMAX,257
CA006016525,2005-03-20,TMIN,-125
CA006016525,2010-01-18,TMAX,-131
CA006016525,2011-11-30,TMIN,-151
