ID,Date,Element,Data_Value
GHM00065401,2012-10-06,TMIN,235
UVM00065518,2006-05-02,TMAX,398
UVM00065518,2007-05-27,TMIN,264
UV000005507,2008-09-13,TMIN,215
UV000005507,2007-12-06,TMIN,209
UV000005507,2009-11-11,TMAX,381
UV000005507,2006-11-19,TMIN,194
UVM00065518,2014-09-25,TMIN,233
UVM00065518,2012-07-13,TMAX,324
UV000005507,2010-06-01,TMAX,274
TOM00065355,2008-09-12,TMAX,270
GHM00065401,2008-12-07,TMAX,345
UV000005507,2008-07-17,TMAX,308
TOM00065355,2015-02-04,TMAX,370
GHM00065401,2014-01-07,TMIN,212
TOM00065352,2012-09-14,TMAX,330
UVM00065518,2007-09-21,TMIN,235
UV000005507,2012-04-27,TMAX,417
BN000005319,2009-12-06,TMAX,367
UV000005507,2014-05-25,TMIN,215
UVM00065518,2007-09-21,TMAX,346
TOM00065355,2012-07-18,TMIN,200
BN000005319,2009-12-06,TMIN,170
GHM00065401,2012-10-06,TMAX,351
UVM00065518,2011-02-28,TMAX,350
UVM00065518,2006-10-06,TMIN,241
UV000005507,2008-07-09,TMIN,210
TOM00065352,2008-03-26,TMIN,260
BN000005319,2012-04-05,TMAX,316
UVM00065518,2008-10-15,TMIN,226
BN000005319,2010-08-20,TMIN,230
TOM00065352,2006-06-16,TMAX,356
TOM00065352,2012-02-29,TMAX,410
BN000005319,2011-12-20,TMAX,367
UV000005507,2008-07-17,TMIN,240
TOM00065352,2005-05-18,TMAX,398
UVM00065518,2015-11-17,TMIN,200
TOM00065355,2012-10-10,TMIN,195
UVM00065518,2015-07-09,TMAX,330
UV000005507,2005-06-09,TMIN,220
GHM00065401,2015-06-09,TMAX,336
BN000005319,2005-10-23,TMAX,327
BN000005319,2011-07-29,TMIN,221
TOM00065355,2012-07-18,TMAX,304
UV000005507,2008-09-21,TMAX,332
TOM00065351,2011-10-02,TMIN,210
TOM00065352,2013-09-04,TMAX,302
UV000005507,2014-10-29,TMIN,238
TOM00065352,2006-12-27,TMAX,375
TOM00065357,2015-10-29,TMAX,330
UVM00065518,2011-05-28,TMIN,252
TOM00065351,2011-10-02,TMAX,320
BN000005319,2009-05-17,TMIN,240
GHM00065401,2009-11-03,TMIN,220
BN000005319,2006-06-27,TMIN,240
GHM00065401,2010-08-18,TMIN,230
GHM00065401,2010-08-18,TMAX,294
TOM00065352,2011-05-03,TMAX,390
TOM00065352,2015-08-19,TMAX,317
UV000005507,2010-07-28,TMIN,240
TOM00065355,2015-02-04,TMIN,206
BN000005319,2011-07-29,TMAX,302
TOM00065357,2005-01-20,TMIN,193
TOM00065355,2014-12-26,TMIN,175
GHM00065401,2009-11-03,TMAX,368
BN000005319,2005-10-23,TMIN,206
UVM00065518,2008-03-18,TMAX,392
GHM00065418,2009-05-02,TMIN,263
UVM00065518,2009-05-21,TMIN,279
BN000005319,2011-10-15,TMIN,219
UV000005507,2014-10-22,TMIN,204
BN000005319,2009-09-04,TMIN,215
UVM00065518,2008-08-23,TMAX,284
GHM00065418,2011-12-10,TMIN,196
GHM00065401,2013-03-13,TMIN,274
TOM00065352,2012-07-21,TMIN,242
UVM00065518,2014-11-29,TMAX,365
BN000005319,2011-12-05,TMAX,363
TOM00065355,2011-08-19,TMIN,210
UV000005507,2005-09-07,TMAX,321
UVM00065518,2009-05-21,TMAX,410
UVM00065518,2011-07-07,TMAX,337
TOM00065357,2013-03-18,TMIN,253
TOM00065355,2015-12-14,TMAX,315
GHM00065418,2015-12-22,TMIN,216
BN000005319,2009-09-04,TMAX,284
UV000005507,2005-06-09,TMAX,345
TOM00065355,2014-10-11,TMAX,312
UV000005507,2014-10-22,TMAX,373
TOM00065352,2014-12-01,TMIN,210
GHM00065418,2015-09-09,TMIN,225
BN000005319,2014-11-30,TMIN,175
BN000005319,2009-09-28,TMIN,205
TOM00065352,2012-02-29,TMIN,268
UVM00065518,2013-11-04,TMIN,185
UVM00065518,2015-03-08,TMAX,400
TOM00065352,2012-09-01,TMIN,218
UV000005507,2007-12-05,TMAX,344
BN000005319,2010-08-20,TMAX,322
UVM00065518,2015-11-17,TMAX,358
TOM00065355,2007-12-14,TMIN,170
TOM00065352,2014-05-26,TMAX,362
TOM00065357,2011-11-13,TMIN,175
UVM00065518,2013-06-18,TMIN,215
UV000005507,2011-10-28,TMIN,210
GHM00065401,2011-01-20,TMIN,195
GHM00065401,2011-01-20,TMAX,350
GHM00065401,2010-06-23,TMAX,350
GHM00065418,2013-02-01,TMAX,343
GHM00065418,2013-02-01,TMIN,198
BN000005319,2011-10-15,TMAX,339
GHM00065401,2010-01-05,TMIN,180
UVM00065518,2013-03-21,TMIN,270
BN000005319,2013-08-16,TMIN,204
BN000005319,2013-08-16,TMAX,270
UV000005507,2007-03-17,TMIN,250
TOM00065355,2015-04-29,TMIN,225
UV000005507,2010-07-14,TMIN,259
BN000005319,2014-09-02,TMIN,201
UV000005507,2011-10-28,TMAX,376
BN000005319,2009-05-19,TMIN,226
UVM00065518,2013-10-30,TMIN,236
TOM00065357,2015-04-29,TMIN,235
TOM00065357,2015-10-29,TMIN,218
UVM00065518,2013-10-30,TMAX,358
TOM00065352,2015-04-13,TMIN,272
TOM00065352,2012-08-30,TMIN,240
TOM00065352,2012-08-30,TMAX,335
TOM00065357,2015-04-29,TMAX,390
TOM00065355,2012-10-10,TMAX,318
UVM00065518,2015-03-18,TMIN,256
TOM00065352,2012-02-28,TMIN,275
BN000005319,2009-05-19,TMAX,350
UV000005507,2011-05-21,TMAX,384
UV000005507,2009-07-01,TMAX,302
UV000005507,2006-07-28,TMAX,322
UVM00065518,2009-06-03,TMIN,272
UV000005507,2007-05-30,TMIN,290
UVM00065518,2009-05-06,TMIN,232
UV000005507,2014-03-06,TMIN,239
UV000005507,2010-02-24,TMIN,227
TOM00065355,2008-09-12,TMIN,205
UV000005507,2015-01-12,TMIN,173
UV000005507,2011-05-11,TMAX,397
TOM00065352,2009-01-31,TMIN,205
UVM00065518,2008-05-11,TMIN,274
BN000005319,2014-01-21,TMAX,362
