ID,Date,Element,Data_Value
RSM00032099,2010-11-27,TMIN,-60
RSM00032099,2006-06-02,TMIN,13
RSM00032099,2014-10-09,TMIN,76
RSM00032098,2012-02-08,TMIN,-150
RSM00032099,2006-09-24,TMAX,118
RSM00032098,2013-09-20,TMIN,47
RSM00032098,2011-03-31,TMAX,-17
RSM00032099,2013-12-01,TMIN,-54
RSM00032099,2015-04-27,TMAX,35
RSM00032098,2011-12-31,TMAX,-39
RSM00032098,2008-10-09,TMAX,107
RSM00032098,2012-01-17,TMIN,-233
RSM00032121,2008-10-29,TMAX,46
RSM00032099,2011-10-16,TMIN,86
RSM00032098,2005-02-08,TMAX,-77
RSM00032121,2015-02-18,TMIN,-40
RSM00032098,2010-08-02,TMIN,158
RSM00032099,2013-04-21,TMIN,-7
RSM00032099,2006-06-07,TMAX,32
RSM00032121,2011-01-16,TMAX,3
RSM00032098,2013-02-17,TMIN,-119
RSM00032121,2011-07-15,TMIN,100
RSM00032098,2010-02-13,TMIN,-284
RSM00032121,2005-08-20,TMAX,193
RSM00032099,2006-09-24,TMIN,87
RSM00032099,2010-07-10,TMAX,145
RSM00032098,2010-02-18,TMAX,-115
RSM00032121,2010-01-23,TMIN,-103
RSM00032098,2005-02-26,TMAX,-63
RSM00032099,2011-02-06,TMAX,-88
RSM00032099,2006-07-27,TMIN,60
RSM00032098,2007-02-28,TMIN,-207
RSM00032121,2011-01-02,TMIN,-81
RSM00032098,2005-08-24,TMAX,205
RSM00032099,2008-07-03,TMIN,110
RSM00032098,2015-10-12,TMAX,113
RSM00032121,2006-12-11,TMIN,-97
RSM00032098,2011-09-19,TMIN,24
RSM00032099,2015-12-17,TMIN,-67
RSM00032098,2005-02-26,TMIN,-205
RSM00032098,2005-08-24,TMIN,121
RSM00032098,2011-09-21,TMAX,151
RSM00032098,2010-07-23,TMAX,176
RSM00032121,2008-12-05,TMAX,72
RSM00032099,2008-11-15,TMAX,23
RSM00032121,2007-03-11,TMIN,-45
RSM00032098,2007-02-28,TMAX,-60
RSM00032098,2008-04-06,TMIN,-55
RSM00032121,2008-07-25,TMAX,181
RSM00032121,2010-06-12,TMAX,164
RSM00032098,2011-09-21,TMIN,11
RSM00032098,2015-04-22,TMIN,-39
RSM00032099,2005-08-24,TMAX,171
RSM00032099,2011-02-06,TMIN,-144
RSM00032099,2008-08-23,TMIN,70
RSM00032098,2010-02-13,TMAX,-145
RSM00032099,2008-09-03,TMAX,145
RSM00032098,2011-01-04,TMAX,-94
RSM00032121,2008-07-25,TMIN,136
RSM00032098,2008-11-10,TMAX,34
RSM00032099,2006-07-27,TMAX,160
RSM00032098,2010-11-09,TMIN,-23
RSM00032121,2010-04-19,TMIN,-15
RSM00032098,2009-09-10,TMIN,66
RSM00032099,2013-05-10,TMIN,-36
RSM00032098,2015-04-22,TMAX,66
RSM00032098,2010-07-23,TMIN,101
RSM00032099,2013-04-21,TMAX,35
RSM00032099,2015-12-17,TMAX,-18
RSM00032099,2009-12-02,TMAX,-5
RSM00032098,2005-08-10,TMIN,160
RSM00032098,2011-12-17,TMIN,-268
RSM00032121,2008-12-05,TMIN,-25
RSM00032121,2013-01-28,TMIN,-117
RSM00032098,2013-09-20,TMAX,120
RSM00032121,2009-11-09,TMAX,89
RSM00032121,2006-12-25,TMAX,-64
RSM00032121,2011-09-19,TMAX,160
RSM00032121,2015-02-06,TMAX,-40
RSM00032121,2011-02-24,TMAX,43
RSM00032121,2015-02-18,TMAX,16
RSM00032099,2009-02-16,TMAX,-28
RSM00032121,2013-01-28,TMAX,-47
RSM00032121,2009-11-09,TMIN,-5
RSM00032121,2013-04-04,TMAX,36
RSM00032121,2011-09-19,TMIN,70
RSM00032099,2009-09-07,TMIN,95
RSM00032099,2013-05-10,TMAX,8
RSM00032121,2015-03-25,TMIN,-80
RSM00032121,2010-01-12,TMAX,-106
RSM00032099,2009-05-22,TMAX,83
RSM00032098,2008-12-09,TMIN,-104
RSM00032121,2005-04-19,TMAX,52
RSM00032121,2008-07-05,TMAX,179
