ID,Date,Element,Data_Value
RSM00032408,2015-06-22,TMAX,98
RSM00032447,2012-06-23,TMIN,75
RSM00032447,2009-01-25,TMIN,-291
RSM00032447,2013-08-22,TMAX,239
RSM00032447,2008-04-22,TMAX,87
RSM00032408,2010-03-05,TMAX,-171
RSM00032408,2012-09-03,TMAX,106
RSM00032447,2006-08-20,TMIN,120
RSM00032447,2005-05-17,TMAX,87
RSM00032408,2007-11-29,TMAX,-59
RSM00032408,2010-02-05,TMAX,1
RSM00032447,2012-04-15,TMAX,69
RSM00032447,2012-10-16,TMAX,66
RSM00032408,2012-05-02,TMIN,-10
RSM00032447,2008-05-02,TMIN,-18
RSM00032408,2009-11-22,TMAX,-36
RSM00032447,2010-04-21,TMAX,80
RSM00032447,2011-05-20,TMIN,-11
RSM00032447,2012-01-26,TMAX,-142
RSM00032408,2015-04-17,TMAX,-19
RSM00032447,2009-05-17,TMIN,4
RSM00032408,2007-11-29,TMIN,-123
RSM00032408,2011-11-25,TMIN,-83
RSM00032447,2012-02-22,TMIN,-208
RSM00032408,2009-03-07,TMIN,-220
RSM00032447,2009-12-23,TMIN,-261
RSM00032408,2006-03-19,TMAX,41
RSM00032447,2006-12-12,TMAX,-150
RSM00032447,2010-09-06,TMAX,189
RSM00032408,2012-11-07,TMIN,-35
RSM00032447,2006-01-14,TMAX,-210
RSM00032447,2009-09-30,TMAX,124
RSM00032408,2009-04-09,TMIN,-46
RSM00032408,2009-03-21,TMAX,-2
RSM00032408,2007-05-07,TMIN,-13
RSM00032447,2005-12-22,TMAX,-90
RSM00032408,2015-06-22,TMIN,61
RSM00032447,2011-08-31,TMIN,85
RSM00032447,2009-03-28,TMIN,-147
RSM00032447,2008-07-16,TMAX,214
RSM00032447,2010-01-05,TMIN,-190
RSM00032447,2008-03-27,TMIN,-22
RSM00032447,2012-10-02,TMAX,130
RSM00032447,2008-07-16,TMIN,46
RSM00032408,2011-03-05,TMAX,37
RSM00032447,2009-01-15,TMIN,-380
RSM00032447,2011-08-31,TMAX,221
RSM00032408,2010-01-30,TMAX,-38
RSM00032447,2006-10-07,TMAX,123
RSM00032408,2011-10-19,TMIN,21
RSM00032447,2012-08-08,TMAX,223
RSM00032447,2006-10-07,TMIN,-23
RSM00032447,2010-09-12,TMIN,53
RSM00032408,2012-07-29,TMAX,165
RSM00032447,2007-04-17,TMIN,-73
RSM00032408,2012-07-29,TMIN,41
RSM00032447,2009-09-30,TMIN,-20
RSM00032408,2012-01-21,TMAX,-5
RSM00032447,2005-12-22,TMIN,-200
RSM00032447,2008-12-04,TMIN,-106
RSM00032408,2012-08-01,TMIN,70
RSM00032408,2014-11-16,TMIN,-19
RSM00032408,2014-07-03,TMIN,113
RSM00032408,2010-08-06,TMIN,114
RSM00032447,2005-06-05,TMAX,130
RSM00032408,2011-11-25,TMAX,10
RSM00032408,2012-08-19,TMAX,188
RSM00032447,2006-12-02,TMAX,-115
RSM00032408,2009-03-07,TMAX,-46
RSM00032447,2013-04-24,TMIN,-7
RSM00032447,2007-08-06,TMAX,192
RSM00032447,2009-02-16,TMIN,-227
RSM00032447,2006-12-02,TMIN,-264
RSM00032447,2012-06-23,TMAX,257
RSM00032408,2008-03-15,TMAX,-15
RSM00032447,2012-08-08,TMIN,94
RSM00032408,2005-12-29,TMAX,-168
RSM00032447,2012-04-15,TMIN,-89
RSM00032447,2007-07-04,TMIN,100
RSM00032447,2012-01-26,TMIN,-277
RSM00032447,2009-10-21,TMAX,33
RSM00032447,2013-08-08,TMIN,126
RSM00032408,2011-08-08,TMIN,100
RSM00032408,2009-04-09,TMAX,-3
RSM00032447,2010-09-06,TMIN,68
RSM00032408,2012-08-01,TMAX,197
RSM00032447,2009-05-17,TMAX,119
RSM00032447,2007-08-06,TMIN,120
RSM00032408,2005-09-25,TMAX,114
RSM00032408,2015-03-24,TMAX,1
RSM00032408,2014-08-17,TMIN,75
RSM00032408,2012-05-02,TMAX,93
RSM00032408,2009-05-18,TMAX,70
RSM00032447,2008-06-19,TMIN,108
RSM00032447,2009-03-28,TMAX,55
RSM00032447,2013-04-24,TMAX,31
RSM00032408,2015-04-07,TMIN,-65
RSM00032447,2012-03-25,TMAX,-6
RSM00032408,2007-03-07,TMAX,17
RSM00032447,2008-04-22,TMIN,-58
RSM00032408,2015-04-07,TMAX,12
RSM00032447,2005-05-17,TMIN,-4
RSM00032447,2006-07-30,TMAX,256
RSM00032447,2012-03-25,TMIN,-190
RSM00032408,2008-01-23,TMAX,-1
RSM00032408,2010-04-15,TMAX,13
RSM00032408,2010-02-05,TMIN,-49
RSM00032447,2009-04-30,TMIN,-104
RSM00032447,2012-10-02,TMIN,-70
RSM00032408,2011-11-07,TMIN,-160
RSM00032447,2013-08-11,TMIN,115
RSM00032447,2010-09-12,TMAX,149
RSM00032447,2013-04-12,TMAX,40
RSM00032408,2015-03-24,TMIN,-115
RSM00032447,2013-08-08,TMAX,172
RSM00032447,2006-09-02,TMIN,96
RSM00032447,2009-04-30,TMAX,72
RSM00032447,2011-05-25,TMIN,2
RSM00032408,2015-04-17,TMIN,-145
RSM00032447,2009-01-15,TMAX,-239
RSM00032447,2009-02-16,TMAX,-183
RSM00032408,2010-08-06,TMAX,197
RSM00032447,2006-12-12,TMIN,-254
RSM00032408,2012-11-07,TMAX,64
RSM00032408,2006-03-19,TMIN,-176
RSM00032408,2012-03-03,TMIN,-119
RSM00032408,2007-04-02,TMIN,-5
RSM00032408,2010-04-02,TMIN,-175
RSM00032447,2006-09-02,TMAX,163
RSM00032408,2006-09-02,TMAX,153
RSM00032408,2006-06-24,TMAX,139
RSM00032447,2008-05-02,TMAX,48
RSM00032447,2012-02-22,TMAX,-90
RSM00032408,2010-04-15,TMIN,-46
RSM00032447,2006-01-14,TMIN,-366
RSM00032408,2009-01-06,TMAX,-29
RSM00032447,2008-08-27,TMAX,240
RSM00032408,2009-02-06,TMAX,-65
RSM00032447,2008-03-27,TMAX,36
RSM00032408,2011-11-16,TMAX,5
RSM00032447,2009-10-21,TMIN,-38
RSM00032447,2008-06-19,TMAX,202
RSM00032408,2005-09-25,TMIN,-15
RSM00032447,2005-06-05,TMIN,63
RSM00032408,2014-08-02,TMIN,116
RSM00032447,2013-11-28,TMIN,-69
RSM00032408,2011-11-07,TMAX,16
RSM00032447,2007-07-04,TMAX,227
RSM00032408,2014-07-16,TMIN,92
RSM00032447,2013-08-11,TMAX,244
RSM00032447,2013-11-28,TMAX,-7
RSM00032408,2007-07-21,TMAX,228
RSM00032408,2008-06-19,TMAX,129
RSM00032408,2007-04-02,TMAX,12
RSM00032408,2011-08-08,TMAX,194
RSM00032447,2006-08-20,TMAX,247
RSM00032447,2013-04-27,TMIN,-30
RSM00032408,2008-01-11,TMAX,1
RSM00032447,2012-04-19,TMIN,-50
RSM00032447,2010-09-13,TMAX,166
RSM00032447,2005-08-30,TMIN,144
RSM00032447,2007-12-22,TMIN,-91
RSM00032447,2012-04-19,TMAX,101
RSM00032408,2007-07-04,TMAX,137
RSM00032408,2012-10-06,TMAX,73
RSM00032447,2012-10-23,TMIN,-39
RSM00032408,2007-07-04,TMIN,82
RSM00032447,2012-07-05,TMAX,209
RSM00032408,2015-05-07,TMIN,11
RSM00032447,2011-01-08,TMAX,-225
RSM00032447,2010-08-31,TMAX,162
RSM00032447,2008-06-15,TMIN,75
RSM00032408,2012-10-06,TMIN,-27
RSM00032447,2008-01-13,TMAX,-127
RSM00032447,2007-12-22,TMAX,-59
RSM00032447,2007-10-16,TMAX,42
RSM00032408,2012-08-22,TMAX,220
RSM00032447,2010-07-14,TMAX,183
RSM00032408,2008-04-14,TMAX,-18
RSM00032408,2008-04-14,TMIN,-105
RSM00032408,2012-08-22,TMIN,69
RSM00032447,2008-06-15,TMAX,203
RSM00032408,2013-07-04,TMIN,136
RSM00032447,2009-09-26,TMAX,64
RSM00032447,2009-09-26,TMIN,22
RSM00032447,2013-01-18,TMAX,0
RSM00032447,2006-09-25,TMAX,106
RSM00032408,2008-04-07,TMIN,-49
