ID,Date,Element,Data_Value
TZ000063894,2015-12-30,TMAX,330
TZ000063894,2012-05-22,TMAX,320
TZM00063870,2015-03-22,TMAX,262
TZ000063894,2010-10-21,TMIN,215
TZ000063894,2008-11-04,TMIN,215
TZM00063870,2011-06-12,TMAX,304
TZM00063870,2006-05-09,TMIN,232
TZ000063894,2011-12-05,TMIN,255
TZ000063894,2015-04-05,TMAX,333
TZ000063894,2014-08-22,TMIN,200
TZM00063870,2011-10-01,TMAX,310
TZ000063894,2006-12-03,TMIN,240
TZ000063894,2014-07-08,TMAX,308
TZM00063870,2005-03-30,TMAX,311
TZM00063870,2007-06-28,TMIN,211
TZM00063870,2011-09-15,TMIN,217
TZM00063870,2012-03-10,TMIN,237
TZM00063870,2009-03-10,TMAX,296
TZM00063870,2005-04-25,TMAX,310
TZM00063870,2005-12-13,TMAX,321
TZM00063870,2005-04-25,TMIN,242
TZM00063870,2008-01-15,TMIN,239
TZM00063870,2015-02-26,TMIN,246
TZM00063870,2005-12-13,TMIN,250
TZM00063870,2014-08-15,TMAX,295
TZM00063870,2013-09-06,TMIN,223
TZ000063894,2010-09-30,TMIN,195
TZM00063870,2013-02-01,TMAX,345
TZ000063894,2008-07-02,TMAX,294
TZM00063870,2008-01-15,TMAX,298
TZM00063870,2010-09-02,TMIN,226
TZ000063894,2015-07-20,TMIN,204
TZ000063894,2013-09-27,TMAX,322
TZM00063870,2009-06-05,TMAX,307
TZ000063894,2006-11-25,TMAX,315
TZ000063894,2007-07-19,TMAX,310
TZM00063870,2012-10-21,TMAX,312
TZM00063870,2010-09-20,TMIN,201
TZM00063870,2014-09-02,TMAX,291
TZM00063870,2008-07-11,TMAX,290
TZ000063894,2011-10-15,TMAX,322
TZ000063894,2006-11-25,TMIN,234
TZ000063894,2011-12-08,TMAX,292
TZ000063894,2009-05-15,TMAX,309
TZ000063894,2008-11-04,TMAX,315
TZM00063870,2011-01-10,TMAX,331
TZ000063894,2011-09-10,TMAX,315
TZM00063870,2011-10-01,TMIN,235
TZM00063870,2007-07-17,TMAX,283
TZM00063870,2012-03-10,TMAX,315
TZ000063894,2011-12-05,TMAX,327
TZM00063870,2013-11-13,TMAX,319
TZ000063894,2011-02-20,TMIN,261
TZM00063870,2011-05-24,TMAX,297
TZM00063870,2013-11-13,TMIN,230
TZM00063870,2011-07-01,TMIN,235
TZM00063870,2008-05-23,TMIN,243
TZM00063870,2008-05-15,TMAX,302
TZ000063894,2015-03-24,TMIN,230
TZ000063894,2006-09-19,TMAX,290
TZ000063894,2011-01-19,TMIN,236
TZM00063870,2006-02-10,TMIN,226
TZM00063870,2008-08-17,TMIN,200
TZM00063870,2006-07-26,TMIN,226
TZ000063894,2012-01-29,TMAX,330
TZ000063894,2009-01-13,TMAX,350
TZ000063894,2005-04-10,TMIN,230
TZ000063894,2008-08-08,TMIN,184
TZ000063894,2005-12-13,TMAX,335
TZ000063894,2015-09-14,TMAX,316
TZ000063894,2009-05-20,TMIN,218
TZM00063870,2012-04-18,TMIN,255
TZ000063894,2008-05-07,TMIN,204
TZ000063894,2010-01-26,TMAX,332
TZ000063894,2013-09-26,TMAX,314
TZ000063894,2005-12-13,TMIN,260
TZ000063894,2015-07-26,TMAX,301
TZ000063894,2013-05-02,TMIN,222
TZ000063894,2009-05-20,TMAX,313
TZ000063894,2009-06-14,TMAX,313
TZ000063894,2011-07-10,TMIN,184
TZ000063894,2007-06-26,TMAX,298
TZ000063894,2014-04-24,TMAX,325
TZ000063894,2008-05-07,TMAX,330
TZ000063894,2005-12-21,TMAX,323
TZ000063894,2010-07-05,TMAX,299
TZ000063894,2014-08-13,TMAX,310
TZ000063894,2009-01-13,TMIN,265
TZ000063894,2012-02-21,TMAX,344
TZ000063894,2008-07-07,TMIN,160
TZ000063894,2013-03-11,TMAX,330
TZ000063894,2005-11-09,TMAX,320
TZM00063870,2008-07-27,TMAX,293
TZM00063870,2007-12-26,TMAX,330
TZM00063870,2014-11-23,TMAX,330
TZ000063894,2008-09-11,TMIN,164
TZ000063894,2008-11-21,TMAX,322
TZM00063870,2011-10-02,TMAX,316
TZ000063894,2013-04-23,TMIN,234
