ID,Date,Element,Data_Value
CA00220LQJJ,2006-09-01,TMAX,115
CA00220LQJJ,2006-08-30,TMIN,27
CA002100682,2011-12-22,TMAX,-220
USW00027406,2007-04-27,TMAX,-111
USW00027516,2013-11-23,TMIN,-167
CA002203095,2005-04-06,TMIN,-253
CA002100660,2014-11-10,TMAX,-41
CA002100636,2009-07-20,TMAX,79
CA002100950,2012-08-09,TMAX,179
CA002203095,2014-08-13,TMAX,65
CA00220N005,2008-10-15,TMIN,-154
USW00027406,2007-09-07,TMAX,83
USW00027406,2008-12-23,TMIN,-194
USW00027406,2010-07-29,TMIN,72
CA002100682,2011-03-24,TMIN,-214
CA00220N005,2011-04-13,TMAX,-184
CA002100660,2005-10-03,TMAX,-15
USW00027406,2014-08-28,TMIN,6
CA002100660,2010-08-15,TMAX,232
CA002100660,2005-10-03,TMIN,-166
CA002203095,2014-10-18,TMAX,-19
USW00027406,2007-09-07,TMIN,11
CA002100950,2007-05-19,TMIN,-107
USW00027516,2009-03-29,TMAX,-246
CA002100660,2010-08-15,TMIN,43
CA002100682,2005-03-21,TMIN,-245
USW00027502,2015-12-22,TMAX,-227
CA00220N005,2011-09-12,TMAX,158
CA002100636,2005-09-17,TMIN,23
CA002100636,2005-09-17,TMAX,43
USW00027516,2015-01-02,TMIN,-249
CA00220N005,2005-03-26,TMIN,-297
USW00027502,2006-08-06,TMAX,106
CA002100682,2012-07-08,TMIN,78
USS0048V01S,2010-04-06,TMAX,-123
CA002100950,2012-09-28,TMAX,42
CA002100660,2008-06-24,TMAX,254
CA002100636,2010-05-05,TMAX,-73
USW00027502,2013-05-14,TMAX,-99
USS0048V01S,2014-10-12,TMAX,-23
CA002100950,2014-09-16,TMIN,21
CA002100682,2011-12-22,TMIN,-313
CA002100660,2012-07-06,TMAX,215
CA002100636,2014-01-09,TMIN,-231
CA002100636,2010-05-05,TMIN,-98
USW00027406,2009-06-25,TMAX,33
USW00027502,2006-11-18,TMAX,-133
USW00027406,2010-05-04,TMAX,-56
CA002203095,2006-05-05,TMIN,-49
CA002100660,2011-04-10,TMIN,-282
CA00220N005,2014-05-09,TMIN,-26
CA002203095,2006-11-14,TMAX,-185
CA002100660,2008-04-03,TMAX,-10
USW00027406,2012-11-24,TMIN,-267
CA002100682,2007-06-12,TMAX,19
CA002100682,2008-01-30,TMAX,-341
CA002100636,2005-07-25,TMAX,76
USW00027502,2007-11-29,TMIN,-139
CA002100636,2005-07-25,TMIN,37
CA002100660,2014-12-09,TMAX,-221
USW00027406,2009-03-05,TMIN,-328
CA002100950,2007-01-14,TMAX,-269
USW00027516,2014-04-18,TMAX,-148
CA002203095,2009-08-06,TMAX,91
USW00027502,2012-01-07,TMAX,-189
CA00220N005,2014-10-04,TMIN,-10
USW00027401,2013-03-14,TMAX,-194
CA002203095,2009-08-06,TMIN,37
CA002100682,2014-05-30,TMAX,8
CA002203095,2013-12-06,TMIN,-166
USW00027406,2009-03-05,TMAX,-194
CA002100660,2010-08-01,TMAX,178
CA002203095,2009-07-21,TMAX,35
CA00220N005,2012-03-05,TMAX,-262
USW00027502,2007-11-29,TMAX,-78
CA00220N005,2006-11-27,TMIN,-254
CA002203095,2009-11-23,TMIN,-271
USW00027516,2008-03-01,TMIN,-387
CA002100660,2013-07-30,TMAX,181
USW00027406,2005-04-21,TMIN,-156
CA002100660,2006-02-28,TMAX,-254
CA002203095,2009-07-21,TMIN,6
USW00027502,2014-01-13,TMIN,-327
CA002100950,2008-08-06,TMIN,60
USW00027406,2009-12-26,TMAX,-189
CA002100660,2014-12-09,TMIN,-357
USW00027406,2013-11-03,TMAX,-149
USW00027502,2015-04-12,TMIN,-221
CA00220N005,2012-03-05,TMIN,-319
CA00220N005,2008-09-22,TMIN,5
USW00027401,2014-10-14,TMIN,-44
USW00027406,2007-09-21,TMIN,-28
CA002203095,2006-10-17,TMIN,-56
USS0048V01S,2009-11-05,TMIN,-113
CA002100950,2009-03-05,TMIN,-300
CA002100950,2015-03-19,TMIN,-222
CA00220LQJJ,2006-06-22,TMIN,101
CA002100636,2012-12-11,TMIN,-334
CA002203095,2012-10-12,TMAX,-3
CA00220N005,2009-07-29,TMIN,125
CA002203095,2006-01-02,TMAX,-120
CA00220LQJJ,2014-02-10,TMIN,-274
CA002100636,2006-09-01,TMIN,42
CA002100950,2009-06-21,TMIN,21
CA002100636,2006-12-11,TMAX,-146
CA002203095,2012-10-12,TMIN,-28
USW00027502,2010-04-29,TMAX,-44
CA002203095,2011-03-03,TMAX,-275
CA002100636,2013-11-03,TMAX,-73
CA002100950,2013-03-19,TMIN,-247
CA00220N005,2006-06-09,TMAX,203
CA002100950,2015-04-02,TMAX,-138
CA002100682,2007-01-18,TMIN,-306
USS0048V01S,2014-12-30,TMIN,-197
CA002100950,2015-04-02,TMIN,-195
CA00220N005,2008-10-15,TMAX,-69
USS0048V01S,2012-09-29,TMAX,20
CA002100660,2010-06-12,TMAX,212
CA002100660,2009-06-19,TMIN,27
USW00027401,2013-05-08,TMAX,11
CA002100950,2012-11-29,TMAX,-136
CA002100636,2009-08-21,TMAX,91
CA002203095,2014-08-13,TMIN,37
CA002100660,2013-07-29,TMIN,101
USW00027502,2014-04-23,TMAX,-43
CA002100660,2011-04-10,TMAX,-164
USW00027406,2014-07-25,TMAX,33
USW00027406,2013-01-03,TMIN,-222
USW00027502,2015-12-22,TMIN,-299
CA00220N005,2014-05-09,TMAX,6
CA002100660,2008-11-16,TMAX,-188
CA002100950,2010-06-22,TMAX,106
USW00027406,2007-09-21,TMAX,17
USW00027516,2013-01-14,TMAX,-155
USW00027502,2011-05-18,TMIN,-39
CA002100950,2010-06-22,TMIN,12
CA002100660,2015-10-10,TMIN,-204
USW00027516,2015-11-05,TMIN,-87
USW00027502,2015-03-19,TMAX,-210
USW00027401,2014-04-05,TMIN,-256
USW00027502,2012-12-19,TMIN,-333
CA002100660,2011-07-04,TMIN,50
CA002203095,2006-01-02,TMIN,-159
USW00027516,2013-05-13,TMAX,-75
CA002203095,2011-03-09,TMIN,-358
CA002100682,2005-11-11,TMAX,-158
USW00027516,2012-12-18,TMIN,-261
USS0048V01S,2013-10-20,TMAX,-7
CA002100660,2009-08-03,TMAX,200
CA002203095,2005-07-12,TMAX,112
USW00027516,2011-12-11,TMIN,-165
CA002100682,2006-02-18,TMAX,-95
CA002100660,2009-08-03,TMIN,67
USW00027516,2008-12-23,TMIN,-234
USS0048V01S,2013-03-02,TMIN,-328
USW00027516,2007-09-10,TMAX,113
CA002203095,2005-04-06,TMAX,-93
CA002100682,2012-12-31,TMIN,-199
CA002100682,2006-02-18,TMIN,-195
CA002100660,2009-06-29,TMAX,148
USW00027406,2013-12-16,TMAX,-171
CA002100660,2015-09-11,TMAX,88
CA00220N005,2011-06-29,TMAX,86
USW00027502,2010-06-24,TMAX,56
CA002100682,2012-01-27,TMAX,-307
CA002100660,2009-05-20,TMIN,-20
USW00027516,2015-02-23,TMAX,-157
CA002100636,2014-01-02,TMAX,-215
USW00027516,2005-03-22,TMIN,-196
USW00027502,2009-11-15,TMAX,-167
USW00027406,2005-08-31,TMIN,-28
CA002203095,2007-11-15,TMIN,-144
USS0048V01S,2015-10-16,TMIN,-129
CA002100950,2013-03-30,TMIN,-226
USW00027516,2010-06-14,TMAX,5
USW00027516,2005-11-17,TMAX,-155
CA002100636,2007-09-25,TMIN,-21
CA00220N005,2008-03-24,TMIN,-294
CA002100636,2005-01-09,TMAX,-131
USW00027516,2005-03-22,TMAX,-132
USW00027401,2015-10-02,TMAX,11
USW00027516,2005-02-14,TMAX,-216
USW00027502,2008-03-14,TMIN,-311
CA002100682,2008-05-13,TMAX,-19
CA002100950,2011-08-25,TMAX,79
USW00027516,2007-06-20,TMIN,3
USW00027406,2007-03-25,TMAX,-306
CA002100660,2010-06-14,TMIN,-3
CA002100660,2014-02-17,TMIN,-337
CA00220N005,2006-10-16,TMIN,-75
CA002100682,2014-05-30,TMIN,-11
USW00027406,2011-06-22,TMAX,94
CA002100682,2013-06-06,TMIN,-43
USS0048V01S,2015-10-16,TMAX,-12
USS0048V01S,2011-04-27,TMIN,-192
CA002100660,2009-06-17,TMIN,91
USW00027516,2008-12-23,TMAX,-132
USW00027516,2011-12-11,TMAX,-144
USW00027502,2011-09-29,TMAX,6
CA002100660,2015-09-11,TMIN,-2
USS0048V01S,2011-08-25,TMAX,71
CA002100950,2015-01-27,TMIN,-284
USW00027406,2010-11-01,TMAX,-78
USW00027406,2015-01-05,TMIN,-282
