ID,Date,Element,Data_Value
CHM00057713,2005-06-18,TMIN,205
CHM00057707,2009-03-07,TMIN,30
CHM00057707,2013-05-14,TMIN,147
CHM00057713,2011-01-27,TMIN,-1
CHM00057707,2012-07-13,TMIN,164
CHM00057707,2006-02-06,TMIN,7
CHM00057707,2012-04-02,TMIN,88
CHM00057707,2007-05-23,TMAX,297
CHM00057707,2012-07-13,TMAX,261
CHM00057707,2006-08-23,TMAX,256
CHM00057707,2009-08-31,TMAX,273
CHM00057633,2011-06-03,TMIN,151
CHM00057633,2008-12-14,TMIN,64
CHM00057707,2005-07-28,TMAX,297
CHM00057707,2006-10-16,TMIN,168
CHM00057633,2009-05-25,TMIN,182
CHM00057633,2012-07-26,TMAX,303
CHM00057633,2014-12-27,TMAX,28
CHM00057707,2011-01-30,TMAX,-12
CHM00057713,2010-11-20,TMIN,111
CHM00057633,2005-05-28,TMAX,262
CHM00057707,2010-02-21,TMAX,68
CHM00057633,2007-09-23,TMIN,124
CHM00057633,2007-08-13,TMIN,213
CHM00057633,2009-05-25,TMAX,246
CHM00057707,2011-05-28,TMAX,304
CHM00057633,2008-07-17,TMAX,323
CHM00057633,2010-04-26,TMAX,210
CHM00057633,2005-03-25,TMIN,58
CHM00057707,2008-12-05,TMAX,56
CHM00057707,2012-04-02,TMAX,313
CHM00057713,2010-06-21,TMAX,252
CHM00057713,2012-12-11,TMAX,80
CHM00057633,2014-04-29,TMAX,168
CHM00057633,2011-06-03,TMAX,180
CHM00057707,2008-12-05,TMIN,19
CHM00057707,2007-08-03,TMAX,269
CHM00057633,2014-07-24,TMAX,306
CHM00057707,2011-08-18,TMAX,320
CHM00057633,2014-09-24,TMIN,163
CHM00057707,2012-08-13,TMIN,181
CHM00057633,2008-07-17,TMIN,235
CHM00057633,2007-04-12,TMIN,95
CHM00057633,2014-10-23,TMAX,210
CHM00057713,2008-07-03,TMAX,277
CHM00057707,2014-07-26,TMAX,298
CHM00057633,2012-07-26,TMIN,228
CHM00057713,2011-11-29,TMIN,156
CHM00057633,2014-05-23,TMIN,165
CHM00057713,2011-11-29,TMAX,221
CHM00057707,2010-10-19,TMAX,191
CHM00057707,2006-02-06,TMAX,75
CHM00057633,2006-05-05,TMIN,199
CHM00057713,2010-11-20,TMAX,169
CHM00057633,2014-04-29,TMIN,84
CHM00057633,2014-11-10,TMIN,74
CHM00057713,2012-03-17,TMAX,168
CHM00057633,2007-07-21,TMAX,314
CHM00057713,2007-01-16,TMIN,23
CHM00057633,2015-08-11,TMIN,203
CHM00057713,2005-09-01,TMIN,215
CHM00057633,2007-08-26,TMAX,298
CHM00057707,2007-03-09,TMIN,29
CHM00057707,2006-08-23,TMIN,157
CHM00057707,2011-08-18,TMIN,197
CHM00057713,2006-09-15,TMAX,240
CHM00057713,2011-05-14,TMIN,151
CHM00057713,2012-03-17,TMIN,114
CHM00057713,2011-04-21,TMIN,168
CHM00057633,2014-12-06,TMAX,79
CHM00057633,2007-07-21,TMIN,223
CHM00057707,2009-11-15,TMAX,59
CHM00057633,2008-10-22,TMAX,213
CHM00057633,2007-09-23,TMAX,271
CHM00057713,2009-07-10,TMIN,233
CHM00057633,2007-08-19,TMIN,204
CHM00057633,2008-10-22,TMIN,188
CHM00057713,2010-11-10,TMAX,217
CHM00057713,2010-06-21,TMIN,205
CHM00057633,2014-10-23,TMIN,90
CHM00057713,2005-06-21,TMAX,303
CHM00057633,2006-05-05,TMAX,277
CHM00057707,2006-01-31,TMIN,41
