ID,Date,Element,Data_Value
ASN00007045,2014-11-03,TMAX,344
ASN00012239,2007-09-20,TMIN,71
ASN00012046,2012-11-11,TMAX,290
ASN00007045,2009-12-05,TMAX,374
ASN00012046,2012-09-21,TMIN,98
ASN00007045,2006-12-24,TMIN,227
ASN00012090,2010-08-15,TMAX,206
ASN00012090,2007-03-09,TMIN,195
ASN00012314,2007-11-20,TMAX,283
ASN00007600,2011-09-04,TMIN,66
ASN00012239,2012-10-30,TMAX,314
ASN00012090,2014-02-18,TMIN,197
ASN00012314,2007-02-26,TMIN,223
ASN00012241,2013-03-03,TMAX,296
ASN00012046,2012-11-11,TMIN,175
ASN00007045,2008-03-05,TMIN,238
ASN00007045,2007-08-07,TMIN,70
ASN00012046,2014-02-06,TMIN,241
ASN00012090,2012-04-19,TMIN,110
ASN00012090,2008-01-25,TMAX,420
ASN00007045,2014-05-28,TMAX,226
ASN00012239,2008-05-20,TMAX,256
ASN00012239,2008-10-04,TMIN,82
ASN00007045,2014-03-23,TMIN,208
ASN00012241,2015-01-16,TMIN,222
ASN00012090,2005-06-15,TMAX,173
ASN00012046,2011-08-02,TMIN,114
ASN00012090,2005-06-15,TMIN,-10
ASN00012239,2014-05-13,TMAX,258
ASN00007045,2014-05-11,TMAX,253
ASN00012239,2006-12-20,TMAX,310
ASN00012090,2013-12-03,TMAX,373
ASN00012090,2013-05-03,TMIN,162
ASN00012090,2014-10-27,TMAX,330
ASN00007045,2014-05-28,TMIN,85
ASN00012314,2012-10-23,TMIN,165
ASN00012090,2008-11-04,TMAX,271
ASN00012314,2015-06-21,TMAX,190
ASN00012239,2012-12-01,TMAX,312
ASN00012314,2009-02-09,TMAX,333
ASN00012239,2014-12-05,TMAX,377
ASN00012314,2008-06-15,TMAX,247
ASN00007600,2007-01-01,TMAX,419
ASN00012314,2007-02-26,TMAX,379
ASN00012239,2007-06-29,TMAX,187
ASN00012314,2007-11-07,TMIN,156
ASN00012314,2012-10-23,TMAX,278
ASN00012046,2006-04-10,TMAX,263
ASN00012314,2005-03-03,TMIN,218
ASN00012241,2013-04-03,TMAX,314
ASN00012046,2006-03-23,TMIN,182
ASN00012241,2014-03-06,TMIN,198
ASN00012239,2012-06-29,TMIN,19
ASN00007600,2008-05-09,TMIN,142
ASN00012239,2012-10-30,TMIN,201
ASN00007600,2012-05-12,TMAX,286
ASN00012241,2013-03-03,TMIN,159
ASN00007045,2010-01-26,TMAX,418
ASN00012239,2014-05-18,TMAX,258
ASN00012046,2010-06-30,TMIN,82
ASN00012090,2013-12-03,TMIN,235
ASN00012090,2008-02-21,TMAX,341
ASN00007600,2007-01-01,TMIN,237
ASN00012314,2009-02-20,TMAX,345
ASN00012046,2006-05-26,TMIN,32
ASN00012314,2006-11-26,TMAX,368
ASN00012046,2013-07-01,TMIN,33
ASN00012046,2013-06-19,TMAX,173
ASN00012314,2011-12-21,TMIN,250
ASN00012090,2009-10-21,TMIN,180
ASN00012046,2013-11-05,TMAX,400
ASN00012239,2006-12-20,TMIN,190
ASN00012241,2007-07-05,TMIN,42
ASN00007045,2013-08-29,TMAX,238
ASN00012090,2005-09-01,TMIN,95
ASN00007600,2011-10-08,TMIN,145
ASN00012046,2005-05-25,TMAX,230
ASN00012241,2014-10-10,TMAX,279
ASN00012046,2011-12-16,TMAX,278
ASN00012090,2010-01-27,TMAX,420
ASN00012090,2006-01-11,TMAX,335
ASN00012314,2009-08-12,TMIN,132
ASN00012046,2005-02-11,TMAX,423
ASN00012241,2007-03-03,TMIN,199
ASN00012046,2008-03-03,TMAX,407
ASN00012046,2011-08-02,TMAX,208
ASN00007600,2008-06-06,TMIN,68
ASN00012046,2013-05-09,TMIN,119
ASN00012241,2013-02-15,TMAX,425
ASN00012046,2012-01-23,TMAX,396
ASN00012090,2010-10-26,TMIN,217
ASN00007045,2014-11-03,TMIN,183
ASN00007600,2010-04-05,TMAX,264
ASN00012090,2006-05-11,TMAX,255
ASN00007600,2013-02-16,TMAX,437
ASN00007600,2006-06-02,TMAX,203
ASN00012314,2013-09-11,TMAX,252
ASN00012090,2015-11-26,TMAX,290
ASN00012314,2014-12-07,TMAX,384
ASN00007600,2011-07-21,TMAX,211
ASN00012314,2009-10-13,TMIN,126
ASN00012314,2011-05-21,TMIN,101
ASN00007600,2011-04-30,TMAX,230
ASN00012314,2015-05-09,TMIN,79
ASN00012046,2010-10-01,TMIN,155
