ID,Date,Element,Data_Value
SU000062760,2010-02-28,TMIN,160
SU000062760,2006-08-01,TMAX,365
SU000062760,2005-12-22,TMIN,164
SU000062760,2013-11-28,TMIN,166
SU000062760,2006-04-24,TMAX,400
SU000062760,2005-09-03,TMIN,242
SU000062760,2013-11-04,TMIN,165
SU000062760,2006-04-24,TMIN,214
SU000062760,2007-02-18,TMIN,144
SU000062760,2008-01-09,TMIN,126
SU000062760,2008-06-20,TMIN,262
SU000062760,2005-10-07,TMIN,212
SU000062760,2007-02-18,TMAX,314
SU000062760,2008-09-20,TMAX,366
SU000062760,2006-02-27,TMAX,372
SU000062760,2008-01-09,TMAX,318
SU000062760,2014-01-27,TMAX,372
SU000062760,2006-01-02,TMIN,134
SU000062760,2006-04-04,TMAX,335
SU000062760,2008-04-01,TMAX,368
SU000062760,2009-03-04,TMIN,105
SU000062760,2010-10-08,TMAX,392
SU000062760,2005-11-22,TMIN,132
SU000062760,2006-04-04,TMIN,145
SU000062760,2009-06-19,TMIN,251
SU000062760,2006-06-02,TMAX,406
SU000062760,2007-12-03,TMIN,141
SU000062760,2007-05-26,TMAX,405
SU000062760,2008-11-26,TMAX,348
SU000062760,2008-01-07,TMIN,126
SU000062760,2009-06-18,TMIN,274
SU000062760,2013-08-31,TMIN,215
SU000062760,2007-04-21,TMIN,252
SU000062760,2009-04-13,TMAX,407
SU000062760,2006-08-29,TMIN,212
SU000062760,2007-05-09,TMAX,415
SU000062760,2006-01-28,TMIN,164
SU000062760,2013-11-13,TMIN,175
SU000062760,2008-02-08,TMIN,135
SU000062760,2007-05-09,TMIN,225
SU000062760,2009-07-03,TMAX,393
SU000062760,2008-11-21,TMIN,162
SU000062760,2007-09-03,TMIN,226
SU000062760,2006-01-02,TMAX,326
SU000062760,2007-10-22,TMAX,370
SU000062760,2013-07-14,TMIN,264
SU000062760,2006-07-23,TMAX,380
SU000062760,2006-01-28,TMAX,332
SU000062760,2007-04-21,TMAX,390
SU000062760,2009-04-13,TMIN,254
SU000062760,2005-10-07,TMAX,365
SU000062760,2006-08-01,TMIN,211
SU000062760,2009-04-16,TMIN,274
SU000062760,2010-06-06,TMIN,261
SU000062760,2007-04-24,TMAX,396
SU000062760,2005-10-23,TMAX,348
SU000062760,2008-08-10,TMIN,240
SU000062760,2010-02-28,TMAX,342
SU000062760,2006-03-31,TMIN,165
SU000062760,2006-06-04,TMAX,392
SU000062760,2012-12-22,TMAX,285
SU000062760,2014-03-29,TMAX,389
SU000062760,2007-08-15,TMIN,244
SU000062760,2007-02-08,TMAX,328
SU000062760,2009-05-14,TMAX,375
SU000062760,2007-04-24,TMIN,210
SU000062760,2007-10-19,TMAX,368
SU000062760,2009-02-18,TMAX,332
SU000062760,2006-01-17,TMAX,278
SU000062760,2009-10-10,TMIN,220
SU000062760,2007-11-18,TMAX,340
SU000062760,2007-08-15,TMAX,356
SU000062760,2005-09-03,TMAX,362
SU000062760,2013-11-25,TMAX,352
SU000062760,2005-11-22,TMAX,335
SU000062760,2013-11-13,TMAX,342
SU000062760,2008-06-20,TMAX,382
SU000062760,2014-01-28,TMIN,175
SU000062760,2010-08-04,TMIN,221
SU000062760,2006-06-02,TMIN,245
SU000062760,2007-03-04,TMIN,130
SU000062760,2008-04-12,TMIN,186
SU000062760,2007-02-08,TMIN,136
SU000062760,2013-11-28,TMAX,352
SU000062760,2007-03-24,TMAX,398
SU000062760,2005-12-22,TMAX,342
SU000062760,2009-05-14,TMIN,194
SU000062760,2007-09-03,TMAX,316
SU000062760,2009-01-16,TMAX,326
SU000062760,2010-02-19,TMAX,375
SU000062760,2010-01-28,TMAX,326
SU000062760,2006-04-05,TMIN,144
