ID,Date,Element,Data_Value
IV000065585,2013-03-30,TMAX,337
GHM00065467,2010-01-10,TMIN,240
GHM00065465,2010-12-23,TMIN,247
GHM00065465,2011-11-23,TMAX,310
IV000065585,2012-04-28,TMAX,334
GHM00065467,2009-05-16,TMAX,324
IV000065585,2009-11-30,TMAX,330
IVM00065578,2013-03-30,TMAX,318
IV000065585,2005-10-20,TMIN,240
IV000065585,2005-11-13,TMIN,230
IVM00065578,2009-08-20,TMAX,289
IVM00065578,2010-07-17,TMAX,286
IVM00065578,2012-07-02,TMAX,274
IVM00065578,2014-11-18,TMIN,240
IV000065585,2006-08-02,TMIN,235
GHM00065467,2009-12-03,TMAX,318
IV000065585,2015-09-23,TMIN,233
GHM00065467,2009-02-16,TMIN,245
IV000065585,2012-07-21,TMIN,225
IVM00065578,2009-01-28,TMAX,325
IV000065585,2015-02-28,TMAX,332
GHM00065465,2010-06-19,TMAX,300
GHM00065465,2010-04-19,TMAX,324
GHM00065467,2010-09-01,TMIN,238
IV000065585,2009-11-27,TMIN,245
IV000065585,2010-04-18,TMAX,355
GHM00065467,2011-12-24,TMIN,245
IVM00065578,2011-12-24,TMAX,310
IVM00065578,2005-06-11,TMAX,307
IVM00065578,2005-03-19,TMAX,350
IV000065585,2015-11-21,TMIN,242
IVM00065578,2005-06-11,TMIN,250
IV000065585,2013-05-30,TMAX,304
IVM00065578,2005-05-03,TMAX,325
GHM00065465,2013-05-24,TMIN,245
GHM00065467,2010-10-14,TMAX,304
GHM00065467,2014-06-23,TMIN,229
IV000065585,2014-06-24,TMIN,233
IV000065585,2008-08-14,TMAX,290
IV000065585,2009-08-08,TMIN,230
IV000065585,2015-05-16,TMIN,249
IV000065585,2010-06-05,TMIN,226
IVM00065578,2012-07-02,TMIN,245
GHM00065467,2011-01-07,TMAX,316
IV000065585,2009-11-30,TMIN,246
IV000065585,2011-01-21,TMIN,230
IV000065585,2012-03-21,TMIN,265
IV000065585,2006-06-20,TMIN,245
IV000065585,2015-05-16,TMAX,335
IVM00065578,2008-08-05,TMAX,305
IVM00065578,2006-03-11,TMAX,325
GHM00065467,2013-04-24,TMIN,242
IVM00065578,2005-12-18,TMAX,331
IV000065585,2012-03-21,TMAX,330
GHM00065467,2009-12-03,TMIN,257
IV000065585,2012-08-21,TMIN,228
IVM00065578,2006-06-02,TMAX,315
GHM00065467,2005-06-09,TMIN,255
GHM00065467,2012-05-15,TMIN,240
IVM00065578,2005-11-09,TMAX,325
GHM00065467,2014-10-24,TMAX,301
IV000065585,2015-08-05,TMIN,225
GHM00065465,2009-11-04,TMAX,295
IV000065585,2015-01-28,TMAX,335
IV000065585,2009-07-12,TMIN,210
IVM00065578,2009-09-09,TMAX,280
IV000065585,2009-11-27,TMAX,325
IVM00065578,2013-01-07,TMAX,325
GHM00065465,2012-01-27,TMIN,270
IVM00065578,2008-08-14,TMIN,235
GHM00065467,2009-05-23,TMIN,250
IV000065585,2011-11-17,TMAX,327
IV000065585,2007-07-08,TMIN,240
IV000065585,2007-07-22,TMAX,290
GHM00065465,2009-10-18,TMAX,287
IVM00065578,2011-10-30,TMAX,320
