ID,Date,Element,Data_Value
KZ000035925,2009-03-26,TMIN,12
KZ000035925,2005-09-14,TMAX,354
KZ000035925,2015-05-04,TMAX,271
KZ000035925,2006-11-17,TMIN,2
KZ000035925,2007-07-07,TMIN,215
KZ000035925,2006-07-26,TMAX,328
KZ000035925,2010-02-09,TMAX,-147
KZ000035925,2011-10-28,TMAX,58
KZ000035925,2006-04-30,TMIN,15
KZ000035925,2007-07-07,TMAX,374
KZ000035925,2006-04-07,TMAX,165
KZ000035925,2012-12-29,TMIN,-180
KZ000035925,2006-10-30,TMAX,183
KZ000035925,2012-10-12,TMAX,288
KZ000035925,2006-11-17,TMAX,52
KZ000035925,2008-02-05,TMAX,-64
KZ000035925,2006-04-07,TMIN,56
KZ000035925,2011-05-07,TMIN,121
KZ000035925,2014-11-24,TMAX,0
KZ000035925,2012-10-12,TMIN,112
KZ000035925,2011-06-28,TMAX,364
KZ000035925,2011-04-30,TMAX,260
KZ000035925,2006-04-30,TMAX,125
KZ000035925,2006-07-11,TMAX,331
KZ000035925,2012-01-04,TMAX,-24
KZ000035925,2008-04-12,TMAX,239
KZ000035925,2011-10-28,TMIN,-20
KZ000035925,2012-05-03,TMIN,54
KZ000035925,2005-09-07,TMIN,142
KZ000035925,2010-09-28,TMAX,258
KZ000035925,2015-07-23,TMIN,193
KZ000035925,2006-07-11,TMIN,185
KZ000035925,2010-08-18,TMAX,364
KZ000035925,2008-11-01,TMIN,-17
KZ000035925,2013-12-23,TMIN,-25
KZ000035925,2010-06-14,TMIN,165
KZ000035925,2009-12-18,TMIN,-87
KZ000035925,2008-02-05,TMIN,-207
KZ000035925,2006-02-22,TMIN,-169
KZ000035925,2015-12-10,TMIN,-37
KZ000035925,2013-06-02,TMAX,327
KZ000035925,2008-06-18,TMAX,341
KZ000035925,2005-12-19,TMAX,80
KZ000035925,2011-08-25,TMIN,110
KZ000035925,2006-01-19,TMIN,-367
KZ000035925,2012-09-25,TMIN,83
KZ000035925,2009-12-31,TMAX,37
KZ000035925,2011-09-27,TMAX,194
KZ000035925,2013-04-18,TMIN,25
KZ000035925,2008-08-22,TMAX,377
KZ000035925,2005-05-29,TMIN,204
KZ000035925,2005-12-19,TMIN,-14
KZ000035925,2006-01-19,TMAX,-210
KZ000035925,2009-08-16,TMIN,175
KZ000035925,2005-07-03,TMAX,386
KZ000035925,2010-05-07,TMIN,158
KZ000035925,2011-09-27,TMIN,62
KZ000035925,2007-10-14,TMAX,281
KZ000035925,2005-09-14,TMIN,160
KZ000035925,2012-12-29,TMAX,-47
KZ000035925,2010-09-28,TMIN,66
KZ000035925,2006-10-02,TMIN,72
KZ000035925,2008-11-24,TMIN,6
KZ000035925,2008-05-14,TMAX,194
KZ000035925,2013-12-23,TMAX,5
KZ000035925,2011-08-25,TMAX,255
KZ000035925,2012-03-23,TMAX,57
KZ000035925,2011-05-29,TMAX,243
KZ000035925,2012-05-03,TMAX,198
KZ000035925,2007-09-16,TMIN,92
KZ000035925,2007-09-16,TMAX,246
KZ000035925,2005-03-06,TMIN,-24
KZ000035925,2005-05-29,TMAX,324
KZ000035925,2015-05-11,TMAX,232
KZ000035925,2010-08-18,TMIN,197
KZ000035925,2015-01-15,TMAX,52
KZ000035925,2012-01-14,TMAX,-36
KZ000035925,2005-08-03,TMIN,246
KZ000035925,2008-05-14,TMIN,100
KZ000035925,2005-07-03,TMIN,236
KZ000035925,2010-11-01,TMAX,38
KZ000035925,2009-10-02,TMAX,172
KZ000035925,2010-07-17,TMAX,341
KZ000035925,2008-03-28,TMIN,85
KZ000035925,2009-04-29,TMIN,47
KZ000035925,2006-08-10,TMIN,249
KZ000035925,2013-05-16,TMAX,330
KZ000035925,2012-02-26,TMAX,-19
KZ000035925,2015-02-23,TMAX,-57
KZ000035925,2011-04-20,TMIN,80
KZ000035925,2008-04-22,TMAX,209
KZ000035925,2011-05-29,TMIN,100
KZ000035925,2007-05-04,TMIN,59
KZ000035925,2013-10-29,TMAX,151
KZ000035925,2015-06-19,TMIN,209
KZ000035925,2009-09-26,TMAX,259
KZ000035925,2005-09-15,TMAX,321
KZ000035925,2012-08-12,TMAX,389
KZ000035925,2010-11-04,TMIN,4
KZ000035925,2010-08-23,TMAX,255
KZ000035925,2015-07-23,TMAX,337
KZ000035925,2008-11-01,TMAX,151
KZ000035925,2008-11-24,TMAX,173
KZ000035925,2005-12-17,TMAX,47
KZ000035925,2015-01-15,TMIN,-36
KZ000035925,2010-03-06,TMAX,16
KZ000035925,2005-09-07,TMAX,258
KZ000035925,2010-02-04,TMAX,-126
KZ000035925,2014-10-15,TMIN,31
KZ000035925,2008-04-22,TMIN,97
KZ000035925,2007-02-08,TMAX,42
KZ000035925,2009-11-12,TMAX,74
KZ000035925,2013-10-29,TMIN,12
KZ000035925,2007-11-01,TMAX,166
KZ000035925,2005-03-06,TMAX,24
KZ000035925,2010-08-19,TMAX,371
KZ000035925,2006-08-28,TMAX,369
KZ000035925,2007-07-18,TMIN,176
KZ000035925,2005-07-15,TMAX,322
KZ000035925,2014-06-14,TMAX,277
KZ000035925,2006-08-19,TMIN,161
KZ000035925,2005-06-07,TMAX,193
KZ000035925,2011-03-06,TMIN,-111
KZ000035925,2006-08-28,TMIN,205
KZ000035925,2015-02-23,TMIN,-158
KZ000035925,2011-03-06,TMAX,34
KZ000035925,2005-04-26,TMIN,126
KZ000035925,2007-03-25,TMIN,0
KZ000035925,2006-02-18,TMIN,-90
KZ000035925,2005-04-26,TMAX,325
KZ000035925,2010-08-19,TMIN,209
KZ000035925,2013-06-02,TMIN,155
KZ000035925,2015-10-27,TMAX,124
KZ000035925,2010-10-17,TMAX,167
KZ000035925,2005-01-05,TMIN,-174
KZ000035925,2010-12-23,TMIN,-36
