ID,Date,Element,Data_Value
SU000062641,2006-11-14,TMAX,314
SU000062641,2009-11-04,TMAX,324
SU000062641,2012-01-08,TMAX,286
SU000062641,2010-10-30,TMAX,360
SU000062641,2008-09-03,TMIN,300
SU000062641,2009-03-22,TMIN,210
SU000062641,2010-11-07,TMAX,328
SU000062641,2011-08-08,TMAX,454
SU000062641,2007-01-18,TMIN,165
SU000062641,2009-03-22,TMAX,320
SU000062641,2014-04-02,TMIN,235
SU000062641,2006-08-12,TMIN,340
SU000062641,2011-08-08,TMIN,320
SU000062641,2011-02-22,TMIN,210
SU000062641,2013-04-29,TMAX,356
SU000062641,2011-02-22,TMAX,278
SU000062641,2013-07-23,TMAX,424
SU000062641,2008-07-16,TMAX,414
SU000062641,2008-05-26,TMAX,413
SU000062641,2008-05-26,TMIN,270
SU000062641,2006-04-19,TMIN,215
SU000062641,2013-12-27,TMAX,300
SU000062641,2013-10-26,TMAX,359
SU000062641,2005-10-13,TMIN,246
SU000062641,2010-11-07,TMIN,250
SU000062641,2006-11-14,TMIN,247
SU000062641,2008-07-15,TMIN,310
SU000062641,2013-08-01,TMAX,390
SU000062641,2005-09-02,TMAX,393
SU000062641,2013-03-31,TMAX,328
SU000062641,2010-06-20,TMAX,441
SU000062641,2014-05-20,TMIN,244
SU000062641,2013-07-01,TMAX,455
SU000062641,2011-04-19,TMIN,250
SU000062641,2006-12-31,TMAX,247
SU000062641,2006-04-19,TMAX,333
SU000062641,2006-05-11,TMAX,354
SU000062641,2007-06-15,TMAX,390
SU000062641,2007-04-24,TMIN,235
SU000062641,2009-04-21,TMAX,353
SU000062641,2008-05-20,TMIN,260
SU000062641,2009-03-18,TMAX,290
SU000062641,2008-04-22,TMIN,225
SU000062641,2009-12-06,TMIN,230
SU000062641,2009-12-06,TMAX,303
SU000062641,2011-03-25,TMIN,200
SU000062641,2011-03-25,TMAX,292
SU000062641,2009-07-03,TMIN,316
SU000062641,2010-01-24,TMIN,198
SU000062641,2006-07-23,TMIN,284
SU000062641,2006-08-06,TMAX,446
SU000062641,2014-05-20,TMAX,363
SU000062641,2006-02-06,TMIN,225
SU000062641,2013-11-23,TMAX,316
SU000062641,2005-09-08,TMIN,298
SU000062641,2008-05-21,TMIN,258
SU000062641,2007-04-24,TMAX,345
SU000062641,2009-06-11,TMAX,432
SU000062641,2009-01-30,TMAX,300
SU000062641,2005-09-29,TMAX,375
SU000062641,2006-05-11,TMIN,260
SU000062641,2008-10-25,TMAX,320
SU000062641,2008-07-16,TMIN,280
SU000062641,2009-11-04,TMIN,250
SU000062641,2009-04-09,TMAX,332
SU000062641,2005-10-22,TMAX,327
SU000062641,2012-08-07,TMAX,453
SU000062641,2006-04-08,TMIN,195
SU000062641,2013-01-14,TMAX,247
SU000062641,2010-11-22,TMAX,322
SU000062641,2005-09-08,TMAX,407
SU000062641,2006-07-05,TMAX,435
SU000062641,2008-06-25,TMIN,275
