ID,Date,Element,Data_Value
CA002303685,2014-05-15,TMAX,-32
CA002303685,2009-01-15,TMAX,-336
CA002303685,2009-07-29,TMAX,123
CA002402332,2015-11-21,TMAX,-182
CA002303685,2005-08-08,TMIN,38
CA002303685,2005-04-26,TMAX,-143
CA002402332,2014-08-25,TMIN,-13
CA002303685,2012-06-30,TMIN,34
CA002303685,2015-02-19,TMIN,-395
CA002402332,2014-12-19,TMIN,-341
CA002402332,2015-01-28,TMAX,-323
CA002303685,2007-12-11,TMAX,-204
CA002303685,2005-09-04,TMAX,120
CA002303685,2012-09-28,TMIN,35
CA002303685,2006-01-28,TMAX,-313
CA002303685,2007-06-05,TMAX,-8
CA002303685,2013-05-15,TMAX,-64
CA002303685,2007-06-05,TMIN,-54
CA002303685,2008-04-06,TMAX,-132
CA002303685,2008-10-16,TMAX,-3
CA002303685,2011-01-20,TMAX,-391
CA002402332,2014-11-25,TMIN,-287
CA002303685,2014-01-04,TMAX,-264
CA002402332,2015-04-30,TMAX,-91
CA002402332,2015-09-09,TMAX,54
CA002402332,2014-10-24,TMAX,-96
CA002303685,2005-03-10,TMAX,-319
CA002303685,2007-02-07,TMIN,-313
CA002303685,2008-08-05,TMIN,87
CA002303685,2012-11-23,TMAX,-166
CA002303685,2005-09-04,TMIN,27
CA002303685,2010-01-10,TMAX,-286
CA002303685,2011-08-23,TMIN,58
CA002303685,2011-05-25,TMIN,-59
CA002303685,2013-12-07,TMIN,-298
CA002303685,2005-09-24,TMAX,1
CA002402332,2015-01-28,TMIN,-393
CA002303685,2007-01-04,TMAX,-200
CA002303685,2011-05-13,TMIN,-139
CA002303685,2009-01-15,TMIN,-405
CA002303685,2009-10-08,TMAX,-5
CA002303685,2010-11-20,TMAX,-136
CA002303685,2006-05-09,TMIN,-130
CA002402332,2014-10-28,TMAX,-136
CA002402332,2013-07-24,TMIN,22
CA002303685,2014-01-04,TMIN,-354
CA002303685,2014-01-17,TMAX,-352
CA002303685,2007-06-28,TMAX,139
CA002402332,2015-09-09,TMIN,4
CA002402332,2015-04-12,TMAX,-222
CA002303685,2010-11-20,TMIN,-268
CA002402332,2014-10-07,TMIN,-55
CA002303685,2013-05-29,TMIN,-55
CA002303685,2008-06-21,TMIN,7
CA002303685,2011-11-08,TMAX,-160
CA002303685,2005-09-24,TMIN,-34
CA002402332,2014-12-19,TMAX,-216
CA002402332,2012-08-21,TMAX,34
CA002303685,2012-05-07,TMAX,-3
CA002303685,2010-05-07,TMIN,-142
CA002303685,2012-08-28,TMIN,42
CA002303685,2012-03-24,TMAX,-290
CA002303685,2012-10-09,TMAX,-12
CA002303685,2015-02-21,TMAX,-325
CA002303685,2012-10-09,TMIN,-77
CA002303685,2005-10-26,TMIN,-90
CA002303685,2010-07-18,TMAX,226
CA002303685,2012-03-27,TMAX,-251
CA002303685,2011-09-30,TMIN,-56
CA002303685,2012-05-07,TMIN,-108
CA002402332,2014-07-07,TMIN,-25
CA002303685,2006-01-05,TMAX,-164
CA002303685,2012-08-28,TMAX,119
CA002303685,2014-11-13,TMAX,-239
CA002303685,2007-04-29,TMAX,-169
CA002303685,2015-12-18,TMIN,-440
CA002402332,2014-10-24,TMIN,-200
CA002303685,2007-09-05,TMIN,4
CA002303685,2006-05-09,TMAX,-28
CA002303685,2012-06-27,TMIN,39
CA002303685,2007-09-05,TMAX,36
CA002303685,2013-05-29,TMAX,-27
CA002303685,2011-05-08,TMIN,-166
CA002303685,2015-12-03,TMIN,-433
CA002303685,2015-07-17,TMAX,127
CA002303685,2010-05-07,TMAX,-68
CA002402332,2015-09-03,TMIN,-7
CA002303685,2014-12-30,TMAX,-262
CA002303685,2015-12-27,TMAX,-334
CA002402332,2012-09-08,TMAX,63
CA002303685,2015-07-17,TMIN,64
CA002303685,2009-06-16,TMIN,-12
CA002303685,2005-05-02,TMAX,-69
CA002303685,2014-06-29,TMAX,71
CA002303685,2011-05-28,TMIN,-76
CA002303685,2009-06-16,TMAX,16
CA002402332,2015-11-19,TMIN,-202
CA002402332,2015-10-22,TMAX,-131
CA002303685,2008-08-05,TMAX,146
CA002402332,2013-07-24,TMAX,83
CA002303685,2014-04-05,TMIN,-338
CA002303685,2009-10-08,TMIN,-47
CA002303685,2010-02-28,TMAX,-314
CA002402332,2015-02-28,TMIN,-353
CA002303685,2010-02-28,TMIN,-382
CA002303685,2005-04-26,TMIN,-194
CA002303685,2011-09-30,TMAX,-32
CA002303685,2014-04-05,TMAX,-136
CA002402332,2015-04-30,TMIN,-133
CA002402332,2015-10-22,TMIN,-186
CA002303685,2015-12-12,TMIN,-382
CA002303685,2015-06-25,TMIN,13
CA002402332,2014-07-08,TMAX,16
CA002402332,2014-11-25,TMAX,-250
CA002303685,2014-09-22,TMAX,-22
CA002303685,2011-03-20,TMIN,-408
CA002402332,2015-10-03,TMAX,-8
CA002303685,2007-03-03,TMIN,-440
CA002303685,2005-07-09,TMAX,103
CA002402332,2012-03-15,TMAX,-270
CA002303685,2011-03-20,TMAX,-317
CA002303685,2007-12-11,TMIN,-297
CA002303685,2015-01-18,TMAX,-340
CA002303685,2013-05-07,TMIN,-298
CA002303685,2006-03-22,TMAX,-84
CA002402332,2015-10-19,TMIN,-127
CA002303685,2005-05-02,TMIN,-148
CA002303685,2007-03-03,TMAX,-299
CA002402332,2015-10-19,TMAX,-91
CA002303685,2013-12-07,TMAX,-233
CA002303685,2005-07-09,TMIN,70
CA002303685,2008-07-03,TMAX,125
CA002303685,2015-06-25,TMAX,64
CA002402332,2014-07-08,TMIN,-32
CA002303685,2006-10-05,TMIN,-61
CA002303685,2008-07-03,TMIN,65
CA002303685,2014-05-15,TMIN,-93
CA002303685,2011-05-28,TMAX,-23
CA002303685,2010-07-18,TMIN,99
CA002303685,2015-02-21,TMIN,-464
CA002303685,2005-11-06,TMIN,-232
CA002303685,2014-03-13,TMAX,-327
CA002303685,2013-09-15,TMAX,-12
CA002402332,2014-10-28,TMIN,-217
CA002402332,2015-12-02,TMAX,-363
CA002303685,2010-03-01,TMAX,-295
CA002303685,2012-08-19,TMIN,15
CA002402332,2012-05-09,TMAX,-44
CA002303685,2010-03-01,TMIN,-382
CA002303685,2015-05-28,TMAX,-41
CA002303685,2007-04-29,TMIN,-298
CA002402332,2015-09-03,TMAX,36
CA002303685,2009-02-10,TMAX,-285
CA002303685,2014-01-17,TMIN,-420
CA002303685,2007-05-27,TMIN,-125
CA002402332,2012-03-15,TMIN,-314
CA002303685,2015-02-19,TMAX,-365
CA002402332,2015-11-21,TMIN,-277
CA002402332,2012-05-09,TMIN,-155
CA002303685,2007-05-27,TMAX,-66
CA002303685,2007-02-07,TMAX,-289
CA002402332,2015-06-18,TMIN,-14
CA002303685,2009-02-10,TMIN,-352
CA002303685,2006-01-28,TMIN,-392
CA002303685,2006-10-05,TMAX,-13
CA002303685,2011-08-23,TMAX,139
CA002303685,2015-05-28,TMIN,-96
CA002303685,2007-07-15,TMAX,163
CA002303685,2013-05-07,TMAX,-151
CA002303685,2007-01-04,TMIN,-280
CA002303685,2012-08-10,TMAX,140
CA002303685,2007-07-15,TMIN,66
CA002402332,2012-09-08,TMIN,24
CA002303685,2012-08-10,TMIN,46
CA002303685,2007-06-28,TMIN,41
CA002303685,2007-12-05,TMAX,-134
CA002402332,2015-06-18,TMAX,11
CA002303685,2014-12-30,TMIN,-295
CA002303685,2011-05-08,TMAX,-59
CA002402332,2015-10-03,TMIN,-30
CA002303685,2012-03-10,TMAX,-343
CA002303685,2012-11-23,TMIN,-249
CA002303685,2008-04-08,TMAX,-173
CA002303685,2015-02-17,TMAX,-351
CA002303685,2011-01-20,TMIN,-495
CA002303685,2012-03-24,TMIN,-373
CA002303685,2005-04-10,TMIN,-126
CA002303685,2014-03-13,TMIN,-397
CA002303685,2015-03-06,TMIN,-380
CA002303685,2014-06-08,TMIN,-32
CA002303685,2012-03-10,TMIN,-405
CA002402332,2014-10-16,TMIN,-130
CA002402332,2014-06-28,TMAX,15
CA002303685,2005-08-08,TMAX,118
CA002303685,2015-02-20,TMAX,-356
CA002402332,2012-05-24,TMIN,-91
CA002303685,2012-03-05,TMIN,-420
CA002303685,2012-03-05,TMAX,-342
CA002303685,2014-05-13,TMIN,-164
CA002303685,2012-07-16,TMAX,152
CA002402332,2013-09-12,TMIN,-57
CA002303685,2012-07-16,TMIN,72
CA002303685,2012-01-11,TMIN,-376
CA002303685,2010-10-15,TMIN,-79
CA002402332,2015-10-27,TMIN,-149
CA002303685,2014-03-27,TMAX,-271
CA002303685,2015-12-06,TMAX,-196
CA002303685,2009-06-21,TMAX,25
CA002303685,2005-07-04,TMIN,46
CA002303685,2014-03-27,TMIN,-368
CA002303685,2006-03-20,TMIN,-283
CA002303685,2015-01-25,TMIN,-394
CA002402332,2011-12-29,TMAX,-342
CA002303685,2014-04-02,TMAX,-297
CA002303685,2014-04-02,TMIN,-387
CA002402332,2013-09-03,TMIN,-18
CA002303685,2012-11-29,TMIN,-358
CA002402332,2015-10-27,TMAX,-117
CA002303685,2012-11-29,TMAX,-304
CA002303685,2015-12-06,TMIN,-334
CA002303685,2007-07-23,TMIN,40
CA002402332,2011-12-29,TMIN,-382
CA002303685,2005-07-04,TMAX,123
CA002303685,2009-10-10,TMAX,-57
CA002303685,2007-07-23,TMAX,165
CA002402332,2015-04-28,TMIN,-181
CA002303685,2015-11-19,TMAX,-120
CA002303685,2012-08-20,TMIN,83
CA002303685,2015-01-25,TMAX,-331
CA002303685,2010-10-15,TMAX,-34
CA002303685,2008-08-06,TMIN,69
CA002303685,2009-10-10,TMIN,-108
CA002303685,2006-03-20,TMAX,-186
CA002402332,2013-09-05,TMIN,-1
CA002402332,2015-09-05,TMAX,34
CA002303685,2012-07-26,TMAX,53
CA002303685,2012-07-26,TMIN,19
CA002303685,2011-04-19,TMIN,-339
CA002303685,2010-11-06,TMAX,-28
CA002303685,2012-12-31,TMAX,-226
CA002402332,2015-12-30,TMIN,-336
CA002303685,2010-10-18,TMIN,-56
CA002303685,2010-06-14,TMIN,-9
CA002303685,2013-05-15,TMIN,-174
CA002303685,2010-10-18,TMAX,-19
CA002303685,2007-09-03,TMAX,62
CA002303685,2006-12-26,TMAX,-254
CA002402332,2015-12-30,TMAX,-264
CA002303685,2006-12-26,TMIN,-292
CA002303685,2014-05-14,TMIN,-159
CA002303685,2014-05-14,TMAX,-48
CA002303685,2008-12-06,TMAX,-242
CA002303685,2007-10-18,TMIN,-82
CA002303685,2010-05-02,TMAX,-120
CA002303685,2011-11-09,TMIN,-161
CA002303685,2008-01-30,TMIN,-435
CA002303685,2013-04-15,TMAX,-179
CA002402332,2013-08-21,TMAX,27
CA002303685,2013-04-15,TMIN,-259
CA002303685,2009-04-23,TMAX,-133
CA002303685,2011-04-19,TMAX,-250
CA002303685,2011-11-09,TMAX,-142
CA002303685,2009-06-07,TMIN,-44
CA002303685,2010-11-06,TMIN,-95
CA002303685,2008-08-11,TMIN,48
CA002402332,2015-06-08,TMIN,-2
CA002303685,2009-04-23,TMIN,-192
CA002303685,2014-11-10,TMAX,-196
CA002402332,2015-06-08,TMAX,9
CA002303685,2014-11-10,TMIN,-282
CA002303685,2010-05-02,TMIN,-248
CA002303685,2015-11-17,TMAX,-41
CA002303685,2008-12-06,TMIN,-279
CA002303685,2014-03-07,TMIN,-344
CA002303685,2014-03-07,TMAX,-285
CA002303685,2008-01-15,TMIN,-297
CA002303685,2008-12-10,TMIN,-322
CA002303685,2012-02-13,TMIN,-213
CA002303685,2005-08-30,TMIN,7
CA002303685,2007-06-21,TMIN,-19
CA002303685,2005-08-30,TMAX,49
CA002303685,2011-10-02,TMAX,-28
CA002303685,2015-10-01,TMIN,-4
CA002303685,2010-05-08,TMAX,-111
CA002303685,2010-05-08,TMIN,-134
CA002303685,2008-02-14,TMAX,-392
CA002303685,2008-01-15,TMAX,-213
CA002303685,2007-06-21,TMAX,24
CA002303685,2007-07-30,TMIN,25
CA002303685,2013-07-21,TMIN,48
CA002303685,2006-07-17,TMAX,79
CA002303685,2008-12-10,TMAX,-238
CA002303685,2006-07-17,TMIN,36
CA002303685,2009-05-07,TMIN,-151
CA002303685,2007-07-30,TMAX,122
CA002402332,2015-05-03,TMIN,-146
CA002303685,2008-02-14,TMIN,-446
CA002402332,2011-12-25,TMIN,-339
CA002303685,2013-01-05,TMAX,-220
CA002303685,2013-09-11,TMIN,-31
CA002402332,2015-05-03,TMAX,-77
CA002303685,2014-04-03,TMIN,-376
CA002303685,2009-05-07,TMAX,-111
CA002303685,2007-01-18,TMIN,-370
CA002303685,2009-02-04,TMIN,-377
CA002303685,2009-02-04,TMAX,-272
CA002303685,2011-07-06,TMIN,78
CA002303685,2007-01-18,TMAX,-323
CA002303685,2013-05-02,TMIN,-308
CA002402332,2013-09-05,TMAX,24
CA002303685,2015-09-19,TMIN,-3
CA002303685,2013-07-21,TMAX,137
CA002303685,2011-10-02,TMIN,-82
CA002303685,2015-10-01,TMAX,33
CA002402332,2014-10-22,TMAX,-188
CA002303685,2011-10-13,TMIN,-55
CA002402332,2015-01-20,TMAX,-342
CA002303685,2012-03-21,TMIN,-321
CA002303685,2011-05-11,TMIN,-174
CA002303685,2011-05-11,TMAX,-35
CA002303685,2010-04-11,TMAX,-169
CA002303685,2010-01-06,TMAX,-274
CA002303685,2013-01-05,TMIN,-432
CA002303685,2007-01-29,TMIN,-334
CA002303685,2013-07-27,TMIN,65
CA002303685,2015-10-19,TMAX,-92
CA002303685,2007-10-18,TMAX,-66
CA002303685,2011-10-13,TMAX,-20
CA002303685,2007-01-29,TMAX,-265
CA002303685,2005-03-02,TMAX,-276
