ID,Date,Element,Data_Value
BR000082400,2005-12-26,TMIN,260
BR000082400,2007-03-24,TMIN,265
BR000082400,2005-05-21,TMIN,262
BR000082400,2014-08-16,TMIN,239
BR000082400,2007-03-10,TMIN,260
BR000082400,2012-10-17,TMIN,240
BR000082400,2013-03-27,TMIN,258
BR000082400,2005-03-30,TMIN,260
BR000082400,2007-01-03,TMIN,250
BR000082400,2008-12-27,TMIN,260
BR000082400,2012-11-09,TMIN,249
BR000082400,2013-07-11,TMIN,225
BR000082400,2007-06-26,TMIN,258
BR000082400,2010-08-03,TMIN,251
BR000082400,2007-01-13,TMIN,256
BR000082400,2008-04-17,TMIN,260
BR000082400,2010-09-01,TMIN,237
BR000082400,2013-04-19,TMIN,270
BR000082400,2011-01-30,TMIN,237
BR000082400,2010-09-08,TMIN,240
BR000082400,2013-06-22,TMIN,248
BR000082400,2009-05-01,TMIN,248
BR000082400,2015-09-08,TMIN,250
BR000082400,2015-06-03,TMIN,256
BR000082400,2009-01-12,TMIN,248
BR000082400,2011-09-01,TMIN,234
BR000082400,2006-03-28,TMIN,250
BR000082400,2005-06-05,TMIN,240
BR000082400,2007-11-10,TMIN,236
BR000082400,2012-07-29,TMIN,248
BR000082400,2005-12-29,TMIN,249
BR000082400,2008-02-29,TMIN,248
BR000082400,2005-10-28,TMIN,258
BR000082400,2008-10-14,TMIN,250
BR000082400,2011-05-15,TMIN,239
BR000082400,2009-01-18,TMIN,250
BR000082400,2015-10-25,TMIN,256
BR000082400,2012-09-22,TMIN,247
BR000082400,2008-02-20,TMIN,261
BR000082400,2013-10-14,TMIN,245
BR000082400,2008-01-10,TMIN,260
BR000082400,2007-10-24,TMIN,250
BR000082400,2008-08-22,TMIN,250
BR000082400,2008-03-29,TMIN,248
BR000082400,2014-01-10,TMIN,246
BR000082400,2015-04-15,TMIN,258
BR000082400,2011-08-21,TMIN,248
BR000082400,2008-10-14,TMAX,290
BR000082400,2009-02-15,TMIN,258
BR000082400,2010-12-31,TMIN,255
BR000082400,2007-03-09,TMIN,262
BR000082400,2015-01-03,TMIN,248
BR000082400,2009-01-09,TMIN,258
BR000082400,2010-08-18,TMIN,250
BR000082400,2008-08-01,TMIN,250
BR000082400,2013-12-26,TMIN,250
BR000082400,2007-03-30,TMIN,268
BR000082400,2005-08-29,TMIN,252
BR000082400,2011-04-01,TMIN,258
BR000082400,2007-11-15,TMIN,232
BR000082400,2011-10-13,TMIN,250
BR000082400,2005-04-01,TMIN,252
BR000082400,2007-04-03,TMIN,255
BR000082400,2009-05-01,TMAX,300
BR000082400,2015-07-02,TMIN,237
BR000082400,2005-06-07,TMIN,254
BR000082400,2010-11-21,TMIN,257
BR000082400,2013-12-01,TMIN,247
BR000082400,2012-11-27,TMIN,257
BR000082400,2006-12-14,TMIN,252
BR000082400,2005-08-20,TMIN,250
BR000082400,2010-12-22,TMIN,245
BR000082400,2015-11-12,TMIN,256
BR000082400,2011-04-04,TMIN,260
BR000082400,2008-10-15,TMIN,243
BR000082400,2008-01-19,TMIN,258
BR000082400,2010-07-15,TMIN,250
BR000082400,2005-11-17,TMIN,266
BR000082400,2013-03-06,TMIN,266
BR000082400,2012-02-14,TMIN,257
BR000082400,2006-03-22,TMIN,212
BR000082400,2007-12-29,TMIN,254
BR000082400,2009-05-09,TMIN,238
BR000082400,2014-01-07,TMIN,247
BR000082400,2015-05-03,TMIN,267
BR000082400,2012-05-22,TMIN,252
BR000082400,2014-02-16,TMIN,265
BR000082400,2006-03-19,TMIN,238
BR000082400,2014-12-11,TMIN,257
BR000082400,2014-09-09,TMIN,245
BR000082400,2008-04-16,TMIN,241
BR000082400,2012-06-02,TMIN,258
BR000082400,2010-04-11,TMIN,250
BR000082400,2007-05-20,TMIN,248
BR000082400,2012-09-13,TMIN,246
BR000082400,2015-10-23,TMIN,255
BR000082400,2012-07-10,TMIN,242
BR000082400,2013-02-01,TMIN,265
BR000082400,2010-05-14,TMIN,264
BR000082400,2006-01-24,TMIN,263
BR000082400,2010-05-14,TMAX,303
BR000082400,2008-05-21,TMIN,260
BR000082400,2009-05-26,TMIN,238
BR000082400,2015-02-27,TMIN,255
BR000082400,2014-12-06,TMIN,255
BR000082400,2007-11-16,TMIN,250
BR000082400,2007-01-05,TMIN,236
BR000082400,2010-12-16,TMIN,230
