ID,Date,Element,Data_Value
AYM00089059,2015-09-24,TMIN,-128
AYM00089059,2011-12-02,TMIN,-7
AYM00088963,2007-01-10,TMAX,42
AYM00088963,2014-04-02,TMAX,26
AYM00089059,2006-08-25,TMIN,-212
AYM00089059,2012-08-01,TMIN,-128
AYM00089059,2010-05-15,TMIN,-90
AYM00088963,2008-04-07,TMAX,18
AYM00089059,2014-01-23,TMIN,-9
AYM00089059,2007-06-04,TMIN,-90
AYM00089055,2009-01-02,TMAX,25
AYM00089055,2008-11-15,TMAX,-54
AYM00088963,2014-05-29,TMAX,-109
AYM00089059,2007-10-25,TMAX,-60
AYM00089055,2012-05-25,TMIN,-230
AYM00088963,2012-12-08,TMIN,-30
AYM00089055,2007-09-16,TMIN,-112
AYM00088963,2005-04-16,TMIN,-43
AYM00088963,2010-07-24,TMIN,-33
AYM00089055,2007-01-02,TMIN,-41
AYM00088963,2008-06-14,TMAX,-182
AYM00089059,2007-06-04,TMAX,-65
AYM00089059,2006-08-16,TMAX,-26
AYM00089055,2006-10-17,TMIN,-110
AYM00089059,2010-06-20,TMIN,-72
AYM00088963,2011-04-06,TMIN,-100
AYM00088963,2015-11-25,TMAX,28
AYM00088963,2008-09-02,TMAX,40
AYM00089059,2014-12-16,TMAX,3
AYM00089055,2012-02-17,TMAX,-9
AYM00089059,2013-09-07,TMAX,-9
AYM00089055,2014-04-30,TMAX,-30
AYM00089059,2006-01-17,TMAX,40
AYM00089055,2005-07-07,TMIN,-272
AYM00089059,2006-01-17,TMIN,8
AYM00088963,2006-05-12,TMIN,5
AYM00088963,2007-07-26,TMIN,-261
AYM00088963,2006-05-12,TMAX,55
AYM00089059,2014-07-06,TMAX,20
AYM00089055,2014-04-07,TMAX,-62
AYM00089055,2013-08-18,TMIN,-225
AYM00089059,2005-11-17,TMAX,16
AYM00089055,2008-05-27,TMIN,-168
AYM00088963,2008-09-02,TMIN,-70
AYM00088963,2010-08-27,TMAX,-122
AYM00089059,2008-11-09,TMIN,-56
AYM00089059,2014-02-05,TMIN,-16
AYM00088963,2012-01-08,TMIN,10
AYM00089055,2015-08-19,TMIN,-230
AYM00089059,2006-08-25,TMAX,-152
AYM00088963,2012-01-08,TMAX,56
AYM00088963,2013-05-07,TMIN,-200
AYM00089059,2011-10-15,TMIN,-66
AYM00089055,2011-11-12,TMIN,-26
AYM00088963,2013-10-19,TMAX,-55
AYM00089059,2009-02-26,TMAX,16
AYM00089059,2005-10-01,TMIN,-16
AYM00089059,2013-04-29,TMIN,-12
AYM00089059,2007-05-16,TMIN,-72
AYM00089055,2010-07-12,TMAX,-180
AYM00089059,2014-02-05,TMAX,12
AYM00088963,2005-03-17,TMIN,-31
AYM00089055,2007-06-08,TMIN,-264
AYM00089059,2011-05-19,TMAX,-10
AYM00089055,2009-08-11,TMIN,-355
AYM00089055,2006-03-25,TMIN,-148
AYM00089055,2006-03-25,TMAX,68
AYM00089055,2015-05-03,TMIN,-138
AYM00089059,2011-05-19,TMIN,-78
AYM00089059,2011-05-21,TMAX,-62
AYM00089055,2009-10-11,TMAX,20
AYM00089059,2014-09-12,TMAX,-30
AYM00088963,2014-03-21,TMAX,-64
AYM00089059,2009-01-19,TMIN,-4
AYM00089059,2007-04-04,TMIN,-72
AYM00089059,2012-10-06,TMIN,-34
AYM00088963,2013-03-01,TMAX,86
AYM00089055,2011-05-30,TMAX,42
AYM00088963,2013-04-03,TMAX,58
AYM00088963,2007-10-27,TMIN,-156
AYM00089055,2013-07-30,TMAX,-187
AYM00088963,2014-03-22,TMAX,-69
AYM00088963,2009-09-24,TMIN,-145
AYM00088963,2009-02-27,TMAX,6
AYM00089059,2005-10-02,TMIN,-16
AYM00089059,2010-08-17,TMAX,-60
AYM00088963,2005-02-28,TMIN,-41
AYM00089059,2009-11-28,TMIN,-11
AYM00088963,2010-05-02,TMIN,-210
AYM00089055,2011-11-15,TMIN,-40
AYM00088963,2008-03-20,TMAX,10
AYM00089059,2005-10-02,TMAX,-4
AYM00089055,2012-09-09,TMIN,-260
AYM00089055,2006-02-03,TMIN,-46
AYM00089059,2008-06-26,TMAX,1
AYM00089055,2009-08-11,TMAX,-280
AYM00089059,2005-02-05,TMAX,20
AYM00088963,2011-06-28,TMIN,-92
AYM00089055,2007-09-22,TMIN,-64
AYM00089059,2005-07-08,TMAX,-20
AYM00088963,2008-02-25,TMAX,92
AYM00089055,2008-08-11,TMAX,-155
AYM00088963,2010-02-03,TMIN,-22
AYM00089055,2011-10-26,TMIN,-72
AYM00089059,2013-02-03,TMIN,-11
AYM00088963,2007-03-22,TMAX,-20
AYM00089055,2012-02-17,TMIN,-56
AYM00089055,2008-08-08,TMAX,-40
AYM00089059,2013-09-14,TMIN,-160
AYM00089055,2011-11-15,TMAX,6
AYM00088963,2014-03-22,TMIN,-142
AYM00089059,2015-01-24,TMIN,4
AYM00088963,2006-10-13,TMAX,35
AYM00089059,2008-03-19,TMAX,-9
AYM00089059,2008-11-13,TMIN,-22
AYM00089055,2015-02-03,TMIN,-43
AYM00089055,2006-07-26,TMIN,-118
AYM00088963,2006-07-22,TMAX,-137
AYM00089059,2013-09-07,TMIN,-46
AYM00089055,2015-10-18,TMAX,-110
AYM00089059,2005-07-08,TMIN,-92
AYM00089059,2005-12-03,TMAX,-1
AYM00088963,2009-07-19,TMAX,100
AYM00089055,2005-08-25,TMAX,-10
AYM00089055,2007-05-04,TMIN,-140
AYM00089055,2013-11-06,TMIN,-80
AYM00088963,2010-06-03,TMIN,0
AYM00089055,2006-06-17,TMIN,-148
AYM00089055,2006-06-17,TMAX,-5
AYM00088963,2012-04-15,TMAX,-132
AYM00089055,2009-05-10,TMAX,-64
AYM00088963,2010-03-27,TMAX,44
AYM00089055,2013-07-12,TMIN,-264
AYM00088963,2010-03-27,TMIN,-78
AYM00089059,2007-01-15,TMAX,30
AYM00089055,2005-04-10,TMIN,-131
AYM00089055,2013-12-12,TMAX,15
AYM00089055,2011-06-24,TMIN,-293
AYM00089059,2012-10-22,TMIN,-79
AYM00089055,2007-09-04,TMIN,-271
AYM00089059,2014-08-25,TMAX,-19
AYM00089059,2007-03-01,TMIN,-6
AYM00089059,2011-02-09,TMIN,-7
AYM00089055,2011-02-20,TMIN,-44
AYM00089055,2009-10-11,TMIN,-28
AYM00089059,2007-04-04,TMAX,-20
AYM00088963,2012-11-22,TMIN,-68
AYM00089055,2006-08-09,TMIN,-172
AYM00089059,2015-01-24,TMAX,16
AYM00088963,2013-04-13,TMAX,75
AYM00089055,2008-08-11,TMIN,-193
AYM00089055,2011-12-22,TMIN,-30
AYM00088963,2009-01-07,TMIN,-3
AYM00088963,2015-11-06,TMAX,66
AYM00089055,2005-08-25,TMIN,-78
AYM00089059,2006-06-19,TMAX,-22
AYM00088963,2015-11-06,TMIN,-22
AYM00089055,2015-05-03,TMAX,-90
AYM00088963,2013-05-01,TMIN,-94
AYM00089059,2013-12-10,TMAX,3
AYM00088963,2013-03-01,TMIN,3
AYM00089059,2005-02-11,TMIN,-18
AYM00089055,2011-01-23,TMAX,-3
AYM00089059,2015-12-28,TMAX,10
AYM00088963,2010-07-19,TMAX,12
AYM00089059,2005-07-15,TMIN,-60
AYM00089055,2009-06-25,TMIN,-250
AYM00089055,2008-04-07,TMAX,13
AYM00089055,2014-02-07,TMAX,-49
AYM00089055,2006-11-01,TMIN,-23
AYM00088963,2014-11-07,TMAX,33
AYM00089059,2007-03-01,TMAX,12
AYM00088963,2014-12-13,TMIN,-47
AYM00089059,2013-08-12,TMAX,-55
AYM00088963,2010-11-10,TMIN,-14
AYM00089059,2007-05-16,TMAX,-36
AYM00089059,2008-03-30,TMAX,4
AYM00088963,2009-02-27,TMIN,-60
AYM00089059,2013-06-28,TMAX,-8
AYM00089059,2010-08-17,TMIN,-116
AYM00089055,2013-07-12,TMAX,-191
AYM00088963,2012-07-29,TMIN,-136
AYM00088963,2009-10-28,TMIN,-100
AYM00089055,2006-08-09,TMAX,-51
AYM00089059,2005-07-24,TMAX,-104
AYM00088963,2011-05-26,TMIN,-160
AYM00089059,2013-04-17,TMAX,-12
AYM00089055,2005-10-02,TMIN,-3
AYM00088963,2014-04-26,TMIN,-9
