ID,Date,Element,Data_Value
ASN00002032,2014-10-15,TMIN,240
ASN00002012,2011-11-06,TMAX,374
ASN00014829,2009-07-24,TMAX,321
ASN00014829,2012-12-13,TMIN,225
ASN00002032,2009-06-13,TMIN,101
ASN00014829,2008-04-30,TMAX,338
ASN00014829,2009-07-24,TMIN,165
ASN00002032,2012-10-03,TMAX,350
ASN00002012,2007-01-15,TMIN,231
ASN00002056,2015-03-23,TMIN,240
ASN00001025,2014-01-08,TMAX,371
ASN00001013,2014-07-22,TMIN,143
ASN00002064,2006-06-06,TMAX,260
ASN00014829,2009-06-10,TMIN,73
ASN00014829,2009-06-10,TMAX,247
ASN00002032,2011-12-16,TMIN,247
ASN00002064,2011-01-27,TMAX,385
ASN00002056,2010-10-08,TMIN,219
ASN00014829,2014-10-18,TMIN,112
ASN00014829,2007-01-12,TMAX,330
ASN00002014,2005-03-19,TMIN,226
ASN00014829,2008-04-30,TMIN,120
ASN00002056,2010-04-08,TMAX,366
ASN00002032,2009-06-13,TMAX,316
ASN00002012,2005-04-10,TMIN,234
ASN00002064,2013-03-24,TMIN,275
ASN00002014,2006-06-08,TMIN,112
ASN00002064,2008-01-02,TMIN,234
ASN00002056,2010-04-08,TMIN,256
ASN00002012,2005-04-10,TMAX,386
ASN00014829,2008-08-12,TMIN,83
ASN00002032,2007-10-14,TMAX,368
ASN00002012,2007-01-19,TMIN,247
ASN00002056,2015-02-09,TMIN,254
ASN00001013,2006-06-01,TMIN,130
ASN00002064,2010-04-08,TMAX,370
ASN00014829,2011-03-11,TMIN,222
ASN00002032,2006-06-04,TMAX,280
ASN00002032,2006-06-04,TMIN,117
ASN00014829,2007-01-14,TMIN,220
ASN00002056,2015-02-09,TMAX,406
ASN00002032,2006-10-14,TMAX,373
ASN00002012,2008-03-29,TMIN,226
ASN00001025,2011-07-13,TMIN,133
ASN00002014,2010-04-08,TMIN,255
ASN00001025,2011-07-13,TMAX,310
ASN00002014,2010-04-08,TMAX,366
ASN00002032,2011-01-23,TMIN,232
ASN00002014,2008-09-09,TMIN,180
ASN00002064,2012-09-09,TMIN,168
ASN00001025,2015-11-18,TMAX,392
ASN00002014,2007-01-15,TMAX,307
ASN00001013,2007-10-02,TMIN,180
ASN00001025,2006-05-27,TMAX,291
ASN00001013,2007-10-02,TMAX,375
ASN00002064,2012-09-09,TMAX,329
ASN00002032,2010-12-22,TMIN,223
ASN00001013,2005-04-14,TMIN,245
ASN00001013,2005-04-14,TMAX,391
ASN00002032,2007-11-04,TMAX,347
ASN00002056,2013-08-19,TMIN,174
ASN00002056,2007-12-04,TMIN,287
ASN00002064,2013-12-08,TMIN,285
ASN00001025,2006-05-23,TMIN,176
ASN00002012,2008-03-29,TMAX,340
ASN00002032,2015-05-23,TMAX,310
ASN00002012,2009-02-02,TMIN,245
ASN00002012,2008-09-09,TMAX,358
ASN00002064,2013-12-08,TMAX,402
ASN00002032,2015-05-23,TMIN,156
ASN00001006,2007-10-08,TMIN,274
ASN00002012,2009-09-29,TMAX,363
ASN00001013,2013-05-30,TMAX,334
ASN00014829,2007-10-07,TMIN,256
ASN00002064,2009-07-24,TMIN,211
ASN00002056,2007-12-04,TMAX,429
ASN00002056,2015-03-22,TMIN,264
ASN00002064,2008-01-02,TMAX,333
ASN00002064,2013-12-09,TMIN,295
