ID,Date,Element,Data_Value
RPM00098134,2010-08-02,TMAX,320
RPM00098134,2007-11-07,TMIN,220
RPM00098134,2012-08-26,TMAX,303
RPM00098134,2005-09-21,TMAX,262
RPM00098134,2007-06-12,TMIN,245
RPM00098134,2006-06-05,TMIN,242
RPM00098134,2010-08-02,TMIN,258
RPM00098134,2013-03-10,TMIN,180
RPM00098134,2008-12-29,TMIN,185
RPM00098134,2008-05-30,TMAX,316
RPM00098134,2011-10-10,TMAX,282
RPM00098134,2010-07-01,TMIN,257
RPM00098134,2010-06-03,TMAX,275
RPM00098134,2010-05-29,TMIN,238
RPM00098134,2013-12-02,TMAX,227
RPM00098134,2011-10-10,TMIN,220
RPM00098134,2012-05-03,TMIN,241
RPM00098134,2007-01-22,TMIN,219
RPM00098134,2015-01-01,TMIN,176
RPM00098134,2011-10-08,TMIN,228
RPM00098134,2007-08-09,TMAX,268
RPM00098134,2008-05-30,TMIN,248
RPM00098134,2009-04-16,TMIN,218
RPM00098134,2011-05-13,TMAX,294
RPM00098134,2015-08-28,TMIN,245
RPM00098134,2009-04-04,TMIN,195
RPM00098134,2011-02-16,TMAX,228
RPM00098134,2013-12-02,TMIN,170
RPM00098134,2012-04-13,TMAX,291
RPM00098134,2014-08-11,TMIN,246
RPM00098134,2015-06-04,TMAX,303
RPM00098134,2007-12-05,TMAX,250
RPM00098134,2009-09-18,TMAX,300
RPM00098134,2011-11-21,TMAX,246
RPM00098134,2014-10-05,TMIN,210
RPM00098134,2014-11-17,TMAX,245
RPM00098134,2010-09-16,TMAX,308
RPM00098134,2008-09-20,TMAX,298
RPM00098134,2011-11-16,TMIN,197
RPM00098134,2006-12-24,TMAX,230
RPM00098134,2006-03-27,TMIN,218
RPM00098134,2015-08-12,TMIN,244
RPM00098134,2007-04-25,TMAX,301
RPM00098134,2008-07-26,TMIN,250
RPM00098134,2009-10-20,TMIN,212
RPM00098134,2006-05-25,TMAX,286
RPM00098134,2010-12-09,TMAX,230
RPM00098134,2012-07-27,TMIN,226
RPM00098134,2006-06-17,TMIN,248
RPM00098134,2006-03-04,TMAX,225
RPM00098134,2007-03-08,TMIN,204
RPM00098134,2012-01-02,TMIN,162
RPM00098134,2008-12-22,TMIN,190
RPM00098134,2007-12-22,TMAX,288
RPM00098134,2006-03-04,TMIN,170
RPM00098134,2006-04-17,TMIN,198
RPM00098134,2006-12-24,TMIN,170
RPM00098134,2008-07-26,TMAX,290
RPM00098134,2014-12-23,TMIN,164
RPM00098134,2009-01-31,TMAX,240
RPM00098134,2006-04-17,TMAX,258
RPM00098134,2013-08-26,TMAX,300
RPM00098134,2010-05-11,TMAX,294
RPM00098134,2006-06-15,TMAX,310
