ID,Date,Element,Data_Value
AO000066390,2005-04-26,TMIN,150
AO000066390,2005-12-06,TMAX,300
AO000066390,2015-12-11,TMIN,160
AO000066390,2014-11-24,TMIN,156
AO000066390,2005-04-13,TMAX,280
AO000066390,2015-04-27,TMIN,157
AO000066390,2005-12-06,TMIN,168
AO000066390,2005-05-07,TMIN,140
AO000066390,2014-08-05,TMIN,149
AO000066390,2015-07-24,TMIN,134
AO000066390,2005-12-07,TMIN,160
AO000066390,2006-05-18,TMAX,232
AO000066390,2014-11-26,TMIN,153
AO000066390,2015-05-27,TMIN,143
AO000066390,2015-08-25,TMIN,165
AO000066390,2015-10-13,TMIN,143
AO000066390,2014-10-05,TMAX,316
AO000066390,2015-06-20,TMIN,114
AO000066390,2014-01-25,TMIN,145
AO000066390,2014-07-24,TMIN,150
AO000066390,2014-10-18,TMIN,147
AO000066390,2014-07-07,TMIN,96
AO000066390,2014-03-14,TMIN,163
AO000066390,2014-08-06,TMAX,272
AO000066390,2014-11-18,TMIN,171
AO000066390,2015-07-11,TMAX,274
AO000066390,2015-09-24,TMIN,180
AO000066390,2015-07-15,TMIN,145
AO000066390,2014-03-06,TMAX,278
AO000066390,2015-06-29,TMIN,124
AO000066390,2005-12-07,TMAX,275
AO000066390,2005-04-13,TMIN,155
AO000066390,2005-08-18,TMIN,135
AO000066390,2014-08-02,TMIN,135
AO000066390,2015-11-16,TMIN,154
AO000066390,2006-04-20,TMAX,285
AO000066390,2005-04-18,TMIN,150
AO000066390,2015-06-28,TMAX,266
AO000066390,2015-08-27,TMIN,160
AO000066390,2015-07-12,TMIN,131
AO000066390,2014-12-19,TMIN,170
AO000066390,2015-08-21,TMIN,168
AO000066390,2015-01-13,TMAX,260
AO000066390,2014-10-07,TMIN,160
AO000066390,2014-10-17,TMAX,311
AO000066390,2015-07-21,TMIN,130
AO000066390,2015-11-03,TMIN,142
AO000066390,2015-05-12,TMIN,134
AO000066390,2014-09-07,TMIN,142
AO000066390,2015-07-12,TMAX,283
AO000066390,2015-10-12,TMIN,152
AO000066390,2005-01-28,TMIN,145
AO000066390,2015-01-30,TMIN,159
AO000066390,2006-05-14,TMIN,110
AO000066390,2015-07-06,TMIN,124
AO000066390,2014-08-22,TMAX,292
AO000066390,2014-10-10,TMIN,174
AO000066390,2014-11-04,TMAX,260
AO000066390,2014-12-08,TMIN,158
AO000066390,2005-11-22,TMIN,150
AO000066390,2015-01-09,TMIN,153
AO000066390,2015-09-25,TMIN,201
AO000066390,2014-08-15,TMAX,265
AO000066390,2015-01-20,TMIN,125
AO000066390,2015-09-27,TMIN,123
AO000066390,2014-09-13,TMIN,141
AO000066390,2014-07-30,TMIN,149
AO000066390,2014-09-28,TMIN,127
AO000066390,2015-12-16,TMIN,160
AO000066390,2006-05-09,TMIN,150
AO000066390,2006-05-09,TMAX,270
AO000066390,2014-10-25,TMAX,310
AO000066390,2015-07-20,TMIN,118
AO000066390,2005-11-22,TMAX,265
AO000066390,2014-10-20,TMIN,150
AO000066390,2014-08-02,TMAX,247
AO000066390,2006-05-18,TMIN,110
AO000066390,2015-01-12,TMIN,157
AO000066390,2014-12-07,TMIN,157
AO000066390,2005-08-25,TMAX,290
AO000066390,2005-08-25,TMIN,160
AO000066390,2014-07-20,TMIN,126
AO000066390,2015-01-19,TMIN,127
AO000066390,2015-09-12,TMIN,165
AO000066390,2014-03-05,TMIN,160
AO000066390,2014-10-14,TMIN,156
AO000066390,2014-12-11,TMIN,158
AO000066390,2014-07-08,TMIN,122
AO000066390,2015-09-20,TMIN,146
AO000066390,2015-09-29,TMIN,137
AO000066390,2014-10-09,TMIN,174
AO000066390,2014-07-17,TMIN,100
AO000066390,2015-05-18,TMIN,147
AO000066390,2015-12-15,TMIN,155
AO000066390,2014-08-20,TMIN,176
AO000066390,2015-12-29,TMIN,158
AO000066390,2014-11-20,TMIN,140
AO000066390,2014-04-07,TMIN,152
AO000066390,2015-09-22,TMIN,154
AO000066390,2014-09-22,TMIN,148
AO000066390,2006-02-08,TMAX,302
AO000066390,2014-07-28,TMAX,241
AO000066390,2005-05-25,TMAX,280
AO000066390,2015-07-27,TMIN,138
AO000066390,2014-10-19,TMIN,150
AO000066390,2015-09-21,TMIN,154
AO000066390,2005-10-17,TMIN,155
AO000066390,2014-10-21,TMIN,146
AO000066390,2014-12-31,TMIN,144
AO000066390,2006-02-08,TMIN,145
AO000066390,2014-01-26,TMIN,174
AO000066390,2015-10-30,TMIN,136
AO000066390,2015-06-21,TMIN,110
AO000066390,2014-01-27,TMIN,157
AO000066390,2005-10-04,TMAX,300
AO000066390,2005-10-04,TMIN,160
AO000066390,2015-04-16,TMIN,160
AO000066390,2015-08-01,TMAX,263
AO000066390,2015-08-28,TMIN,174
AO000066390,2015-04-22,TMAX,274
AO000066390,2014-11-13,TMAX,275
AO000066390,2015-07-23,TMIN,130
AO000066390,2014-02-06,TMIN,164
AO000066390,2005-12-29,TMIN,145
AO000066390,2015-12-25,TMAX,262
AO000066390,2015-10-04,TMIN,184
AO000066390,2015-10-03,TMIN,154
AO000066390,2015-04-15,TMIN,176
AO000066390,2005-08-18,TMAX,270
AO000066390,2006-03-21,TMIN,160
AO000066390,2005-03-26,TMAX,225
AO000066390,2006-03-21,TMAX,260
AO000066390,2014-09-04,TMAX,268
AO000066390,2015-01-23,TMIN,153
AO000066390,2015-07-25,TMAX,270
AO000066390,2014-03-11,TMIN,142
AO000066390,2015-08-12,TMIN,138
AO000066390,2014-08-17,TMAX,270
AO000066390,2005-03-26,TMIN,100
AO000066390,2014-09-16,TMIN,174
AO000066390,2015-06-06,TMIN,90
AO000066390,2005-05-31,TMIN,122
AO000066390,2014-04-15,TMIN,143
AO000066390,2015-05-22,TMIN,144
AO000066390,2014-02-04,TMIN,140
AO000066390,2005-05-31,TMAX,270
AO000066390,2015-09-04,TMIN,153
AO000066390,2015-07-16,TMIN,164
AO000066390,2005-05-25,TMIN,120
AO000066390,2014-11-12,TMIN,163
AO000066390,2015-05-21,TMIN,144
AO000066390,2015-11-28,TMAX,321
AO000066390,2005-04-07,TMIN,160
AO000066390,2014-08-18,TMIN,163
AO000066390,2014-12-28,TMIN,132
AO000066390,2015-01-14,TMIN,150
AO000066390,2015-04-22,TMIN,158
AO000066390,2014-01-24,TMIN,170
AO000066390,2005-05-20,TMIN,140
AO000066390,2008-02-04,TMAX,268
AO000066390,2015-05-20,TMIN,150
AO000066390,2015-09-01,TMAX,300
AO000066390,2014-12-12,TMAX,254
AO000066390,2014-09-02,TMAX,281
AO000066390,2005-04-07,TMAX,275
AO000066390,2005-05-20,TMAX,285
