ID,Date,Element,Data_Value
CI000085488,2013-02-25,TMAX,227
CI000085488,2009-01-05,TMIN,144
CI000085488,2013-08-10,TMIN,47
CI000085488,2011-01-18,TMIN,125
CI000085488,2008-01-01,TMIN,137
CI000085488,2013-12-16,TMIN,130
CI000085488,2006-11-20,TMIN,130
CI000085488,2006-02-22,TMIN,135
CI000085488,2007-07-09,TMIN,17
CI000085488,2015-01-10,TMAX,192
CI000085488,2014-12-14,TMIN,128
CI000085488,2006-03-10,TMIN,130
CI000085488,2009-03-14,TMAX,201
CI000085488,2005-02-01,TMIN,99
CI000085488,2009-06-22,TMIN,62
CI000085488,2005-03-15,TMIN,150
CI000085488,2013-12-28,TMAX,229
CI000085488,2012-06-04,TMAX,158
CI000085488,2009-12-08,TMAX,183
CI000085488,2013-12-28,TMIN,160
CI000085488,2006-01-05,TMAX,191
CI000085488,2008-01-01,TMAX,195
CI000085488,2005-08-18,TMIN,97
CI000085488,2012-06-04,TMIN,56
CI000085488,2005-08-18,TMAX,190
CI000085488,2015-01-10,TMIN,148
CI000085488,2010-04-30,TMIN,118
CI000085488,2005-01-01,TMIN,148
CI000085488,2008-08-14,TMIN,106
CI000085488,2009-08-25,TMAX,196
CI000085488,2009-05-05,TMAX,164
CI000085488,2005-10-13,TMIN,92
CI000085488,2008-07-06,TMIN,78
CI000085488,2010-06-20,TMAX,144
CI000085488,2013-12-16,TMAX,220
CI000085488,2007-05-13,TMIN,85
CI000085488,2005-02-01,TMAX,217
CI000085488,2011-05-16,TMIN,63
CI000085488,2011-01-01,TMIN,115
CI000085488,2008-02-17,TMIN,155
CI000085488,2009-12-08,TMIN,103
CI000085488,2006-10-29,TMIN,91
CI000085488,2008-06-13,TMAX,139
CI000085488,2011-04-29,TMAX,190
CI000085488,2012-02-15,TMIN,150
CI000085488,2007-07-09,TMAX,140
CI000085488,2010-08-07,TMIN,60
CI000085488,2011-01-15,TMAX,209
CI000085488,2010-06-27,TMAX,141
CI000085488,2008-03-16,TMIN,125
CI000085488,2013-06-28,TMIN,78
CI000085488,2005-11-01,TMIN,126
CI000085488,2007-01-18,TMIN,159
CI000085488,2010-12-19,TMAX,187
CI000085488,2012-12-17,TMAX,218
CI000085488,2015-10-21,TMIN,100
CI000085488,2005-11-01,TMAX,165
CI000085488,2008-08-12,TMIN,46
CI000085488,2015-10-16,TMAX,193
CI000085488,2015-10-16,TMIN,85
CI000085488,2010-09-16,TMIN,68
CI000085488,2011-04-08,TMIN,135
CI000085488,2009-09-20,TMAX,160
CI000085488,2008-08-27,TMAX,164
