ID,Date,Element,Data_Value
RSM00024959,2015-10-15,TMAX,-44
RSM00024763,2012-04-15,TMIN,-25
RSM00024763,2006-04-01,TMIN,-236
RSM00024671,2005-04-24,TMIN,-38
RSM00024959,2007-12-29,TMAX,-353
RSM00024763,2007-12-04,TMAX,-296
RSM00024959,2013-10-27,TMAX,-60
RSM00024959,2007-02-28,TMAX,-140
RSM00024763,2006-04-01,TMAX,-18
RSM00024763,2005-06-11,TMAX,272
RSM00024671,2011-08-28,TMIN,24
RSM00024959,2009-12-05,TMAX,-382
RSM00024959,2013-01-05,TMIN,-463
RSM00024671,2011-08-28,TMAX,167
RSM00024671,2005-10-04,TMIN,-117
RSM00024585,2014-03-10,TMIN,-412
RSM00024763,2010-06-23,TMAX,197
RSM00024671,2008-12-20,TMIN,-502
RSM00024959,2009-05-14,TMAX,138
RSM00024763,2005-12-27,TMIN,-442
RSM00024671,2008-01-09,TMAX,-366
RSM00024671,2009-06-12,TMIN,24
RSM00024763,2012-02-22,TMAX,-303
RSM00024959,2013-10-13,TMAX,6
RSM00024671,2012-09-18,TMAX,47
RSM00024959,2009-03-11,TMAX,-155
RSM00024763,2009-11-08,TMAX,-245
RSM00024959,2015-11-01,TMAX,-54
RSM00024671,2005-03-27,TMAX,-103
RSM00024671,2008-11-08,TMIN,-270
RSM00024585,2012-12-08,TMIN,-435
RSM00024763,2011-05-16,TMIN,35
RSM00024671,2009-09-22,TMIN,-29
RSM00024959,2011-03-13,TMIN,-219
RSM00024959,2013-10-13,TMIN,-40
RSM00024585,2015-05-22,TMAX,128
RSM00024959,2013-06-15,TMIN,113
RSM00024763,2006-10-22,TMAX,-107
RSM00024763,2006-10-22,TMIN,-250
RSM00024671,2007-01-11,TMIN,-452
RSM00024763,2013-08-23,TMIN,27
RSM00024671,2008-01-09,TMIN,-425
RSM00024763,2009-11-08,TMIN,-274
RSM00024585,2014-03-10,TMAX,-206
RSM00024671,2012-09-18,TMIN,-6
RSM00024671,2014-08-04,TMIN,98
RSM00024763,2011-08-21,TMIN,108
RSM00024763,2011-08-21,TMAX,268
RSM00024671,2013-09-06,TMAX,103
RSM00024671,2006-11-04,TMAX,-245
RSM00024671,2010-12-30,TMAX,-327
RSM00024959,2007-01-27,TMIN,-339
RSM00024959,2008-08-13,TMAX,223
RSM00024959,2009-01-20,TMAX,-284
RSM00024763,2011-03-19,TMAX,-35
RSM00024671,2009-09-24,TMIN,-4
RSM00024959,2015-12-04,TMAX,-253
RSM00024959,2012-08-19,TMAX,161
RSM00024763,2007-06-24,TMIN,99
RSM00024959,2011-03-13,TMAX,-135
RSM00024763,2012-01-11,TMIN,-556
RSM00024585,2012-12-08,TMAX,-399
RSM00024959,2008-10-06,TMAX,69
RSM00024763,2005-06-11,TMIN,98
RSM00024763,2010-12-21,TMAX,-452
RSM00024763,2011-03-19,TMIN,-146
RSM00024671,2006-11-04,TMIN,-345
RSM00024671,2014-08-25,TMIN,53
RSM00024671,2010-12-30,TMIN,-357
RSM00024671,2007-04-07,TMIN,-223
RSM00024671,2015-12-21,TMIN,-519
RSM00024959,2009-03-30,TMIN,-158
RSM00024959,2013-10-27,TMIN,-124
RSM00024959,2006-02-17,TMIN,-395
RSM00024763,2005-12-27,TMAX,-395
RSM00024959,2007-01-27,TMAX,-232
