ID,Date,Element,Data_Value
AYM00089002,2015-11-21,TMIN,-164
AYM00089002,2007-09-11,TMAX,-227
AYM00089002,2015-03-13,TMIN,-235
AYM00089002,2008-09-20,TMIN,-360
AYM00089002,2011-08-05,TMAX,-243
AYM00089002,2006-04-29,TMIN,-276
AYM00089002,2010-12-31,TMAX,13
AYM00089002,2006-01-12,TMAX,3
AYM00089002,2005-03-21,TMIN,-217
AYM00089002,2013-06-14,TMAX,-126
AYM00089002,2010-05-27,TMAX,-202
AYM00089002,2008-04-13,TMIN,-200
AYM00089002,2013-07-12,TMIN,-293
AYM00089002,2006-04-26,TMAX,-210
AYM00089002,2015-09-13,TMIN,-375
AYM00089002,2015-04-19,TMIN,-218
AYM00089002,2005-10-19,TMIN,-205
AYM00089002,2009-03-14,TMAX,-120
AYM00089002,2010-06-30,TMAX,-181
AYM00089002,2013-03-06,TMAX,-99
AYM00089002,2011-10-24,TMIN,-129
AYM00089002,2007-05-24,TMAX,-222
AYM00089002,2009-10-12,TMIN,-176
AYM00089002,2007-12-18,TMIN,-64
AYM00089002,2011-09-01,TMAX,-226
AYM00089002,2014-02-27,TMIN,-173
AYM00089002,2009-03-14,TMIN,-252
AYM00089002,2011-04-01,TMAX,-241
AYM00089002,2012-03-19,TMIN,-83
AYM00089002,2007-09-11,TMIN,-302
AYM00089002,2007-07-24,TMIN,-224
AYM00089002,2008-09-20,TMAX,-208
AYM00089002,2010-01-27,TMAX,-9
AYM00089002,2015-03-08,TMIN,-143
AYM00089002,2015-09-13,TMAX,-267
AYM00089002,2015-03-08,TMAX,-112
AYM00089002,2007-12-18,TMAX,-11
AYM00089002,2007-08-11,TMAX,-143
AYM00089002,2012-03-19,TMAX,-16
AYM00089002,2008-05-12,TMAX,-166
AYM00089002,2015-05-08,TMAX,-61
AYM00089002,2013-01-20,TMIN,-23
AYM00089002,2008-08-24,TMAX,-58
AYM00089002,2013-06-14,TMIN,-256
AYM00089002,2005-09-03,TMIN,-343
AYM00089002,2007-12-21,TMAX,-15
AYM00089002,2014-01-10,TMIN,-124
AYM00089002,2012-08-14,TMAX,-297
AYM00089002,2009-12-29,TMAX,-21
AYM00089002,2011-09-27,TMIN,-242
AYM00089002,2005-01-17,TMIN,-38
AYM00089002,2008-09-25,TMAX,-174
AYM00089002,2010-12-22,TMAX,-14
AYM00089002,2011-10-24,TMAX,-79
AYM00089002,2009-12-29,TMIN,-66
AYM00089002,2007-08-08,TMIN,-325
AYM00089002,2005-11-07,TMAX,-130
AYM00089002,2007-10-14,TMIN,-138
AYM00089002,2012-03-30,TMIN,-206
AYM00089002,2014-04-24,TMIN,-253
AYM00089002,2007-12-21,TMIN,-96
AYM00089002,2007-12-11,TMAX,-18
AYM00089002,2006-01-22,TMIN,-72
AYM00089002,2006-01-22,TMAX,-8
AYM00089002,2011-04-24,TMIN,-295
AYM00089002,2008-07-01,TMIN,-181
AYM00089002,2015-05-25,TMAX,-323
AYM00089002,2009-12-22,TMIN,-81
AYM00089002,2015-10-28,TMIN,-276
AYM00089002,2005-11-08,TMIN,-257
AYM00089002,2009-09-04,TMAX,-309
AYM00089002,2012-06-06,TMIN,-185
AYM00089002,2015-08-18,TMIN,-219
AYM00089002,2013-12-03,TMAX,-40
AYM00089002,2008-05-12,TMIN,-248
AYM00089002,2014-02-28,TMIN,-140
AYM00089002,2005-03-16,TMIN,-219
AYM00089002,2008-01-27,TMIN,-75
AYM00089002,2013-12-03,TMIN,-65
AYM00089002,2011-11-28,TMAX,-41
AYM00089002,2014-04-24,TMAX,-102
AYM00089002,2007-01-16,TMIN,-103
AYM00089002,2009-12-16,TMAX,-14
AYM00089002,2014-11-18,TMIN,-96
AYM00089002,2013-03-16,TMIN,-222
AYM00089002,2012-06-06,TMAX,-138
AYM00089002,2005-06-30,TMIN,-176
AYM00089002,2011-09-26,TMIN,-363
AYM00089002,2008-11-08,TMIN,-197
AYM00089002,2015-05-22,TMAX,-155
AYM00089002,2011-01-04,TMIN,-81
AYM00089002,2013-10-10,TMIN,-268
AYM00089002,2010-12-31,TMIN,-111
AYM00089002,2014-03-16,TMAX,-80
AYM00089002,2014-03-22,TMIN,-213
AYM00089002,2005-06-30,TMAX,-100
AYM00089002,2011-01-04,TMAX,-6
AYM00089002,2005-05-30,TMAX,-234
AYM00089002,2011-10-20,TMIN,-374
AYM00089002,2007-02-15,TMAX,-51
AYM00089002,2005-03-21,TMAX,-91
AYM00089002,2014-09-16,TMAX,-235
AYM00089002,2005-09-03,TMAX,-219
AYM00089002,2009-09-04,TMIN,-387
AYM00089002,2011-04-23,TMAX,-89
AYM00089002,2011-09-01,TMIN,-372
AYM00089002,2014-03-08,TMIN,-131
AYM00089002,2005-10-09,TMAX,-78
AYM00089002,2015-05-08,TMIN,-164
AYM00089002,2007-02-23,TMAX,-93
AYM00089002,2009-11-22,TMAX,-81
AYM00089002,2007-09-19,TMAX,-315
AYM00089002,2012-04-17,TMAX,-198
AYM00089002,2007-01-16,TMAX,-17
AYM00089002,2010-06-04,TMAX,-147
AYM00089002,2008-04-13,TMAX,-109
AYM00089002,2007-11-10,TMAX,7
AYM00089002,2007-11-10,TMIN,-38
AYM00089002,2008-10-16,TMIN,-173
AYM00089002,2005-01-20,TMIN,-62
AYM00089002,2007-09-19,TMIN,-416
AYM00089002,2011-04-01,TMIN,-308
AYM00089002,2011-11-28,TMIN,-114
AYM00089002,2015-01-16,TMIN,-69
AYM00089002,2010-06-30,TMIN,-309
AYM00089002,2012-05-31,TMAX,-170
AYM00089002,2014-09-16,TMIN,-352
AYM00089002,2013-07-12,TMAX,-204
AYM00089002,2005-07-23,TMIN,-412
AYM00089002,2006-10-24,TMIN,-169
AYM00089002,2008-01-27,TMAX,-26
AYM00089002,2008-07-01,TMAX,-125
AYM00089002,2006-12-29,TMIN,-168
AYM00089002,2008-08-17,TMAX,-167
AYM00089002,2008-10-16,TMAX,-155
AYM00089002,2015-04-12,TMIN,-302
AYM00089002,2006-04-29,TMAX,-156
AYM00089002,2012-09-18,TMIN,-268
AYM00089002,2005-07-08,TMAX,-219
AYM00089002,2014-02-27,TMAX,-41
AYM00089002,2007-02-15,TMIN,-118
AYM00089002,2007-08-11,TMIN,-291
AYM00089002,2015-03-13,TMAX,-118
AYM00089002,2011-08-12,TMIN,-367
AYM00089002,2009-12-22,TMAX,-44
AYM00089002,2013-01-20,TMAX,3
AYM00089002,2008-05-04,TMAX,-160
AYM00089002,2011-04-24,TMAX,-188
AYM00089002,2006-06-14,TMAX,-110
AYM00089002,2005-08-27,TMIN,-292
AYM00089002,2012-12-28,TMAX,-3
AYM00089002,2009-11-22,TMIN,-168
AYM00089002,2014-01-10,TMAX,-7
AYM00089002,2012-08-24,TMAX,-171
AYM00089002,2011-10-17,TMIN,-315
AYM00089002,2007-12-31,TMAX,-16
AYM00089002,2011-12-17,TMIN,-39
AYM00089002,2011-10-17,TMAX,-178
AYM00089002,2007-07-25,TMAX,-103
AYM00089002,2012-12-28,TMIN,-85
AYM00089002,2005-07-08,TMIN,-348
AYM00089002,2013-03-19,TMAX,-45
AYM00089002,2007-10-14,TMAX,-68
AYM00089002,2014-03-08,TMAX,-76
AYM00089002,2015-10-28,TMAX,-139
AYM00089002,2012-09-16,TMAX,-137
AYM00089002,2008-12-27,TMIN,-36
AYM00089002,2013-07-20,TMAX,-170
AYM00089002,2005-07-15,TMIN,-288
AYM00089002,2013-07-28,TMIN,-225
AYM00089002,2011-06-09,TMIN,-268
AYM00089002,2012-10-01,TMAX,-158
AYM00089002,2007-06-18,TMAX,-138
AYM00089002,2005-04-25,TMAX,-83
AYM00089002,2009-03-06,TMAX,-116
AYM00089002,2015-07-28,TMAX,-233
AYM00089002,2014-08-20,TMAX,-188
AYM00089002,2015-03-24,TMAX,-128
AYM00089002,2005-05-04,TMAX,-231
AYM00089002,2015-07-28,TMIN,-398
AYM00089002,2011-08-23,TMIN,-394
AYM00089002,2005-04-25,TMIN,-115
AYM00089002,2011-04-05,TMIN,-357
AYM00089002,2010-07-24,TMAX,-226
AYM00089002,2011-10-25,TMAX,-96
AYM00089002,2011-10-27,TMIN,-242
AYM00089002,2011-10-25,TMIN,-129
AYM00089002,2014-01-18,TMAX,-24
AYM00089002,2014-08-20,TMIN,-227
AYM00089002,2009-01-09,TMAX,-37
AYM00089002,2009-03-27,TMIN,-263
AYM00089002,2009-08-30,TMIN,-387
AYM00089002,2015-02-15,TMAX,-65
AYM00089002,2006-01-29,TMAX,-5
AYM00089002,2013-01-07,TMIN,-87
AYM00089002,2010-01-05,TMAX,-8
AYM00089002,2006-05-20,TMAX,-130
AYM00089002,2011-05-14,TMAX,-106
AYM00089002,2015-04-13,TMAX,-63
AYM00089002,2015-07-13,TMAX,-181
AYM00089002,2015-07-13,TMIN,-238
AYM00089002,2007-11-12,TMAX,-22
AYM00089002,2009-09-19,TMAX,-144
AYM00089002,2009-09-19,TMIN,-220
AYM00089002,2008-02-26,TMIN,-103
AYM00089002,2007-07-23,TMIN,-336
AYM00089002,2008-02-26,TMAX,-83
AYM00089002,2006-09-22,TMIN,-160
AYM00089002,2007-12-23,TMAX,-22
AYM00089002,2011-09-23,TMIN,-328
AYM00089002,2007-12-23,TMIN,-110
AYM00089002,2014-08-14,TMAX,-195
AYM00089002,2007-11-12,TMIN,-61
AYM00089002,2013-10-01,TMIN,-313
AYM00089002,2009-12-03,TMIN,-34
AYM00089002,2010-01-05,TMIN,-57
AYM00089002,2009-11-28,TMIN,-152
AYM00089002,2011-11-18,TMIN,-140
AYM00089002,2015-01-18,TMAX,-42
AYM00089002,2010-06-02,TMIN,-343
AYM00089002,2014-01-18,TMIN,-72
AYM00089002,2009-01-31,TMAX,-31
AYM00089002,2005-06-16,TMAX,-130
AYM00089002,2011-01-11,TMAX,2
AYM00089002,2009-01-09,TMIN,-76
AYM00089002,2012-09-12,TMIN,-237
AYM00089002,2006-03-27,TMIN,-251
AYM00089002,2013-07-25,TMAX,-231
AYM00089002,2014-04-08,TMAX,-116
AYM00089002,2013-08-24,TMIN,-411
AYM00089002,2006-07-19,TMIN,-378
AYM00089002,2006-07-19,TMAX,-227
AYM00089002,2009-02-14,TMIN,-100
AYM00089002,2011-09-22,TMIN,-373
AYM00089002,2012-08-20,TMIN,-420
AYM00089002,2014-11-01,TMAX,-51
AYM00089002,2007-08-01,TMIN,-265
AYM00089002,2007-08-01,TMAX,-174
AYM00089002,2008-11-15,TMIN,-254
AYM00089002,2014-07-26,TMIN,-349
AYM00089002,2014-07-26,TMAX,-247
AYM00089002,2011-11-14,TMAX,-83
AYM00089002,2009-01-31,TMIN,-134
AYM00089002,2011-11-16,TMIN,-120
AYM00089002,2005-04-30,TMAX,-124
AYM00089002,2010-04-15,TMIN,-184
AYM00089002,2014-11-01,TMIN,-78
AYM00089002,2013-01-07,TMAX,-12
AYM00089002,2012-05-07,TMAX,-104
AYM00089002,2012-05-07,TMIN,-225
AYM00089002,2011-10-07,TMAX,-148
AYM00089002,2014-04-03,TMAX,-100
AYM00089002,2015-02-15,TMIN,-101
AYM00089002,2009-08-30,TMAX,-252
