ID,Date,Element,Data_Value
NOE00134778,2010-12-09,TMAX,-181
NOE00134778,2013-09-15,TMAX,41
SV000020107,2008-05-30,TMAX,21
NOE00134778,2008-07-21,TMAX,94
SV000001008,2010-01-16,TMIN,9
NOE00111372,2005-02-19,TMIN,-62
SV000020107,2009-10-07,TMIN,-47
SV000020107,2012-02-12,TMIN,-104
SV000020107,2011-03-03,TMIN,-84
SV000020107,2008-03-18,TMAX,-130
NOE00134778,2015-05-06,TMIN,-76
SV000001008,2014-10-26,TMIN,20
NOE00134778,2011-07-16,TMIN,55
SV000020107,2013-07-06,TMIN,51
NOE00134778,2013-05-11,TMIN,-36
SV000001008,2009-12-30,TMIN,-117
NOE00111372,2006-10-07,TMAX,7
NOE00111372,2005-07-11,TMAX,106
NOE00111372,2010-06-14,TMIN,21
SV000020107,2005-07-05,TMAX,81
NOE00111372,2007-06-13,TMIN,4
SV000001008,2009-12-30,TMAX,-44
SV000020107,2011-06-02,TMIN,4
NOE00134778,2012-11-05,TMAX,-6
NOE00134778,2010-07-04,TMAX,59
SV000020107,2015-11-14,TMIN,-32
NOE00134778,2011-04-23,TMIN,-78
NOE00134778,2005-10-08,TMIN,-69
NOE00111372,2015-10-22,TMAX,-14
SV000001008,2007-10-20,TMAX,49
NOE00111372,2011-04-04,TMAX,-91
NOE00134778,2015-05-25,TMAX,20
SV000001008,2015-03-11,TMIN,-81
NOE00111372,2009-09-22,TMIN,-19
NOE00111372,2007-06-13,TMAX,55
NOE00134778,2011-04-23,TMAX,-6
NOE00134778,2015-10-23,TMIN,-59
SV000020107,2012-11-02,TMAX,20
SV000020107,2010-07-11,TMIN,58
NOE00111372,2011-04-04,TMIN,-127
NOE00134778,2014-01-20,TMIN,-113
SV000020107,2009-01-29,TMIN,-7
NOE00134778,2008-08-10,TMIN,6
NOE00111372,2009-03-25,TMIN,-271
NOE00111372,2010-12-12,TMIN,-228
NOE00134778,2013-03-08,TMIN,-240
NOE00134778,2009-12-11,TMIN,-12
NOE00134778,2015-11-10,TMAX,46
NOE00134778,2013-03-08,TMAX,-145
NOE00111372,2014-01-25,TMAX,-12
SV000020107,2011-01-05,TMIN,-246
SV000001008,2010-01-25,TMIN,-18
NOE00134778,2005-10-08,TMAX,9
NOE00134778,2013-05-12,TMAX,-6
NOE00134778,2008-08-21,TMIN,37
