ID,Date,Element,Data_Value
MXM00076471,2007-12-16,TMIN,19
MXM00076471,2012-06-30,TMIN,117
MXM00076423,2012-07-07,TMIN,140
MXM00076373,2015-03-24,TMAX,268
MXM00076471,2006-03-10,TMIN,60
MXM00076423,2011-09-16,TMIN,140
MXM00076373,2010-08-06,TMIN,108
MXM00076423,2007-02-27,TMIN,42
MXM00076423,2011-05-07,TMAX,318
MXM00076423,2007-04-14,TMIN,64
MXM00076373,2006-07-19,TMIN,120
MXM00076382,2009-06-18,TMIN,240
MXM00076423,2010-09-28,TMAX,238
MXM00076423,2015-03-27,TMIN,77
MXM00076382,2006-11-13,TMIN,120
MXM00076471,2006-04-21,TMAX,310
MXM00076373,2006-10-05,TMAX,300
MXM00076423,2005-08-21,TMAX,322
MXM00076373,2006-10-05,TMIN,84
MXM00076373,2008-01-04,TMIN,-38
MXM00076423,2012-01-23,TMIN,70
MXM00076382,2012-09-30,TMAX,302
MXM00076373,2014-02-26,TMIN,36
MXM00076423,2011-05-10,TMIN,150
MXM00076382,2007-05-03,TMAX,372
MXM00076471,2007-04-29,TMIN,82
MXM00076423,2011-03-18,TMAX,299
MXM00076423,2014-06-26,TMAX,314
MXM00076423,2007-04-07,TMIN,102
MXM00076471,2007-06-11,TMIN,101
MXM00076423,2007-04-07,TMAX,326
MXM00076373,2012-11-22,TMAX,268
MXM00076373,2013-07-03,TMAX,313
MXM00076373,2006-07-19,TMAX,332
MXM00076373,2012-09-01,TMIN,138
MXM00076373,2015-03-24,TMIN,35
MXM00076423,2015-12-05,TMAX,259
MXM00076373,2006-11-29,TMIN,-18
MXM00076423,2007-06-23,TMAX,282
MXM00076373,2015-11-26,TMAX,273
MXM00076382,2009-06-18,TMAX,402
MXM00076423,2007-07-25,TMAX,313
MXM00076382,2014-09-22,TMIN,208
MXM00076423,2011-12-12,TMAX,272
MXM00076373,2013-06-18,TMAX,370
MXM00076423,2012-06-21,TMIN,162
MXM00076382,2007-05-03,TMIN,190
MXM00076423,2014-08-15,TMIN,135
MXM00076471,2007-06-06,TMIN,131
MXM00076423,2007-06-20,TMIN,152
MXM00076423,2011-04-12,TMAX,329
MXM00076423,2011-09-16,TMAX,317
MXM00076423,2010-09-28,TMIN,120
MXM00076423,2015-03-27,TMAX,267
MXM00076382,2013-09-13,TMAX,344
MXM00076423,2009-07-20,TMIN,140
MXM00076373,2015-05-20,TMAX,326
MXM00076423,2011-12-12,TMIN,50
MXM00076423,2007-07-12,TMIN,137
MXM00076373,2015-05-20,TMIN,103
MXM00076382,2014-01-10,TMAX,245
MXM00076423,2012-04-02,TMIN,90
MXM00076423,2012-04-02,TMAX,290
MXM00076471,2008-02-22,TMAX,234
MXM00076382,2006-11-11,TMAX,306
MXM00076373,2006-01-17,TMIN,-80
MXM00076423,2007-07-25,TMIN,140
MXM00076382,2006-01-21,TMAX,290
MXM00076471,2007-07-10,TMIN,115
MXM00076471,2006-04-21,TMIN,107
MXM00076423,2013-08-30,TMIN,143
MXM00076471,2008-02-22,TMIN,52
MXM00076373,2012-11-22,TMIN,30
MXM00076423,2007-04-14,TMAX,300
MXM00076423,2012-06-21,TMAX,357
MXM00076373,2008-03-24,TMAX,291
MXM00076373,2010-10-07,TMIN,28
MXM00076423,2012-09-18,TMAX,289
MXM00076423,2012-01-23,TMAX,274
MXM00076423,2005-08-21,TMIN,129
MXM00076471,2007-12-17,TMIN,19
MXM00076423,2015-12-05,TMIN,12
MXM00076423,2007-07-12,TMAX,315
MXM00076382,2008-10-08,TMIN,180
MXM00076382,2006-11-13,TMAX,302
MXM00076423,2009-09-12,TMIN,140
MXM00076423,2015-02-22,TMIN,84
MXM00076373,2015-11-18,TMAX,246
MXM00076382,2006-01-21,TMIN,80
MXM00076423,2007-06-20,TMAX,339
MXM00076423,2011-05-10,TMAX,313
MXM00076471,2007-07-10,TMAX,240
MXM00076423,2007-06-23,TMIN,148
MXM00076373,2010-10-07,TMAX,288
MXM00076382,2007-10-08,TMIN,198
MXM00076373,2008-10-03,TMAX,270
MXM00076471,2010-08-20,TMIN,108
MXM00076382,2015-06-05,TMIN,210
MXM00076382,2010-05-30,TMIN,165
MXM00076373,2015-06-02,TMIN,90
MXM00076423,2012-10-03,TMIN,70
MXM00076373,2008-10-15,TMAX,270
MXM00076373,2008-07-24,TMIN,120
MXM00076423,2011-12-24,TMIN,35
MXM00076423,2006-12-03,TMIN,37
MXM00076382,2015-06-05,TMAX,385
MXM00076423,2006-12-03,TMAX,290
MXM00076471,2010-06-07,TMIN,139
MXM00076382,2012-08-10,TMAX,378
MXM00076373,2014-08-28,TMAX,328
MXM00076423,2009-07-16,TMIN,182
MXM00076423,2012-10-03,TMAX,270
MXM00076382,2006-06-21,TMIN,235
MXM00076423,2013-02-04,TMIN,58
MXM00076382,2006-06-21,TMAX,388
MXM00076423,2010-08-14,TMIN,142
MXM00076373,2008-10-15,TMIN,122
MXM00076423,2008-09-29,TMIN,102
MXM00076373,2008-05-13,TMIN,98
MXM00076471,2010-08-21,TMAX,277
MXM00076382,2015-08-18,TMIN,211
MXM00076382,2007-10-06,TMAX,358
MXM00076382,2015-08-18,TMAX,374
MXM00076382,2015-07-24,TMAX,350
MXM00076373,2008-05-13,TMAX,347
MXM00076471,2010-08-21,TMIN,115
MXM00076423,2011-03-25,TMIN,90
MXM00076382,2015-07-24,TMIN,196
MXM00076471,2007-01-01,TMIN,-24
MXM00076382,2014-01-10,TMIN,62
MXM00076471,2010-08-20,TMAX,272
