ID,Date,Element,Data_Value
TZ000063756,2014-03-25,TMAX,270
TZ000063756,2014-04-21,TMIN,195
TZ000063756,2007-05-28,TMAX,295
TZ000063756,2013-06-10,TMIN,159
TZ000063756,2010-05-30,TMIN,189
TZ000063756,2008-08-26,TMAX,276
TZ000063756,2010-03-19,TMAX,307
TZ000063756,2014-11-26,TMAX,265
TZ000063756,2010-06-29,TMAX,286
TZ000063756,2012-07-01,TMIN,156
TZ000063756,2015-12-16,TMAX,260
TZ000063756,2011-01-29,TMIN,154
TZ000063756,2015-07-15,TMAX,302
TZ000063756,2007-06-16,TMAX,256
TZ000063756,2007-07-21,TMAX,286
TZ000063756,2006-09-21,TMIN,193
TZ000063756,2008-09-11,TMAX,266
TZ000063756,2007-06-16,TMIN,175
TZ000063756,2012-01-23,TMAX,300
TZ000063756,2009-05-04,TMAX,302
TZ000063756,2012-03-20,TMAX,315
TZ000063756,2012-09-03,TMAX,295
TZ000063756,2005-04-07,TMAX,286
TZ000063756,2015-01-31,TMAX,284
TZ000063756,2005-04-07,TMIN,186
TZ000063756,2006-05-10,TMAX,265
TZ000063756,2010-11-28,TMIN,189
TZ000063756,2007-01-24,TMIN,194
TZ000063756,2015-09-02,TMAX,260
TZ000063756,2013-11-14,TMAX,295
TZ000063756,2014-06-24,TMIN,182
TZ000063756,2013-01-29,TMIN,190
TZ000063756,2012-06-11,TMIN,200
TZ000063756,2005-04-29,TMIN,187
TZ000063756,2010-09-14,TMAX,307
TZ000063756,2012-03-10,TMAX,315
TZ000063756,2006-09-21,TMAX,285
TZ000063756,2015-01-31,TMIN,187
TZ000063756,2006-03-26,TMIN,175
TZ000063756,2005-12-16,TMAX,300
TZ000063756,2008-01-11,TMAX,300
TZ000063756,2014-11-26,TMIN,200
TZ000063756,2015-04-25,TMAX,286
TZ000063756,2011-06-05,TMAX,300
TZ000063756,2007-08-29,TMAX,265
TZ000063756,2014-12-15,TMAX,300
TZ000063756,2007-01-18,TMIN,188
TZ000063756,2010-03-19,TMIN,178
TZ000063756,2014-09-20,TMIN,202
TZ000063756,2015-09-02,TMIN,197
TZ000063756,2006-05-15,TMIN,175
TZ000063756,2008-01-15,TMIN,193
TZ000063756,2011-06-13,TMIN,177
TZ000063756,2007-08-20,TMIN,189
TZ000063756,2011-07-19,TMIN,155
TZ000063756,2014-04-27,TMIN,182
TZ000063756,2006-05-15,TMAX,262
TZ000063756,2015-10-11,TMAX,295
TZ000063756,2009-03-03,TMAX,276
TZ000063756,2007-02-27,TMIN,176
TZ000063756,2008-06-08,TMAX,247
TZ000063756,2014-02-19,TMIN,193
TZ000063756,2006-05-01,TMAX,295
TZ000063756,2009-03-03,TMIN,186
TZ000063756,2005-12-04,TMAX,282
TZ000063756,2009-11-08,TMAX,250
TZ000063756,2006-02-02,TMAX,300
TZ000063756,2010-10-01,TMAX,309
TZ000063756,2011-11-17,TMIN,180
TZ000063756,2008-05-04,TMIN,164
TZ000063756,2006-02-02,TMIN,170
TZ000063756,2013-12-23,TMAX,290
TZ000063756,2008-05-04,TMAX,290
TZ000063756,2011-11-26,TMIN,175
TZ000063756,2011-11-28,TMIN,180
TZ000063756,2007-03-26,TMAX,298
TZ000063756,2012-08-21,TMAX,302
TZ000063756,2006-03-21,TMIN,190
TZ000063756,2013-03-13,TMAX,299
TZ000063756,2015-02-21,TMAX,273
TZ000063756,2007-04-29,TMIN,180
TZ000063756,2007-11-15,TMAX,300
TZ000063756,2007-09-18,TMAX,296
TZ000063756,2005-04-14,TMIN,198
TZ000063756,2006-11-04,TMIN,192
TZ000063756,2011-10-17,TMIN,200
TZ000063756,2009-11-08,TMIN,185
TZ000063756,2015-07-08,TMIN,178
TZ000063756,2011-07-19,TMAX,295
TZ000063756,2006-11-27,TMIN,195
TZ000063756,2009-11-27,TMIN,190
TZ000063756,2007-01-13,TMIN,178
TZ000063756,2013-05-01,TMAX,284
TZ000063756,2007-11-15,TMIN,188
TZ000063756,2006-11-04,TMAX,263
TZ000063756,2009-03-28,TMAX,319
TZ000063756,2012-05-02,TMIN,195
TZ000063756,2012-03-17,TMIN,184
TZ000063756,2009-03-28,TMIN,193
TZ000063756,2009-10-21,TMIN,186
TZ000063756,2011-06-01,TMIN,152
TZ000063756,2012-05-31,TMIN,178
TZ000063756,2014-02-19,TMAX,275
TZ000063756,2008-11-01,TMAX,283
TZ000063756,2005-12-04,TMIN,193
TZ000063756,2008-03-21,TMIN,197
TZ000063756,2012-05-15,TMIN,200
TZ000063756,2006-03-20,TMIN,185
