ID,Date,Element,Data_Value
RPM00098132,2012-07-15,TMIN,268
RPM00098132,2006-08-23,TMAX,315
RPM00098132,2014-10-12,TMAX,295
RPM00098132,2014-01-12,TMIN,165
RPM00098132,2015-04-26,TMIN,212
RPM00098132,2010-04-12,TMAX,318
RPM00098132,2014-01-04,TMAX,247
RPM00098132,2013-06-25,TMAX,334
RPM00098132,2009-06-27,TMIN,250
RPM00098132,2011-07-04,TMIN,251
RPM00098132,2014-10-10,TMIN,244
RPM00098132,2010-04-12,TMIN,217
RPM00098132,2011-10-18,TMAX,288
RPM00098132,2014-01-02,TMIN,194
RPM00098132,2005-07-11,TMIN,243
RPM00098132,2008-01-13,TMIN,212
RPM00098132,2007-10-10,TMAX,291
RPM00098132,2013-08-10,TMIN,260
RPM00098132,2015-06-24,TMIN,261
RPM00098132,2011-03-29,TMAX,237
RPM00098132,2010-11-11,TMIN,200
RPM00098132,2009-12-07,TMIN,162
RPM00098132,2007-03-20,TMIN,193
RPM00098132,2015-07-03,TMAX,330
RPM00098132,2010-06-01,TMAX,268
RPM00098132,2010-01-27,TMIN,182
RPM00098132,2010-01-27,TMAX,243
RPM00098132,2010-08-29,TMAX,302
RPM00098132,2013-10-22,TMAX,290
RPM00098132,2015-06-24,TMAX,335
RPM00098132,2015-07-04,TMIN,253
RPM00098132,2015-07-03,TMIN,252
RPM00098132,2011-03-27,TMIN,175
RPM00098132,2007-12-24,TMIN,218
RPM00098132,2011-09-27,TMAX,299
RPM00098132,2007-12-21,TMIN,212
RPM00098132,2011-09-27,TMIN,252
RPM00098132,2012-05-02,TMAX,325
RPM00098132,2014-01-12,TMAX,250
RPM00098132,2013-12-10,TMAX,240
RPM00098132,2013-02-11,TMAX,255
RPM00098132,2006-06-27,TMIN,250
RPM00098132,2014-01-02,TMAX,248
RPM00098132,2007-10-10,TMIN,243
RPM00098132,2005-02-26,TMIN,193
RPM00098132,2006-01-14,TMIN,202
RPM00098132,2006-06-27,TMAX,325
RPM00098132,2009-07-19,TMIN,248
RPM00098132,2010-07-30,TMIN,250
RPM00098132,2010-07-30,TMAX,323
RPM00098132,2014-10-11,TMAX,293
RPM00098132,2013-07-02,TMAX,320
RPM00098132,2013-02-02,TMIN,210
RPM00098132,2005-11-29,TMIN,213
RPM00098132,2005-11-29,TMAX,264
RPM00098132,2010-06-30,TMIN,250
RPM00098132,2015-04-19,TMIN,242
RPM00098132,2010-01-10,TMAX,257
RPM00098132,2008-02-24,TMAX,224
RPM00098132,2007-08-21,TMAX,310
RPM00098132,2009-04-13,TMIN,226
RPM00098132,2007-03-04,TMIN,218
RPM00098132,2005-03-27,TMAX,295
RPM00098132,2007-03-04,TMAX,274
RPM00098132,2005-03-27,TMIN,179
RPM00098132,2015-10-28,TMIN,215
RPM00098132,2012-08-30,TMIN,242
RPM00098132,2014-08-21,TMAX,310
RPM00098132,2010-01-10,TMIN,199
RPM00098132,2006-10-16,TMIN,224
RPM00098132,2007-08-21,TMIN,250
RPM00098132,2006-12-03,TMIN,200
RPM00098132,2012-07-04,TMIN,258
RPM00098132,2015-01-22,TMIN,178
RPM00098132,2011-01-20,TMAX,220
RPM00098132,2011-04-29,TMIN,228
RPM00098132,2006-06-28,TMIN,255
RPM00098132,2014-05-05,TMAX,304
RPM00098132,2011-04-29,TMAX,273
RPM00098132,2005-10-06,TMAX,290
RPM00098132,2005-12-27,TMAX,237
RPM00098132,2005-06-30,TMIN,225
RPM00098132,2014-08-07,TMAX,300
