ID,Date,Element,Data_Value
HO000078720,2013-03-25,TMAX,332
HO000078720,2010-12-23,TMAX,269
HO000078720,2015-11-05,TMAX,285
HOM00078705,2008-11-01,TMIN,205
HOM00078705,2009-06-15,TMAX,316
HO000078720,2013-06-09,TMIN,166
HO000078720,2015-03-24,TMAX,320
HO000078720,2015-03-24,TMIN,184
HOM00078705,2009-12-10,TMIN,194
HOM00078708,2010-04-13,TMAX,330
HOM00078708,2008-11-17,TMAX,249
HOM00078705,2009-03-16,TMAX,284
HO000078720,2013-09-24,TMIN,175
HO000078720,2008-10-05,TMIN,185
HOM00078705,2008-11-01,TMAX,232
HOM00078705,2008-06-15,TMIN,225
HO000078720,2013-08-08,TMAX,304
HOM00078705,2007-02-27,TMAX,305
HO000078720,2013-08-08,TMIN,138
HOM00078705,2006-09-21,TMAX,318
HO000078720,2013-06-09,TMAX,297
HOM00078708,2010-02-16,TMAX,303
HO000078720,2010-12-23,TMIN,122
HOM00078705,2006-09-21,TMIN,231
HOM00078705,2011-11-04,TMIN,199
HOM00078708,2009-02-13,TMIN,214
HOM00078708,2007-06-05,TMAX,370
HO000078720,2013-03-25,TMIN,167
HO000078720,2007-06-27,TMAX,295
HOM00078705,2015-10-19,TMAX,312
HOM00078705,2013-11-08,TMIN,223
HOM00078708,2010-01-13,TMAX,207
HOM00078705,2014-12-25,TMAX,306
HOM00078705,2015-10-19,TMIN,234
HO000078720,2007-06-27,TMIN,174
HOM00078708,2007-10-25,TMAX,295
HO000078720,2009-02-17,TMAX,294
HO000078720,2013-09-12,TMAX,265
HOM00078705,2011-04-11,TMIN,216
HOM00078705,2015-08-05,TMIN,220
HO000078720,2014-08-31,TMAX,301
HOM00078708,2013-02-12,TMAX,333
HOM00078705,2015-04-08,TMAX,305
HO000078720,2008-06-20,TMAX,324
HOM00078708,2007-09-16,TMIN,221
HO000078720,2014-08-31,TMIN,185
HO000078720,2013-09-24,TMAX,304
HOM00078708,2009-02-13,TMAX,310
HO000078720,2015-04-20,TMIN,200
HOM00078705,2007-02-27,TMIN,201
HOM00078708,2007-09-16,TMAX,325
