ID,Date,Element,Data_Value
KZ000035746,2007-05-14,TMAX,315
KZ000035849,2013-11-14,TMAX,121
KZ000035746,2013-09-04,TMIN,170
KZ000035746,2008-08-16,TMIN,197
KZ000035849,2005-06-26,TMAX,283
KZ000035746,2014-11-20,TMAX,-6
KZ000035849,2010-09-22,TMIN,102
KZ000035746,2008-10-08,TMIN,92
KZ000035746,2008-05-29,TMIN,184
KZ000035849,2013-01-09,TMIN,-152
KZ000035746,2009-08-19,TMIN,140
KZ000035849,2008-08-21,TMAX,366
KZ000035746,2011-04-05,TMAX,154
KZ000035849,2009-12-20,TMIN,-79
KZ000035849,2012-04-03,TMIN,98
KZ000035746,2014-12-13,TMIN,-134
KZ000035849,2010-03-15,TMAX,57
KZ000035746,2010-10-25,TMIN,31
KZ000035746,2009-08-19,TMAX,291
KZ000035746,2015-12-13,TMIN,-58
KZ000035746,2010-10-25,TMAX,150
KZ000035746,2009-08-29,TMAX,274
KZ000035849,2013-11-14,TMIN,-43
KZ000035746,2007-05-14,TMIN,146
KZ000035746,2014-09-13,TMIN,96
KZ000035746,2012-08-07,TMAX,393
KZ000035746,2013-11-02,TMAX,102
KZ000035746,2009-06-28,TMAX,250
KZ000035849,2008-05-06,TMIN,120
KZ000035849,2010-03-15,TMIN,-19
KZ000035849,2008-05-06,TMAX,298
KZ000035746,2008-05-29,TMAX,297
KZ000035746,2011-08-10,TMAX,335
KZ000035849,2013-12-12,TMAX,-80
KZ000035849,2006-08-07,TMAX,359
KZ000035746,2005-01-16,TMIN,-34
KZ000035849,2005-01-14,TMIN,-21
KZ000035849,2010-09-22,TMAX,270
KZ000035746,2015-12-13,TMAX,25
KZ000035746,2011-05-01,TMAX,284
KZ000035849,2005-06-26,TMIN,147
KZ000035746,2008-04-28,TMIN,89
KZ000035746,2015-03-21,TMAX,128
KZ000035746,2010-01-21,TMAX,-155
KZ000035849,2013-12-19,TMIN,-67
KZ000035746,2013-09-01,TMAX,289
KZ000035849,2009-01-24,TMAX,-84
KZ000035849,2007-06-01,TMAX,320
KZ000035746,2008-05-14,TMAX,276
KZ000035849,2009-02-17,TMAX,12
KZ000035746,2012-05-02,TMAX,166
KZ000035849,2005-10-21,TMAX,192
KZ000035746,2012-04-11,TMAX,260
KZ000035746,2012-04-11,TMIN,72
KZ000035849,2005-06-09,TMAX,276
KZ000035849,2008-08-21,TMIN,193
KZ000035849,2010-12-27,TMAX,64
KZ000035746,2005-01-31,TMAX,-133
KZ000035849,2005-06-09,TMIN,153
KZ000035849,2006-05-28,TMAX,362
KZ000035746,2012-09-20,TMAX,194
KZ000035746,2011-04-16,TMIN,71
KZ000035746,2006-02-05,TMAX,0
KZ000035746,2010-02-13,TMIN,-278
KZ000035746,2013-12-05,TMAX,-6
KZ000035746,2008-05-31,TMAX,250
KZ000035746,2013-01-14,TMIN,-126
KZ000035746,2011-01-18,TMAX,-88
KZ000035746,2008-03-29,TMAX,250
KZ000035849,2013-12-19,TMAX,10
KZ000035849,2009-12-20,TMAX,0
KZ000035849,2008-08-06,TMIN,212
KZ000035849,2011-10-22,TMIN,22
KZ000035849,2006-07-27,TMIN,191
KZ000035746,2010-10-14,TMIN,48
KZ000035849,2012-02-18,TMIN,-203
KZ000035849,2006-08-24,TMAX,322
KZ000035746,2011-08-10,TMIN,185
KZ000035746,2005-07-08,TMIN,242
KZ000035746,2010-10-14,TMAX,158
KZ000035849,2008-08-06,TMAX,352
KZ000035849,2011-10-22,TMAX,163
KZ000035849,2007-04-17,TMAX,163
KZ000035849,2015-03-05,TMAX,97
KZ000035849,2006-08-24,TMIN,218
KZ000035849,2012-02-18,TMAX,-88
KZ000035849,2013-11-30,TMIN,-20
KZ000035849,2006-02-24,TMIN,-180
KZ000035849,2006-07-27,TMAX,320
KZ000035849,2006-02-24,TMAX,-58
KZ000035746,2010-04-25,TMAX,287
KZ000035746,2008-03-29,TMIN,71
KZ000035746,2005-03-04,TMAX,24
KZ000035746,2010-02-13,TMAX,-148
KZ000035849,2006-05-28,TMIN,213
KZ000035849,2011-06-03,TMIN,126
KZ000035746,2008-05-31,TMIN,149
KZ000035746,2015-03-21,TMIN,-81
KZ000035849,2014-09-09,TMIN,110
KZ000035849,2006-03-23,TMIN,-40
KZ000035746,2012-09-19,TMAX,200
KZ000035746,2009-08-29,TMIN,130
KZ000035746,2008-11-15,TMIN,-19
KZ000035746,2014-12-13,TMAX,-38
KZ000035849,2012-10-23,TMAX,203
KZ000035849,2009-01-24,TMIN,-193
KZ000035746,2006-03-23,TMIN,-20
KZ000035746,2008-11-15,TMAX,83
KZ000035849,2008-05-18,TMIN,157
KZ000035849,2008-05-18,TMAX,316
KZ000035746,2010-09-10,TMIN,103
KZ000035849,2008-03-08,TMAX,53
KZ000035746,2005-01-16,TMAX,-8
KZ000035849,2007-02-23,TMAX,-30
KZ000035746,2009-09-01,TMAX,206
KZ000035746,2013-11-28,TMIN,-32
KZ000035849,2006-08-11,TMAX,384
KZ000035849,2013-12-12,TMIN,-183
KZ000035746,2013-11-28,TMAX,72
KZ000035746,2010-09-10,TMAX,181
KZ000035849,2006-08-11,TMIN,190
KZ000035849,2012-04-03,TMAX,245
KZ000035746,2013-05-28,TMIN,172
KZ000035849,2005-01-14,TMAX,8
KZ000035746,2013-09-04,TMAX,299
KZ000035746,2011-03-01,TMIN,-253
KZ000035849,2010-05-07,TMIN,153
KZ000035849,2005-06-16,TMIN,254
