ID,Date,Element,Data_Value
FSM00061997,2011-01-18,TMAX,115
FSM00061997,2014-03-26,TMAX,71
FSM00061997,2009-07-10,TMAX,1
FSM00061997,2014-02-14,TMIN,67
FSM00061997,2011-08-18,TMAX,56
FSM00061997,2011-11-05,TMAX,100
FSM00061997,2014-04-19,TMAX,110
FSM00061997,2015-02-03,TMIN,100
FSM00061997,2015-02-03,TMAX,217
FSM00061997,2011-10-18,TMAX,42
FSM00061997,2014-01-26,TMAX,118
FSM00061997,2014-02-09,TMAX,157
FSM00061997,2011-11-24,TMIN,21
FSM00061997,2014-08-27,TMAX,15
FSM00061997,2011-08-19,TMIN,30
FSM00061997,2011-08-19,TMAX,80
FSM00061997,2011-05-14,TMIN,33
FSM00061997,2007-04-25,TMIN,26
FSM00061997,2014-10-24,TMAX,118
FSM00061997,2008-02-24,TMAX,48
FSM00061997,2008-01-21,TMAX,89
FSM00061997,2014-03-26,TMIN,27
FSM00061997,2011-11-24,TMAX,99
FSM00061997,2011-01-18,TMIN,58
FSM00061997,2014-02-14,TMAX,127
FSM00061997,2008-02-22,TMIN,26
FSM00061997,2009-06-05,TMIN,41
FSM00061997,2013-02-10,TMAX,92
FSM00061997,2013-02-10,TMIN,31
FSM00061997,2009-01-17,TMIN,39
FSM00061997,2011-05-30,TMAX,102
FSM00061997,2007-04-28,TMAX,159
FSM00061997,2014-02-03,TMAX,131
FSM00061997,2007-11-13,TMIN,19
FSM00061997,2011-05-05,TMIN,27
FSM00061997,2007-04-19,TMAX,85
FSM00061997,2015-02-25,TMIN,69
FSM00061997,2007-11-13,TMAX,100
FSM00061997,2007-12-19,TMIN,32
FSM00061997,2014-04-06,TMAX,61
FSM00061997,2007-04-19,TMIN,55
FSM00061997,2014-08-11,TMIN,-8
FSM00061997,2007-04-15,TMIN,33
FSM00061997,2009-07-06,TMAX,47
FSM00061997,2007-04-02,TMAX,70
FSM00061997,2011-08-10,TMIN,-8
FSM00061997,2007-04-02,TMIN,45
FSM00061997,2014-04-19,TMIN,66
FSM00061997,2015-02-25,TMAX,154
FSM00061997,2011-11-05,TMIN,29
FSM00061997,2011-09-06,TMAX,0
FSM00061997,2007-02-12,TMAX,71
FSM00061997,2008-11-26,TMAX,48
FSM00061997,2008-02-03,TMAX,85
FSM00061997,2009-03-31,TMAX,125
FSM00061997,2006-12-03,TMAX,89
FSM00061997,2006-10-20,TMIN,27
FSM00061997,2010-10-29,TMAX,71
FSM00061997,2009-04-27,TMIN,13
FSM00061997,2006-10-20,TMAX,144
FSM00061997,2013-06-21,TMIN,23
FSM00061997,2015-03-17,TMAX,154
FSM00061997,2011-11-08,TMAX,116
FSM00061997,2008-11-20,TMIN,10
FSM00061997,2007-10-30,TMAX,106
FSM00061997,2009-02-20,TMAX,116
FSM00061997,2009-05-27,TMIN,-15
FSM00061997,2015-02-14,TMIN,47
FSM00061997,2009-02-20,TMIN,66
FSM00061997,2015-02-14,TMAX,101
FSM00061997,2011-05-18,TMIN,18
FSM00061997,2015-01-25,TMIN,47
FSM00061997,2008-02-03,TMIN,31
FSM00061997,2013-03-29,TMAX,135
FSM00061997,2014-03-28,TMIN,48
FSM00061997,2011-11-08,TMIN,28
FSM00061997,2013-02-15,TMAX,156
FSM00061997,2014-08-25,TMAX,27
FSM00061997,2011-10-25,TMAX,56
FSM00061997,2008-03-10,TMAX,57
FSM00061997,2007-04-26,TMIN,67
FSM00061997,2013-06-03,TMIN,33
FSM00061997,2007-02-20,TMIN,73
FSM00061997,2007-02-20,TMAX,141
FSM00061997,2014-08-25,TMIN,-8
FSM00061997,2015-01-15,TMIN,45
FSM00061997,2013-06-03,TMAX,107
FSM00061997,2008-11-20,TMAX,86
FSM00061997,2009-03-06,TMIN,52
FSM00061997,2008-02-29,TMAX,161
FSM00061997,2015-01-23,TMAX,90
FSM00061997,2014-11-21,TMAX,67
FSM00061997,2014-11-21,TMIN,11
FSM00061997,2013-01-25,TMAX,125
FSM00061997,2013-04-04,TMIN,58
FSM00061997,2008-02-29,TMIN,75
FSM00061997,2014-04-21,TMAX,98
FSM00061997,2011-06-06,TMIN,2
FSM00061997,2007-01-31,TMIN,41
FSM00061997,2013-04-04,TMAX,131
FSM00061997,2015-01-23,TMIN,31
FSM00061997,2007-01-31,TMAX,117
FSM00061997,2007-03-27,TMAX,59
FSM00061997,2008-02-28,TMAX,165
FSM00061997,2007-03-27,TMIN,32
FSM00061997,2007-08-16,TMIN,-7
FSM00061997,2007-11-01,TMAX,62
FSM00061997,2014-09-02,TMAX,24
FSM00061997,2014-10-09,TMAX,50
FSM00061997,2011-01-10,TMIN,24
FSM00061997,2009-05-12,TMAX,32
FSM00061997,2014-12-22,TMIN,3
FSM00061997,2011-01-10,TMAX,90
FSM00061997,2014-09-02,TMIN,-4
