ID,Date,Element,Data_Value
RP000986370,2011-03-24,TMIN,230
RP000986370,2010-07-02,TMAX,344
RP000986370,2009-10-04,TMAX,303
RP000986370,2009-09-23,TMIN,225
RP000986370,2009-10-02,TMIN,220
RP000986370,2007-03-29,TMIN,230
RP000986370,2007-03-24,TMAX,343
RP000986370,2005-06-20,TMAX,344
RP000986370,2009-12-22,TMAX,300
RP000986370,2007-01-24,TMIN,230
RP000986370,2009-09-23,TMAX,304
RP000986370,2007-01-18,TMIN,230
RP000986370,2006-05-17,TMAX,330
RP000986370,2009-05-09,TMAX,302
RP000986370,2007-01-24,TMAX,315
RP000986370,2009-10-04,TMIN,230
RP000986370,2008-11-21,TMAX,310
RP000986370,2008-12-28,TMAX,300
RP000986370,2011-03-10,TMAX,314
RP000986370,2010-04-17,TMAX,330
RP000986370,2007-08-22,TMIN,230
RP000986370,2005-12-01,TMAX,330
RP000986370,2005-02-06,TMAX,305
RP000986370,2007-03-24,TMIN,240
RP000986370,2010-05-24,TMIN,262
RP000986370,2006-09-07,TMAX,316
RP000986370,2007-05-12,TMIN,240
RP000986370,2011-03-10,TMIN,230
RP000986370,2005-02-06,TMIN,210
RP000986370,2005-12-01,TMIN,245
RP000986370,2011-03-24,TMAX,298
RP000986370,2008-10-07,TMIN,230
RP000986370,2008-10-25,TMAX,320
RP000986370,2009-05-09,TMIN,240
RP000986370,2009-12-22,TMIN,220
RP000986370,2006-09-07,TMIN,240
RP000986370,2010-04-17,TMIN,240
RP000986370,2007-03-28,TMAX,330
RP000986370,2011-03-01,TMAX,308
RP000986370,2010-05-24,TMAX,354
RP000986370,2009-03-23,TMAX,330
RP000986370,2009-08-22,TMIN,235
RP000986370,2009-03-26,TMAX,340
RP000986370,2009-12-24,TMIN,220
RP000986370,2009-08-22,TMAX,318
RP000986370,2011-02-04,TMIN,220
RP000986370,2008-08-29,TMAX,318
RP000986370,2006-09-06,TMIN,240
RP000986370,2009-10-06,TMIN,235
RP000986370,2006-02-22,TMAX,317
RP000986370,2007-09-06,TMIN,240
RP000986370,2007-09-06,TMAX,314
RP000986370,2007-06-29,TMAX,334
RP000986370,2007-05-12,TMAX,350
RP000986370,2006-09-06,TMAX,320
RP000986370,2011-02-04,TMAX,300
RP000986370,2005-09-30,TMIN,245
RP000986370,2008-11-22,TMIN,235
RP000986370,2009-10-06,TMAX,310
RP000986370,2010-12-25,TMIN,230
RP000986370,2009-05-15,TMIN,240
RP000986370,2009-05-15,TMAX,335
RP000986370,2006-11-21,TMIN,240
RP000986370,2007-07-11,TMIN,230
RP000986370,2008-11-22,TMAX,320
RP000986370,2007-05-26,TMAX,342
RP000986370,2010-12-25,TMAX,302
RP000986370,2007-06-29,TMIN,240
RP000986370,2005-08-26,TMAX,310
RP000986370,2006-11-21,TMAX,330
RP000986370,2009-06-14,TMIN,240
RP000986370,2008-05-26,TMIN,240
RP000986370,2008-05-26,TMAX,310
RP000986370,2009-06-14,TMAX,308
RP000986370,2008-01-29,TMIN,220
RP000986370,2009-08-18,TMIN,230
RP000986370,2009-05-13,TMIN,240
RP000986370,2005-12-06,TMAX,305
RP000986370,2005-09-04,TMIN,235
RP000986370,2006-06-12,TMIN,240
RP000986370,2009-08-14,TMAX,320
RP000986370,2007-10-17,TMAX,318
RP000986370,2007-01-18,TMAX,316
RP000986370,2006-03-10,TMAX,320
RP000986370,2006-06-12,TMAX,334
RP000986370,2005-12-06,TMIN,240
RP000986370,2008-10-25,TMIN,240
RP000986370,2009-08-18,TMAX,316
RP000986370,2011-02-23,TMIN,230
RP000986370,2009-10-02,TMAX,280
RP000986370,2010-12-23,TMIN,220
RP000986370,2009-05-13,TMAX,320
RP000986370,2007-10-17,TMIN,230
RP000986370,2006-02-13,TMIN,225
RP000986370,2009-04-14,TMAX,343
RP000986370,2008-03-03,TMIN,230
RP000986370,2009-08-15,TMAX,322
RP000986370,2007-01-17,TMAX,315
RP000986370,2007-01-13,TMAX,290
RP000986370,2007-01-13,TMIN,230
RP000986370,2009-08-15,TMIN,240
RP000986370,2006-03-10,TMIN,232
RP000986370,2009-08-14,TMIN,235
RP000986370,2008-08-29,TMIN,230
RP000986370,2008-03-03,TMAX,320
RP000986370,2005-12-05,TMIN,240
RP000986370,2006-05-23,TMIN,250
RP000986370,2009-05-12,TMIN,235
RP000986370,2005-12-05,TMAX,315
RP000986370,2006-05-23,TMAX,336
RP000986370,2005-09-04,TMAX,295
RP000986370,2009-05-12,TMAX,320
RP000986370,2008-12-28,TMIN,225
RP000986370,2007-03-10,TMIN,236
RP000986370,2010-09-29,TMAX,305
RP000986370,2006-02-28,TMAX,320
RP000986370,2006-08-24,TMIN,245
RP000986370,2010-03-15,TMIN,235
RP000986370,2008-08-19,TMIN,230
RP000986370,2010-03-15,TMAX,333
RP000986370,2009-11-05,TMAX,310
RP000986370,2008-10-16,TMIN,235
RP000986370,2010-03-17,TMAX,315
RP000986370,2008-10-16,TMAX,322
RP000986370,2010-01-13,TMIN,220
RP000986370,2009-07-06,TMIN,230
RP000986370,2008-08-19,TMAX,308
RP000986370,2010-03-17,TMIN,230
RP000986370,2010-12-16,TMAX,310
RP000986370,2010-04-11,TMIN,240
RP000986370,2009-11-13,TMIN,230
RP000986370,2008-07-19,TMAX,320
RP000986370,2010-12-16,TMIN,230
RP000986370,2008-11-05,TMAX,324
RP000986370,2008-06-14,TMIN,240
RP000986370,2009-11-07,TMIN,230
RP000986370,2005-08-22,TMAX,330
RP000986370,2006-08-20,TMIN,240
RP000986370,2008-01-21,TMAX,298
RP000986370,2008-07-19,TMIN,240
RP000986370,2009-07-26,TMAX,302
RP000986370,2011-03-17,TMAX,280
RP000986370,2010-08-05,TMAX,300
RP000986370,2010-07-18,TMIN,240
RP000986370,2007-10-06,TMAX,302
RP000986370,2006-06-14,TMIN,240
RP000986370,2006-06-14,TMAX,314
RP000986370,2008-08-21,TMAX,310
RP000986370,2007-05-13,TMIN,240
RP000986370,2006-02-23,TMAX,298
RP000986370,2008-07-06,TMAX,310
RP000986370,2010-01-13,TMAX,295
RP000986370,2010-01-02,TMAX,292
RP000986370,2006-08-23,TMAX,305
RP000986370,2005-08-29,TMAX,320
RP000986370,2006-03-13,TMAX,334
RP000986370,2007-10-13,TMAX,314
RP000986370,2007-05-20,TMIN,240
RP000986370,2005-08-29,TMIN,240
RP000986370,2009-07-05,TMAX,326
RP000986370,2009-10-05,TMIN,230
RP000986370,2007-10-14,TMIN,230
RP000986370,2007-11-20,TMIN,220
RP000986370,2010-04-11,TMAX,342
RP000986370,2007-10-13,TMIN,240
RP000986370,2007-10-14,TMAX,320
RP000986370,2007-11-20,TMAX,280
RP000986370,2008-06-14,TMAX,324
RP000986370,2009-10-08,TMIN,230
RP000986370,2006-08-23,TMIN,240
RP000986370,2008-01-21,TMIN,220
RP000986370,2009-10-05,TMAX,306
RP000986370,2008-11-05,TMIN,240
RP000986370,2010-01-02,TMIN,220
RP000986370,2008-01-01,TMIN,230
RP000986370,2007-07-22,TMIN,240
RP000986370,2007-07-22,TMAX,336
RP000986370,2008-07-06,TMIN,230
RP000986370,2009-10-01,TMIN,220
RP000986370,2008-09-29,TMIN,230
RP000986370,2010-02-06,TMIN,215
RP000986370,2008-01-01,TMAX,306
RP000986370,2007-07-17,TMIN,240
RP000986370,2009-11-05,TMIN,225
RP000986370,2006-08-24,TMAX,308
RP000986370,2007-05-20,TMAX,335
RP000986370,2010-11-21,TMIN,225
RP000986370,2010-11-21,TMAX,310
RP000986370,2009-10-01,TMAX,308
RP000986370,2009-07-05,TMIN,230
RP000986370,2006-09-05,TMAX,308
RP000986370,2009-11-13,TMAX,316
RP000986370,2010-02-06,TMAX,318
RP000986370,2008-11-15,TMIN,225
RP000986370,2010-02-08,TMIN,220
RP000986370,2008-06-30,TMIN,235
RP000986370,2008-06-30,TMAX,320
RP000986370,2009-03-12,TMIN,242
RP000986370,2006-05-25,TMIN,250
RP000986370,2006-05-25,TMAX,334
RP000986370,2011-01-15,TMAX,302
RP000986370,2008-07-20,TMIN,230
RP000986370,2009-03-26,TMIN,238
RP000986370,2005-08-24,TMIN,240
RP000986370,2007-01-07,TMIN,240
RP000986370,2007-03-12,TMAX,322
RP000986370,2007-03-23,TMAX,320
RP000986370,2010-06-18,TMAX,330
RP000986370,2008-08-21,TMIN,230
RP000986370,2006-11-13,TMIN,240
RP000986370,2007-01-07,TMAX,310
RP000986370,2008-11-15,TMAX,314
RP000986370,2009-11-15,TMAX,318
RP000986370,2010-07-02,TMIN,240
RP000986370,2007-03-10,TMAX,326
RP000986370,2009-11-15,TMIN,235
RP000986370,2008-07-08,TMAX,304
RP000986370,2006-05-17,TMIN,230
RP000986370,2005-09-30,TMAX,312
RP000986370,2008-05-27,TMIN,240
RP000986370,2007-03-05,TMIN,230
RP000986370,2009-02-04,TMIN,222
RP000986370,2009-06-10,TMIN,220
RP000986370,2009-06-10,TMAX,306
RP000986370,2009-04-13,TMIN,240
RP000986370,2008-09-11,TMAX,304
RP000986370,2009-03-12,TMAX,323
RP000986370,2008-09-11,TMIN,240
RP000986370,2007-03-05,TMAX,342
RP000986370,2006-02-28,TMIN,238
RP000986370,2007-03-23,TMIN,230
RP000986370,2007-05-13,TMAX,350
RP000986370,2011-03-23,TMIN,230
RP000986370,2007-01-12,TMIN,220
RP000986370,2009-11-18,TMAX,320
RP000986370,2006-08-17,TMAX,312
RP000986370,2011-03-23,TMAX,300
RP000986370,2010-03-16,TMIN,235
RP000986370,2010-08-05,TMIN,235
RP000986370,2010-03-16,TMAX,318
RP000986370,2009-07-26,TMIN,230
RP000986370,2009-09-24,TMIN,230
RP000986370,2009-09-24,TMAX,290
RP000986370,2006-08-20,TMAX,317
RP000986370,2005-08-22,TMIN,235
RP000986370,2006-09-05,TMIN,240
RP000986370,2008-03-05,TMIN,220
RP000986370,2010-02-08,TMAX,300
RP000986370,2008-05-27,TMAX,308
RP000986370,2011-03-01,TMIN,225
RP000986370,2008-12-19,TMAX,295
RP000986370,2010-06-18,TMIN,245
RP000986370,2006-10-19,TMIN,240
RP000986370,2008-06-26,TMIN,240
RP000986370,2005-09-05,TMAX,315
RP000986370,2008-06-26,TMAX,292
RP000986370,2007-05-21,TMIN,245
RP000986370,2005-09-05,TMIN,245
RP000986370,2007-03-12,TMIN,235
RP000986370,2007-01-17,TMIN,230
RP000986370,2005-08-24,TMAX,332
RP000986370,2010-07-18,TMAX,300
RP000986370,2009-04-13,TMAX,330
RP000986370,2009-11-18,TMIN,230
RP000986370,2006-10-19,TMAX,326
RP000986370,2008-07-20,TMAX,290
RP000986370,2008-12-19,TMIN,220
RP000986370,2006-08-30,TMAX,306
RP000986370,2007-10-06,TMIN,235
RP000986370,2010-04-13,TMIN,240
RP000986370,2010-03-09,TMAX,343
RP000986370,2007-06-10,TMAX,350
RP000986370,2006-10-09,TMIN,240
RP000986370,2005-09-23,TMIN,240
RP000986370,2007-06-11,TMIN,245
RP000986370,2010-02-10,TMAX,320
RP000986370,2008-11-11,TMAX,310
RP000986370,2010-08-06,TMIN,230
RP000986370,2010-08-06,TMAX,293
RP000986370,2008-11-11,TMIN,230
RP000986370,2010-02-10,TMIN,220
RP000986370,2009-01-30,TMIN,230
RP000986370,2010-09-07,TMIN,230
RP000986370,2010-09-07,TMAX,310
RP000986370,2007-06-11,TMAX,350
RP000986370,2006-02-20,TMIN,235
RP000986370,2006-03-12,TMAX,330
RP000986370,2009-03-14,TMAX,318
RP000986370,2009-06-09,TMIN,220
RP000986370,2005-12-12,TMAX,300
RP000986370,2008-07-22,TMAX,308
RP000986370,2009-11-04,TMAX,320
RP000986370,2007-06-10,TMIN,250
RP000986370,2008-04-11,TMAX,348
RP000986370,2009-04-01,TMAX,324
RP000986370,2009-04-01,TMIN,232
RP000986370,2008-01-10,TMIN,225
RP000986370,2008-06-12,TMAX,320
RP000986370,2007-11-22,TMAX,373
RP000986370,2007-11-22,TMIN,225
RP000986370,2005-09-02,TMIN,250
RP000986370,2009-03-29,TMAX,336
RP000986370,2008-05-23,TMIN,240
RP000986370,2006-06-11,TMAX,333
RP000986370,2007-12-21,TMIN,220
RP000986370,2009-09-29,TMIN,225
RP000986370,2008-07-22,TMIN,230
RP000986370,2007-12-21,TMAX,310
RP000986370,2006-03-06,TMAX,310
RP000986370,2006-03-06,TMIN,230
RP000986370,2009-03-29,TMIN,230
RP000986370,2008-05-23,TMAX,314
RP000986370,2006-05-13,TMAX,267
RP000986370,2008-04-11,TMIN,240
RP000986370,2005-10-01,TMIN,250
RP000986370,2006-03-12,TMIN,240
RP000986370,2005-10-01,TMAX,316
RP000986370,2005-06-29,TMAX,320
RP000986370,2010-09-28,TMIN,235
RP000986370,2007-03-11,TMIN,235
RP000986370,2006-08-18,TMIN,250
RP000986370,2007-11-16,TMIN,235
RP000986370,2007-11-16,TMAX,313
RP000986370,2008-01-11,TMIN,225
RP000986370,2009-02-03,TMIN,226
RP000986370,2009-02-03,TMAX,298
RP000986370,2008-01-11,TMAX,280
RP000986370,2010-04-10,TMAX,330
RP000986370,2010-09-09,TMAX,320
RP000986370,2008-02-22,TMAX,300
RP000986370,2006-03-03,TMAX,330
RP000986370,2010-09-09,TMIN,240
RP000986370,2007-11-26,TMAX,320
RP000986370,2009-06-04,TMIN,230
RP000986370,2006-03-09,TMIN,234
RP000986370,2009-08-02,TMIN,220
RP000986370,2007-11-26,TMIN,230
RP000986370,2008-06-28,TMAX,305
RP000986370,2007-03-11,TMAX,330
RP000986370,2008-06-28,TMIN,235
RP000986370,2006-05-28,TMIN,245
RP000986370,2005-12-12,TMIN,250
RP000986370,2007-07-14,TMAX,316
RP000986370,2006-05-28,TMAX,342
RP000986370,2006-10-18,TMIN,240
RP000986370,2006-10-18,TMAX,328
RP000986370,2007-07-14,TMIN,230
RP000986370,2008-09-16,TMAX,306
RP000986370,2008-02-22,TMIN,220
RP000986370,2008-01-10,TMAX,291
RP000986370,2008-09-16,TMIN,240
RP000986370,2006-06-02,TMIN,250
RP000986370,2006-06-02,TMAX,310
RP000986370,2009-12-31,TMAX,296
RP000986370,2009-12-31,TMIN,220
RP000986370,2008-03-04,TMIN,220
RP000986370,2006-08-18,TMAX,310
RP000986370,2010-04-07,TMAX,340
RP000986370,2010-09-28,TMAX,325
RP000986370,2006-02-19,TMIN,230
RP000986370,2010-04-07,TMIN,245
RP000986370,2007-07-12,TMAX,290
RP000986370,2009-02-18,TMIN,240
RP000986370,2007-03-08,TMIN,230
RP000986370,2010-11-12,TMIN,230
RP000986370,2008-02-04,TMIN,220
RP000986370,2008-02-04,TMAX,316
RP000986370,2007-05-10,TMIN,235
