ID,Date,Element,Data_Value
IDM00097580,2008-07-06,TMAX,310
IDM00097580,2006-05-31,TMIN,250
IDM00097780,2014-09-28,TMAX,248
ID000097686,2010-10-23,TMAX,264
IDM00097780,2011-08-11,TMAX,252
IDM00097780,2011-08-11,TMIN,130
IDM00097682,2012-08-16,TMIN,230
IDM00097570,2009-12-01,TMAX,300
IDM00097780,2009-12-27,TMAX,267
IDM00097780,2007-03-15,TMAX,226
ID000097686,2013-09-10,TMIN,149
IDM00097580,2010-05-13,TMAX,318
IDM00097580,2015-12-28,TMIN,240
IDM00097580,2006-08-22,TMIN,232
IDM00097580,2009-06-28,TMAX,316
IDM00097780,2009-12-27,TMIN,152
ID000097686,2007-05-18,TMIN,154
ID000097686,2009-03-03,TMAX,250
IDM00097780,2009-12-25,TMIN,143
IDM00097570,2008-11-18,TMIN,240
IDM00097796,2006-07-25,TMAX,278
IDM00097780,2009-12-25,TMAX,292
IDM00097580,2015-12-28,TMAX,310
IDM00097580,2006-05-31,TMAX,312
IDM00097682,2012-08-16,TMAX,322
IDM00097796,2012-08-05,TMAX,276
IDM00097796,2005-12-02,TMAX,334
ID000097686,2008-01-16,TMAX,252
IDM00097796,2005-12-02,TMIN,236
IDM00097570,2011-08-11,TMAX,314
IDM00097780,2007-03-15,TMIN,144
IDM00097580,2010-05-13,TMIN,242
ID000097686,2010-04-26,TMIN,160
ID000097686,2010-10-23,TMIN,154
IDM00097580,2007-04-21,TMIN,212
ID000097686,2009-03-03,TMIN,144
IDM00097682,2006-12-15,TMAX,336
IDM00097580,2008-07-06,TMIN,210
IDM00097796,2013-04-24,TMIN,232
IDM00097580,2011-01-06,TMIN,206
ID000097686,2007-05-18,TMAX,256
IDM00097796,2011-08-02,TMAX,275
IDM00097682,2006-12-15,TMIN,230
ID000097686,2010-04-26,TMAX,266
IDM00097780,2010-09-21,TMIN,140
IDM00097580,2010-12-06,TMAX,322
IDM00097580,2006-07-09,TMAX,308
IDM00097796,2015-03-22,TMIN,240
ID000097686,2012-04-14,TMAX,264
IDM00097796,2010-12-29,TMIN,220
IDM00097570,2015-10-03,TMIN,230
IDM00097796,2015-01-04,TMIN,228
ID000097686,2010-11-18,TMIN,156
IDM00097780,2014-12-29,TMIN,146
IDM00097580,2007-11-02,TMIN,224
IDM00097570,2010-02-23,TMIN,240
ID000097686,2007-10-29,TMAX,272
IDM00097796,2012-06-25,TMAX,300
IDM00097796,2010-02-09,TMAX,336
IDM00097682,2011-09-25,TMAX,316
IDM00097570,2012-11-03,TMAX,316
IDM00097580,2007-11-02,TMAX,322
IDM00097570,2012-05-16,TMIN,228
IDM00097570,2009-04-23,TMIN,231
IDM00097570,2009-04-23,TMAX,304
IDM00097570,2015-10-03,TMAX,296
IDM00097570,2010-02-23,TMAX,326
ID000097686,2007-10-29,TMIN,160
ID000097686,2007-11-19,TMAX,236
IDM00097796,2010-02-09,TMIN,240
IDM00097796,2009-06-23,TMAX,296
IDM00097780,2015-07-20,TMIN,154
ID000097686,2015-10-03,TMIN,150
IDM00097780,2011-04-24,TMAX,231
IDM00097780,2011-04-24,TMIN,143
IDM00097682,2013-01-15,TMAX,320
IDM00097682,2013-01-15,TMIN,234
IDM00097570,2007-10-10,TMAX,335
IDM00097682,2009-12-27,TMAX,334
ID000097686,2013-02-06,TMAX,276
ID000097686,2013-02-06,TMIN,164
ID000097686,2015-07-03,TMIN,110
ID000097686,2015-07-03,TMAX,247
IDM00097682,2010-06-11,TMAX,335
IDM00097580,2015-02-27,TMAX,298
