ID,Date,Element,Data_Value
RSM00024817,2009-08-05,TMAX,263
RSM00030028,2007-09-29,TMIN,21
RSM00024918,2014-07-10,TMIN,121
RSM00030028,2013-02-16,TMIN,-278
RSM00030028,2007-08-12,TMIN,101
RSM00024817,2006-09-09,TMIN,71
RSM00024918,2014-07-01,TMAX,203
RSM00030028,2009-06-06,TMAX,198
RSM00030028,2005-07-25,TMIN,87
RSM00030028,2005-12-29,TMIN,-457
RSM00024817,2015-05-29,TMAX,196
RSM00030028,2005-01-12,TMAX,-318
RSM00024817,2011-05-27,TMIN,38
RSM00024817,2006-09-09,TMAX,166
RSM00024817,2008-01-06,TMAX,-259
RSM00024817,2011-02-11,TMAX,-242
RSM00024817,2008-04-05,TMAX,-68
RSM00030028,2006-10-03,TMAX,20
RSM00024918,2013-10-15,TMAX,42
RSM00030028,2015-04-22,TMAX,69
RSM00024817,2007-08-19,TMIN,111
RSM00030028,2015-09-16,TMAX,91
RSM00030028,2012-09-29,TMIN,7
RSM00030028,2006-05-07,TMIN,-30
RSM00024918,2013-10-28,TMIN,-65
RSM00024817,2007-03-03,TMAX,-147
RSM00030028,2008-11-08,TMAX,18
RSM00024817,2012-10-05,TMIN,-77
RSM00030028,2009-06-06,TMIN,118
RSM00024817,2005-02-13,TMIN,-371
RSM00024817,2011-02-11,TMIN,-433
RSM00024817,2010-11-11,TMIN,-189
RSM00030028,2005-01-12,TMIN,-402
RSM00030028,2007-09-29,TMAX,65
RSM00030028,2014-10-20,TMAX,-69
RSM00024817,2006-01-15,TMIN,-500
RSM00024918,2014-07-10,TMAX,325
RSM00030028,2013-11-25,TMIN,-323
RSM00024817,2010-04-24,TMIN,-127
RSM00030028,2005-04-08,TMAX,22
RSM00030028,2005-05-09,TMAX,192
RSM00030028,2013-02-16,TMAX,-157
RSM00030028,2015-06-07,TMIN,28
RSM00024817,2008-02-12,TMAX,-157
RSM00030028,2012-04-29,TMAX,32
RSM00030028,2007-04-26,TMIN,-57
RSM00030028,2012-04-29,TMIN,-72
RSM00024817,2008-02-23,TMAX,-140
RSM00024817,2010-03-17,TMIN,-329
RSM00024817,2010-01-13,TMIN,-405
RSM00030028,2008-05-24,TMAX,158
RSM00024817,2011-10-27,TMIN,-168
RSM00024817,2008-02-07,TMIN,-188
RSM00030028,2012-10-08,TMAX,48
RSM00030028,2012-06-11,TMAX,197
RSM00030028,2012-06-11,TMIN,52
RSM00030028,2010-01-14,TMIN,-390
RSM00030028,2013-11-25,TMAX,-148
RSM00030028,2009-04-24,TMAX,159
RSM00024817,2013-08-29,TMAX,230
RSM00030028,2014-01-06,TMAX,-293
RSM00024918,2014-03-05,TMIN,-365
RSM00024817,2008-02-23,TMIN,-381
RSM00030028,2008-05-24,TMIN,-15
RSM00024817,2007-05-07,TMIN,-18
RSM00024817,2007-05-07,TMAX,55
RSM00024817,2014-01-17,TMIN,-443
RSM00024817,2011-10-27,TMAX,-89
RSM00024817,2013-02-21,TMIN,-323
RSM00024817,2008-09-18,TMAX,75
RSM00030028,2010-05-20,TMAX,155
RSM00030028,2008-02-01,TMIN,-350
RSM00024817,2008-09-18,TMIN,-19
RSM00030028,2006-03-13,TMIN,-67
RSM00024817,2010-10-16,TMIN,-173
RSM00030028,2015-06-07,TMAX,228
RSM00024817,2006-06-04,TMIN,15
RSM00030028,2008-02-26,TMIN,-51
RSM00030028,2005-07-25,TMAX,288
RSM00024817,2006-06-04,TMAX,84
RSM00024817,2013-02-21,TMAX,-161
RSM00030028,2008-02-01,TMAX,-193
RSM00024918,2012-05-04,TMIN,-36
RSM00024918,2014-09-03,TMAX,127
RSM00024817,2010-10-11,TMAX,26
RSM00024817,2012-12-29,TMAX,-300
RSM00030028,2012-10-08,TMIN,2
RSM00030028,2012-10-07,TMIN,-15
RSM00024817,2008-10-22,TMAX,-75
RSM00030028,2006-03-13,TMAX,6
