ID,Date,Element,Data_Value
AYM00089662,2007-12-09,TMIN,-60
AYM00089662,2008-01-15,TMIN,-60
AYM00089662,2007-12-09,TMAX,-10
AYM00089662,2014-01-21,TMAX,10
AYM00089662,2012-01-30,TMAX,-21
AYM00089662,2008-01-15,TMAX,-10
AYM00089662,2012-01-30,TMIN,-59
AYM00089662,2008-01-07,TMAX,30
AYM00089662,2011-12-11,TMAX,12
AYM00089662,2013-01-13,TMIN,-40
AYM00089662,2014-12-17,TMAX,22
AYM00089662,2014-01-05,TMAX,70
AYM00089662,2009-12-17,TMIN,-40
AYM00089662,2007-11-27,TMIN,-60
AYM00089662,2014-12-09,TMIN,-43
AYM00089662,2014-11-27,TMAX,-40
AYM00089662,2013-01-13,TMAX,10
AYM00089662,2013-12-25,TMAX,10
AYM00089662,2014-12-10,TMAX,6
AYM00089662,2014-12-01,TMAX,-26
AYM00089662,2011-11-28,TMIN,-35
AYM00089662,2014-01-21,TMIN,-10
AYM00089662,2010-01-17,TMIN,-30
AYM00089662,2010-12-15,TMAX,28
AYM00089662,2014-12-17,TMIN,-60
AYM00089662,2015-01-09,TMAX,5
AYM00089662,2009-12-10,TMIN,-30
AYM00089662,2013-11-16,TMAX,-40
AYM00089662,2014-12-10,TMIN,-24
AYM00089662,2013-11-28,TMAX,20
AYM00089662,2015-01-17,TMAX,-25
AYM00089662,2009-12-15,TMAX,0
AYM00089662,2009-12-15,TMIN,-50
AYM00089662,2013-01-08,TMAX,30
AYM00089662,2010-12-22,TMAX,26
AYM00089662,2009-12-20,TMIN,-30
AYM00089662,2012-01-18,TMAX,24
AYM00089662,2012-01-18,TMIN,-18
AYM00089662,2009-12-20,TMAX,-10
AYM00089662,2011-12-15,TMIN,-44
AYM00089662,2011-12-25,TMIN,-3
AYM00089662,2011-12-15,TMAX,13
AYM00089662,2013-12-12,TMAX,60
AYM00089662,2013-12-12,TMIN,10
AYM00089662,2014-11-27,TMIN,-60
AYM00089662,2015-01-17,TMIN,-49
AYM00089662,2015-01-09,TMIN,-24
AYM00089662,2014-12-01,TMIN,-71
AYM00089662,2015-12-11,TMIN,-32
AYM00089662,2012-01-16,TMAX,-2
AYM00089662,2013-11-30,TMIN,-50
AYM00089662,2009-12-10,TMAX,0
AYM00089662,2010-01-12,TMAX,20
AYM00089662,2013-12-25,TMIN,-20
AYM00089662,2011-01-02,TMIN,-14
AYM00089662,2010-12-17,TMAX,33
AYM00089662,2007-11-27,TMAX,-20
AYM00089662,2012-12-10,TMIN,-30
AYM00089662,2011-01-02,TMAX,23
AYM00089662,2014-12-09,TMAX,0
AYM00089662,2010-02-03,TMIN,-60
AYM00089662,2010-01-29,TMIN,-50
AYM00089662,2010-12-17,TMIN,3
AYM00089662,2010-01-31,TMAX,0
AYM00089662,2013-01-08,TMIN,-10
AYM00089662,2015-01-12,TMAX,22
AYM00089662,2010-01-29,TMAX,-10
AYM00089662,2015-01-12,TMIN,-24
AYM00089662,2010-02-03,TMAX,-10
AYM00089662,2009-12-17,TMAX,0
