ID,Date,Element,Data_Value
ASN00007185,2010-09-03,TMIN,103
ASN00007176,2012-12-22,TMIN,264
ASN00007176,2005-05-25,TMAX,297
ASN00005072,2008-12-02,TMAX,378
ASN00007176,2005-08-18,TMAX,187
ASN00007176,2009-11-30,TMIN,239
ASN00007185,2015-01-21,TMIN,276
ASN00007176,2014-04-13,TMIN,162
ASN00007185,2005-01-31,TMAX,455
ASN00007176,2014-04-13,TMAX,323
ASN00005072,2005-07-03,TMAX,240
ASN00007185,2011-04-18,TMAX,336
ASN00007176,2013-03-13,TMIN,228
ASN00007185,2009-08-24,TMIN,109
ASN00007176,2012-12-22,TMAX,423
ASN00005072,2007-01-08,TMAX,365
ASN00007176,2011-08-17,TMAX,221
ASN00007176,2011-12-19,TMIN,302
ASN00007185,2015-09-25,TMIN,117
ASN00007185,2005-05-11,TMIN,156
ASN00005072,2007-01-08,TMIN,219
ASN00007185,2010-10-31,TMIN,194
ASN00007176,2013-09-25,TMAX,304
ASN00007185,2012-03-15,TMIN,250
ASN00007176,2013-03-13,TMAX,345
ASN00007176,2011-03-15,TMIN,231
ASN00007185,2011-06-24,TMIN,62
ASN00007176,2007-12-20,TMIN,222
ASN00007185,2013-01-02,TMIN,271
ASN00007176,2013-07-05,TMAX,223
ASN00007185,2005-01-31,TMIN,288
ASN00007185,2012-03-15,TMAX,391
ASN00007185,2009-03-30,TMIN,247
ASN00007176,2011-12-19,TMAX,429
ASN00007176,2007-02-09,TMIN,289
ASN00007176,2005-01-30,TMAX,415
ASN00007176,2013-12-30,TMAX,347
ASN00005072,2008-05-19,TMIN,50
ASN00007176,2007-12-20,TMAX,416
ASN00005072,2005-09-15,TMIN,148
ASN00007185,2011-06-24,TMAX,260
ASN00005072,2007-02-22,TMAX,344
ASN00007176,2006-04-25,TMAX,324
ASN00007176,2006-04-25,TMIN,194
ASN00007185,2005-09-27,TMAX,294
ASN00007185,2007-06-23,TMAX,234
ASN00007176,2008-04-07,TMAX,368
ASN00007176,2011-08-09,TMIN,92
ASN00007185,2014-02-25,TMAX,396
ASN00007176,2011-09-07,TMIN,114
ASN00007176,2011-08-09,TMAX,278
ASN00007185,2010-02-27,TMIN,287
ASN00007176,2005-05-25,TMIN,163
ASN00007185,2008-01-09,TMIN,264
ASN00007185,2008-01-09,TMAX,434
ASN00007185,2013-10-23,TMAX,384
ASN00007176,2008-07-19,TMAX,194
ASN00007185,2014-03-17,TMIN,221
ASN00005072,2008-05-19,TMAX,273
