ID,Date,Element,Data_Value
RSM00027051,2012-01-22,TMIN,-172
RSM00027037,2009-10-14,TMAX,78
RSM00027051,2005-01-18,TMIN,-57
RSM00022954,2005-09-12,TMAX,142
RSM00022887,2011-05-23,TMIN,76
RSM00027051,2013-11-14,TMIN,3
RSM00022954,2007-06-21,TMIN,64
RSM00027164,2009-11-28,TMAX,26
RSM00022887,2010-06-02,TMIN,67
RSM00022981,2013-12-19,TMAX,-31
RSM00027037,2009-10-14,TMIN,24
RSM00022867,2010-09-21,TMAX,150
RSM00027051,2005-01-18,TMAX,-6
RSM00022867,2007-11-10,TMAX,-30
RSM00027037,2007-12-06,TMIN,-5
RSM00022887,2013-01-08,TMAX,-135
RSM00022887,2013-09-24,TMIN,74
RSM00027051,2014-12-11,TMIN,-34
RSM00027037,2007-12-06,TMAX,10
RSM00022867,2008-07-30,TMIN,101
RSM00027037,2010-01-26,TMIN,-261
RSM00027037,2010-03-01,TMIN,-48
RSM00027164,2006-12-29,TMIN,-115
RSM00027242,2012-09-12,TMAX,171
RSM00027242,2014-04-16,TMIN,46
RSM00022954,2007-07-06,TMAX,270
RSM00027037,2011-01-18,TMIN,-205
RSM00022887,2014-11-14,TMAX,-33
RSM00027037,2009-09-07,TMIN,113
RSM00022954,2006-07-17,TMAX,165
RSM00022981,2007-04-07,TMIN,-37
RSM00027037,2006-04-16,TMIN,1
RSM00027051,2015-10-10,TMIN,-30
RSM00027037,2012-08-19,TMIN,49
RSM00027037,2009-09-07,TMAX,187
RSM00022981,2005-12-25,TMIN,-238
RSM00022887,2008-09-12,TMAX,116
RSM00027051,2012-12-21,TMAX,-212
RSM00022981,2007-04-07,TMAX,45
RSM00022954,2007-06-21,TMAX,158
RSM00022981,2005-12-25,TMAX,-124
RSM00027066,2009-12-05,TMIN,-58
RSM00027066,2009-12-05,TMAX,-35
RSM00022887,2013-10-05,TMAX,72
RSM00022981,2013-12-03,TMAX,-78
RSM00027252,2010-03-29,TMIN,0
RSM00022887,2011-05-23,TMAX,197
RSM00022867,2009-10-21,TMAX,27
RSM00022887,2006-01-05,TMAX,-56
RSM00022867,2008-02-28,TMAX,28
RSM00027051,2007-06-08,TMIN,70
RSM00027164,2006-12-27,TMAX,-32
RSM00027051,2005-12-25,TMAX,-105
RSM00022954,2011-05-16,TMAX,198
RSM00027164,2009-11-28,TMIN,13
RSM00022887,2013-10-05,TMIN,35
RSM00027037,2012-12-31,TMIN,-75
RSM00022981,2005-11-08,TMIN,-21
RSM00027066,2013-05-11,TMAX,127
RSM00027037,2012-08-19,TMAX,245
RSM00027051,2009-12-14,TMIN,-298
RSM00022887,2009-06-26,TMAX,236
RSM00022867,2008-02-28,TMIN,-15
RSM00027037,2010-01-26,TMAX,-148
RSM00027252,2012-03-02,TMAX,-44
RSM00022954,2011-01-08,TMAX,-58
RSM00027037,2011-09-05,TMAX,113
RSM00022867,2011-03-08,TMAX,-24
RSM00022887,2012-10-10,TMAX,120
RSM00022954,2009-10-19,TMIN,-37
RSM00027242,2010-04-02,TMAX,145
RSM00022954,2008-01-30,TMIN,-135
RSM00027242,2010-04-02,TMIN,14
RSM00027066,2010-06-13,TMAX,225
RSM00027164,2011-06-21,TMAX,233
RSM00027164,2011-06-21,TMIN,165
RSM00027051,2010-11-02,TMIN,28
RSM00022954,2010-04-02,TMIN,6
RSM00027242,2010-06-26,TMIN,167
RSM00027164,2013-07-28,TMIN,96
RSM00022954,2008-03-28,TMAX,32
RSM00022981,2014-04-17,TMAX,57
RSM00022887,2011-01-27,TMIN,-185
RSM00027066,2006-12-27,TMIN,-116
RSM00022981,2005-11-08,TMAX,15
RSM00022887,2015-06-13,TMAX,167
RSM00022867,2010-07-21,TMIN,139
RSM00027164,2009-05-28,TMAX,219
RSM00027066,2006-12-27,TMAX,-45
RSM00027037,2013-12-19,TMAX,8
RSM00022887,2012-10-10,TMIN,44
RSM00022954,2010-04-02,TMAX,126
RSM00027051,2011-09-22,TMAX,96
RSM00027164,2007-08-15,TMAX,320
RSM00027164,2011-02-14,TMIN,-225
RSM00022954,2011-10-22,TMAX,57
RSM00022954,2011-05-16,TMIN,5
RSM00022954,2005-09-12,TMIN,14
RSM00027252,2008-02-13,TMAX,-1
RSM00027164,2009-05-28,TMIN,71
RSM00027252,2010-03-29,TMAX,70
RSM00027164,2010-11-15,TMIN,19
RSM00022867,2008-07-30,TMAX,181
RSM00022887,2013-09-24,TMAX,115
RSM00027051,2011-09-22,TMIN,-42
RSM00027164,2010-11-15,TMAX,51
RSM00027252,2010-02-24,TMIN,-239
RSM00027164,2007-08-15,TMIN,139
RSM00022981,2009-09-16,TMAX,154
RSM00022954,2011-10-22,TMIN,18
RSM00027051,2013-11-14,TMAX,29
RSM00027037,2013-12-19,TMIN,-15
RSM00022954,2006-08-02,TMIN,64
RSM00022981,2011-11-23,TMAX,-110
RSM00027051,2009-12-14,TMAX,-216
RSM00027066,2005-09-26,TMAX,186
RSM00027037,2006-04-16,TMAX,86
RSM00022867,2012-07-26,TMAX,200
RSM00027037,2013-06-27,TMAX,325
RSM00022887,2009-06-26,TMIN,52
RSM00027164,2013-11-11,TMIN,41
RSM00027066,2010-06-13,TMIN,150
RSM00022954,2010-03-23,TMIN,-117
RSM00022867,2014-01-21,TMIN,-186
RSM00022867,2010-07-21,TMAX,290
RSM00022954,2006-08-02,TMAX,217
RSM00022981,2009-02-15,TMIN,-48
RSM00022981,2009-09-16,TMIN,31
RSM00027037,2010-03-01,TMAX,-16
RSM00027164,2013-11-11,TMAX,85
RSM00022981,2013-12-03,TMIN,-106
RSM00027066,2007-04-19,TMIN,51
RSM00027252,2015-12-28,TMAX,-42
RSM00027164,2006-12-29,TMAX,-50
RSM00022981,2011-11-23,TMIN,-186
RSM00027066,2005-07-29,TMIN,173
RSM00022954,2008-03-14,TMIN,0
RSM00027037,2005-09-12,TMIN,11
RSM00022887,2008-02-02,TMAX,-22
RSM00027037,2005-12-22,TMAX,-30
RSM00022867,2015-05-02,TMAX,176
RSM00022887,2008-02-02,TMIN,-68
RSM00022887,2005-05-18,TMIN,90
RSM00027051,2007-06-08,TMAX,97
RSM00027066,2009-10-21,TMAX,54
RSM00027051,2006-01-12,TMAX,0
RSM00027242,2005-12-24,TMIN,-260
RSM00027051,2015-12-29,TMIN,-90
RSM00027051,2015-12-29,TMAX,-62
RSM00027051,2006-01-12,TMIN,-61
RSM00027164,2014-03-20,TMIN,-131
RSM00027164,2008-03-24,TMIN,-4
RSM00022954,2008-03-13,TMAX,8
RSM00027252,2012-12-23,TMAX,-257
RSM00022867,2015-05-02,TMIN,60
RSM00027066,2013-11-30,TMAX,-43
RSM00027066,2007-12-01,TMAX,-55
RSM00027051,2013-12-23,TMAX,17
RSM00027066,2011-02-11,TMIN,-281
RSM00022887,2013-12-19,TMAX,-54
RSM00022981,2008-10-23,TMAX,92
RSM00027037,2011-04-04,TMAX,113
RSM00027051,2011-08-08,TMAX,257
RSM00022887,2009-06-25,TMIN,76
RSM00022887,2009-06-25,TMAX,213
RSM00027051,2007-10-25,TMAX,68
RSM00027066,2009-10-21,TMIN,6
RSM00022981,2008-01-27,TMIN,-76
RSM00022867,2012-06-21,TMAX,215
RSM00022887,2007-09-19,TMAX,193
RSM00027051,2013-12-23,TMIN,1
RSM00027252,2011-02-15,TMAX,-165
RSM00022867,2007-11-01,TMIN,19
RSM00027051,2007-10-25,TMIN,40
RSM00027242,2006-07-20,TMAX,166
RSM00027066,2007-12-01,TMIN,-137
RSM00022867,2012-06-21,TMIN,102
RSM00027051,2014-11-14,TMAX,-52
RSM00022867,2011-05-06,TMAX,235
RSM00022887,2013-12-19,TMIN,-248
RSM00022867,2007-11-01,TMAX,64
RSM00027242,2009-09-07,TMAX,212
RSM00027037,2005-12-22,TMIN,-185
RSM00022981,2008-02-01,TMIN,-46
RSM00027066,2012-05-10,TMAX,100
RSM00027164,2015-01-29,TMIN,-88
RSM00022887,2011-03-05,TMAX,-7
RSM00022981,2012-01-31,TMAX,-216
RSM00027164,2013-12-03,TMIN,-110
RSM00022887,2008-09-12,TMIN,-9
RSM00022887,2005-05-08,TMIN,98
RSM00027051,2013-01-02,TMAX,-58
RSM00027242,2012-05-28,TMIN,103
RSM00027164,2011-12-24,TMAX,-108
RSM00022887,2006-10-30,TMIN,-37
RSM00027037,2006-12-14,TMAX,24
RSM00022867,2007-07-29,TMAX,242
RSM00022954,2005-09-19,TMAX,124
RSM00022981,2012-01-31,TMIN,-290
RSM00027051,2015-01-25,TMIN,-81
RSM00022954,2008-06-19,TMIN,101
RSM00027066,2009-05-02,TMAX,125
RSM00027066,2011-04-16,TMIN,4
RSM00022981,2014-12-07,TMIN,-32
RSM00022981,2014-12-07,TMAX,-17
RSM00027037,2009-06-26,TMIN,135
RSM00027164,2008-03-24,TMAX,22
RSM00027051,2013-10-19,TMIN,0
RSM00022887,2007-09-19,TMIN,34
RSM00027066,2014-07-27,TMIN,84
RSM00027242,2009-09-07,TMIN,104
RSM00022887,2005-03-23,TMIN,-291
RSM00027242,2008-12-01,TMAX,23
RSM00022867,2012-08-14,TMAX,212
RSM00022981,2009-06-20,TMAX,177
RSM00022887,2013-01-08,TMIN,-213
RSM00022981,2011-02-01,TMAX,-103
RSM00027051,2012-12-21,TMIN,-265
RSM00027066,2009-04-25,TMIN,-49
RSM00022981,2009-06-20,TMIN,85
RSM00027164,2006-07-21,TMIN,96
RSM00022981,2009-02-15,TMAX,-18
RSM00022887,2011-03-05,TMIN,-47
RSM00027066,2009-04-25,TMAX,45
RSM00027242,2011-02-28,TMAX,-62
RSM00022867,2012-08-14,TMIN,69
RSM00022981,2011-02-01,TMIN,-201
RSM00022887,2006-10-30,TMAX,-9
RSM00022887,2005-05-18,TMAX,248
RSM00022867,2012-07-26,TMIN,133
RSM00027037,2013-11-09,TMAX,52
RSM00022887,2010-09-21,TMIN,68
RSM00022954,2010-04-29,TMAX,106
RSM00027252,2012-12-20,TMAX,-235
RSM00027066,2011-04-16,TMAX,95
RSM00022867,2013-06-10,TMIN,92
RSM00022954,2006-10-23,TMAX,95
RSM00022867,2013-05-02,TMIN,9
RSM00027252,2013-03-14,TMIN,-166
RSM00027066,2008-04-24,TMAX,91
RSM00022981,2007-04-21,TMIN,34
RSM00022954,2007-06-13,TMAX,213
RSM00022981,2007-04-21,TMAX,135
RSM00022954,2007-06-13,TMIN,110
RSM00022954,2014-06-19,TMIN,33
RSM00022954,2010-04-29,TMIN,-8
RSM00022887,2010-03-28,TMAX,14
RSM00022954,2012-12-23,TMIN,-330
RSM00022867,2011-03-08,TMIN,-106
RSM00027066,2014-05-20,TMIN,62
RSM00022981,2013-12-19,TMIN,-212
RSM00022954,2007-07-06,TMIN,133
RSM00027242,2012-09-12,TMIN,82
RSM00027252,2010-03-28,TMIN,14
RSM00027164,2013-05-31,TMIN,87
RSM00022887,2015-07-15,TMIN,61
RSM00022981,2006-01-09,TMIN,-45
RSM00022981,2006-01-09,TMAX,3
RSM00022954,2008-03-14,TMAX,28
RSM00022981,2007-04-19,TMIN,70
RSM00022981,2007-04-19,TMAX,159
RSM00027037,2011-01-21,TMIN,-220
