ID,Date,Element,Data_Value
SAM00041055,2014-01-14,TMAX,222
SAM00041055,2015-08-31,TMAX,366
SAM00041055,2005-11-08,TMAX,290
SAM00041084,2012-09-11,TMAX,390
SAM00041084,2006-05-18,TMAX,372
SAM00041036,2006-05-01,TMIN,189
SAM00041036,2008-09-03,TMIN,245
SAM00041084,2014-08-02,TMIN,258
SAM00041055,2015-08-31,TMIN,230
SAM00041055,2009-06-06,TMAX,360
SAM00041055,2011-03-11,TMIN,158
SAM00041036,2010-02-17,TMAX,264
SAM00041055,2008-11-20,TMIN,111
SAM00041084,2006-08-02,TMAX,390
SAM00041084,2014-02-05,TMIN,116
SAM00041055,2010-02-02,TMIN,140
SAM00041036,2009-09-15,TMAX,358
SAM00041036,2007-05-01,TMAX,325
SAM00041036,2009-05-02,TMIN,180
SAM00041036,2006-10-24,TMAX,292
SAM00041036,2015-12-21,TMAX,250
SAM00041036,2006-05-01,TMAX,336
SAM00041036,2015-10-29,TMIN,180
SAM00041036,2010-08-02,TMAX,370
SAM00041036,2014-08-16,TMAX,370
SAM00041055,2008-08-11,TMIN,220
SAM00041036,2014-08-16,TMIN,260
SAM00041084,2014-06-27,TMIN,260
SAM00041036,2009-02-07,TMAX,270
SAM00041055,2008-08-17,TMAX,350
SAM00041036,2009-02-07,TMIN,100
SAM00041036,2010-04-22,TMAX,326
SAM00041055,2008-11-20,TMAX,254
SAM00041055,2012-09-17,TMAX,334
SAM00041084,2005-12-23,TMAX,318
SAM00041084,2015-12-18,TMIN,117
SAM00041036,2008-09-03,TMAX,360
SAM00041084,2011-08-15,TMIN,262
SAM00041084,2008-11-27,TMAX,302
SAM00041036,2006-10-24,TMIN,150
SAM00041055,2008-08-17,TMIN,220
SAM00041055,2014-01-14,TMIN,85
SAM00041084,2006-02-21,TMIN,120
SAM00041055,2014-10-19,TMIN,150
SAM00041055,2014-09-30,TMAX,316
SAM00041084,2014-06-27,TMAX,396
SAM00041055,2009-02-04,TMAX,230
SAM00041036,2006-11-05,TMAX,310
SAM00041084,2011-09-17,TMAX,388
SAM00041055,2010-02-02,TMAX,300
SAM00041036,2009-09-25,TMAX,340
SAM00041084,2006-08-02,TMIN,228
SAM00041084,2011-08-15,TMAX,414
SAM00041036,2009-09-25,TMIN,180
SAM00041084,2015-12-18,TMAX,292
SAM00041036,2008-03-29,TMIN,150
