ID,Date,Element,Data_Value
FMC00914720,2005-10-20,TMIN,256
FMC00914720,2010-02-04,TMAX,322
FMC00914720,2012-05-09,TMAX,328
FMC00914720,2010-10-17,TMAX,328
FMC00914720,2011-11-21,TMIN,244
FMC00914720,2012-03-06,TMAX,322
FMC00914720,2005-11-24,TMAX,322
FMC00914720,2009-10-02,TMAX,317
FMC00914720,2010-02-22,TMAX,333
FMC00914720,2012-05-09,TMIN,256
FMC00914720,2010-12-20,TMAX,333
FMC00914720,2011-09-25,TMIN,250
FMC00914720,2011-09-25,TMAX,317
FMC00914720,2005-10-20,TMAX,328
FMC00914720,2006-11-16,TMIN,272
FMC00914720,2006-12-03,TMAX,300
FMC00914720,2006-11-16,TMAX,328
FMC00914720,2006-01-17,TMIN,256
FMC00914720,2007-11-25,TMAX,317
FMC00914720,2011-10-17,TMAX,328
FMC00914720,2011-09-03,TMAX,328
FMC00914720,2006-12-03,TMIN,233
FMC00914720,2010-08-21,TMAX,333
FMC00914720,2009-07-31,TMIN,244
FMC00914720,2008-09-10,TMAX,322
FMC00914720,2010-02-04,TMIN,244
FMC00914720,2005-08-04,TMAX,322
FMC00914720,2006-05-23,TMIN,250
FMC00914720,2005-11-24,TMIN,256
FMC00914720,2006-05-14,TMAX,328
FMC00914720,2009-07-31,TMAX,317
FMC00914720,2006-03-23,TMAX,317
FMC00914720,2009-06-18,TMAX,322
FMC00914720,2008-03-15,TMIN,250
FMC00914720,2012-02-01,TMAX,328
FMC00914720,2009-06-18,TMIN,256
FMC00914720,2008-09-24,TMAX,311
FMC00914720,2012-02-01,TMIN,256
FMC00914720,2007-11-25,TMIN,239
FMC00914720,2008-06-06,TMIN,250
FMC00914720,2009-01-19,TMAX,306
FMC00914720,2009-02-24,TMAX,317
FMC00914720,2012-01-27,TMAX,333
FMC00914720,2010-08-21,TMIN,244
FMC00914720,2006-01-11,TMIN,261
FMC00914720,2008-04-12,TMIN,256
FMC00914720,2009-11-01,TMAX,306
FMC00914720,2006-01-11,TMAX,306
FMC00914720,2010-10-26,TMIN,244
FMC00914720,2011-01-26,TMAX,333
FMC00914720,2010-12-20,TMIN,267
FMC00914720,2006-03-23,TMIN,244
FMC00914720,2012-01-27,TMIN,256
FMC00914720,2012-06-07,TMIN,244
FMC00914720,2012-06-07,TMAX,311
FMC00914720,2012-05-19,TMAX,328
FMC00914720,2008-03-15,TMAX,328
FMC00914720,2009-01-19,TMIN,250
FMC00914720,2007-05-30,TMIN,256
FMC00914720,2007-05-30,TMAX,311
FMC00914720,2012-04-04,TMAX,328
FMC00914720,2012-05-13,TMIN,256
FMC00914720,2011-11-01,TMAX,328
FMC00914720,2006-02-02,TMIN,256
FMC00914720,2006-09-03,TMIN,256
FMC00914720,2008-09-24,TMIN,244
FMC00914720,2011-11-01,TMIN,250
FMC00914720,2007-08-28,TMIN,250
FMC00914720,2010-05-30,TMAX,333
FMC00914720,2006-05-03,TMIN,244
FMC00914720,2006-01-31,TMIN,211
FMC00914720,2009-08-14,TMIN,272
FMC00914720,2009-08-17,TMAX,328
FMC00914720,2006-11-13,TMAX,328
FMC00914720,2006-01-31,TMAX,294
FMC00914720,2012-06-25,TMIN,244
FMC00914720,2007-11-05,TMAX,322
FMC00914720,2008-05-20,TMIN,261
FMC00914720,2011-10-25,TMIN,250
FMC00914720,2011-10-25,TMAX,322
FMC00914720,2010-07-15,TMAX,306
FMC00914720,2006-01-17,TMAX,311
FMC00914720,2012-03-01,TMIN,250
FMC00914720,2009-08-14,TMAX,339
FMC00914720,2005-03-13,TMAX,333
FMC00914720,2009-02-22,TMAX,317
FMC00914720,2007-03-27,TMAX,333
FMC00914720,2010-04-17,TMAX,317
FMC00914720,2005-12-16,TMIN,244
FMC00914720,2010-12-09,TMAX,328
FMC00914720,2011-11-21,TMAX,306
FMC00914720,2006-11-13,TMIN,256
FMC00914720,2006-08-17,TMAX,311
FMC00914720,2007-09-01,TMIN,244
FMC00914720,2005-07-12,TMIN,272
FMC00914720,2007-11-06,TMAX,300
FMC00914720,2012-04-27,TMAX,311
FMC00914720,2012-04-04,TMIN,256
FMC00914720,2010-04-10,TMIN,250
FMC00914720,2007-11-06,TMIN,239
FMC00914720,2009-02-06,TMAX,322
FMC00914720,2008-08-30,TMAX,328
FMC00914720,2010-04-10,TMAX,328
FMC00914720,2010-09-19,TMIN,239
FMC00914720,2010-07-26,TMIN,250
FMC00914720,2010-02-22,TMIN,250
FMC00914720,2010-07-26,TMAX,317
FMC00914720,2009-11-22,TMIN,267
