ID,Date,Element,Data_Value
AYM00088968,2015-05-16,TMIN,-117
AYM00088968,2005-06-17,TMAX,-103
AYM00088968,2015-06-25,TMAX,25
AYM00088968,2012-10-06,TMIN,-11
AYM00088968,2014-02-22,TMAX,43
AYM00088968,2013-09-02,TMAX,-143
AYM00088968,2008-12-21,TMIN,15
AYM00088968,2007-06-06,TMAX,-100
AYM00088968,2006-03-17,TMIN,10
AYM00088968,2005-10-31,TMAX,60
AYM00088968,2007-04-29,TMIN,-56
AYM00088968,2007-01-27,TMIN,-1
AYM00088968,2010-09-12,TMIN,-46
AYM00088968,2013-06-20,TMAX,15
AYM00088968,2014-01-05,TMAX,4
AYM00088968,2012-06-21,TMIN,-52
AYM00088968,2012-06-21,TMAX,-30
AYM00088968,2006-04-28,TMAX,19
AYM00088968,2013-08-15,TMIN,-148
AYM00088968,2005-06-30,TMIN,-285
AYM00088968,2007-04-29,TMAX,-20
AYM00088968,2007-09-25,TMIN,-20
AYM00088968,2007-07-20,TMAX,-56
AYM00088968,2013-09-02,TMIN,-189
AYM00088968,2009-06-29,TMIN,-170
AYM00088968,2014-04-12,TMAX,20
AYM00088968,2015-04-22,TMAX,-6
AYM00088968,2008-02-15,TMIN,0
AYM00088968,2014-01-27,TMIN,-6
AYM00088968,2008-12-22,TMAX,48
AYM00088968,2009-10-14,TMAX,18
AYM00088968,2009-01-29,TMIN,20
AYM00088968,2011-12-08,TMIN,-8
AYM00088968,2011-01-30,TMAX,34
AYM00088968,2008-10-31,TMAX,64
AYM00088968,2006-07-20,TMIN,-30
AYM00088968,2009-02-02,TMIN,-16
AYM00088968,2007-12-12,TMIN,-26
AYM00088968,2015-10-15,TMIN,-120
AYM00088968,2009-02-02,TMAX,44
AYM00088968,2008-07-30,TMIN,-27
AYM00088968,2015-10-31,TMAX,40
AYM00088968,2015-12-13,TMIN,-14
AYM00088968,2007-11-01,TMAX,14
AYM00088968,2013-07-29,TMAX,-130
AYM00088968,2011-11-24,TMIN,-15
AYM00088968,2015-05-16,TMAX,0
AYM00088968,2015-04-22,TMIN,-35
AYM00088968,2012-12-01,TMIN,-9
AYM00088968,2015-06-25,TMIN,-30
AYM00088968,2005-05-03,TMIN,-86
AYM00088968,2013-04-07,TMIN,-15
AYM00088968,2007-11-01,TMIN,-95
AYM00088968,2007-12-16,TMAX,50
AYM00088968,2012-08-27,TMIN,-57
AYM00088968,2009-06-29,TMAX,-68
AYM00088968,2010-09-08,TMIN,-198
AYM00088968,2006-07-20,TMAX,-6
AYM00088968,2009-05-07,TMIN,-45
AYM00088968,2008-07-09,TMAX,-26
AYM00088968,2011-11-22,TMAX,16
AYM00088968,2012-11-07,TMIN,-54
AYM00088968,2012-12-01,TMAX,19
AYM00088968,2014-12-13,TMAX,61
AYM00088968,2015-05-09,TMIN,-165
AYM00088968,2008-04-09,TMIN,-20
AYM00088968,2014-01-27,TMAX,20
AYM00088968,2011-03-02,TMIN,9
AYM00088968,2014-01-15,TMIN,-3
AYM00088968,2005-02-14,TMAX,36
AYM00088968,2006-01-16,TMIN,-23
AYM00088968,2009-01-23,TMAX,40
AYM00088968,2013-08-25,TMAX,-21
AYM00088968,2011-01-10,TMAX,26
AYM00088968,2012-08-27,TMAX,25
AYM00088968,2005-03-18,TMAX,29
AYM00088968,2006-08-08,TMAX,-194
AYM00088968,2008-05-25,TMAX,20
AYM00088968,2011-03-02,TMAX,86
AYM00088968,2011-02-23,TMIN,9
AYM00088968,2006-08-23,TMAX,-120
AYM00088968,2015-09-10,TMAX,-81
AYM00088968,2005-03-18,TMIN,-10
AYM00088968,2012-12-31,TMIN,-18
AYM00088968,2012-03-28,TMIN,4
AYM00088968,2014-08-06,TMIN,-252
AYM00088968,2014-12-12,TMIN,-10
AYM00088968,2012-01-09,TMIN,-3
AYM00088968,2014-01-15,TMAX,31
AYM00088968,2007-12-16,TMIN,-12
AYM00088968,2007-06-06,TMIN,-189
AYM00088968,2015-10-31,TMIN,-22
AYM00088968,2013-08-27,TMAX,0
AYM00088968,2011-08-09,TMIN,-102
AYM00088968,2008-09-12,TMAX,38
AYM00088968,2012-09-10,TMAX,-68
AYM00088968,2006-01-01,TMAX,55
AYM00088968,2006-08-23,TMIN,-267
AYM00088968,2005-02-14,TMIN,-11
AYM00088968,2006-03-17,TMAX,45
AYM00088968,2005-05-19,TMIN,-11
AYM00088968,2012-03-28,TMAX,55
AYM00088968,2011-05-09,TMAX,-30
AYM00088968,2006-09-14,TMIN,-46
AYM00088968,2014-12-12,TMAX,40
AYM00088968,2012-05-17,TMIN,-6
AYM00088968,2006-08-08,TMIN,-280
AYM00088968,2013-08-28,TMAX,4
AYM00088968,2015-05-15,TMAX,25
AYM00088968,2015-10-25,TMAX,8
AYM00088968,2009-01-23,TMIN,-10
AYM00088968,2005-09-13,TMIN,-140
AYM00088968,2013-08-25,TMIN,-121
AYM00088968,2011-11-08,TMIN,-21
AYM00088968,2011-11-18,TMIN,-36
AYM00088968,2010-01-14,TMIN,-5
AYM00088968,2014-12-13,TMIN,-18
AYM00088968,2009-09-20,TMAX,10
AYM00088968,2009-05-07,TMAX,20
AYM00088968,2011-01-30,TMIN,23
AYM00088968,2012-05-17,TMAX,19
AYM00088968,2015-12-13,TMAX,19
AYM00088968,2006-01-01,TMIN,-12
AYM00088968,2011-11-08,TMAX,71
AYM00088968,2011-08-09,TMAX,-35
AYM00088968,2006-05-25,TMAX,45
AYM00088968,2011-01-10,TMIN,-13
AYM00088968,2008-09-12,TMIN,-20
AYM00088968,2006-01-16,TMAX,60
AYM00088968,2014-03-23,TMAX,2
AYM00088968,2006-11-02,TMIN,-20
AYM00088968,2015-10-25,TMIN,-80
AYM00088968,2005-03-08,TMIN,10
AYM00088968,2013-11-27,TMAX,28
AYM00088968,2007-01-27,TMAX,70
AYM00088968,2006-06-24,TMIN,-212
AYM00088968,2012-07-14,TMIN,-196
AYM00088968,2011-11-18,TMAX,32
AYM00088968,2013-08-21,TMAX,-90
AYM00088968,2014-09-16,TMIN,-36
AYM00088968,2007-09-25,TMAX,28
AYM00088968,2011-10-09,TMAX,64
AYM00088968,2013-05-01,TMAX,5
AYM00088968,2015-09-10,TMIN,-192
AYM00088968,2005-11-05,TMAX,30
AYM00088968,2008-05-04,TMAX,24
AYM00088968,2015-12-12,TMAX,9
AYM00088968,2005-11-05,TMIN,-75
AYM00088968,2008-12-05,TMIN,-10
AYM00088968,2007-07-25,TMAX,-10
AYM00088968,2009-10-22,TMAX,22
AYM00088968,2014-03-09,TMAX,30
AYM00088968,2015-03-19,TMIN,0
AYM00088968,2015-03-19,TMAX,50
AYM00088968,2012-08-10,TMIN,-210
AYM00088968,2014-05-06,TMIN,-16
AYM00088968,2012-08-20,TMAX,16
AYM00088968,2014-09-16,TMAX,10
AYM00088968,2012-08-10,TMAX,-30
AYM00088968,2012-02-25,TMIN,-55
AYM00088968,2008-03-27,TMAX,-26
AYM00088968,2015-05-23,TMAX,1
AYM00088968,2015-05-23,TMIN,-19
AYM00088968,2014-03-09,TMIN,5
AYM00088968,2006-09-09,TMAX,19
AYM00088968,2014-06-07,TMAX,4
AYM00088968,2008-06-26,TMIN,-14
AYM00088968,2008-12-10,TMIN,-15
AYM00088968,2014-02-07,TMAX,28
AYM00088968,2011-07-25,TMIN,-221
AYM00088968,2009-12-01,TMIN,-2
AYM00088968,2012-12-10,TMIN,-46
AYM00088968,2012-08-20,TMIN,-30
AYM00088968,2009-12-25,TMIN,-8
AYM00088968,2014-09-25,TMIN,-22
AYM00088968,2006-12-03,TMIN,-14
AYM00088968,2010-06-29,TMAX,-11
AYM00088968,2007-09-19,TMAX,-10
AYM00088968,2007-09-05,TMAX,-51
AYM00088968,2013-06-29,TMAX,20
AYM00088968,2014-05-19,TMIN,-46
AYM00088968,2009-01-04,TMIN,11
AYM00088968,2012-07-11,TMAX,-90
AYM00088968,2006-01-05,TMAX,75
AYM00088968,2009-12-01,TMAX,47
AYM00088968,2012-07-11,TMIN,-155
AYM00088968,2009-12-25,TMAX,32
AYM00088968,2006-11-20,TMIN,-26
AYM00088968,2012-10-19,TMIN,-125
AYM00088968,2006-08-18,TMAX,-169
AYM00088968,2009-01-12,TMIN,-3
AYM00088968,2006-09-27,TMAX,33
AYM00088968,2014-09-11,TMIN,-163
AYM00088968,2007-03-10,TMIN,-60
AYM00088968,2009-01-12,TMAX,29
AYM00088968,2007-03-10,TMAX,-10
AYM00088968,2008-12-19,TMIN,13
AYM00088968,2005-08-26,TMAX,-4
AYM00088968,2013-09-06,TMIN,-64
AYM00088968,2007-05-16,TMIN,-9
AYM00088968,2005-08-26,TMIN,-30
AYM00088968,2012-12-04,TMIN,-60
AYM00088968,2011-12-19,TMIN,-12
AYM00088968,2007-10-17,TMAX,2
AYM00088968,2011-07-25,TMAX,-138
AYM00088968,2014-06-07,TMIN,-44
AYM00088968,2006-09-09,TMIN,-55
AYM00088968,2010-05-16,TMIN,-148
AYM00088968,2015-02-06,TMIN,-20
AYM00088968,2011-06-14,TMIN,-12
AYM00088968,2008-11-15,TMAX,9
AYM00088968,2010-07-09,TMIN,-18
AYM00088968,2008-08-09,TMIN,-168
AYM00088968,2014-03-04,TMAX,28
AYM00088968,2012-03-08,TMAX,10
AYM00088968,2012-03-08,TMIN,-2
AYM00088968,2012-01-07,TMIN,-4
AYM00088968,2006-07-10,TMIN,-18
AYM00088968,2015-04-19,TMIN,-65
AYM00088968,2007-06-29,TMIN,-34
AYM00088968,2015-08-30,TMIN,-95
AYM00088968,2014-08-30,TMAX,-93
AYM00088968,2011-06-11,TMIN,-43
AYM00088968,2012-12-12,TMIN,-20
AYM00088968,2012-07-05,TMAX,-160
AYM00088968,2014-03-04,TMIN,-11
AYM00088968,2012-12-12,TMAX,20
AYM00088968,2007-12-23,TMAX,47
AYM00088968,2010-02-15,TMIN,-14
AYM00088968,2011-02-16,TMAX,58
AYM00088968,2008-03-22,TMAX,-5
AYM00088968,2011-02-16,TMIN,12
AYM00088968,2010-02-15,TMAX,10
AYM00088968,2015-08-22,TMIN,-241
AYM00088968,2010-05-16,TMAX,20
AYM00088968,2011-08-07,TMIN,-182
AYM00088968,2011-06-14,TMAX,14
AYM00088968,2007-07-09,TMIN,-158
AYM00088968,2009-05-01,TMIN,-60
AYM00088968,2008-06-26,TMAX,3
AYM00088968,2007-12-23,TMIN,-46
AYM00088968,2007-09-19,TMIN,-103
AYM00088968,2009-01-30,TMIN,21
AYM00088968,2007-10-17,TMIN,-116
