ID,Date,Element,Data_Value
CA00230J01Q,2006-08-01,TMAX,200
CA002200675,2015-09-20,TMAX,16
CA00230J01Q,2008-10-19,TMAX,-30
CA00230J01Q,2006-04-20,TMAX,-135
CA00230J01Q,2011-02-02,TMAX,-117
CA00230J01Q,2014-07-13,TMAX,227
CA00230J01Q,2015-06-10,TMIN,86
CA00230J01Q,2006-08-01,TMIN,112
CA00230J01Q,2014-07-13,TMIN,124
CA002200675,2013-11-16,TMIN,-197
CA00230J01Q,2006-07-06,TMIN,-5
CA00230J01Q,2013-07-19,TMIN,46
CA002202663,2006-03-24,TMIN,-166
CA002200675,2014-12-01,TMAX,-188
CA00230J01Q,2011-07-22,TMIN,38
CA002200675,2011-09-27,TMAX,-5
CA00230J01Q,2013-09-07,TMAX,33
CA00230J01Q,2011-02-04,TMIN,-220
CA00230J01Q,2011-02-02,TMIN,-191
CA00230J01Q,2011-11-26,TMIN,-221
CA00230J01Q,2006-07-02,TMIN,41
CA002200675,2008-04-15,TMAX,-85
CA002200675,2007-08-13,TMIN,63
CA00230J01Q,2008-03-30,TMIN,-276
CA00230J01Q,2010-10-05,TMAX,-11
CA00230J01Q,2008-10-19,TMIN,-109
CA002200675,2015-09-20,TMIN,-9
CA00230J01Q,2014-11-21,TMAX,-170
CA00230J01Q,2008-01-06,TMIN,-231
CA00230J01Q,2006-06-16,TMIN,3
CA00230J01Q,2008-10-27,TMIN,-169
CA002200675,2015-10-02,TMIN,-26
CA00230J01Q,2014-10-13,TMAX,-23
CA002200675,2009-05-27,TMIN,-52
CA00230J01Q,2012-08-16,TMIN,22
CA00230J01Q,2013-08-25,TMAX,22
CA00230J01Q,2007-10-25,TMIN,-136
CA00230J01Q,2015-07-07,TMIN,23
CA00230J01Q,2007-06-21,TMIN,25
CA002200675,2007-09-28,TMIN,-42
CA00230J01Q,2008-10-27,TMAX,-131
CA00230J01Q,2013-07-11,TMAX,48
CA00230J01Q,2007-10-24,TMAX,-86
CA00230J01Q,2008-02-03,TMAX,-268
CA002200675,2005-06-20,TMIN,-9
CA002202663,2007-06-27,TMAX,201
CA00230J01Q,2006-03-12,TMAX,-241
CA00230J01Q,2011-06-08,TMAX,-5
CA00230J01Q,2010-11-13,TMIN,-173
CA00230J01Q,2014-11-21,TMIN,-204
CA00230J01Q,2012-05-14,TMIN,-78
CA002200675,2013-10-20,TMAX,21
CA00230J01Q,2012-08-22,TMIN,48
CA002200675,2011-03-07,TMIN,-291
CA00230J01Q,2014-03-17,TMAX,-162
CA002202663,2007-05-13,TMIN,-141
CA00230J01Q,2006-03-12,TMIN,-253
CA002200675,2008-07-29,TMAX,163
CA00230J01Q,2006-07-06,TMAX,28
CA002200675,2011-01-05,TMAX,-226
CA00230J01Q,2006-07-02,TMAX,162
CA002200675,2015-06-24,TMAX,63
CA00230J01Q,2014-05-11,TMIN,-81
CA00230J01Q,2009-06-06,TMAX,51
CA00230J01Q,2013-09-07,TMIN,20
CA002200675,2015-05-15,TMIN,-82
CA002200675,2009-04-07,TMAX,-156
CA00230J01Q,2012-07-26,TMAX,72
CA00230J01Q,2011-11-26,TMAX,-168
CA00230J01Q,2013-08-21,TMAX,45
CA002200675,2008-05-15,TMIN,-39
