ID,Date,Element,Data_Value
COM00080063,2012-11-02,TMIN,238
COM00080063,2012-08-30,TMIN,220
COM00080112,2014-04-21,TMIN,148
COM00080063,2010-12-01,TMIN,228
COM00080112,2005-11-28,TMIN,98
COM00080112,2005-07-30,TMIN,106
COM00080112,2013-06-03,TMIN,138
COM00080110,2013-10-21,TMIN,180
COM00080144,2005-10-01,TMIN,236
COM00080112,2010-09-25,TMIN,136
COM00080063,2014-11-19,TMAX,340
COM00080110,2015-12-09,TMIN,182
COM00080063,2005-04-19,TMIN,243
COM00080112,2015-10-01,TMIN,122
COM00080112,2015-06-01,TMAX,237
COM00080144,2015-05-15,TMIN,230
COM00080110,2012-06-02,TMIN,168
COM00080110,2014-09-29,TMIN,169
COM00080084,2011-04-29,TMIN,226
COM00080112,2012-04-19,TMAX,211
COM00080112,2013-07-08,TMIN,110
COM00080063,2015-02-09,TMAX,322
COM00080144,2010-05-05,TMIN,230
COM00080144,2011-02-15,TMIN,232
COM00080112,2013-06-17,TMIN,130
COM00080063,2015-01-07,TMIN,206
COM00080144,2012-08-03,TMIN,228
COM00080144,2014-01-11,TMIN,230
COM00080112,2013-02-12,TMAX,204
COM00080063,2014-10-22,TMAX,332
COM00080063,2015-01-17,TMIN,236
COM00080112,2005-09-28,TMAX,257
COM00080063,2011-03-01,TMAX,348
COM00080144,2015-06-08,TMIN,222
COM00080063,2012-05-22,TMAX,334
COM00080063,2014-02-16,TMAX,354
COM00080144,2013-08-04,TMIN,230
COM00080063,2013-05-02,TMAX,320
COM00080112,2011-12-05,TMAX,203
COM00080144,2005-05-30,TMIN,238
COM00080144,2012-11-14,TMAX,320
COM00080110,2013-06-09,TMIN,174
COM00080112,2015-07-25,TMIN,97
COM00080063,2012-12-02,TMIN,230
COM00080112,2015-06-13,TMIN,148
COM00080144,2014-12-05,TMIN,238
COM00080063,2014-07-06,TMIN,250
COM00080112,2014-10-17,TMAX,224
COM00080144,2012-11-14,TMIN,238
COM00080063,2012-08-15,TMIN,232
COM00080110,2013-03-08,TMIN,184
COM00080112,2006-06-10,TMAX,205
COM00080084,2013-08-26,TMIN,229
COM00080112,2015-05-15,TMAX,247
COM00080110,2014-03-07,TMIN,182
COM00080063,2013-09-19,TMIN,246
COM00080110,2013-07-27,TMIN,160
COM00080112,2015-05-15,TMIN,150
COM00080084,2014-02-25,TMIN,246
COM00080112,2011-09-26,TMIN,136
COM00080112,2013-09-16,TMIN,126
COM00080084,2015-12-19,TMIN,248
COM00080084,2010-01-01,TMIN,242
COM00080110,2011-10-12,TMIN,178
COM00080110,2012-08-14,TMIN,170
COM00080110,2005-11-28,TMIN,162
COM00080084,2015-06-09,TMIN,227
COM00080144,2014-03-24,TMAX,316
COM00080144,2014-12-29,TMIN,246
COM00080112,2014-02-11,TMIN,138
COM00080110,2013-01-21,TMIN,190
COM00080063,2012-12-02,TMAX,326
COM00080110,2008-02-06,TMIN,182
COM00080112,2012-05-14,TMAX,220
COM00080084,2011-10-11,TMIN,226
COM00080144,2010-11-12,TMIN,224
COM00080063,2013-03-27,TMAX,356
COM00080063,2011-10-02,TMIN,238
COM00080112,2006-01-10,TMAX,228
COM00080063,2012-06-12,TMIN,222
COM00080110,2012-03-21,TMIN,169
COM00080112,2011-02-06,TMIN,137
COM00080084,2013-07-27,TMIN,239
COM00080110,2013-07-19,TMIN,160
COM00080144,2012-08-22,TMIN,226
COM00080063,2013-09-19,TMAX,314
COM00080144,2014-07-25,TMAX,330
COM00080112,2006-03-07,TMIN,134
COM00080063,2013-10-26,TMAX,336
COM00080144,2012-02-09,TMIN,222
COM00080112,2011-06-07,TMAX,235
COM00080112,2006-07-18,TMAX,239
COM00080112,2014-07-11,TMAX,224
COM00080112,2012-08-15,TMAX,228
COM00080063,2012-07-09,TMAX,342
COM00080063,2015-02-17,TMAX,374
COM00080063,2015-01-07,TMAX,364
COM00080112,2011-06-22,TMIN,124
COM00080112,2006-01-10,TMIN,120
COM00080112,2015-04-17,TMIN,128
COM00080110,2010-06-13,TMIN,170
COM00080084,2013-05-13,TMIN,252
COM00080063,2013-05-02,TMIN,232
COM00080110,2013-11-02,TMIN,150
COM00080063,2012-07-09,TMIN,240
COM00080112,2006-06-11,TMIN,135
COM00080063,2012-07-08,TMIN,216
COM00080084,2011-02-18,TMIN,238
COM00080084,2005-08-23,TMIN,236
COM00080112,2012-05-14,TMIN,137
COM00080112,2011-06-22,TMAX,232
COM00080063,2014-02-16,TMIN,238
COM00080063,2012-07-08,TMAX,346
COM00080144,2012-02-14,TMIN,228
COM00080112,2013-08-07,TMAX,230
COM00080112,2012-11-01,TMIN,116
COM00080063,2011-10-12,TMIN,236
COM00080112,2015-09-02,TMIN,118
COM00080144,2012-06-23,TMIN,234
COM00080084,2010-07-10,TMIN,234
COM00080112,2015-02-25,TMAX,220
COM00080112,2006-03-07,TMAX,219
COM00080112,2012-10-02,TMAX,226
COM00080112,2015-04-17,TMAX,222
COM00080063,2015-09-15,TMIN,232
COM00080063,2011-05-28,TMIN,228
COM00080110,2015-05-15,TMIN,192
COM00080112,2012-09-12,TMIN,132
COM00080112,2011-11-30,TMAX,206
COM00080144,2014-06-17,TMIN,238
COM00080112,2006-10-17,TMAX,199
COM00080063,2012-08-30,TMAX,336
COM00080110,2015-07-11,TMIN,205
COM00080084,2011-01-07,TMIN,229
COM00080084,2013-01-05,TMIN,248
COM00080112,2012-10-22,TMIN,130
COM00080063,2006-04-09,TMIN,232
COM00080112,2012-08-15,TMIN,135
COM00080144,2013-08-12,TMIN,228
COM00080144,2013-11-06,TMIN,236
COM00080112,2012-10-22,TMAX,228
COM00080144,2014-07-25,TMIN,246
COM00080110,2010-07-02,TMIN,174
COM00080110,2012-05-23,TMIN,174
COM00080084,2015-10-01,TMIN,239
COM00080112,2015-02-25,TMIN,126
COM00080112,2012-08-23,TMIN,129
COM00080110,2015-03-07,TMIN,178
COM00080110,2013-09-19,TMIN,162
COM00080063,2014-08-15,TMIN,246
COM00080112,2015-10-01,TMAX,216
COM00080112,2006-07-18,TMIN,136
COM00080112,2012-03-10,TMAX,220
COM00080112,2014-10-17,TMIN,140
COM00080084,2013-03-08,TMIN,250
COM00080110,2012-10-22,TMIN,166
COM00080084,2005-01-16,TMIN,239
COM00080084,2012-12-01,TMAX,325
COM00080110,2010-08-17,TMIN,178
COM00080063,2013-01-07,TMAX,358
COM00080112,2012-08-11,TMIN,127
COM00080112,2014-09-30,TMAX,230
COM00080144,2015-06-19,TMIN,250
COM00080063,2015-03-12,TMAX,376
COM00080110,2006-03-02,TMIN,196
COM00080112,2013-06-08,TMIN,94
COM00080084,2013-04-22,TMAX,332
COM00080084,2015-11-08,TMIN,246
COM00080112,2013-04-25,TMIN,142
COM00080063,2014-04-25,TMIN,242
COM00080063,2015-01-17,TMAX,342
COM00080112,2014-07-10,TMAX,234
COM00080063,2012-08-29,TMAX,342
COM00080110,2014-11-06,TMIN,174
COM00080110,2005-01-08,TMIN,186
COM00080112,2015-06-01,TMIN,136
COM00080112,2006-06-10,TMIN,136
COM00080112,2011-12-05,TMIN,138
COM00080144,2015-06-19,TMAX,340
COM00080112,2014-02-11,TMAX,231
COM00080112,2007-06-26,TMIN,110
COM00080110,2011-09-26,TMIN,180
COM00080110,2014-08-28,TMIN,175
COM00080144,2012-09-14,TMIN,238
COM00080144,2012-05-25,TMIN,230
COM00080112,2014-02-21,TMIN,134
COM00080112,2007-02-17,TMAX,220
COM00080112,2013-08-29,TMAX,228
COM00080084,2015-02-09,TMIN,223
COM00080110,2012-02-27,TMIN,160
COM00080063,2005-08-23,TMIN,228
COM00080063,2006-04-09,TMAX,314
COM00080112,2015-01-17,TMAX,218
COM00080110,2015-10-17,TMIN,180
COM00080112,2014-09-08,TMIN,115
COM00080110,2011-04-27,TMIN,168
COM00080110,2006-10-14,TMIN,174
COM00080063,2011-11-14,TMIN,230
COM00080144,2010-02-16,TMIN,246
COM00080144,2012-08-22,TMAX,318
COM00080084,2011-03-25,TMIN,240
COM00080063,2014-04-15,TMAX,352
COM00080084,2011-04-06,TMIN,232
COM00080084,2012-08-03,TMAX,335
COM00080112,2010-05-25,TMIN,138
COM00080110,2015-01-06,TMIN,160
COM00080144,2014-10-24,TMAX,324
COM00080063,2011-10-02,TMAX,304
COM00080084,2013-01-30,TMIN,244
COM00080112,2014-07-11,TMIN,114
COM00080084,2005-06-16,TMIN,238
COM00080110,2012-09-25,TMIN,160
COM00080112,2013-10-13,TMAX,224
COM00080110,2007-07-20,TMIN,160
COM00080084,2015-11-15,TMIN,244
COM00080112,2007-08-05,TMIN,140
COM00080110,2014-12-26,TMIN,168
COM00080063,2015-06-06,TMIN,240
COM00080084,2012-11-02,TMAX,325
COM00080144,2011-11-14,TMIN,226
COM00080084,2010-06-27,TMIN,236
COM00080110,2014-02-04,TMIN,164
COM00080112,2010-09-07,TMIN,126
COM00080112,2007-06-30,TMAX,227
COM00080084,2011-02-09,TMIN,240
COM00080144,2012-10-22,TMIN,238
COM00080110,2010-08-24,TMIN,190
COM00080110,2005-10-30,TMIN,177
COM00080112,2006-12-08,TMIN,110
COM00080063,2010-06-30,TMIN,240
COM00080112,2013-02-01,TMAX,227
COM00080112,2010-10-14,TMAX,238
COM00080063,2014-03-29,TMIN,234
COM00080112,2010-06-28,TMIN,138
COM00080084,2013-07-11,TMIN,224
COM00080112,2007-09-02,TMIN,130
COM00080144,2013-06-20,TMIN,240
COM00080144,2011-04-20,TMIN,230
COM00080063,2013-05-28,TMIN,248
COM00080112,2015-12-06,TMIN,128
COM00080084,2010-10-13,TMIN,228
COM00080084,2012-11-02,TMIN,230
COM00080144,2013-03-19,TMIN,234
COM00080084,2014-09-28,TMIN,232
COM00080084,2005-04-06,TMIN,236
COM00080112,2006-09-30,TMIN,132
COM00080112,2014-01-18,TMAX,212
COM00080063,2014-09-24,TMIN,238
COM00080112,2010-09-07,TMAX,222
COM00080144,2014-12-26,TMIN,238
COM00080144,2015-01-06,TMIN,240
COM00080112,2014-02-05,TMAX,221
COM00080063,2012-08-08,TMAX,336
COM00080063,2015-01-12,TMAX,356
COM00080112,2011-01-28,TMIN,118
COM00080112,2010-06-13,TMIN,138
COM00080110,2014-11-02,TMIN,175
COM00080144,2014-05-20,TMAX,326
COM00080112,2011-10-27,TMIN,112
COM00080063,2013-09-13,TMIN,228
COM00080063,2012-01-24,TMIN,224
COM00080144,2014-10-18,TMIN,234
COM00080084,2010-01-05,TMIN,244
COM00080110,2011-06-03,TMIN,176
COM00080112,2014-09-20,TMAX,214
COM00080084,2005-02-11,TMIN,250
COM00080112,2015-09-09,TMIN,148
COM00080084,2010-05-13,TMIN,240
COM00080110,2013-09-05,TMIN,160
COM00080110,2014-07-12,TMIN,190
COM00080063,2015-01-12,TMIN,232
COM00080144,2014-10-18,TMAX,312
COM00080144,2015-12-15,TMIN,244
COM00080144,2011-01-10,TMIN,230
COM00080063,2011-05-28,TMAX,340
COM00080112,2013-02-01,TMIN,140
COM00080112,2014-01-18,TMIN,124
COM00080063,2012-07-10,TMAX,348
COM00080063,2011-12-28,TMIN,236
COM00080112,2012-10-16,TMAX,220
COM00080110,2014-09-30,TMIN,174
COM00080112,2007-04-20,TMAX,222
COM00080063,2010-08-30,TMIN,253
COM00080084,2013-12-02,TMIN,234
COM00080112,2007-02-17,TMIN,104
COM00080144,2012-01-19,TMAX,306
COM00080112,2007-04-20,TMIN,132
COM00080144,2013-05-26,TMAX,330
