ID,Date,Element,Data_Value
SAM00041030,2014-03-26,TMAX,346
SAM00041030,2015-01-28,TMIN,230
SA000041024,2015-06-05,TMIN,285
SAM00041030,2013-06-07,TMIN,320
SAM00041030,2009-09-25,TMIN,280
SAM00041030,2005-12-07,TMIN,210
SAM00041030,2008-02-02,TMAX,328
SAM00041030,2006-05-19,TMIN,258
SA000041024,2011-11-02,TMAX,320
SAM00041030,2014-03-26,TMIN,230
SA000041024,2007-11-10,TMIN,240
SA000041024,2015-06-27,TMAX,380
SAM00041030,2013-02-09,TMAX,340
SA000041024,2013-04-14,TMIN,220
SAM00041030,2015-06-13,TMAX,430
SAM00041030,2011-01-14,TMIN,200
SAM00041030,2013-04-05,TMAX,370
SA000041024,2005-01-10,TMAX,250
SAM00041030,2008-02-02,TMIN,180
SA000041024,2008-05-29,TMAX,380
SA000041024,2008-02-15,TMAX,250
SAM00041030,2012-02-26,TMAX,310
SA000041024,2009-05-16,TMIN,230
SAM00041030,2005-12-07,TMAX,324
SA000041024,2012-01-01,TMIN,210
SA000041024,2006-02-15,TMIN,160
SAM00041030,2008-03-28,TMAX,370
SAM00041030,2006-12-19,TMIN,214
SA000041024,2005-05-28,TMIN,250
SA000041024,2015-06-05,TMAX,370
SAM00041030,2008-09-17,TMAX,420
SA000041024,2013-05-22,TMAX,390
SA000041024,2012-04-27,TMIN,190
SAM00041030,2008-11-30,TMAX,366
SAM00041030,2012-09-18,TMAX,434
SA000041024,2007-10-11,TMIN,226
SA000041024,2009-04-12,TMIN,190
SA000041024,2008-12-11,TMIN,210
SA000041024,2011-09-28,TMAX,340
SAM00041030,2013-02-09,TMIN,240
SAM00041030,2008-11-04,TMAX,340
SAM00041030,2007-03-05,TMAX,324
SA000041024,2012-09-10,TMAX,396
SA000041024,2005-02-22,TMAX,320
SAM00041030,2006-10-31,TMIN,250
SAM00041030,2008-05-23,TMAX,452
SAM00041030,2008-07-30,TMIN,280
SAM00041030,2014-08-16,TMIN,302
SAM00041030,2011-08-01,TMAX,445
SA000041024,2005-02-22,TMIN,210
SA000041024,2013-01-19,TMAX,320
SAM00041030,2014-01-12,TMAX,334
SAM00041030,2015-05-28,TMIN,308
SAM00041030,2006-01-15,TMAX,260
SAM00041030,2009-12-10,TMAX,314
SA000041024,2012-07-25,TMAX,380
SAM00041030,2008-05-04,TMIN,240
SA000041024,2008-12-02,TMIN,210
SAM00041030,2015-10-30,TMAX,380
SAM00041030,2015-03-09,TMAX,390
SA000041024,2008-10-16,TMIN,244
SAM00041030,2007-08-28,TMAX,422
SA000041024,2007-10-11,TMAX,370
SA000041024,2011-07-18,TMIN,260
SAM00041030,2014-11-28,TMAX,330
SAM00041030,2015-05-28,TMAX,460
SAM00041030,2008-12-22,TMIN,220
SA000041024,2008-01-07,TMIN,180
SAM00041030,2014-01-14,TMAX,332
SA000041024,2012-03-03,TMAX,250
SA000041024,2012-04-27,TMAX,370
SA000041024,2008-05-08,TMAX,360
SA000041024,2009-01-11,TMIN,184
SA000041024,2008-09-27,TMAX,365
SAM00041030,2005-11-06,TMAX,366
SAM00041030,2010-12-05,TMIN,207
SAM00041030,2015-03-09,TMIN,226
SAM00041030,2006-05-19,TMAX,382
SAM00041030,2011-08-22,TMAX,426
SA000041024,2009-02-27,TMIN,200
SA000041024,2011-01-17,TMIN,165
SA000041024,2009-06-10,TMIN,270
SAM00041030,2014-01-14,TMIN,220
SAM00041030,2014-09-03,TMIN,310
SA000041024,2012-10-20,TMAX,364
SA000041024,2006-02-15,TMAX,310
SAM00041030,2007-03-05,TMIN,230
SAM00041030,2012-06-21,TMAX,430
