ID,Date,Element,Data_Value
AYW00090001,2009-02-18,TMAX,-408
AYW00090001,2008-03-25,TMIN,-592
AYW00090001,2013-06-20,TMAX,-301
AYW00090001,2005-05-11,TMIN,-570
AYW00090001,2012-03-07,TMAX,-336
AYW00090001,2007-05-28,TMAX,-485
AYW00090001,2008-10-14,TMIN,-557
AYW00090001,2010-04-11,TMIN,-709
AYW00090001,2005-11-03,TMIN,-490
AYW00090001,2015-11-17,TMIN,-355
AYW00090001,2005-01-13,TMAX,-204
AYW00090001,2005-11-03,TMAX,-469
AYW00090001,2011-02-19,TMIN,-385
AYW00090001,2015-06-20,TMAX,-434
AYW00090001,2010-04-11,TMAX,-676
AYW00090001,2014-09-19,TMIN,-699
AYW00090001,2008-03-25,TMAX,-526
AYW00090001,2013-01-13,TMIN,-289
AYW00090001,2015-06-06,TMIN,-669
AYW00090001,2010-10-05,TMIN,-635
AYW00090001,2009-07-22,TMAX,-558
AYW00090001,2014-04-22,TMAX,-593
AYW00090001,2013-04-11,TMAX,-484
AYW00090001,2015-08-02,TMAX,-405
AYW00090001,2013-04-19,TMIN,-598
AYW00090001,2009-04-14,TMIN,-634
AYW00090001,2009-01-12,TMAX,-245
AYW00090001,2008-05-03,TMIN,-599
AYW00090001,2009-11-15,TMIN,-352
AYW00090001,2005-05-01,TMAX,-396
AYW00090001,2009-11-15,TMAX,-331
AYW00090001,2007-02-13,TMIN,-376
AYW00090001,2011-04-17,TMAX,-552
AYW00090001,2014-05-03,TMIN,-453
AYW00090001,2008-10-29,TMIN,-532
AYW00090001,2013-11-02,TMIN,-457
AYW00090001,2007-02-13,TMAX,-315
AYW00090001,2014-05-03,TMAX,-386
AYW00090001,2013-12-17,TMIN,-274
AYW00090001,2010-08-16,TMIN,-559
AYW00090001,2008-10-14,TMAX,-473
AYW00090001,2005-05-01,TMIN,-532
AYW00090001,2010-08-16,TMAX,-410
AYW00090001,2009-01-12,TMIN,-302
AYW00090001,2015-01-21,TMIN,-303
AYW00090001,2013-11-02,TMAX,-424
AYW00090001,2015-10-31,TMAX,-460
AYW00090001,2005-05-11,TMAX,-477
AYW00090001,2013-05-10,TMIN,-687
AYW00090001,2010-10-14,TMIN,-443
AYW00090001,2011-02-28,TMAX,-485
AYW00090001,2013-05-10,TMAX,-655
AYW00090001,2012-06-04,TMAX,-618
AYW00090001,2015-12-15,TMAX,-290
AYW00090001,2012-06-04,TMIN,-694
AYW00090001,2009-04-10,TMIN,-620
AYW00090001,2006-01-03,TMIN,-289
AYW00090001,2012-12-15,TMIN,-269
AYW00090001,2014-10-17,TMAX,-524
AYW00090001,2012-05-28,TMAX,-570
AYW00090001,2014-10-17,TMIN,-552
AYW00090001,2005-07-18,TMAX,-567
AYW00090001,2011-04-08,TMIN,-682
AYW00090001,2010-06-12,TMAX,-661
AYW00090001,2013-10-31,TMIN,-507
AYW00090001,2008-09-25,TMIN,-656
AYW00090001,2010-10-14,TMAX,-414
AYW00090001,2011-09-17,TMIN,-727
AYW00090001,2006-11-13,TMAX,-390
AYW00090001,2005-07-29,TMAX,-617
AYW00090001,2006-01-03,TMAX,-258
AYW00090001,2005-07-18,TMIN,-645
AYW00090001,2008-08-16,TMAX,-527
AYW00090001,2014-03-13,TMIN,-642
AYW00090001,2008-08-03,TMAX,-440
AYW00090001,2012-05-28,TMIN,-647
AYW00090001,2014-01-14,TMAX,-214
AYW00090001,2009-04-17,TMAX,-627
AYW00090001,2010-05-18,TMIN,-661
AYW00090001,2014-02-17,TMIN,-494
AYW00090001,2005-12-06,TMIN,-309
AYW00090001,2014-12-05,TMAX,-261
AYW00090001,2009-04-17,TMIN,-678
AYW00090001,2013-04-26,TMIN,-662
AYW00090001,2010-07-21,TMAX,-476
AYW00090001,2009-01-04,TMAX,-208
AYW00090001,2010-07-21,TMIN,-541
AYW00090001,2009-01-04,TMIN,-232
AYW00090001,2010-06-12,TMIN,-701
AYW00090001,2010-10-13,TMAX,-397
AYW00090001,2014-05-25,TMAX,-490
AYW00090001,2014-07-18,TMAX,-531
AYW00090001,2009-10-26,TMIN,-470
AYW00090001,2010-10-08,TMAX,-529
AYW00090001,2012-07-07,TMAX,-533
AYW00090001,2012-02-01,TMAX,-271
AYW00090001,2011-06-28,TMIN,-704
AYW00090001,2013-07-07,TMAX,-484
AYW00090001,2009-05-31,TMAX,-379
AYW00090001,2014-10-30,TMAX,-461
AYW00090001,2012-04-11,TMIN,-694
AYW00090001,2015-07-21,TMAX,-452
AYW00090001,2011-04-08,TMAX,-547
AYW00090001,2012-06-02,TMAX,-537
AYW00090001,2005-02-28,TMIN,-409
AYW00090001,2013-06-28,TMIN,-527
AYW00090001,2010-06-23,TMIN,-722
AYW00090001,2013-09-14,TMAX,-296
AYW00090001,2013-01-25,TMIN,-298
AYW00090001,2014-02-17,TMAX,-456
AYW00090001,2014-10-30,TMIN,-505
AYW00090001,2009-02-09,TMIN,-429
AYW00090001,2015-03-29,TMAX,-622
AYW00090001,2015-04-14,TMAX,-439
AYW00090001,2015-12-15,TMIN,-312
AYW00090001,2011-03-08,TMAX,-545
AYW00090001,2013-07-01,TMAX,-575
AYW00090001,2011-04-23,TMIN,-542
AYW00090001,2006-11-30,TMAX,-281
AYW00090001,2011-10-27,TMAX,-436
AYW00090001,2012-10-02,TMAX,-516
AYW00090001,2005-02-28,TMAX,-379
AYW00090001,2008-08-01,TMAX,-554
