ID,Date,Element,Data_Value
FSM00061996,2015-10-29,TMAX,137
FSM00061996,2006-03-07,TMAX,168
FSM00061996,2006-06-30,TMAX,121
FSM00061996,2007-10-05,TMAX,123
FSM00061996,2007-11-02,TMIN,98
FSM00061996,2006-10-20,TMAX,154
FSM00061996,2009-12-20,TMAX,193
FSM00061996,2007-08-05,TMIN,82
FSM00061996,2011-06-19,TMAX,166
FSM00061996,2009-12-20,TMIN,108
FSM00061996,2014-09-28,TMIN,107
FSM00061996,2013-05-05,TMAX,175
FSM00061996,2014-01-06,TMAX,181
FSM00061996,2012-05-31,TMIN,80
FSM00061996,2007-11-02,TMAX,149
FSM00061996,2007-03-04,TMAX,183
FSM00061996,2008-09-03,TMIN,117
FSM00061996,2007-05-23,TMAX,173
FSM00061996,2013-12-23,TMIN,131
FSM00061996,2013-02-10,TMAX,211
FSM00061996,2011-12-01,TMIN,91
FSM00061996,2006-09-25,TMAX,145
FSM00061996,2007-05-14,TMAX,166
FSM00061996,2009-03-06,TMAX,192
FSM00061996,2013-12-23,TMAX,198
FSM00061996,2006-01-02,TMIN,124
FSM00061996,2007-01-06,TMAX,221
FSM00061996,2010-09-26,TMAX,153
FSM00061996,2011-04-20,TMAX,197
FSM00061996,2009-02-11,TMAX,181
FSM00061996,2013-09-24,TMAX,160
FSM00061996,2015-03-30,TMAX,187
FSM00061996,2013-12-06,TMAX,174
FSM00061996,2015-10-27,TMAX,137
FSM00061996,2005-03-20,TMAX,176
FSM00061996,2013-12-06,TMIN,126
FSM00061996,2011-11-09,TMAX,177
FSM00061996,2015-03-09,TMIN,154
FSM00061996,2014-05-11,TMAX,144
FSM00061996,2015-12-28,TMAX,171
FSM00061996,2013-10-24,TMAX,143
FSM00061996,2011-11-09,TMIN,92
FSM00061996,2011-09-24,TMIN,70
FSM00061996,2015-10-08,TMAX,167
FSM00061996,2013-12-15,TMAX,182
FSM00061996,2009-03-07,TMAX,190
FSM00061996,2006-03-28,TMAX,193
FSM00061996,2014-12-08,TMAX,172
FSM00061996,2009-09-20,TMAX,151
FSM00061996,2009-12-02,TMIN,147
FSM00061996,2008-06-11,TMAX,150
FSM00061996,2014-04-09,TMAX,192
FSM00061996,2011-11-22,TMIN,91
FSM00061996,2007-10-05,TMIN,54
FSM00061996,2011-03-31,TMIN,178
FSM00061996,2007-08-16,TMAX,130
FSM00061996,2012-02-19,TMAX,212
FSM00061996,2012-09-21,TMIN,56
FSM00061996,2014-09-22,TMIN,97
FSM00061996,2009-09-21,TMAX,153
FSM00061996,2015-06-09,TMAX,144
FSM00061996,2008-03-09,TMIN,147
FSM00061996,2014-09-28,TMAX,139
FSM00061996,2011-11-22,TMAX,163
FSM00061996,2015-09-14,TMAX,168
FSM00061996,2008-01-29,TMAX,225
FSM00061996,2006-06-30,TMIN,73
FSM00061996,2013-02-10,TMIN,127
FSM00061996,2006-01-02,TMAX,183
FSM00061996,2009-12-02,TMAX,195
FSM00061996,2007-12-13,TMIN,138
FSM00061996,2014-09-22,TMAX,143
FSM00061996,2011-12-01,TMAX,163
FSM00061996,2007-05-06,TMAX,173
FSM00061996,2015-03-09,TMAX,235
FSM00061996,2015-11-23,TMAX,167
FSM00061996,2007-04-20,TMAX,176
FSM00061996,2015-06-29,TMIN,124
FSM00061996,2014-07-07,TMIN,107
FSM00061996,2013-12-22,TMIN,136
FSM00061996,2006-08-08,TMIN,126
FSM00061996,2013-12-22,TMAX,195
FSM00061996,2015-10-27,TMIN,62
FSM00061996,2015-10-14,TMAX,175
FSM00061996,2012-11-07,TMAX,157
FSM00061996,2009-10-04,TMAX,151
FSM00061996,2012-04-08,TMIN,105
FSM00061996,2011-10-14,TMIN,112
FSM00061996,2010-05-16,TMIN,98
FSM00061996,2012-09-19,TMAX,161
FSM00061996,2010-06-07,TMAX,166
FSM00061996,2011-03-30,TMAX,219
FSM00061996,2008-09-22,TMAX,122
FSM00061996,2007-12-14,TMIN,150
FSM00061996,2010-10-09,TMAX,148
FSM00061996,2010-02-10,TMIN,166
FSM00061996,2007-09-03,TMAX,134
FSM00061996,2013-05-17,TMAX,177
FSM00061996,2012-02-29,TMAX,192
FSM00061996,2013-12-18,TMAX,186
FSM00061996,2015-08-25,TMAX,132
FSM00061996,2009-12-29,TMIN,164
FSM00061996,2013-09-15,TMAX,147
FSM00061996,2013-09-30,TMAX,157
FSM00061996,2005-11-12,TMIN,99
FSM00061996,2013-09-30,TMIN,121
FSM00061996,2013-09-15,TMIN,70
FSM00061996,2013-03-19,TMIN,144
FSM00061996,2008-10-02,TMAX,161
FSM00061996,2015-10-21,TMAX,166
FSM00061996,2012-08-19,TMAX,147
FSM00061996,2015-08-09,TMIN,112
FSM00061996,2012-02-29,TMIN,116
FSM00061996,2006-08-11,TMIN,75
FSM00061996,2008-05-30,TMIN,136
FSM00061996,2011-09-12,TMIN,61
FSM00061996,2014-06-04,TMAX,170
FSM00061996,2011-09-13,TMAX,154
FSM00061996,2008-12-08,TMAX,189
FSM00061996,2008-05-06,TMAX,144
FSM00061996,2010-10-09,TMIN,89
FSM00061996,2014-05-10,TMAX,159
FSM00061996,2014-11-01,TMAX,147
FSM00061996,2008-05-06,TMIN,90
FSM00061996,2015-03-31,TMAX,226
FSM00061996,2011-03-31,TMAX,223
FSM00061996,2007-03-27,TMAX,215
FSM00061996,2011-10-28,TMAX,171
FSM00061996,2014-02-01,TMIN,113
FSM00061996,2008-05-09,TMAX,164
FSM00061996,2013-12-21,TMAX,199
FSM00061996,2010-03-06,TMIN,123
FSM00061996,2014-07-27,TMAX,134
FSM00061996,2013-01-04,TMAX,192
FSM00061996,2007-05-08,TMAX,170
FSM00061996,2012-03-04,TMAX,210
FSM00061996,2005-03-31,TMAX,195
FSM00061996,2013-07-03,TMAX,132
FSM00061996,2013-06-08,TMIN,135
FSM00061996,2014-10-31,TMAX,145
FSM00061996,2011-12-27,TMAX,211
