ID,Date,Element,Data_Value
GP000078897,2011-09-28,TMIN,244
NTM00078866,2008-11-24,TMAX,301
TDM00078970,2014-12-26,TMIN,215
BR000352000,2007-12-31,TMIN,234
NSM00081225,2010-10-09,TMAX,355
GYW00010502,2011-07-16,TMAX,310
GYW00010502,2010-12-26,TMAX,323
NTM00078866,2013-04-14,TMAX,290
FG000081405,2009-06-08,TMIN,246
BRM00082361,2009-12-22,TMIN,238
GPM00078890,2006-01-30,TMIN,231
FGM00081401,2015-04-27,TMAX,311
FG000081405,2005-01-30,TMIN,239
FG000081405,2009-06-08,TMAX,307
BB000078954,2010-04-18,TMAX,311
FGM00081401,2009-03-12,TMAX,285
FG000081405,2014-07-12,TMAX,298
TDM00078970,2015-01-08,TMAX,316
BB000078954,2010-02-11,TMIN,234
GYM00081001,2008-09-27,TMIN,250
GYW00010502,2005-07-13,TMIN,216
TDM00078962,2009-08-25,TMIN,254
FGM00081415,2005-05-15,TMAX,321
MBM00078925,2006-08-11,TMAX,320
GYM00081001,2009-04-29,TMIN,245
BRM00082193,2009-08-25,TMAX,324
FGM00081415,2013-06-12,TMIN,229
GYM00081001,2015-06-26,TMAX,298
FGM00081415,2012-08-07,TMIN,232
BB000078954,2007-12-20,TMAX,301
TDM00078962,2009-07-30,TMIN,243
FGM00081415,2014-09-21,TMAX,339
GP000078897,2007-04-26,TMIN,229
FG000081405,2009-08-29,TMIN,208
GP000078897,2007-08-27,TMIN,238
BR000047002,2014-03-11,TMIN,204
MBM00078925,2007-02-20,TMIN,220
TDM00078962,2006-06-02,TMIN,210
FGM00081415,2012-02-28,TMAX,309
GPM00078894,2005-07-23,TMIN,265
MBM00078925,2007-02-20,TMAX,291
TDM00078962,2009-07-30,TMAX,307
GYM00081001,2005-12-08,TMAX,303
BB000078954,2012-08-21,TMAX,309
BRM00082193,2006-07-13,TMIN,246
GP000078897,2007-04-26,TMAX,311
MBM00078925,2010-10-29,TMIN,236
FGM00081408,2009-09-09,TMAX,337
BB000078954,2011-02-05,TMIN,235
GYW00010502,2010-06-09,TMAX,316
BRM00082361,2009-12-22,TMAX,319
GPM00078894,2005-07-23,TMAX,311
FGM00081401,2014-02-01,TMIN,226
TDM00078970,2015-04-07,TMIN,228
FGM00081415,2012-12-03,TMAX,348
NSM00081225,2007-12-04,TMIN,238
FGM00081415,2005-05-15,TMIN,240
BRM00082193,2005-01-26,TMIN,246
BRM00082193,2005-09-03,TMIN,235
FGM00081415,2012-02-29,TMIN,226
GP000078897,2011-02-22,TMAX,288
BB000078954,2007-10-22,TMIN,255
BB000078954,2013-01-17,TMIN,226
BRM00082193,2011-04-20,TMAX,309
GYW00010502,2015-07-13,TMIN,228
GYM00081001,2005-12-08,TMIN,240
FGM00081415,2005-09-12,TMIN,212
TDM00078962,2009-11-25,TMAX,304
TDM00078962,2012-04-17,TMIN,224
FG000081405,2012-02-27,TMAX,297
TDM00078962,2010-05-14,TMIN,239
TDM00078970,2014-12-26,TMAX,320
GYW00010502,2013-12-04,TMIN,222
BRM00082361,2010-12-25,TMAX,336
TDM00078970,2015-04-07,TMAX,327
GYW00010502,2015-01-08,TMIN,200
TDM00078962,2008-09-23,TMIN,249
BB000078954,2007-10-22,TMAX,307
TDM00078962,2010-12-20,TMAX,302
MBM00078925,2011-06-01,TMIN,257
GYW00010502,2015-01-12,TMIN,201
TDM00078962,2010-11-12,TMAX,322
FGM00081408,2005-10-02,TMIN,216
FGM00081408,2012-03-16,TMAX,314
FGM00081415,2012-02-28,TMIN,226
FGM00081401,2012-04-25,TMAX,314
GP000078897,2014-03-04,TMAX,283
GYM00081001,2009-07-18,TMIN,214
MBM00078925,2008-10-31,TMAX,312
TDM00078970,2015-01-08,TMIN,216
NSM00081225,2008-09-11,TMIN,235
BRM00082193,2010-12-22,TMIN,237
BB000078954,2011-08-12,TMIN,241
GP000078897,2007-09-04,TMAX,310
FGM00081408,2010-05-19,TMAX,315
BRM00082098,2006-06-06,TMAX,310
BRM00082193,2005-09-03,TMAX,335
TDM00078962,2010-11-12,TMIN,255
FGM00081408,2005-10-02,TMAX,365
FGM00081415,2005-01-30,TMIN,234
BB000078954,2011-08-12,TMAX,322
GP000078897,2008-03-17,TMAX,287
BR000352000,2010-06-16,TMAX,348
BB000078954,2010-05-23,TMIN,269
FGM00081408,2013-09-07,TMIN,222
BRM00082193,2011-05-10,TMAX,314
GP000078897,2009-04-07,TMIN,199
GP000078897,2014-03-04,TMIN,186
NSM00081225,2009-12-18,TMIN,218
FGM00081415,2005-01-30,TMAX,329
FGM00081415,2012-02-29,TMAX,306
FGM00081415,2013-06-12,TMAX,329
GYW00010502,2015-08-22,TMAX,307
BRM00082193,2015-08-06,TMIN,237
BB000078954,2010-08-02,TMIN,250
BRM00082361,2011-08-28,TMAX,348
GP000078897,2010-03-20,TMAX,323
TDM00078962,2006-12-08,TMIN,236
FGM00081408,2009-07-05,TMIN,228
BB000078954,2012-11-01,TMAX,310
MBM00078922,2005-08-21,TMIN,241
GP000078897,2009-05-27,TMAX,310
TDM00078970,2014-04-22,TMAX,328
GYW00010502,2009-04-14,TMAX,326
