ID,Date,Element,Data_Value
SF000104560,2014-01-15,TMAX,350
SF000414170,2012-10-18,TMIN,105
SF000456110,2006-09-16,TMIN,93
SFM00068816,2005-07-09,TMAX,260
SF000288380,2011-09-18,TMIN,77
SF000414170,2011-02-01,TMAX,343
SF000508870,2010-07-29,TMAX,176
SF000456110,2005-05-11,TMIN,82
SF000414170,2007-07-15,TMAX,228
SF000570480,2014-03-13,TMIN,72
SFM00068842,2013-05-21,TMAX,225
SF000570480,2007-06-15,TMIN,42
SF000508870,2012-08-25,TMIN,88
SFM00068816,2005-11-13,TMIN,148
SF000288380,2010-12-12,TMAX,216
SF000414170,2009-07-15,TMAX,127
SF000104560,2010-01-11,TMAX,316
SF000227590,2008-05-17,TMIN,57
SFM00068842,2013-03-23,TMAX,278
SFM00068842,2005-09-05,TMAX,204
SF000236780,2012-07-02,TMAX,217
SF000104560,2010-01-11,TMIN,169
SFM00068816,2007-07-26,TMIN,74
SF000508870,2007-12-18,TMAX,228
SF000104560,2013-05-10,TMIN,50
SF000068920,2008-04-13,TMIN,186
SF000570480,2008-10-09,TMAX,244
SF000068920,2013-08-03,TMAX,276
SF000068920,2011-08-30,TMAX,187
SF000104560,2008-04-19,TMAX,264
SF000570480,2006-03-01,TMAX,326
SF000456110,2015-08-06,TMIN,13
SF000288380,2015-03-26,TMAX,205
SF000414170,2005-12-17,TMIN,103
SF000236780,2014-05-02,TMIN,73
SF000227590,2012-11-01,TMAX,289
SF000456110,2009-05-02,TMAX,172
SF000104560,2014-02-07,TMAX,342
SFM00068816,2006-09-05,TMAX,253
SF000227590,2015-11-04,TMIN,121
SF000068920,2013-08-03,TMIN,121
SF000104560,2009-12-28,TMAX,262
SF000104560,2012-01-03,TMIN,165
SF000236780,2012-07-02,TMIN,45
SFM00068842,2013-10-28,TMAX,244
SF000288380,2009-03-01,TMAX,251
SF000227590,2007-03-25,TMAX,281
SF000570480,2006-03-01,TMIN,162
SF000456110,2015-08-24,TMAX,264
SF000508870,2014-07-21,TMIN,-24
SF000227590,2006-07-29,TMIN,44
SF000508870,2007-05-01,TMIN,56
SF000288380,2014-01-08,TMIN,187
SFM00068842,2013-05-21,TMIN,127
SF000068920,2015-02-06,TMIN,200
SF000414170,2005-08-04,TMAX,201
SF000456110,2009-05-02,TMIN,83
SF000508870,2012-08-25,TMAX,250
SFM00068816,2005-09-06,TMAX,157
SF000104560,2009-12-28,TMIN,110
SF000227590,2006-05-29,TMIN,23
SF000508870,2014-10-12,TMAX,253
SF000068920,2012-10-17,TMAX,197
SF000288380,2006-06-15,TMIN,79
SF000288380,2007-04-22,TMAX,223
SF000570480,2015-05-21,TMAX,272
SF000508870,2007-12-18,TMIN,116
SF000570480,2013-10-09,TMAX,249
SFM00068816,2014-01-21,TMAX,310
SFM00068842,2011-07-31,TMAX,196
SF000508870,2008-08-03,TMIN,-19
SF000068920,2010-05-06,TMIN,143
SF000104560,2012-01-03,TMAX,335
